Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,64.79,64.9701,64.06,64.31,51.1657,4189518
2017-04-18,64.03,64.0799,63.1153,63.65,50.6406,4755959
2017-04-19,63.9,63.93,63.31,63.45,50.4815,4057127
2017-04-20,63.72,64.0,63.29,63.78,50.744,5708615
2017-04-21,63.76,64.29,63.547,63.82,50.7759,4154869
2017-04-24,64.4,65.16,64.26,64.66,51.4442,7120988
2017-04-25,64.94,65.63,64.82,65.1,51.7943,5352864
2017-04-26,65.19,65.92,65.02,65.04,51.7465,5008927
2017-04-27,65.45,67.5,65.12,66.07,52.566,11692880
2017-04-28,66.06,66.32,65.441,65.94,52.4626,5521146
2017-05-01,66.0,66.665,65.94,66.48,52.8922,4575844
2017-05-02,66.51,66.68,66.18,66.63,53.0115,4342819
2017-05-03,66.45,66.88,66.21,66.74,53.0991,4993409
2017-05-04,66.74,67.4,66.62,67.23,53.4889,4287407
2017-05-05,67.19,67.22,66.3246,66.99,53.298,4587787
2017-05-08,66.94,66.95,66.14,66.21,52.6774,4497397
2017-05-09,66.2,66.95,65.86,66.17,52.6456,4395161
2017-05-10,66.16,66.23,65.36,65.98,52.4944,5140246
2017-05-11,65.9,65.96,64.655,65.3,51.9534,7853758
2017-05-12,65.27,66.19,65.21,66.06,52.558,6093484
2017-05-15,66.07,66.85,65.95,66.67,53.0434,8527854
2017-05-16,66.73,66.92,66.33,66.85,53.1866,6313452
2017-05-17,64.98,66.34,64.61,65.37,52.0091,12771370
2017-05-18,65.37,66.1,65.2,65.63,52.2159,6000963
2017-05-19,65.74,66.01,65.31,65.58,52.1761,6731832
2017-05-22,65.55,65.619,64.8,65.44,52.0648,5541712
2017-05-23,65.44,66.26,65.43,65.84,52.383,4676497
2017-05-24,65.79,66.12,65.57,65.93,52.4546,3232250
2017-05-25,66.06,66.57,65.8,66.32,52.7649,4058348
2017-05-26,66.14,66.41,65.851,66.06,52.558,4083006
2017-05-30,65.89,66.2,65.81,66.02,52.5262,4803867
2017-05-31,66.24,66.41,65.61,66.02,52.5262,6935838
2017-06-01,66.255,66.725,66.12,66.71,53.0752,4554745
2017-06-02,66.809,67.31,66.62,67.25,53.5048,5645994
2017-06-05,67.25,67.86,66.88,67.51,53.7117,4918062
2017-06-06,67.48,68.095,67.37,67.87,53.9981,5494466
2017-06-07,68.01,69.32,68.01,68.75,54.6982,8406339
