Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,67.67,67.875,67.56,67.74,57.1679,1452586
2017-04-18,67.77,68.12,67.65,67.98,57.3705,2427455
2017-04-19,67.99,68.13,67.51,67.74,57.1679,2802215
2017-04-20,67.54,67.65,66.965,67.44,56.9147,2518590
2017-04-21,67.28,68.03,67.28,67.86,57.2692,2721113
2017-04-24,67.82,68.09,67.3601,67.97,57.362,2714533
2017-04-25,67.74,68.03,67.545,67.86,57.2692,1824482
2017-04-26,67.79,68.12,67.62,67.69,57.1257,2821581
2017-04-27,67.44,68.46,67.21,68.1,57.4717,2225418
2017-04-28,68.1,68.24,67.74,67.83,57.2439,2671290
2017-05-01,68.03,68.03,67.34,67.47,56.9401,1694436
2017-05-02,67.67,68.16,67.55,68.01,57.3958,3172017
2017-05-03,68.0,68.25,67.77,67.9,57.3029,1879033
2017-05-04,67.71,68.12,67.67,68.02,57.4042,2284967
2017-05-05,68.22,68.66,67.89,68.41,57.7333,2674812
2017-05-08,67.99,68.18,67.52,67.73,57.6567,2650883
2017-05-09,67.63,67.77,67.2371,67.31,57.2992,2340668
2017-05-10,67.35,67.62,67.125,67.41,57.3843,2236261
2017-05-11,67.23,67.56,66.93,67.55,57.5035,1491189
2017-05-12,67.59,68.3,67.55,68.06,57.9377,2241667
2017-05-15,68.08,68.72,67.87,68.56,58.3633,2427672
2017-05-16,68.43,68.6325,67.85,67.86,57.7674,1556720
2017-05-17,68.01,68.5,67.92,68.15,58.0143,2243927
2017-05-18,68.35,68.89,67.81,68.31,58.1505,2139887
2017-05-19,68.3,68.74,67.88,68.72,58.4995,2377568
2017-05-22,68.68,69.58,68.5984,69.42,59.0954,2881486
2017-05-23,69.43,70.07,69.37,69.59,59.2401,2251938
2017-05-24,69.74,70.235,69.66,70.2,59.7594,2009067
2017-05-25,70.17,70.93,70.08,70.8,60.2701,2214239
2017-05-26,70.8,71.01,70.71,70.87,60.3297,3464774
2017-05-30,70.77,71.26,70.7,71.21,60.6192,2027892
2017-05-31,71.26,71.91,71.24,71.78,61.1044,2857064
2017-06-01,71.65,72.22,71.4,72.21,61.4704,2715088
2017-06-02,72.51,72.72,72.28,72.67,61.862,2583695
2017-06-05,72.64,72.69,72.32,72.4,61.6322,2723224
2017-06-06,72.62,72.67,72.06,72.13,61.4023,2485933
2017-06-07,72.26,72.71,72.07,72.62,61.8195,2565318
2017-06-08,72.65,72.65,71.51,71.95,61.2491,2679865
2017-06-09,71.71,72.04,71.37,71.86,61.1725,2271681
2017-06-12,71.86,72.23,71.005,71.41,60.7894,3169359
2017-06-13,71.33,71.68,71.05,71.65,60.9937,1800358
2017-06-14,72.23,72.4,71.69,71.96,61.2576,1792199
2017-06-15,71.93,72.16,71.505,72.14,61.4108,2311527
2017-06-16,72.32,72.59,71.97,72.42,61.6492,3326390
2017-06-19,72.42,72.47,71.74,72.06,61.3427,2076340
2017-06-20,72.1,72.57,72.015,72.56,61.7684,2486587
2017-06-21,72.6,72.97,72.2,72.4,61.6322,6134947
2017-06-22,72.2,72.45,71.76,71.79,61.1129,2172148
2017-06-23,71.75,72.09,71.43,71.55,60.9086,2431774
2017-06-26,71.29,72.201,71.19,71.87,61.181,2026068
2017-06-27,71.5,71.61,70.63,70.72,60.202,3003735
2017-06-28,70.91,71.08,70.12,70.15,59.7168,2553902
2017-06-29,69.82,69.82,69.19,69.6,59.2486,3112105
2017-06-30,69.77,70.11,69.47,69.47,59.1379,2130174
2017-07-03,69.69,69.695,68.93,69.0,58.7378,1591950
2017-07-05,69.05,69.1,68.62,68.82,58.5846,2735687
2017-07-06,68.69,69.15,68.47,69.02,58.7549,2147834
2017-07-07,69.01,69.41,68.83,69.15,58.8655,1747463
2017-07-10,69.4,69.47,68.885,68.89,58.6442,1567668
2017-07-11,69.0,69.05,68.67,68.84,58.6016,1813889
2017-07-12,69.4,69.53,68.97,68.99,58.7293,2287834
2017-07-13,68.9,69.1,68.28,68.28,58.1249,3489141
2017-07-14,68.74,68.89,68.11,68.17,58.0313,4900453
2017-07-17,68.24,68.67,68.12,68.55,58.3548,2885095
2017-07-18,68.63,68.82,68.34,68.36,58.193,2721383
2017-07-19,68.45,68.77,68.43,68.65,58.4399,2981267
2017-07-20,68.77,68.835,68.4125,68.7,58.4825,3771041
2017-07-21,68.74,69.99,68.68,69.98,59.5721,2922302
2017-07-24,70.0,70.0,68.9,69.19,58.8996,4129527
2017-07-25,69.22,69.31,68.71,68.84,58.6016,1614129
2017-07-26,68.69,69.51,68.5901,69.45,59.1209,1962923
2017-07-27,69.37,70.8,69.36,70.67,60.1595,4203297
2017-07-28,70.62,70.81,70.03,70.43,59.9552,2570941
2017-07-31,70.45,70.7,70.03,70.54,60.0488,2273638
2017-08-01,70.59,70.83,70.37,70.62,60.1169,1628987
2017-08-02,70.37,71.025,70.08,70.93,60.3808,1405090
2017-08-03,70.75,71.2,70.61,71.2,60.6106,1794562
2017-08-04,70.98,71.05,70.32,70.88,60.3382,1879494
2017-08-07,70.88,71.39,70.64,71.39,60.7724,2007009
2017-08-08,70.8,71.39,70.56,71.35,61.2445,2398048
2017-08-09,71.61,71.61,70.86,70.96,60.9097,2492179
2017-08-10,70.85,71.42,70.55,71.36,61.2531,2053450
2017-08-11,71.34,71.34,70.37,70.56,60.5664,2007613
2017-08-14,70.59,71.15,70.46,71.05,60.987,1865185
2017-08-15,70.77,71.54,70.71,71.52,61.3904,1289303
2017-08-16,71.52,72.04,71.38,72.02,61.8196,1692359
2017-08-17,71.99,72.26,71.78,72.0,61.8024,3318477
2017-08-18,71.93,72.63,71.71,72.16,61.9398,2871369
2017-08-21,72.23,72.78,72.13,72.67,62.3775,1808453
2017-08-22,72.64,72.87,72.42,72.81,62.4977,1959054
2017-08-23,72.76,73.4,72.75,73.31,62.9269,2379915
2017-08-24,73.28,73.66,73.09,73.39,62.9956,2123034
2017-08-25,73.71,73.7701,73.41,73.57,63.1501,2067781
2017-08-28,73.75,74.11,73.59,74.1,63.605,1768144
2017-08-29,74.16,74.29,73.815,73.94,63.4677,1748926
2017-08-30,73.96,74.03,73.705,73.75,63.3046,1356829
2017-08-31,73.87,73.95,73.62,73.63,63.2016,2787413
2017-09-01,73.84,73.95,73.27,73.54,63.1243,1745598
2017-09-05,73.66,74.1,73.34,74.09,63.5964,2825112
2017-09-06,74.24,74.24,73.24,73.3,62.9183,2491944
2017-09-07,73.47,73.975,73.36,73.83,63.3732,2285962
2017-09-08,73.73,74.37,73.59,74.19,63.6823,1506983
2017-09-11,74.18,74.59,74.07,74.55,63.9913,2108618
2017-09-12,74.49,74.49,72.65,73.11,62.7552,2166668
