Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,93.19,94.25,92.96,94.22,84.8848,322182
2017-04-18,93.61,94.04,92.87,93.6,84.3263,349740
2017-04-19,94.41,94.63,93.66,93.97,84.6596,265120
2017-04-20,94.47,95.65,93.94,95.11,85.6866,390918
2017-04-21,94.85,95.22,94.54,94.7,85.3173,345772
2017-04-24,95.57,96.39,95.55,96.12,86.5966,414768
2017-04-25,96.55,97.35,96.22,96.92,87.3173,387798
2017-04-26,97.01,98.01,96.9201,97.02,87.4074,294527
2017-04-27,97.16,97.49,96.95,97.12,87.4975,350109
2017-04-28,97.03,97.1,96.09,96.24,86.7047,309357
2017-05-01,96.9,97.42,96.27,97.25,87.6146,315324
2017-05-02,97.25,98.29,97.13,98.14,88.4164,435709
2017-05-03,99.99,104.67,98.7,104.51,94.1553,1152679
2017-05-04,104.56,106.02,103.865,104.47,94.1193,505646
2017-05-05,104.57,104.95,103.11,103.92,93.6238,351157
2017-05-08,104.19,105.56,104.12,105.3,94.867,418118
2017-05-09,105.26,105.99,104.29,104.43,94.0832,417578
2017-05-10,103.97,104.68,103.27,103.63,93.3625,389964
2017-05-11,103.3,103.79,102.36,102.65,92.4796,407676
2017-05-12,102.36,102.69,101.96,102.05,91.939,278993
2017-05-15,102.3,102.74,101.4096,102.26,92.1282,257087
2017-05-16,102.3,102.75,101.7,101.97,91.867,235447
2017-05-17,100.81,101.565,100.0,100.16,90.2363,471480
2017-05-18,100.3,100.3,99.11,99.28,89.4435,430088
2017-05-19,99.58,100.03,99.18,99.53,89.6687,417510
2017-05-22,100.04,100.2,99.23,99.59,89.7228,343095
2017-05-23,99.59,99.72,98.67,99.49,89.6327,428994
2017-05-24,99.55,99.69,98.68,99.4,89.5516,282437
2017-05-25,99.2,100.68,99.0095,100.45,90.9827,257650
2017-05-26,100.36,100.45,98.9,99.28,89.923,279809
2017-05-30,99.18,99.54,98.32,98.55,89.2618,387775
2017-05-31,98.64,98.64,97.28,97.98,88.7455,689469
2017-06-01,98.64,100.45,98.06,100.15,90.711,357904
2017-06-02,99.67,100.35,98.81,100.16,90.72,348457
2017-06-05,100.17,100.8,99.0,99.09,89.7509,339397
2017-06-06,98.68,99.06,98.01,98.99,89.6603,308834
2017-06-07,99.29,99.555,98.47,98.71,89.4067,271487
2017-06-08,98.74,99.83,98.74,99.29,89.932,757257
2017-06-09,99.73,101.92,99.72,101.68,92.0968,389843
2017-06-12,101.9,102.05,99.9501,101.3,91.7526,460048
2017-06-13,101.32,102.23,101.12,101.73,92.1421,274789
2017-06-14,101.51,102.66,101.18,102.33,92.6855,353941
2017-06-15,101.56,103.97,101.56,103.52,93.7633,341532
2017-06-16,103.49,104.52,102.935,104.48,94.6329,617958
2017-06-19,105.0,105.12,104.305,104.74,94.8684,287056
2017-06-20,104.11,104.74,103.5,103.98,94.18,223874
2017-06-21,104.24,104.4351,102.05,102.25,92.613,335676
2017-06-22,101.84,102.05,100.23,100.26,90.8106,394208
2017-06-23,100.76,101.54,100.44,101.25,91.7073,794456
