Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,75.28,76.23,75.195,76.23,72.2925,414337
2017-04-18,75.98,76.14,75.61,75.94,72.0175,418377
2017-04-19,76.28,77.34,76.28,76.83,72.8615,666267
2017-04-20,77.12,78.05,76.88,77.72,73.7056,417235
2017-04-21,77.69,78.22,77.59,77.91,73.8857,750792
2017-04-24,78.87,79.19,77.74,78.24,74.1987,711800
2017-04-25,78.65,79.09,78.32,78.75,74.6824,400309
2017-04-26,78.85,79.97,78.11,79.72,75.6023,1522045
2017-04-27,82.0,82.0,79.8025,80.62,76.4558,1602295
2017-04-28,80.06,80.34,78.41,78.64,74.578,1349790
2017-05-01,78.7,78.7,77.62,77.7,73.6866,716480
2017-05-02,77.98,78.23,77.3,77.62,73.6107,698610
2017-05-03,77.24,77.62,76.68,77.28,73.2883,828794
2017-05-04,77.59,77.92,76.98,77.35,73.3547,919662
2017-05-05,77.56,77.94,77.0,77.5,73.4969,809520
2017-05-08,77.28,77.57,76.4,76.8,72.8331,573391
2017-05-09,77.11,77.2,76.75,76.98,73.0038,438192
2017-05-10,76.76,76.94,75.85,76.83,72.8615,613200
2017-05-11,76.45,77.31,75.945,77.29,73.2978,900001
2017-05-12,77.16,77.31,76.64,76.73,72.7667,415823
2017-05-15,76.7,77.57,76.7,77.24,73.2504,582411
2017-05-16,77.6,78.7,77.58,78.48,74.4263,1238911
2017-05-17,77.54,77.83,76.865,77.01,73.0322,1009658
2017-05-18,76.83,77.76,76.26,77.32,73.3262,656445
2017-05-19,77.83,79.45,77.46,79.06,74.9763,1065279
2017-05-22,79.2,79.99,79.2,79.46,75.3557,798788
2017-05-23,79.5,79.71,78.76,78.9,74.8246,823811
2017-05-24,79.0,79.2425,78.65,79.05,74.9669,702044
2017-05-25,79.29,79.69,79.05,79.46,75.3557,645480
2017-05-26,79.36,79.68,79.11,79.38,75.2798,655882
2017-05-30,79.35,79.35,78.25,78.46,74.4073,855338
2017-05-31,78.62,79.17,77.76,78.63,74.5686,3922204
2017-06-01,79.02,79.55,78.8,79.14,75.0522,908003
2017-06-02,79.05,80.17,78.87,80.06,75.9247,703957
2017-06-05,80.0,80.37,79.635,80.0,75.8678,498559
2017-06-06,79.76,80.4,78.47,78.54,74.4832,510895
2017-06-07,78.61,79.04,78.12,78.33,74.284,511643
2017-06-08,78.2,78.57,77.37,77.65,73.6392,724545
2017-06-09,77.83,78.22,76.9,77.23,73.2409,756978
2017-06-12,77.36,78.49,76.47,78.45,74.3979,1033300
2017-06-13,78.19,79.4,77.81,79.28,75.3386,611443
2017-06-14,79.69,80.12,79.43,79.75,75.7853,563067
2017-06-15,79.32,80.83,79.04,80.75,76.7356,601235
2017-06-16,81.02,81.93,80.76,81.58,77.5243,822493
2017-06-19,82.04,82.38,81.66,82.17,78.085,403117
2017-06-20,81.68,82.77,81.5,81.91,77.8379,520916
2017-06-21,82.1,82.1,81.34,81.51,77.4578,437801
2017-06-22,81.49,81.9,81.17,81.19,77.1537,298959
