Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,37.64,38.03,37.57,38.02,35.7097,5242480
2017-04-18,37.79,38.11,37.6,38.05,35.7378,6047326
2017-04-19,39.2,39.655,39.15,39.25,36.8649,13394450
2017-04-20,39.54,39.97,39.15,39.89,37.466,9402816
2017-04-21,39.9,40.085,39.47,39.79,37.3721,8762041
2017-04-24,40.37,40.61,40.09,40.44,37.9826,6925408
2017-04-25,40.62,40.87,40.28,40.79,38.3113,7236945
2017-04-26,40.78,40.92,40.425,40.71,38.2362,5578304
2017-04-27,40.96,41.82,40.94,41.33,38.8185,8312470
2017-04-28,41.1,41.33,40.58,40.61,38.1423,9209031
2017-05-01,40.98,41.71,40.85,41.7,39.166,7478248
2017-05-02,41.72,41.75,41.13,41.71,39.1754,6950795
2017-05-03,41.71,41.71,41.2,41.55,39.0252,5673883
2017-05-04,41.65,41.81,41.41,41.62,39.0909,5016859
2017-05-05,41.85,41.89,41.3,41.83,39.2881,4748163
2017-05-08,41.9,41.96,41.44,41.54,39.0158,6380021
2017-05-09,41.82,42.25,41.72,42.04,39.4854,8074643
2017-05-10,42.53,43.09,42.47,42.87,40.2649,11555060
2017-05-11,43.02,43.48,42.73,43.48,40.8379,11149880
2017-05-12,43.53,43.64,43.06,43.44,40.8003,9365074
2017-05-15,43.88,44.425,43.71,44.32,41.6268,12098120
2017-05-16,44.8,45.08,44.31,45.07,42.3313,13410530
2017-05-17,44.58,44.7,42.73,42.76,40.1616,20062010
2017-05-18,43.1,44.1,42.835,43.91,41.2417,21882230
2017-05-19,45.05,45.74,43.91,44.08,41.4014,23338580
2017-05-22,44.19,45.0,43.62,44.73,42.0119,12606290
2017-05-23,44.81,44.94,44.3,44.91,42.2755,8541940
2017-05-24,45.0,45.13,44.47,44.63,42.0119,7570534
2017-05-25,44.76,45.33,44.551,45.02,42.379,8662611
2017-05-26,44.87,45.5,44.7499,45.5,42.8309,6633378
2017-05-30,45.47,45.74,45.21,45.56,42.8874,6593508
2017-05-31,45.66,46.035,45.33,45.88,43.1886,13082140
2017-06-01,45.97,46.26,45.8,46.0,43.3015,7176781
2017-06-02,46.22,46.86,45.9,46.8,44.0546,9523927
2017-06-05,46.63,47.24,46.51,46.72,43.9793,6807565
2017-06-06,46.57,47.21,46.48,46.57,43.8381,7806155
2017-06-07,46.7,47.34,46.62,47.26,44.4876,8026510
2017-06-08,47.4,47.47,46.93,47.43,44.6477,7936089
2017-06-09,47.62,47.86,43.41,44.74,42.1155,20477180
2017-06-12,44.14,44.5,42.316,44.34,41.7389,20623500
2017-06-13,44.91,45.5,44.28,44.85,42.219,12330640
2017-06-14,45.08,45.285,43.37,43.98,41.4,10697300
2017-06-15,43.19,43.67,42.83,43.16,40.6281,11523010
2017-06-16,43.19,43.9,43.055,43.11,40.5811,10775070
2017-06-19,43.7,44.39,43.63,44.29,41.6919,9649864
2017-06-20,44.26,44.59,43.3,43.36,40.8164,9083673
2017-06-21,43.41,43.82,43.09,43.62,41.0612,9713578
2017-06-22,43.69,43.92,43.08,43.34,40.7976,7632051
2017-06-23,43.45,44.3,43.41,44.09,41.5036,13947670
2017-06-26,44.47,44.65,42.91,43.25,40.7129,10911380
2017-06-27,43.0,43.1,41.83,41.89,39.4327,12734950
2017-06-28,41.9,42.775,41.42,42.69,40.1857,14308330
2017-06-29,42.35,42.46,40.79,41.44,39.009,12362490
2017-06-30,41.81,42.02,41.09,41.31,38.8867,10044090
