Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,126.46,127.85,126.04,127.75,113.6276,1119345
2017-04-18,126.52,127.23,125.82,126.61,112.6136,1222435
2017-04-19,128.0,128.48,126.41,126.9,112.8716,1237926
2017-04-20,127.87,129.735,126.86,129.57,115.2464,1360822
2017-04-21,129.78,130.43,128.04,128.44,114.2413,937180
2017-04-24,132.2,132.88,131.12,131.86,117.2833,1432634
2017-04-25,131.85,132.2,128.17,130.88,116.4116,2065704
2017-04-26,130.62,131.255,128.96,129.0,114.7394,1304126
2017-04-27,128.59,129.54,127.24,128.46,114.2591,1314478
2017-04-28,128.41,129.38,127.77,127.85,113.7166,1219057
2017-05-01,128.92,129.46,127.71,128.81,114.5704,1089892
2017-05-02,129.61,129.68,128.44,129.11,114.8373,827236
2017-05-03,128.3,129.33,128.2,129.02,114.7572,629462
2017-05-04,129.06,129.38,127.56,128.1,114.6767,829557
2017-05-05,128.36,128.89,127.4,128.82,115.3212,755499
2017-05-08,128.8,129.08,127.95,128.38,114.9273,629064
2017-05-09,128.47,129.875,128.24,128.91,115.4018,683937
2017-05-10,128.6,129.16,127.76,129.09,115.5629,504963
2017-05-11,128.34,128.95,126.51,127.59,114.2201,786323
2017-05-12,126.84,127.475,125.56,126.13,112.9131,799437
2017-05-15,126.74,128.78,126.54,128.77,115.2764,877621
2017-05-16,128.73,130.125,128.55,129.92,116.3059,963085
2017-05-17,127.43,128.19,122.8,123.34,110.4154,1886371
2017-05-18,123.25,125.64,123.01,124.42,111.3823,2229549
2017-05-19,124.9,126.78,124.63,125.83,112.6445,1571695
2017-05-22,126.55,126.92,124.86,125.11,112.0,780184
2017-05-23,123.78,124.62,121.56,122.98,110.0932,1881462
2017-05-24,123.0,123.64,121.06,121.81,109.0458,1396038
2017-05-25,122.37,123.03,121.86,122.61,109.7619,965435
2017-05-26,122.29,123.0,122.01,122.3,109.4844,643624
2017-05-30,121.9,122.4742,121.1,121.1,108.4102,894208
2017-05-31,121.08,121.3294,118.84,120.79,108.1327,2325663
2017-06-01,121.66,123.22,121.09,123.13,110.2275,1699050
2017-06-02,122.11,123.27,120.8,122.67,109.8157,1560035
2017-06-05,122.59,123.89,122.1,122.21,109.4039,699667
2017-06-06,121.06,121.89,120.11,120.92,108.249,701392
2017-06-07,121.6,122.61,121.21,121.95,109.1711,832698
2017-06-08,121.84,124.815,121.79,123.26,110.3438,767342
2017-06-09,124.14,126.57,123.8,126.49,113.2354,740491
2017-06-12,126.31,128.19,126.31,127.43,114.0769,1076796
2017-06-13,128.04,128.36,126.805,127.25,113.9157,851929
2017-06-14,125.97,127.88,125.23,127.83,114.435,973866
2017-06-15,127.0,129.77,126.97,129.61,116.0284,1750585
2017-06-16,129.93,130.4,129.175,130.35,116.6909,1338004
2017-06-19,131.0,133.02,130.48,132.12,118.2754,1132179
2017-06-20,131.46,132.1,130.67,130.68,116.9863,549310
2017-06-21,130.72,130.815,128.02,128.24,114.802,879039
2017-06-22,128.05,128.06,126.25,126.35,113.11,1190402
2017-06-23,127.16,127.16,125.28,125.55,112.3939,2733948
2017-06-26,125.96,127.25,125.07,126.19,112.9668,880069
2017-06-27,126.8,127.46,125.72,125.79,112.6087,956715
2017-06-28,127.01,129.29,126.98,128.41,114.9542,906055
