Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,887.5,902.38,887.5,901.99,901.99,2854673
2017-04-18,900.99,909.61,900.78,903.78,903.78,2999238
2017-04-19,907.84,910.5,897.369,899.2,899.2,2870242
2017-04-20,899.7,905.32,896.29,902.06,902.06,2814441
2017-04-21,902.67,903.65,896.77,898.53,898.53,2420494
2017-04-24,908.68,909.99,903.82,907.41,907.41,3122893
2017-04-25,907.04,909.48,903.0,907.62,907.62,3380639
2017-04-26,910.3,915.749,907.56,909.29,909.29,2608948
2017-04-27,914.39,921.86,912.11,918.38,918.38,5305543
2017-04-28,948.83,949.59,924.3335,924.99,924.99,7364681
2017-05-01,927.8,954.4,927.8,948.23,948.23,5466464
2017-05-02,946.645,950.1,941.413,946.94,946.94,3848835
2017-05-03,946.0,946.0,935.9,941.03,941.03,3582686
2017-05-04,944.75,945.0,934.215,937.53,937.53,2418381
2017-05-05,940.52,940.79,930.3,934.15,934.15,2866397
2017-05-08,940.95,949.05,939.21,949.04,949.04,3415731
2017-05-09,952.8,957.89,950.2,952.82,952.82,3262113
2017-05-10,953.5,953.7499,945.0,948.95,948.95,2096512
2017-05-11,945.11,950.29,940.775,947.62,947.62,2194070
2017-05-12,954.5,962.79,951.53,961.35,961.35,3625857
2017-05-15,958.73,963.15,956.055,957.97,957.97,4270625
2017-05-16,961.0,970.06,960.91,966.07,966.07,3126051
2017-05-17,954.7,960.3957,944.12,944.76,944.76,5145578
2017-05-18,944.8,962.75,944.76,958.49,958.49,3939347
2017-05-19,962.84,968.92,959.72,959.84,959.84,3972089
2017-05-22,964.0,971.38,962.9,970.67,970.67,2642217
2017-05-23,975.02,975.2,966.85,971.54,971.54,2415594
2017-05-24,976.0,981.0,970.23,980.35,980.35,2463052
2017-05-25,984.85,999.0,982.11,993.38,993.38,4822032
2017-05-26,995.0,998.65,989.2491,995.78,995.78,3469154
2017-05-30,996.51,1001.2,995.52,996.7,996.7,3263069
2017-05-31,1000.0,1000.12,982.16,994.62,994.62,3913115
2017-06-01,998.59,998.99,991.37,995.95,995.95,2454841
2017-06-02,998.99,1008.48,995.67,1006.73,1006.73,3752328
2017-06-05,1007.23,1013.21,1003.51,1011.34,1011.34,2719859
2017-06-06,1012.0,1016.5,1001.25,1003.0,1003.0,3346432
2017-06-07,1005.95,1010.249,1002.0,1010.07,1010.07,2823041
2017-06-08,1012.06,1013.61,1006.11,1010.27,1010.27,2767857
2017-06-09,1012.5,1012.99,927.0,978.31,978.31,7647692
2017-06-12,967.0,975.95,945.0,964.91,964.91,9447233
2017-06-13,977.99,984.5,966.1,980.79,980.79,4580011
2017-06-14,988.59,990.34,966.71,976.47,976.47,3974900
2017-06-15,958.7,965.73,950.86,964.17,964.17,5373865
2017-06-16,996.0,999.75,982.0,987.71,987.71,11472660
2017-06-19,1017.0,1017.0,989.9,995.17,995.17,5043408
2017-06-20,998.0,1004.88,992.02,992.59,992.59,4076828
2017-06-21,998.7,1002.72,992.6519,1002.23,1002.23,2922473
2017-06-22,1002.23,1006.96,997.2,1001.3,1001.3,2253433
2017-06-23,1002.54,1004.62,998.02,1003.74,1003.74,2879145
2017-06-26,1008.5,1009.8,992.0,993.98,993.98,3386157
2017-06-27,990.69,998.8,976.0,976.78,976.78,3782389
2017-06-28,978.55,990.68,969.21,990.33,990.33,3737567
2017-06-29,979.0,987.56,965.25,975.93,975.93,4302968
2017-06-30,980.12,983.47,967.61,968.0,968.0,3390345
2017-07-03,972.79,974.49,951.0001,953.66,953.66,2909108
2017-07-05,961.53,975.0,955.25,971.4,971.4,3652955
2017-07-06,964.66,974.4,959.02,965.14,965.14,3259613
2017-07-07,969.55,980.11,969.14,978.76,978.76,2643387
2017-07-10,985.0,999.4392,983.5,996.47,996.47,3546268
2017-07-11,993.0,995.99,983.72,994.13,994.13,2982726
2017-07-12,1000.65,1008.55,998.1,1006.51,1006.51,3608574
2017-07-13,1004.62,1006.88,995.9,1000.63,1000.63,2880769
2017-07-14,1002.4,1004.45,996.89,1001.81,1001.81,2102469
2017-07-17,1004.69,1014.75,1003.81,1010.04,1010.04,3712587
2017-07-18,1006.0,1026.03,1004.0,1024.45,1024.45,4007624
2017-07-19,1025.0,1031.59,1022.5,1026.87,1026.87,2963964
2017-07-20,1031.59,1034.97,1022.515,1028.7,1028.7,3097487
2017-07-21,1021.28,1026.1,1011.0,1025.67,1025.67,2734577
