Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,187.18,188.81,186.05,188.81,160.1538,582735
2017-04-18,188.52,189.83,188.28,188.64,160.0096,553637
2017-04-19,187.99,188.835,187.13,188.03,159.4921,815147
2017-04-20,188.12,188.13,186.38,187.04,158.6524,565768
2017-04-21,186.67,187.67,186.47,186.72,158.381,443659
2017-04-24,187.83,188.17,183.35,186.31,158.0332,764085
2017-04-25,186.87,189.37,186.09,189.28,160.5524,702292
2017-04-26,188.95,190.96,187.59,188.68,160.0435,757510
2017-04-27,188.4,189.38,185.59,188.23,159.6618,617221
2017-04-28,188.14,189.93,187.11,189.84,161.0274,706256
2017-05-01,190.69,192.09,189.25,191.02,162.0283,625182
2017-05-02,191.16,192.43,190.48,191.2,162.181,685798
2017-05-03,192.04,192.04,188.25,189.08,160.3828,748023
2017-05-04,188.74,191.43,187.03,191.03,162.0368,781976
2017-05-05,191.34,192.89,189.68,192.75,163.4958,862397
2017-05-08,193.0,193.28,190.76,191.86,162.7409,688962
2017-05-09,191.74,192.3,190.3,192.13,162.9699,563342
2017-05-10,192.14,193.51,191.6,192.26,163.0801,538074
2017-05-11,191.09,192.45,189.96,191.82,162.7069,395204
2017-05-12,192.1,192.94,191.57,192.04,162.8935,445222
2017-05-15,191.79,193.02,191.13,192.31,163.1226,523967
2017-05-16,192.49,193.47,191.13,192.1,162.9444,656184
2017-05-17,190.07,193.17,188.69,190.99,162.0029,805486
2017-05-18,191.67,194.11,190.29,191.86,162.7409,705866
2017-05-19,192.1,192.21,190.0,191.25,162.2234,1166910
2017-05-22,191.34,192.6,188.55,191.97,162.8342,749273
2017-05-23,192.17,193.035,191.13,191.75,162.6476,615186
2017-05-24,192.45,193.165,191.33,192.31,163.1226,584129
2017-05-25,193.04,194.01,191.04,192.17,163.0038,713358
2017-05-26,191.85,193.035,190.6,191.32,162.2828,685081
2017-05-30,191.4,192.17,190.44,191.32,162.2828,811737
2017-05-31,191.63,192.52,191.24,191.24,162.215,1561685
2017-06-01,191.3,191.75,188.88,190.61,161.6806,1148271
2017-06-02,191.41,195.84,190.88,195.64,165.9472,953383
2017-06-05,195.25,199.52,194.19,199.1,168.882,900186
2017-06-06,198.61,198.69,193.55,193.69,164.2931,805350
2017-06-07,194.25,194.87,193.77,194.74,165.1838,735168
2017-06-08,195.18,195.18,191.255,194.21,164.7342,671507
2017-06-09,194.0,195.23,193.33,194.99,165.3958,761415
2017-06-12,194.36,194.93,192.33,193.55,164.1744,851848
2017-06-13,193.72,194.34,192.36,193.69,164.2931,555112
2017-06-14,195.52,196.07,194.5,195.34,165.6927,829836
2017-06-15,194.59,197.47,194.475,195.96,166.2186,523702
2017-06-16,196.05,197.07,195.39,196.1,166.3373,1143802
2017-06-19,196.67,197.695,195.67,196.68,166.8293,588147
2017-06-20,196.83,197.755,193.62,195.39,165.7351,829901
2017-06-21,195.28,195.58,192.34,194.56,165.0311,614677
2017-06-22,195.42,195.42,193.14,193.85,164.4288,614529
2017-06-23,193.9,195.02,193.52,194.03,164.5815,655051
2017-06-26,194.72,195.04,193.63,194.41,164.9038,428152
2017-06-27,193.93,195.54,192.56,192.81,163.5467,878315
2017-06-28,192.44,192.8,191.49,192.53,164.5208,748709
2017-06-29,192.41,192.59,190.25,192.01,164.0765,625447
2017-06-30,192.71,194.19,191.64,192.17,164.2132,617372
2017-07-03,192.81,194.67,192.03,194.28,166.0162,637262
2017-07-05,194.49,196.1299,192.74,193.74,165.5548,634854
2017-07-06,193.29,193.615,188.03,188.19,160.8122,844537
2017-07-07,188.66,190.08,188.42,189.3,161.7607,422514
2017-07-10,189.26,189.84,186.69,186.84,159.6586,421407
2017-07-11,187.14,187.35,184.6,186.31,159.2057,445220
2017-07-12,187.63,188.98,186.56,186.97,159.7697,523950
2017-07-13,186.84,188.24,186.25,186.95,159.7526,485214
2017-07-14,187.97,188.84,187.35,187.71,160.402,505059
2017-07-17,187.65,190.2,187.04,190.04,162.3931,464155
2017-07-18,190.41,190.41,188.3,188.4,160.9917,594163
2017-07-19,188.5,190.22,188.16,190.17,162.5042,453898
2017-07-20,190.34,191.78,189.99,190.12,162.4614,444954
2017-07-21,189.99,191.37,188.895,191.15,163.3416,397622
2017-07-24,191.42,191.42,189.16,189.16,161.6411,537722
2017-07-25,189.66,189.77,186.44,187.84,160.5131,642136
2017-07-26,187.83,191.51,187.375,191.12,163.316,429836
2017-07-27,190.49,191.545,188.74,190.55,162.8289,666764
2017-07-28,190.86,192.57,190.42,192.5,164.4952,458549
2017-07-31,192.5,192.88,191.08,192.35,164.367,578778
2017-08-01,192.69,193.16,191.49,192.12,164.1705,607610
2017-08-02,191.61,192.39,190.52,191.29,163.4612,520197
2017-08-03,188.0,190.85,184.741,187.81,160.4875,1108280
2017-08-04,187.67,189.39,187.4,187.87,160.5388,513633
2017-08-07,187.89,189.16,187.19,188.44,161.0258,448776
2017-08-08,188.43,189.71,187.47,188.55,161.1198,726293
2017-08-09,188.31,189.64,188.04,189.27,161.7351,610735
2017-08-10,188.85,189.96,188.435,189.05,161.5471,427281
2017-08-11,189.4,189.54,188.0925,188.51,161.0857,397827
2017-08-14,189.11,192.09,189.11,191.57,163.7005,736367
2017-08-15,191.41,192.1899,190.33,192.07,164.1277,633093
2017-08-16,192.58,193.41,190.42,191.2,163.3843,537520
