Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,79.77,80.29,79.625,80.29,73.4456,339306
2017-04-18,80.12,80.87,80.12,80.74,73.8573,618730
2017-04-19,80.86,81.52,80.83,81.48,74.5342,602021
2017-04-20,81.67,82.36,81.33,82.2,75.1928,1407538
2017-04-21,82.17,82.39,81.6,81.69,74.7263,1136374
2017-04-24,82.6,82.78,81.78,82.44,75.4124,706829
2017-04-25,82.71,82.86,82.06,82.41,75.3849,725578
2017-04-26,82.17,83.66,80.91,83.2,76.1076,1264974
2017-04-27,83.48,83.93,82.11,83.54,76.4186,928820
2017-04-28,83.47,83.86,83.01,83.21,76.1167,854833
2017-05-01,83.2,83.83,83.01,83.6,76.4735,535578
2017-05-02,83.6,84.08,83.27,83.45,76.3363,765290
2017-05-03,83.37,83.48,82.99,83.34,76.2356,467139
2017-05-04,83.53,83.99,83.42,83.7,76.5649,545840
2017-05-05,83.83,84.275,83.76,84.17,76.9949,334426
2017-05-08,84.14,84.5199,83.67,83.76,76.6198,327202
2017-05-09,83.73,83.98,82.68,83.01,75.9338,815692
2017-05-10,82.91,83.54,82.84,83.54,76.4186,674952
2017-05-11,83.17,83.59,82.83,83.59,76.4643,469890
2017-05-12,83.32,83.75,83.01,83.35,76.2448,445314
2017-05-15,83.39,84.22,83.11,84.17,76.9949,584553
2017-05-16,84.2,84.565,83.7,84.31,77.1229,542684
2017-05-17,83.6,83.77,82.5,82.64,75.5953,565193
2017-05-18,82.47,82.81,81.84,82.5,75.4672,732021
2017-05-19,82.75,83.12,82.36,82.76,75.7051,721058
2017-05-22,82.75,83.31,82.5,83.19,76.0984,288912
2017-05-23,83.3,83.64,82.75,82.8,75.7417,316673
2017-05-24,82.92,83.25,82.73,82.82,75.76,531915
2017-05-25,83.14,84.06,82.98,83.83,76.6839,520608
2017-05-26,83.73,84.31,83.5,84.29,77.1046,302671
2017-05-30,84.34,84.63,83.95,84.42,77.2236,321446
2017-05-31,84.74,84.7499,83.94,84.26,77.0772,757988
2017-06-01,84.29,85.9,84.023,85.75,78.4402,757259
2017-06-02,85.83,85.83,84.69,84.75,77.5254,363078
2017-06-05,84.4,84.79,83.89,84.13,77.3691,730500
2017-06-06,83.94,84.0,83.2,83.71,76.9828,735590
2017-06-07,84.06,84.11,83.26,83.59,76.8725,518442
2017-06-08,83.45,83.6999,83.1,83.28,76.5874,604327
2017-06-09,83.47,84.35,83.21,84.09,77.3323,482025
2017-06-12,84.01,84.6,83.52,84.45,77.6634,456134
2017-06-13,84.43,85.58,84.37,85.48,78.6106,562507
2017-06-14,85.38,86.01,85.3047,85.45,78.583,444309
2017-06-15,85.31,86.25,85.16,85.55,78.675,492174
2017-06-16,85.53,85.72,84.76,85.65,78.7669,669581
2017-06-19,85.88,86.8,85.69,86.67,79.705,1024901
2017-06-20,87.76,89.07,87.5,87.92,80.8545,772010
2017-06-21,87.63,88.13,87.09,87.73,80.6798,475061
2017-06-22,87.85,87.9,87.39,87.55,80.5143,474908
2017-06-23,87.74,88.15,87.46,88.05,80.9741,715263
2017-06-26,88.05,88.33,87.66,88.17,81.0844,319603
2017-06-27,88.34,88.75,87.8,88.07,80.9925,388125
2017-06-28,88.52,89.51,88.52,88.78,81.6454,431241
2017-06-29,88.85,88.85,87.43,88.14,81.0568,376024
