Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,75.83,76.71,75.63,76.67,71.3966,4160796
2017-04-18,76.45,76.485,75.53,75.79,70.5771,3845877
2017-04-19,76.19,76.29,75.51,75.55,70.3537,5283593
2017-04-20,77.5,80.28,77.46,80.02,74.5162,11099340
2017-04-21,79.88,80.475,79.4917,79.59,74.1158,5837812
2017-04-24,80.64,80.92,80.24,80.45,74.9166,3563193
2017-04-25,81.06,81.395,80.63,80.63,75.0843,5061261
2017-04-26,80.62,80.915,80.15,80.52,74.9818,3661571
2017-04-27,80.77,80.87,80.08,80.33,74.8049,2922676
2017-04-28,79.94,80.17,79.05,79.25,73.7992,5313188
2017-05-01,79.22,79.49,78.88,79.23,73.7805,3458137
2017-05-02,79.15,79.66,79.15,79.54,74.0692,3334875
2017-05-03,79.23,79.51,78.695,78.83,73.4081,3800627
2017-05-04,79.23,79.42,77.99,78.33,72.9424,3902166
2017-05-05,78.61,78.73,77.875,78.32,72.9331,2936747
2017-05-08,78.5,78.74,77.95,78.16,72.7841,2608590
2017-05-09,78.16,78.74,78.09,78.44,73.0449,2570621
2017-05-10,78.28,78.66,78.14,78.65,73.2404,2396925
2017-05-11,78.2,78.45,77.25,77.92,72.5606,3780643
2017-05-12,77.7,77.8134,77.22,77.49,72.1602,2865797
2017-05-15,77.48,78.62,77.48,78.33,72.9424,3326959
2017-05-16,78.6,78.64,77.84,78.13,72.7562,2457503
2017-05-17,76.78,77.45,76.24,76.37,71.1173,4441564
2017-05-18,76.27,76.845,75.97,76.38,71.1266,3545677
2017-05-19,76.55,77.35,76.3,76.8,71.5177,3283915
2017-05-22,76.95,77.12,76.5,76.98,71.6853,2799975
2017-05-23,77.02,77.42,76.816,77.2,71.8902,2239622
2017-05-24,77.46,77.46,76.93,77.12,71.8157,2180625
2017-05-25,77.49,77.92,77.26,77.44,72.1137,3185222
2017-05-26,77.17,77.6,77.02,77.46,72.1323,1858801
2017-05-30,77.24,77.42,76.9889,77.09,71.7877,2073038
2017-05-31,77.09,77.11,75.98,76.94,71.6481,3117138
2017-06-01,77.23,78.38,76.95,78.28,72.8959,3553420
2017-06-02,77.77,78.735,77.77,78.49,73.0914,3534804
2017-06-05,78.75,79.2,78.61,78.97,73.5384,2738634
2017-06-06,78.46,78.93,78.29,78.85,73.4267,2878015
2017-06-07,78.91,80.09,78.79,79.81,74.3207,4284079
2017-06-08,79.71,80.202,79.6695,79.95,74.451,4079817
2017-06-09,80.39,80.73,79.73,80.31,74.7863,3849413
2017-06-12,80.35,80.73,79.95,80.17,74.6559,3352279
2017-06-13,80.2,80.74,80.07,80.59,75.047,3174361
2017-06-14,80.11,80.92,79.62,80.84,75.2798,4013089
2017-06-15,80.38,81.24,80.23,80.7,75.1494,2773369
2017-06-16,80.86,81.48,80.77,81.45,75.8479,5914697
2017-06-19,81.56,81.94,81.29,81.88,76.2483,3076499
2017-06-20,81.98,82.81,81.8,82.51,76.8349,3929088
2017-06-21,82.6,82.8,81.99,82.21,76.5556,2683412
2017-06-22,82.11,82.625,82.06,82.25,76.5928,2312070
2017-06-23,82.39,82.7,82.06,82.22,76.5649,3785322
2017-06-26,82.499,83.285,82.44,82.96,77.254,2491613
2017-06-27,83.06,83.52,83.01,83.08,77.3657,2994829
2017-06-28,83.51,84.265,83.4,83.97,78.1945,3668491
2017-06-29,84.92,85.39,83.1559,83.63,77.8779,5092624
2017-06-30,84.09,84.64,83.59,84.24,78.446,3320821
2017-07-03,84.69,85.735,84.69,85.1,79.2468,2306874
2017-07-05,85.22,85.88,84.81,84.89,79.3496,3501204
2017-07-06,84.67,84.84,83.72,83.74,78.2747,3213448
2017-07-07,83.93,84.685,83.77,84.33,78.8262,2454587
2017-07-10,84.13,84.57,83.97,84.3,78.7981,2147747
2017-07-11,84.23,84.305,83.54,84.16,78.6673,2733163
2017-07-12,84.28,84.98,84.055,84.82,79.2842,4629141
2017-07-13,84.93,85.43,84.74,85.37,79.7983,3309411
2017-07-14,84.85,85.56,84.59,85.28,79.7142,3354722
2017-07-17,85.13,85.52,84.78,85.22,79.6581,2190465
2017-07-18,84.96,85.56,84.76,85.52,79.9385,2815983
2017-07-19,85.76,85.98,85.3,85.93,80.3218,5539683
2017-07-20,84.94,85.45,84.53,85.35,79.7796,5386356
2017-07-21,85.79,86.28,85.43,85.59,80.0039,3570375
2017-07-24,85.45,85.67,83.86,85.0,79.4524,5389050
2017-07-25,85.84,86.1,85.08,85.41,79.8357,3255176
2017-07-26,85.41,85.72,85.17,85.3,79.7329,3038102
2017-07-27,85.18,85.2,83.33,83.85,78.3775,6119259
2017-07-28,83.88,85.1,83.62,84.8,79.2655,3321176
2017-07-31,85.17,85.7,84.84,85.23,79.6674,3079797
2017-08-01,85.72,85.8363,85.14,85.24,79.6768,3148788
2017-08-02,85.15,85.3599,84.9678,85.3,79.7329,3252280
2017-08-03,85.24,85.879,85.14,85.54,79.9572,2381825
2017-08-04,85.99,86.33,85.84,85.97,80.3591,2840245
2017-08-07,86.1,86.1875,85.68,85.85,80.247,2089149
2017-08-08,85.43,86.665,85.41,85.94,80.3311,2922837
2017-08-09,85.74,85.9707,85.24,85.69,80.0974,2960996
2017-08-10,85.44,85.58,84.545,84.56,79.0412,3755151
2017-08-11,84.76,84.86,83.97,84.29,78.7888,3078650
2017-08-14,84.74,85.67,84.72,85.47,79.8918,2893607
2017-08-15,85.99,86.965,85.88,86.79,81.1256,3774136
2017-08-16,87.0,87.78,86.99,87.39,81.6865,3379622
2017-08-17,87.34,87.63,86.05,86.09,80.4713,3870386
2017-08-18,85.99,86.13,85.205,85.38,79.8076,4271186
2017-08-21,85.45,85.64,84.95,85.3,79.7329,2505115
2017-08-22,85.47,85.73,84.91,85.3,79.7329,2155320
2017-08-23,84.71,85.51,84.7,85.28,79.7142,1960380
2017-08-24,85.49,85.53,85.04,85.36,79.789,2057905
2017-08-25,85.5,85.96,85.42,85.47,79.8918,2302086
2017-08-28,85.66,85.69,85.21,85.41,79.8357,2105519
2017-08-29,84.75,85.505,84.4,85.42,79.845,2779385
2017-08-30,85.38,85.74,85.22,85.69,80.0974,2131663
2017-08-31,86.0,86.28,85.7,86.1,80.4807,3792290
2017-09-01,86.31,86.535,86.05,86.14,80.518,2262735
2017-09-05,85.72,85.91,84.68,85.31,79.7422,3328200
2017-09-06,85.57,85.84,85.0,85.23,79.6674,2823281
2017-09-07,85.27,85.52,84.08,84.41,78.901,2905386
2017-09-08,84.18,85.005,84.02,84.25,78.7514,3462112
2017-09-11,84.97,86.12,84.97,85.69,80.0974,3397496
2017-09-12,85.97,86.6,85.8101,86.55,80.9013,3333342
2017-09-13,86.42,86.77,86.39,86.64,80.9854,2396472
2017-09-14,86.54,86.8,86.16,86.19,80.5648,2764916
2017-09-15,86.52,86.99,86.07,86.99,81.3126,7791555
2017-09-18,87.08,87.87,86.95,87.87,82.1351,3395073
2017-09-19,87.97,89.23,87.88,89.0,83.1914,4043778
2017-09-20,89.25,89.3787,88.2701,88.43,82.6586,4251024
2017-09-21,88.45,88.8,88.04,88.42,82.6492,2877759
2017-09-22,88.3,88.71,88.1,88.4,82.6305,2770085
2017-09-25,88.28,88.635,87.84,88.21,82.4529,2863068
2017-09-26,88.47,88.77,88.2,88.69,82.9016,2197846
2017-09-27,89.68,89.74,89.03,89.49,83.6494,2888865
2017-09-28,89.23,90.31,89.23,90.14,84.257,2458773
2017-09-29,90.04,90.77,89.93,90.46,84.5561,2996260
2017-10-02,90.44,91.17,90.1,90.54,84.6309,4466395
2017-10-03,90.59,91.64,90.59,91.43,85.4628,2912299
2017-10-04,91.6,91.61,90.905,91.01,85.0702,3091679
2017-10-05,90.96,91.615,90.77,91.16,85.5394,2990958
2017-10-06,91.25,91.585,91.09,91.55,85.9053,1891848
2017-10-09,91.59,91.96,91.5,91.69,86.0367,1653721
2017-10-10,91.88,92.34,91.78,91.89,86.2244,2247195
2017-10-11,91.86,92.65,91.81,91.96,86.29,3051394
2017-10-12,91.63,92.23,91.42,91.61,85.9616,3279018
2017-10-13,91.5,92.92,91.26,92.86,87.1346,3224158
2017-10-16,93.04,93.35,90.81,91.96,86.29,4293977
2017-10-17,91.94,92.1,91.58,91.69,86.0367,2939556
2017-10-18,91.8,92.27,91.68,92.08,86.4027,4720217
2017-10-19,90.4,92.95,90.035,91.9,86.2337,6512126
2017-10-20,92.84,93.285,91.97,92.09,86.412,4442193
2017-10-23,92.22,93.09,92.22,92.38,86.6842,2963132
2017-10-24,92.6,93.93,92.33,93.86,88.0729,4481510
2017-10-25,94.0,94.24,93.27,93.53,87.7632,4266092
2017-10-26,93.99,95.73,93.98,95.69,89.7901,4136780
2017-10-27,95.45,96.015,95.03,95.79,89.8839,3212221
2017-10-30,95.73,96.12,94.84,95.07,89.2083,3096515
2017-10-31,94.98,95.61,94.52,95.52,89.6306,3146438
2017-11-01,96.29,96.565,95.44,95.79,89.8839,2319973
2017-11-02,96.0,96.24,95.39,95.98,90.0622,3013321
2017-11-03,96.28,96.43,95.78,96.43,90.4844,2089507
2017-11-06,96.35,96.73,95.93,96.29,90.3531,1848269
2017-11-07,96.42,96.9,95.18,95.37,89.4898,3200922
2017-11-08,95.1,95.28,94.45,95.13,89.2646,2163747
2017-11-09,94.34,94.655,93.2804,93.75,87.9697,3949795
2017-11-10,93.79,94.15,93.385,93.52,87.7539,2714369
2017-11-13,93.0,93.98,92.78,93.9,88.1104,2708531
2017-11-14,93.57,93.79,92.94,93.76,87.9791,2843670
2017-11-15,93.27,93.79,92.8,93.26,87.5099,3236553
2017-11-16,93.55,94.04,93.3,93.56,87.7914,2586458
2017-11-17,93.31,93.76,92.92,93.69,87.9134,3261235
2017-11-20,93.92,94.34,93.68,93.95,88.1574,3456574
2017-11-21,94.42,94.65,94.12,94.41,88.589,2917041
2017-11-22,94.39,94.71,93.48,93.82,88.0354,2159113
2017-11-24,93.97,94.12,93.47,93.48,87.7163,837313
2017-11-27,93.57,94.0,93.36,93.47,87.7069,2731266
2017-11-28,93.76,95.28,93.58,95.28,89.4053,3536397
2017-11-29,95.96,97.32,95.6,96.6,90.644,4325505
2017-11-30,97.02,98.49,96.81,97.71,91.6855,5328348
2017-12-01,98.08,98.22,95.85,97.86,91.8263,3445157
2017-12-04,98.62,99.17,97.98,98.59,92.5113,4562392
2017-12-05,99.2,99.75,98.5761,98.71,92.6239,3525591
2017-12-06,98.64,98.82,98.17,98.21,92.1547,3081339
2017-12-07,97.76,99.12,97.4836,98.58,92.5019,3026836
2017-12-08,99.0,99.0,98.135,98.55,92.4737,3850254
2017-12-11,98.6,99.04,98.24,99.0,92.896,2984055
2017-12-12,98.88,99.66,98.85,99.37,93.2432,3455459
2017-12-13,99.12,99.31,97.76,97.78,91.7512,3463939
2017-12-14,98.31,98.65,97.15,97.15,91.1601,3464840
2017-12-15,97.78,98.84,97.44,98.52,92.4456,7891763
2017-12-18,99.19,100.5299,98.99,99.68,93.5341,3485379
2017-12-19,100.21,100.39,99.12,99.15,93.0367,3282602
2017-12-20,99.71,99.94,98.46,98.51,92.4362,3090965
2017-12-21,99.05,99.19,98.37,98.5,92.4268,2339526
2017-12-22,98.47,99.04,98.21,98.74,92.652,1980343
2017-12-26,98.8,98.9234,98.13,98.57,92.4925,1575239
2017-12-27,98.9,99.25,98.565,99.13,93.018,2569863
2017-12-28,99.64,99.905,99.36,99.7,93.5528,1915540
2017-12-29,100.0,100.25,99.26,99.31,93.1869,2056778
2018-01-02,99.73,99.73,98.22,98.94,92.8397,2746672
2018-01-03,99.24,99.76,99.02,99.55,93.4121,2976441
2018-01-04,100.03,101.65,99.91,100.85,94.9658,3122034
2018-01-05,100.85,101.08,100.27,101.08,95.1824,2550286
2018-01-08,101.0,101.2,100.12,100.15,94.3066,1896547
2018-01-09,100.36,100.8,100.27,100.52,94.6551,2978533
2018-01-10,100.39,101.59,100.33,101.22,95.3142,2279173
2018-01-11,101.44,101.44,100.2,100.73,94.8528,2745414
2018-01-12,100.86,101.03,99.93,100.97,95.0788,3231524
2018-01-16,102.01,102.385,100.15,100.34,94.4856,3813954
2018-01-17,100.99,101.0,99.24,100.76,94.8811,4469669
2018-01-18,100.84,100.84,99.58,99.86,94.0336,5290672
2018-01-19,97.01,98.94,96.3475,98.03,92.3103,12306040
2018-01-22,97.26,98.34,96.84,98.32,92.5834,4983551
