Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,45.64,45.94,45.53,45.93,33.6353,599932
2017-04-18,45.92,46.5,45.92,46.28,33.8916,846196
2017-04-19,46.21,46.59,46.16,46.23,33.855,788985
2017-04-20,46.29,46.32,46.02,46.12,33.7744,815956
2017-04-21,45.97,46.3,45.9201,46.26,33.8769,664466
2017-04-24,46.69,46.99,46.56,46.94,34.3749,896810
2017-04-25,46.8,47.42,46.8,47.32,34.6532,1000202
2017-04-26,47.4,47.48,46.7,46.76,34.2431,1021352
2017-04-27,47.03,47.1,46.69,46.78,34.2577,717300
2017-04-28,46.74,47.39,46.63,47.32,34.6532,1124152
2017-05-01,47.3,47.48,47.05,47.36,34.6825,753281
2017-05-02,47.51,47.55,47.345,47.5,34.785,599326
2017-05-03,47.5,47.7,47.26,47.39,34.7045,668885
2017-05-04,47.67,48.44,47.45,48.4,35.4441,1154081
2017-05-05,48.51,49.01,48.47,49.01,35.8908,1211241
2017-05-08,48.99,49.41,48.71,49.39,36.1691,1363094
2017-05-09,49.4,49.58,49.255,49.41,36.1837,1277790
2017-05-10,49.47,49.49,49.15,49.25,36.0666,854081
2017-05-11,49.15,49.62,48.84,49.61,36.3302,897201
2017-05-12,49.53,49.53,49.155,49.2,36.03,685764
2017-05-15,49.4,49.49,49.21,49.47,36.2277,691792
2017-05-16,49.56,50.47,49.56,50.46,36.9527,1393931
2017-05-17,50.48,52.75,50.44,52.28,38.2855,2518904
2017-05-18,52.16,53.14,51.85,52.58,38.5052,2571566
2017-05-19,52.69,53.29,52.54,52.93,38.7615,1323017
2017-05-22,52.77,58.01,52.5,56.92,41.6834,4768550
2017-05-23,56.88,59.71,52.9,53.38,39.091,9300825
2017-05-24,53.0,54.43,52.55,54.34,39.7941,3773715
2017-05-25,53.76,53.84,51.14,51.6,37.7875,3370346
2017-05-26,51.64,51.86,51.36,51.73,37.8827,1313321
2017-05-30,51.72,51.92,51.1,51.46,37.685,1053385
2017-05-31,51.73,51.99,51.33,51.95,38.0438,1914176
2017-06-01,51.99,52.79,51.44,52.79,38.7909,1703186
2017-06-02,52.97,53.21,52.265,52.54,38.6072,1554186
2017-06-05,52.67,52.67,51.89,52.33,38.4528,1466394
2017-06-06,52.25,52.71,51.94,52.32,38.4455,1363510
2017-06-07,52.0,52.26,50.13,50.7,37.2551,2250844
2017-06-08,50.24,50.42,49.06,49.25,36.1896,3113704
2017-06-09,49.4,49.63,48.895,49.16,36.1235,1637422
2017-06-12,49.3,49.33,48.73,49.28,36.2117,924105
2017-06-13,49.33,49.78,48.96,49.24,36.1823,1086236
2017-06-14,49.43,49.88,49.08,49.34,36.2557,946631
2017-06-15,49.26,49.77,49.2,49.74,36.5497,657495
