Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,52.75,53.22,52.53,52.95,45.5294,6471385
2017-04-18,52.68,53.15,52.59,52.93,45.5122,8036674
2017-04-19,53.0,53.66,52.88,53.2,45.7444,8140605
2017-04-20,53.41,53.56,53.19,53.44,45.9507,6092535
2017-04-21,53.4,53.71,53.15,53.48,45.9851,5224373
2017-04-24,53.85,54.0,53.51,53.55,46.0453,9783267
2017-04-25,53.65,54.32,53.65,53.94,46.3807,9321100
2017-04-26,54.05,54.65,53.71,53.77,46.2345,9453860
2017-04-27,55.36,56.13,54.62,55.67,47.8682,15317773
2017-04-28,55.7,56.33,55.37,56.05,48.195,8248689
2017-05-01,56.34,56.83,55.91,56.31,48.4185,7420255
2017-05-02,56.34,56.79,55.55,55.95,48.109,17278054
2017-05-03,55.49,55.58,54.72,55.06,47.3437,10651062
2017-05-04,55.07,55.55,54.951,55.19,47.4555,6205069
2017-05-05,55.25,55.33,54.9599,55.15,47.4211,5938317
2017-05-08,54.99,55.18,54.54,54.94,47.2405,4730500
2017-05-09,54.88,55.48,54.75,55.32,47.5673,7134581
2017-05-10,55.18,55.31,54.88,55.14,47.4125,6361374
2017-05-11,55.14,55.66,54.8901,55.14,47.4125,6810192
2017-05-12,55.2,55.38,54.8,55.03,47.3179,5176967
2017-05-15,55.03,55.23,54.83,55.1,47.3781,4935028
2017-05-16,55.0,55.28,54.2,54.39,46.7676,9259459
2017-05-17,54.03,54.62,53.7,54.41,46.7848,7724335
2017-05-18,54.2,54.49,53.32,53.78,46.2431,12419941
2017-05-19,53.82,54.28,53.82,54.02,46.4494,8640912
2017-05-22,54.02,54.335,53.88,54.1,46.5182,4462813
2017-05-23,54.16,54.43,54.14,54.21,46.6128,7187085
2017-05-24,54.45,54.45,53.47,53.82,46.2775,6461299
2017-05-25,53.89,54.58,53.69,54.39,46.7676,8493124
2017-05-26,54.37,54.82,53.9,53.97,46.4065,4968194
2017-05-30,53.93,54.24,53.76,53.93,46.3721,7138167
