Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,67.09,67.86,67.09,67.84,62.4494,254262
2017-04-18,67.75,67.96,67.47,67.94,62.5415,359577
2017-04-19,68.09,68.4,67.96,68.23,62.8085,430446
2017-04-20,68.43,68.69,68.09,68.47,63.0294,395923
2017-04-21,68.61,68.63,68.29,68.46,63.0202,292633
2017-04-24,69.0,69.37,68.8,69.37,63.8579,444130
2017-04-25,69.54,69.93,69.28,69.72,64.1801,416685
2017-04-26,69.75,69.91,69.42,69.72,64.1801,397924
2017-04-27,69.95,70.49,69.65,70.19,64.6127,270531
2017-04-28,70.15,70.21,69.595,69.94,64.3826,411262
2017-05-01,70.0,70.0675,69.64,69.9,64.3458,403362
2017-05-02,69.78,70.25,69.69,69.96,64.401,522084
2017-05-03,69.87,69.98,69.05,69.37,63.8579,377911
2017-05-04,69.4,69.485,69.08,69.17,63.6738,328486
2017-05-05,69.34,69.55,68.53,68.91,63.4344,501716
2017-05-08,68.7,68.83,68.23,68.38,62.9465,518158
2017-05-09,68.43,68.6199,68.16,68.36,62.9281,518096
2017-05-10,69.4,71.555,69.4,70.76,65.1374,1037848
2017-05-11,70.69,70.95,70.29,70.8,65.1742,550530
2017-05-12,70.75,71.33,70.42,71.07,65.4228,498450
2017-05-15,71.27,72.21,71.18,72.04,66.3157,567947
2017-05-16,72.04,73.13,71.8355,73.05,67.2455,686726
2017-05-17,72.47,73.35,72.12,72.5,66.7392,706368
2017-05-18,72.35,73.01,72.12,72.33,66.5827,774144
2017-05-19,72.55,73.56,72.43,73.35,67.5216,458615
2017-05-22,73.62,74.62,73.59,74.14,68.2488,610709
2017-05-23,74.15,74.52,73.41,74.11,68.2212,448491
2017-05-24,73.9,74.94,73.9,74.88,68.93,474779
2017-05-25,75.0,76.03,74.79,75.78,69.7585,498785
2017-05-26,75.56,75.88,75.16,75.16,69.1878,424237
2017-05-30,74.95,75.69,74.745,75.24,69.2614,485988
2017-05-31,75.48,75.98,74.99,75.89,69.8598,1088994
2017-06-01,76.0,77.39,75.97,77.39,71.2406,657761
2017-06-02,77.43,78.0,77.27,77.65,71.4799,566294
2017-06-05,77.69,77.69,76.83,76.88,70.7711,470503
2017-06-06,76.57,77.01,75.69,75.85,69.823,795187
2017-06-07,76.07,76.37,75.73,76.08,70.0347,419895
2017-06-08,76.0,76.13,74.63,74.74,68.8012,651045
2017-06-09,74.75,75.24,73.55,74.24,68.3409,692201
2017-06-12,74.1,74.81,73.57,74.5,68.5802,369626
2017-06-13,74.56,75.19,74.41,75.19,69.5234,278112
