Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,56.89,57.17,56.74,57.14,54.0018,433535
2017-04-18,57.17,57.56,56.9701,57.4,54.2475,547438
2017-04-19,57.76,57.97,57.59,57.65,54.4838,617660
2017-04-20,57.87,58.23,57.51,58.18,54.9846,690755
2017-04-21,58.18,58.31,57.74,57.76,54.5877,550910
2017-04-24,58.62,58.989,58.44,58.79,55.5611,844997
2017-04-25,59.0,59.64,58.6401,59.33,56.0715,847595
2017-04-26,59.44,60.13,58.951,59.73,56.4495,722645
2017-04-27,59.99,60.27,59.72,59.81,56.5251,379275
2017-04-28,59.77,60.1275,59.0,59.09,55.8447,769668
2017-05-01,59.36,59.43,58.89,59.26,56.0053,1035115
2017-05-02,59.29,59.61,58.84,59.04,55.7974,840531
2017-05-03,59.3,60.33,58.35,58.8,55.5706,1146566
2017-05-04,58.87,59.2699,58.54,59.16,55.9108,756992
2017-05-05,59.2,59.35,58.59,58.76,55.5328,498937
2017-05-08,58.63,59.16,57.74,59.03,55.788,489335
2017-05-09,60.0,60.0,59.23,59.48,56.2132,613048
2017-05-10,59.01,60.0,59.01,59.76,56.4779,530966
2017-05-11,59.76,59.96,59.305,59.91,56.6196,681255
2017-05-12,59.62,59.81,58.67,58.73,55.5044,635503
2017-05-15,58.6,59.13,58.51,59.01,55.7691,1402228
2017-05-16,59.24,59.83,58.86,59.57,56.2983,602784
2017-05-17,59.26,59.68,58.73,58.84,55.6084,1448814
2017-05-18,58.55,58.65,55.8,56.5,53.3969,1675476
2017-05-19,56.4,57.6,56.4,57.09,53.9545,824754
2017-05-22,57.42,57.86,57.1575,57.45,54.2947,611959
2017-05-23,57.64,57.84,56.96,57.67,54.6549,1063417
2017-05-24,57.92,58.54,57.66,58.48,55.4225,1174642
2017-05-25,58.99,59.548,58.6,59.39,56.2849,821469
2017-05-26,59.16,59.42,58.53,59.33,56.2281,696657
2017-05-30,59.26,59.59,58.84,59.37,56.266,567116
2017-05-31,59.59,60.25,59.37,60.18,57.0336,1696966
2017-06-01,60.27,61.44,60.22,61.12,57.9245,891392
2017-06-02,60.93,61.59,60.83,61.24,58.0382,758666
2017-06-05,61.22,61.54,60.161,61.24,58.0382,699133
2017-06-06,61.02,61.58,60.96,61.39,58.1804,568826
2017-06-07,61.67,62.38,61.535,62.02,58.7774,986704
2017-06-08,62.18,62.91,61.495,62.64,59.365,1044553
2017-06-09,62.87,63.2,60.6,60.79,57.6117,958495
2017-06-12,60.21,61.215,59.55,60.98,57.7918,1286565
2017-06-13,61.07,61.77,60.98,61.56,58.3415,1006134
2017-06-14,61.33,61.92,61.03,61.66,58.4363,825951
2017-06-15,61.22,62.08,60.85,62.06,58.8153,836221
2017-06-16,62.05,62.14,61.67,61.94,58.7016,1175079
2017-06-19,62.34,62.61,61.68,62.53,59.2608,843188
2017-06-20,62.35,63.17,62.18,62.89,59.602,807223
2017-06-21,63.04,63.14,62.61,62.77,59.4882,549722
2017-06-22,62.84,63.215,62.3801,63.17,59.8673,666815
2017-06-23,63.2,65.47,63.0,65.22,61.8101,2211048
2017-06-26,65.91,66.3298,64.4,64.65,61.2699,1034777
2017-06-27,63.96,64.71,62.88,62.9,59.6114,1020021
2017-06-28,63.14,63.68,62.69,63.41,60.0948,859726
2017-06-29,63.38,63.38,62.26,62.87,59.583,634341
2017-06-30,63.13,63.39,62.5,62.53,59.2608,890777
2017-07-03,62.55,63.6,62.55,62.76,59.4788,340910
2017-07-05,62.83,63.42,62.6575,62.99,59.6967,773630
2017-07-06,62.42,62.6,61.135,61.23,58.0287,1284074
2017-07-07,61.38,62.4999,61.28,62.36,59.0997,1088362
2017-07-10,62.3,62.85,62.285,62.63,59.3555,717454
2017-07-11,62.4,63.43,62.4,63.23,59.9242,718521
2017-07-12,63.2,64.0,63.2,63.45,60.1327,530401
2017-07-13,63.54,63.99,63.19,63.35,60.0379,664915
2017-07-14,63.34,63.77,62.75,63.56,60.2369,983073
2017-07-17,63.5,63.85,63.18,63.72,60.3886,492496
2017-07-18,63.54,63.84,63.1201,63.59,60.2654,704669
2017-07-19,63.56,64.52,63.56,64.06,60.7108,608341
2017-07-20,63.88,64.2999,63.41,63.67,60.3412,634127
2017-07-21,63.62,63.66,62.945,63.52,60.199,658687
2017-07-24,63.0,63.87,62.96,63.51,60.1895,549139
2017-07-25,63.5,64.04,63.03,63.8,60.4644,716041
2017-07-26,63.99,63.99,63.45,63.93,60.5876,303833
2017-07-27,64.09,64.23,62.89,63.36,60.0474,449371
2017-07-28,63.23,63.46,62.86,63.37,60.0569,367937
2017-07-31,63.49,63.85,63.4,63.43,60.1137,514920
2017-08-01,63.81,63.99,63.37,63.97,60.6255,779559
2017-08-02,64.19,64.27,63.41,63.82,60.4833,716642
2017-08-03,64.52,65.39,63.937,64.35,60.9856,978940
2017-08-04,64.04,64.355,63.29,63.3,59.9905,557498
2017-08-07,63.12,63.88,62.91,63.81,60.4739,672621
2017-08-08,63.64,64.2271,63.6,63.83,60.4928,472670
2017-08-09,63.53,63.62,62.52,62.91,59.6209,579718
2017-08-10,62.58,62.69,60.71,60.78,57.6023,579033
2017-08-11,61.0,61.23,60.74,61.06,57.8676,541205
2017-08-14,62.15,62.39,61.68,62.2,58.948,400630
2017-08-15,61.92,62.21,61.64,61.68,58.4552,495558
2017-08-16,61.75,62.24,61.7001,61.87,58.6353,299254
2017-08-17,61.6,61.97,61.38,61.44,58.2278,744322
2017-08-18,61.34,61.59,60.38,60.39,57.2327,635330
2017-08-21,60.36,60.59,59.78,60.23,57.081,501559
2017-08-22,60.6,60.93,60.35,60.79,57.6117,632765
