Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,89.0,90.76,88.72,90.5,81.5525,1805400
2017-04-18,89.27,90.94,86.74,89.1,80.291,2247500
2017-04-19,89.33,89.86,87.07,87.78,79.1015,1942500
2017-04-20,88.2,90.31,88.2,89.5,80.6514,1259600
2017-04-21,89.45,90.5,88.39,88.4,79.6602,1173600
2017-04-24,89.63,90.0,89.06,89.3,80.4712,1111400
2017-04-25,89.94,90.39,89.11,89.11,80.3,1064700
2017-04-26,89.06,89.59,88.57,88.59,79.8314,1013700
2017-04-27,88.27,88.64,87.57,87.91,79.6321,771400
2017-04-28,87.77,88.22,86.77,87.04,78.844,1427100
2017-05-01,86.98,88.06,86.76,87.67,79.4147,916500
2017-05-02,87.53,88.4,86.66,87.02,78.8259,1232000
2017-05-03,86.6,87.11,85.6,85.63,77.5668,1021500
2017-05-04,85.13,85.52,84.58,85.31,77.2769,1474500
2017-05-05,85.5,86.51,85.5,86.4,78.2643,797000
2017-05-08,86.49,86.71,85.61,86.18,78.065,1057400
2017-05-09,86.39,86.95,85.86,86.65,78.4908,834100
2017-05-10,86.78,87.4,86.46,86.54,78.3911,645700
2017-05-11,86.26,86.65,85.47,86.0,77.9019,596000
2017-05-12,86.02,86.35,85.06,85.32,77.286,601000
2017-05-15,86.1,87.44,85.78,86.62,78.4636,712100
2017-05-16,86.96,87.98,86.32,87.6,79.3513,789400
2017-05-17,86.58,86.62,83.86,83.88,75.9816,813600
2017-05-18,83.84,84.43,83.34,83.79,75.9,747200
2017-05-19,84.38,85.68,84.22,84.43,76.4798,690800
2017-05-22,87.96,87.96,84.53,85.23,77.2045,776200
2017-05-23,85.71,87.31,85.15,87.2,78.9889,1408400
2017-05-24,87.54,88.46,87.16,87.59,79.3422,1123200
2017-05-25,87.84,88.22,86.64,87.31,79.0886,652700
2017-05-26,87.0,87.32,86.39,87.11,78.9074,532600
2017-05-30,87.1,87.33,86.36,86.55,78.4002,942900
2017-05-31,86.43,86.98,85.05,86.55,78.4002,1499900
2017-06-01,87.0,88.78,87.0,87.77,79.5053,1411000
2017-06-02,87.72,88.14,87.09,88.04,79.7499,962600
2017-06-05,88.12,88.3,86.51,86.84,78.6628,2155600
2017-06-06,86.59,88.64,85.76,88.0,79.7136,796100
2017-06-07,87.89,88.55,87.57,88.26,79.9491,807500
2017-06-08,88.05,88.96,87.84,88.18,79.8767,785200
2017-06-09,88.47,90.19,88.39,90.12,81.634,785700
2017-06-12,89.99,90.93,89.08,89.49,81.0633,699900
2017-06-13,89.66,90.83,89.62,90.74,82.1956,687600
2017-06-14,91.0,91.0,89.45,90.04,81.5615,485800
2017-06-15,89.41,90.71,89.09,90.09,81.6068,929100
2017-06-16,90.1,90.62,89.24,90.52,81.9963,813200
2017-06-19,92.99,96.97,92.7,95.63,86.6252,2143500
2017-06-20,95.15,95.73,93.77,94.34,85.4566,1122400
2017-06-21,94.57,94.82,94.02,94.49,85.5925,1190100
2017-06-22,94.68,94.99,93.64,93.8,84.9675,904800
2017-06-23,94.16,94.31,93.04,93.56,84.7501,2331500
2017-06-26,94.02,94.46,93.31,93.76,84.9312,533400
2017-06-27,94.71,94.71,92.46,92.8,84.0616,767300
2017-06-28,93.56,94.05,92.98,93.42,84.6232,1045900
2017-06-29,93.76,94.37,92.98,93.59,84.7772,598900
2017-06-30,94.13,95.38,93.76,94.94,86.0002,817100
2017-07-03,95.7,96.58,95.55,96.2,87.1415,491600
2017-07-05,96.09,96.28,94.43,94.92,85.982,651600
2017-07-06,94.78,95.54,94.78,95.07,86.1179,672400
2017-07-07,95.07,96.57,94.49,96.14,87.0871,579600
2017-07-10,95.54,96.36,95.31,96.15,87.0962,612400
2017-07-11,96.38,97.17,96.07,96.39,87.3136,1129200
2017-07-12,97.03,97.84,96.75,97.79,88.5818,595000
2017-07-13,97.73,98.25,97.1,97.8,88.5908,602900
2017-07-14,97.91,99.04,97.83,98.68,89.388,647000
2017-07-17,98.9,99.12,98.34,98.86,89.551,777800
2017-07-18,99.29,99.97,98.54,98.89,89.5782,876000
2017-07-19,99.36,99.9,98.7,99.79,90.3934,846100
2017-07-20,99.8,99.8,98.03,98.3,89.0437,839200
