Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,331.73,332.71,329.08,330.36,330.36,730304
2017-04-18,329.62,331.0,325.95,328.18,328.18,1392556
2017-04-19,330.01,335.96,328.31,333.61,333.61,1011041
2017-04-20,335.28,337.05,333.18,335.59,335.59,887984
2017-04-21,336.44,339.64,335.74,338.48,338.48,1092173
2017-04-24,340.03,342.1417,338.74,340.36,340.36,1138235
2017-04-25,341.98,345.3,340.89,344.5,344.5,1405590
2017-04-26,345.51,350.38,344.85,345.4,345.4,1495368
2017-04-27,346.1,350.35,346.1,348.8,348.8,865528
2017-04-28,349.83,349.99,342.78,345.16,345.16,1251677
2017-05-01,346.29,347.25,341.87,344.14,344.14,1528264
2017-05-02,338.89,340.13,333.2,337.69,337.69,2490997
2017-05-03,335.4,337.48,321.435,324.49,324.49,4124340
2017-05-04,324.89,327.4,322.25,322.6,322.6,1782282
2017-05-05,324.61,334.87,324.51,334.78,334.78,1988962
2017-05-08,329.52,331.0,321.72,323.81,323.81,3222049
2017-05-09,323.3,327.83,320.12,325.52,325.52,1476522
2017-05-10,324.53,327.18,323.09,325.58,325.58,940339
2017-05-11,325.28,327.12,323.2,324.61,324.61,1071121
2017-05-12,324.8,326.6,321.8,322.0,322.0,1523690
2017-05-15,322.24,324.3,320.631,321.07,321.07,1944126
2017-05-16,322.36,324.05,319.21,320.01,320.01,1459293
2017-05-17,319.14,320.36,312.49,313.11,313.11,2390074
2017-05-18,314.16,317.87,312.56,315.88,315.88,1797353
2017-05-19,315.01,318.4,313.92,315.78,315.78,1920804
2017-05-22,315.78,318.51,315.52,316.42,316.42,1841655
2017-05-23,317.34,320.48,314.5,318.79,318.79,1444073
2017-05-24,320.2,332.28,318.3006,329.04,329.04,1900052
2017-05-25,329.59,336.28,329.0,333.76,333.76,2180025
2017-05-26,334.38,338.91,333.01,337.44,337.44,926728
2017-05-30,336.49,340.0,334.85,338.92,338.92,1062379
2017-05-31,340.0,345.85,338.73,345.55,345.55,2012018
2017-06-01,346.5,354.05,339.465,346.39,346.39,2390020
2017-06-02,348.11,353.37,347.5,353.03,353.03,1586335
2017-06-05,355.0,355.0,343.72,344.43,344.43,1478954
2017-06-06,344.46,345.52,341.71,342.83,342.83,1042019
2017-06-07,343.66,347.01,341.64,345.88,345.88,966002
2017-06-08,344.9,345.24,333.38,337.45,337.45,1990826
2017-06-09,338.51,340.125,329.97,332.84,332.84,1442806
2017-06-12,330.9,339.24,329.0418,338.65,338.65,1395664
2017-06-13,335.99,344.22,335.99,341.81,341.81,1106276
2017-06-14,342.83,344.17,336.13,338.33,338.33,1276585
2017-06-15,336.81,340.57,333.5,338.34,338.34,1318677
2017-06-16,337.18,340.99,331.08,340.22,340.22,2406080
2017-06-19,342.0,345.19,339.97,340.26,340.26,1883721
2017-06-20,337.95,339.93,329.43,333.61,333.61,2161121
2017-06-21,333.85,335.505,332.25,333.88,333.88,1045865
2017-06-22,333.93,340.235,333.54,334.13,334.13,1116002
2017-06-23,334.79,335.43,326.4,330.8,330.8,3100580
2017-06-26,331.68,333.64,330.17,332.65,332.65,941893
2017-06-27,330.75,332.2939,327.14,329.87,329.87,1448187
2017-06-28,330.56,340.95,329.24,340.3,340.3,1513322
2017-06-29,339.38,340.185,332.13,335.74,335.74,2025164
2017-06-30,338.29,338.41,332.4,336.85,336.85,1394645
2017-07-03,338.26,339.45,328.65,328.67,328.67,793720
2017-07-05,329.23,335.24,328.8,335.11,335.11,1341912
2017-07-06,334.01,335.52,331.06,332.18,332.18,1251939
2017-07-07,332.08,334.43,330.58,332.43,332.43,870484
2017-07-10,333.13,338.4,332.1,336.6,336.6,1015974
2017-07-11,337.12,339.85,334.44,337.85,337.85,953620
