Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,70.58,71.03,70.39,71.03,35.515,2208538
2017-04-18,71.15,71.5,70.25,71.17,35.585,2199230
2017-04-19,71.4,72.0,71.115,71.7,35.85,1763250
2017-04-20,71.74,72.47,70.78,71.73,35.865,3343898
2017-04-21,71.69,71.83,70.58,70.64,35.32,3566190
2017-04-24,71.56,72.6,70.945,71.99,35.995,5125398
2017-04-25,72.69,74.12,71.77,73.45,36.725,4236760
2017-04-26,73.9,75.43,71.3,72.8,36.4,7024034
2017-04-27,72.8,73.42,72.21,72.95,36.475,5652714
2017-04-28,72.84,74.55,72.77,74.4,37.2,3762134
2017-05-01,74.4,75.39,74.06,75.33,37.665,4261430
2017-05-02,75.84,77.19,75.13,76.99,38.495,5207384
2017-05-03,76.9,77.6,75.48,76.04,38.02,3320134
2017-05-04,75.77,76.5,74.531,75.87,37.935,5217524
2017-05-05,76.28,77.25,76.2401,76.88,38.44,2580274
2017-05-08,76.99,77.59,75.75,75.79,37.895,3061930
2017-05-09,75.87,76.34,75.19,75.73,37.865,2958580
2017-05-10,75.57,77.585,75.41,77.36,38.68,4680272
2017-05-11,76.96,77.19,76.17,76.24,38.12,2112470
2017-05-12,76.35,76.78,75.45,75.67,37.835,3384652
2017-05-15,76.35,76.43,75.41,76.4,38.2,3019802
2017-05-16,76.77,76.98,76.12,76.44,38.22,3096116
2017-05-17,76.03,76.335,75.33,75.42,37.71,2001294
2017-05-18,75.01,76.17,74.54,75.62,37.81,4402758
2017-05-19,75.88,76.47,74.97,75.07,37.535,3036356
2017-05-22,73.58,74.36,72.81,74.02,37.01,4038908
2017-05-23,74.13,74.75,73.66,73.99,36.995,2755566
2017-05-24,74.24,75.1,73.89,74.75,37.375,2405682
2017-05-25,74.97,75.63,74.54,75.25,37.625,3647732
2017-05-26,75.31,75.465,74.32,74.57,37.285,1840900
2017-05-30,74.57,74.69,73.33,73.46,36.73,2258954
2017-05-31,73.48,73.73,72.14,72.63,36.315,6108782
2017-06-01,72.69,75.755,72.67,75.25,37.625,5872626
2017-06-02,75.43,75.75,75.0,75.19,37.595,2842628
