Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,27.98,28.24,27.94,28.24,23.6974,1895493
2017-04-18,28.26,28.46,28.23,28.3,23.7477,3478542
2017-04-19,28.34,28.4,27.88,27.97,23.4708,2107623
2017-04-20,27.96,27.96,27.68,27.9,23.4121,1938676
2017-04-21,27.97,28.24,27.97,28.12,23.5967,3182785
2017-04-24,28.2,28.39,28.005,28.32,23.7645,2544326
2017-04-25,28.24,28.4075,28.215,28.39,23.8232,2443309
2017-04-26,28.37,28.485,28.22,28.33,23.7729,2352093
2017-04-27,28.35,28.86,28.34,28.64,24.033,3380078
2017-04-28,28.62,28.68,28.44,28.53,23.9407,2269351
2017-05-01,28.58,28.585,28.25,28.31,23.7561,1931675
2017-05-02,28.35,28.44,28.1,28.19,23.6554,2109771
2017-05-03,28.14,28.275,28.06,28.1,23.5799,1748280
2017-05-04,28.07,28.08,27.76,27.98,23.4792,2826373
2017-05-05,28.09,28.25,27.71,28.05,23.5379,3052033
2017-05-08,28.04,28.1175,27.71,27.87,23.3869,3171595
2017-05-09,27.8,27.85,27.33,27.45,23.0344,2725519
2017-05-10,27.44,27.66,27.37,27.54,23.11,4105172
2017-05-11,27.56,27.58,27.3,27.42,23.0093,2328335
2017-05-12,27.28,27.41,27.22,27.29,23.1258,2221696
2017-05-15,27.31,27.455,27.29,27.42,23.236,2732083
2017-05-16,27.42,27.49,27.17,27.19,23.041,2163261
2017-05-17,27.17,27.315,26.9,27.17,23.0241,2851960
2017-05-18,27.18,27.34,26.87,27.21,23.058,2542076
2017-05-19,27.26,27.55,27.05,27.48,23.2868,9770245
2017-05-22,27.45,27.73,27.42,27.7,23.4732,1810602
2017-05-23,27.7,27.92,27.68,27.75,23.5156,1513845
2017-05-24,27.8,28.01,27.78,27.97,23.702,2299851
2017-05-25,28.0,28.205,27.91,28.18,23.88,2027315
2017-05-26,28.19,28.37,28.14,28.33,24.0071,2109843
2017-05-30,28.31,28.445,28.2,28.39,24.0579,1333505
2017-05-31,28.42,28.73,28.4,28.61,24.2444,3581556
2017-06-01,28.61,28.94,28.465,28.93,24.5155,2747822
2017-06-02,29.02,29.08,28.81,28.88,24.4732,1845054
2017-06-05,28.82,28.9258,28.52,28.55,24.1935,2170262
2017-06-06,28.59,28.655,28.415,28.5,24.1512,3510936
2017-06-07,28.56,28.69,28.28,28.32,23.9986,2523532
2017-06-08,28.26,28.28,27.99,28.21,23.9054,2481213
2017-06-09,28.22,28.31,27.975,28.24,23.9308,2228546
2017-06-12,28.24,28.33,27.9,28.11,23.8207,2391415
2017-06-13,28.08,28.22,28.02,28.13,23.8376,2738313
2017-06-14,28.15,28.5,28.15,28.37,24.041,2730712
2017-06-15,28.31,28.8,28.28,28.61,24.2444,3360836
