Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,48.59,49.02,48.46,48.95,42.6601,5286622
2017-04-18,48.61,49.265,48.43,48.69,42.4335,6046632
2017-04-19,48.76,49.07,47.82,48.0,41.8321,6165247
2017-04-20,48.02,48.68,47.89,47.95,41.7886,6278788
2017-04-21,47.86,48.13,47.3,47.74,41.6055,6056267
2017-04-24,48.0,48.19,47.71,47.91,41.7537,5750672
2017-04-25,47.97,48.895,47.8,48.79,42.5206,7023235
2017-04-26,48.27,49.53,48.24,48.34,42.1284,6536870
2017-04-27,47.83,48.14,46.8599,47.86,41.7101,7302663
2017-04-28,48.15,48.32,47.74,47.91,41.7537,6428976
2017-05-01,47.9,48.03,47.46,47.48,41.3789,5795444
2017-05-02,47.56,47.62,46.27,46.7,40.6992,10390500
2017-05-03,46.25,47.44,46.25,47.08,41.0303,5757217
2017-05-04,46.78,46.85,45.69,45.92,40.0194,9999260
2017-05-05,45.95,46.85,45.89,46.77,40.7602,7894377
2017-05-08,46.8,47.23,46.52,47.13,41.0739,5861196
2017-05-09,47.18,47.21,46.06,46.27,40.3244,6157396
2017-05-10,46.71,47.8601,46.53,47.61,41.4922,7950279
2017-05-11,47.01,47.81,47.01,47.42,41.558,8569905
2017-05-12,47.4,47.67,46.585,46.97,41.1636,9151938
2017-05-15,48.09,48.33,47.26,47.44,41.5755,7675589
2017-05-16,47.67,47.72,46.675,47.13,41.3038,5288175
2017-05-17,47.01,47.4,46.33,46.41,40.6728,7512809
2017-05-18,46.0,46.96,45.82,46.42,40.6816,6543458
2017-05-19,46.89,47.6857,46.62,47.48,41.6106,7206164
2017-05-22,47.83,47.9,46.87,46.93,41.1285,7967925
2017-05-23,46.86,47.325,46.67,46.76,40.9796,7436714
2017-05-24,46.64,46.75,46.14,46.67,40.9007,7848103
2017-05-25,46.47,46.97,44.68,45.05,39.4809,12772240
2017-05-26,45.33,45.4,44.68,45.35,39.7439,10758920
2017-05-30,44.93,45.09,44.53,44.79,39.2531,9280928
2017-05-31,44.32,44.86,44.09,44.69,39.1655,8770777
2017-06-01,44.8,45.32,44.39,44.86,39.3144,7946842
2017-06-02,44.58,44.62,44.02,44.26,38.7886,8000880
2017-06-05,44.06,44.53,44.0,44.02,38.5783,5731336
2017-06-06,43.95,44.51,43.8,44.48,38.9814,8584006
2017-06-07,44.2,44.43,43.24,43.56,38.1751,13140900
2017-06-08,43.26,43.85,43.02,43.07,37.7457,9179469
2017-06-09,43.1,44.94,43.07,44.82,39.2794,10412890
2017-06-12,45.25,46.04,45.25,45.72,40.0681,13550430
2017-06-13,45.72,46.66,45.605,46.43,40.6904,8600990
2017-06-14,46.06,46.11,45.19,45.42,39.8052,7069584
2017-06-15,45.36,45.85,44.9,45.39,39.7789,9672482
2017-06-16,45.82,46.67,45.61,46.53,40.778,11639630
2017-06-19,46.54,46.715,46.22,46.36,40.629,6029930
2017-06-20,45.41,46.04,45.3,45.82,40.1558,7739608
2017-06-21,45.82,46.22,44.66,44.95,39.3933,10790300
2017-06-22,44.99,45.385,44.59,44.81,39.2706,8881258
2017-06-23,44.79,45.3118,44.47,44.83,39.2881,8483067
2017-06-26,44.93,44.96,44.06,44.23,38.7623,9047467
2017-06-27,44.52,44.63,43.955,43.97,38.5345,8697137
2017-06-28,44.05,44.335,43.72,43.96,38.5257,6983467
2017-06-29,44.06,44.66,43.98,44.08,38.6309,8252374
2017-06-30,44.39,44.58,43.7,43.96,38.5257,9126700
2017-07-03,44.21,45.83,44.19,45.66,40.0155,5742946
2017-07-05,45.27,45.45,43.76,44.16,38.701,7725531
2017-07-06,44.15,44.31,43.22,43.31,37.956,7155511
2017-07-07,43.12,43.28,42.5,43.0,37.6844,8494201
2017-07-10,42.83,43.475,42.771,43.24,37.8947,5631887
2017-07-11,43.25,43.66,42.92,43.35,37.9911,5782632
2017-07-12,43.82,44.0,42.93,43.24,37.8947,7907945
2017-07-13,43.22,43.47,42.9,43.25,37.9035,7014058
2017-07-14,43.32,43.78,43.27,43.45,38.0787,5467315
2017-07-17,43.31,43.52,43.0943,43.19,37.8509,7014739
2017-07-18,43.45,43.45,42.8,43.07,37.7457,6835544
2017-07-19,42.95,43.75,42.94,43.66,38.2628,8822991
2017-07-20,43.78,43.833,43.1,43.23,38.1173,7662952
2017-07-21,42.96,43.16,42.57,42.65,37.6059,6480573
2017-07-24,42.73,42.96,42.54,42.61,37.5706,6094053
2017-07-25,43.35,43.96,43.23,43.65,38.4876,8641099
2017-07-26,43.91,44.38,43.58,43.7,38.5317,7124499
2017-07-27,44.34,44.66,43.8179,44.66,39.3782,9803115
2017-07-28,44.73,45.94,44.62,45.26,39.9072,10794870
2017-07-31,45.33,45.865,45.2,45.37,40.0042,8368364
2017-08-01,45.33,45.33,44.62,44.75,39.4575,6685144
2017-08-02,44.39,45.625,44.27,45.61,40.2158,9562266
2017-08-03,45.64,45.95,44.675,44.91,39.5986,9204093
2017-08-04,44.94,45.59,44.86,45.56,40.1717,6105578
2017-08-07,45.27,45.48,44.83,45.17,39.8279,6370292
2017-08-08,45.15,46.11,45.0,45.63,40.2335,8032084
2017-08-09,45.79,46.0,45.37,45.65,40.2511,7451119
2017-08-10,45.68,45.95,44.93,44.97,39.6515,6441371
2017-08-11,44.96,45.38,44.67,44.79,39.4928,4206885
2017-08-14,44.8,45.09,44.4,44.54,39.2724,5063053
2017-08-15,44.44,44.7,44.05,44.5,39.2371,8179287
2017-08-16,44.59,44.66,43.51,43.69,38.5229,5795806
2017-08-17,43.5,43.86,42.96,43.0,37.9145,6422495
2017-08-18,42.96,43.56,42.5137,43.11,38.0115,7310360
2017-08-21,42.9,42.935,42.265,42.5,37.4736,5709605
2017-08-22,42.64,43.36,42.62,43.19,38.082,5850212
2017-08-23,42.95,43.95,42.83,43.69,38.5229,5240913
2017-08-24,43.52,43.555,43.08,43.3,38.179,4370046
2017-08-25,43.49,44.11,43.36,43.58,38.4259,5393759
2017-08-28,43.6,43.63,42.7,43.05,37.9586,4593413
2017-08-29,42.72,42.985,42.43,42.85,37.7822,4592905
2017-08-30,42.63,43.495,42.42,43.41,38.276,6846918
2017-08-31,43.78,44.15,43.52,43.66,38.4964,7660109
2017-09-01,43.76,44.39,43.48,44.24,39.0078,4808804
2017-09-05,44.49,44.71,44.11,44.39,39.1401,5445012
2017-09-06,44.75,45.35,44.73,45.06,39.7309,5939280
2017-09-07,44.9,45.19,44.47,45.11,39.7749,5184726
2017-09-08,45.0,45.0,44.1,44.47,39.2106,4147379
2017-09-11,44.66,45.2931,44.5,44.93,39.6162,4809372
2017-09-12,45.03,45.285,44.79,44.93,39.6162,5188994
2017-09-13,45.04,45.79,45.0,45.56,40.1717,6178645
2017-09-14,45.74,46.36,45.65,45.83,40.4098,6573383
2017-09-15,45.83,46.51,45.78,46.51,41.0094,11895010
2017-09-18,46.2,47.2266,46.17,47.09,41.5208,6988858
2017-09-19,47.11,47.78,47.085,47.55,41.9264,6216148
2017-09-20,47.86,48.8,47.8,48.33,42.6141,8843323
2017-09-21,48.19,48.78,47.89,48.69,42.9316,5790676
2017-09-22,48.7,49.65,48.63,49.08,43.2754,7388171
2017-09-25,49.41,50.19,49.39,49.98,44.069,6800079
2017-09-26,49.73,50.03,49.22,49.67,43.7956,5434193
2017-09-27,49.67,50.22,49.58,50.22,44.2806,5369531
2017-09-28,50.45,50.83,49.81,50.0,44.0866,5490617
2017-09-29,49.78,50.1,49.6101,50.05,44.1307,4175661
2017-10-02,49.55,50.325,49.3,50.31,44.36,4832075
2017-10-03,50.17,50.23,49.23,49.24,43.4165,6742130
2017-10-04,49.36,49.59,48.91,49.31,43.4782,5432361
2017-10-05,49.46,49.79,49.41,49.7,43.8221,5295351
2017-10-06,49.15,49.44,48.7,48.86,43.0814,3902909
2017-10-09,49.1,49.2,48.83,48.91,43.1255,4765762
2017-10-10,49.37,49.68,49.11,49.19,43.3724,5252819
2017-10-11,49.2,49.73,48.89,49.6,43.7339,4534771
2017-10-12,49.09,49.87,49.01,49.81,43.9191,4443136
2017-10-13,49.99,50.16,49.36,49.4,43.7906,4629908
2017-10-16,49.71,50.13,49.65,49.72,44.0742,4302249
2017-10-17,49.7,49.935,49.32,49.72,44.0742,3579012
2017-10-18,49.75,50.18,49.555,49.71,44.0654,6481675
2017-10-19,49.39,50.04,49.3,49.71,44.0654,4015398
2017-10-20,49.9,50.4,49.5601,50.25,44.544,5993187
2017-10-23,50.28,50.75,49.93,50.26,44.5529,5589025
2017-10-24,50.48,51.32,50.42,50.99,45.2,7609398
2017-10-25,51.06,51.13,49.75,49.96,44.287,6989680
2017-10-26,50.39,51.77,49.79,51.46,45.6166,7564583
2017-10-27,51.16,52.23,50.2,51.21,45.395,7835701
2017-10-30,51.39,51.8,50.885,51.39,45.5546,6647604
2017-10-31,51.32,51.61,51.02,51.15,45.3418,6171526
2017-11-01,51.81,52.28,51.43,52.1,46.184,6455505
2017-11-02,52.06,52.59,51.69,52.48,46.5208,6177111
2017-11-03,52.37,53.27,51.99,52.96,46.9463,8030110
2017-11-06,53.01,53.94,52.8,53.67,47.5757,8438870
2017-11-07,53.93,54.07,52.93,53.48,47.4073,8577450
2017-11-08,54.1,54.22,53.16,53.52,47.4427,7513026
2017-11-09,53.27,53.65,52.83,53.53,47.4516,6709404
2017-11-10,53.4,53.49,52.5,52.99,46.9729,5504552
2017-11-13,52.66,52.96,52.51,52.57,46.6006,6728262
2017-11-14,52.19,52.43,51.08,51.23,45.4128,6945025
2017-11-15,50.74,51.17,49.95,50.49,44.7568,7262742
2017-11-16,50.4,50.65,50.08,50.22,44.5174,5694865
2017-11-17,50.24,50.52,50.0,50.13,44.4377,4191820
2017-11-20,50.0,50.25,49.58,50.08,44.3933,4429560
2017-11-21,50.27,50.735,49.67,50.01,44.3313,6331514
2017-11-22,50.52,50.59,50.02,50.22,44.5174,4818737
2017-11-24,50.45,50.87,50.4401,50.47,44.7391,2288899
2017-11-27,50.22,50.25,49.08,49.16,43.5778,6369003
2017-11-28,49.36,50.16,48.97,50.13,44.4377,6524684
2017-11-29,49.92,50.8285,49.72,50.73,44.9695,6897811
2017-11-30,50.92,51.78,50.65,50.88,45.1025,11184260
2017-12-01,51.51,52.47,51.23,51.74,45.8648,6683882
2017-12-04,51.87,52.36,51.25,51.29,45.4659,6168487
2017-12-05,51.23,51.695,51.11,51.23,45.4128,4531747
2017-12-06,51.07,51.24,50.32,50.38,44.6593,4437278
2017-12-07,50.32,50.831,50.08,50.54,44.8011,4037792
2017-12-08,50.87,51.71,50.74,51.57,45.7142,5316227
2017-12-11,51.54,52.31,51.41,51.69,45.8205,4040363
2017-12-12,52.02,52.06,51.205,51.96,46.0599,6200232
2017-12-13,51.92,52.09,51.58,51.68,45.8117,4906794
2017-12-14,51.9,52.76,51.85,52.31,46.3701,6436210
2017-12-15,52.78,53.05,52.06,52.17,46.246,11363350
2017-12-18,52.11,52.66,52.11,52.34,46.3967,5565299
2017-12-19,52.46,52.93,52.14,52.68,46.6981,4795788
2017-12-20,52.9,54.51,52.46,54.25,48.0898,8064572
2017-12-21,54.15,56.07,54.026,55.95,49.5968,7824702
2017-12-22,56.05,56.21,55.455,55.5,49.1979,3911891
2017-12-26,55.78,56.37,55.54,56.23,49.845,3194935
2017-12-27,56.06,56.07,55.14,55.59,49.2777,4369646
2017-12-28,55.49,55.59,55.1,55.18,48.9142,4240881
2017-12-29,55.44,55.5,54.87,54.89,48.6572,3668511
2018-01-02,55.09,55.51,54.82,55.32,49.0383,3985183
2018-01-03,55.38,56.39,55.33,56.34,49.9425,4105840
2018-01-04,56.41,57.1853,56.09,56.99,50.5187,4897240
2018-01-05,56.68,56.91,56.18,56.88,50.4212,3771851
2018-01-08,56.76,57.46,56.59,57.46,50.9353,4522857
2018-01-09,57.47,58.32,57.41,57.93,51.352,5519676
2018-01-10,58.14,58.28,57.561,57.65,51.1038,4627894
2018-01-11,58.17,59.48,57.54,59.18,52.46,7341782
2018-01-12,59.39,60.24,59.12,60.05,53.2312,6742061
2018-01-16,60.0,60.22,58.8,58.84,52.1586,5458604
2018-01-17,58.97,60.187,58.78,59.86,53.0628,5798442
2018-01-18,59.62,60.06,59.15,59.76,52.9742,4554801
2018-01-19,59.68,59.81,59.27,59.75,52.9653,5037506
2018-01-22,59.86,60.68,59.79,60.67,53.7808,5748807
2018-01-23,60.61,60.7,60.03,60.47,53.6035,5478827
2018-01-24,60.54,61.315,60.45,60.49,53.6213,4992002
2018-01-25,60.75,60.9,59.4,59.48,52.726,5473390
2018-01-26,59.7,60.52,59.61,60.39,53.5326,5277702
2018-01-29,59.92,60.53,59.56,59.66,52.8855,4167626
2018-01-30,58.94,59.32,58.08,58.46,51.8218,6380960
2018-01-31,58.53,59.24,58.28,58.81,52.132,7073708
2018-02-01,59.0,59.97,58.151,59.35,52.6107,7011049
2018-02-02,59.17,59.44,57.61,57.72,51.1658,8433342
2018-02-05,57.14,58.47,55.41,55.94,49.5879,11060270
2018-02-06,54.75,56.54,54.42,55.94,49.5879,11013510
2018-02-07,56.06,56.9701,55.63,55.63,49.3131,7721650
2018-02-08,55.62,55.8296,53.23,53.24,47.1945,8618439
2018-02-09,53.24,53.6,50.18,52.02,46.3612,9685635
2018-02-12,52.63,53.96,52.55,53.41,47.6,7035416
2018-02-13,52.93,53.94,52.61,53.32,47.5198,5438295
2018-02-14,52.7,55.86,52.54,55.51,49.4716,6612440
2018-02-15,55.64,55.71,53.76,54.54,48.6071,6190824
2018-02-16,54.39,55.06,54.23,54.65,48.7051,5070906
2018-02-20,54.6,55.3,54.34,54.84,48.8745,4262866
2018-02-21,54.59,55.44,53.73,53.75,47.903,5286957
2018-02-22,54.26,55.5,54.19,54.91,48.9369,5565872
2018-02-23,55.35,57.14,55.07,57.05,50.8441,6513912
2018-02-26,57.26,57.54,56.515,56.59,50.4341,5986348
2018-02-27,56.5,57.62,55.82,55.83,49.7568,5378320
2018-02-28,56.02,56.58,54.3,54.31,48.4021,5889949
2018-03-01,54.5,55.01,53.52,53.88,48.0189,5135391
2018-03-02,53.54,54.21,52.78,54.06,48.1793,4574396
2018-03-05,53.49,54.225,53.31,53.99,48.1169,5266045
2018-03-06,54.28,54.39,53.5,54.06,48.1793,4931938
2018-03-07,53.31,54.46,53.241,54.07,48.1882,7245777
2018-03-08,54.13,54.38,52.92,53.57,47.7426,4726027
2018-03-09,54.07,55.07,54.01,55.06,49.0705,5310042
2018-03-12,55.01,55.41,54.59,54.74,48.7853,5074351
2018-03-13,54.94,55.21,53.58,53.96,48.0902,5528068
2018-03-14,54.34,54.73,53.87,53.96,48.0902,4101559
2018-03-15,54.31,54.51,53.38,54.03,48.1526,4934643
2018-03-16,54.11,55.19,53.64,54.93,48.9547,13000780
2018-03-19,54.76,54.91,53.38,53.57,47.7426,4821966
2018-03-20,54.1,55.47,53.91,54.7,48.7497,5140620
2018-03-21,55.1,57.59,55.04,57.04,50.8352,7720095
2018-03-22,56.41,57.28,56.05,56.5,50.3539,11053220
2018-03-23,57.04,58.38,56.97,57.74,51.459,9442001
2018-03-26,58.37,59.1,58.21,59.08,52.6532,8795715
2018-03-27,59.15,59.8188,58.69,59.14,52.7067,9089645
2018-03-28,59.16,59.74,58.43,58.73,52.3413,13327620
2018-03-29,58.74,59.59,58.74,59.29,52.8404,8469189
2018-04-02,59.27,59.3,56.57,58.09,51.7709,7403821
2018-04-03,58.54,60.08,57.86,60.03,53.4999,8257314
2018-04-04,58.82,59.735,58.45,59.56,53.081,8174211
2018-04-05,59.83,61.17,59.73,60.46,53.8831,6822629
2018-04-06,60.21,60.65,58.535,59.26,52.8137,8837538
2018-04-09,59.86,61.15,59.51,60.62,54.0257,10832060
2018-04-10,61.44,63.0,61.38,62.34,55.5586,11158040
2018-04-11,62.3,63.275,61.6,63.23,56.3518,10014140
2018-04-12,63.29,63.88,62.84,63.24,56.3607,10336250
2018-04-13,63.95,65.0,63.74,64.9,57.8401,9672907
2018-04-16,64.97,65.99,64.38,65.73,58.5798,8534926
2018-04-17,65.92,66.91,65.46,66.51,59.275,8312592
2018-04-18,67.0,67.3,66.38,66.42,59.1948,11015570
2018-04-19,65.89,66.595,65.55,66.31,59.0968,8366275
2018-04-20,65.85,66.1111,65.34,65.79,58.6333,7008374
2018-04-23,65.58,65.63,64.47,65.48,58.357,9209722
2018-04-24,66.0,66.62,64.85,65.31,58.2055,8731627
2018-04-25,64.96,65.56,63.92,65.06,57.9827,9869052
2018-04-26,65.75,67.13,65.1,66.97,59.685,10574560
2018-04-27,66.43,66.76,64.95,64.95,57.8847,6398799
2018-04-30,64.88,66.145,64.76,65.5,58.3749,6381298
2018-05-01,65.05,65.78,64.55,65.71,58.562,7433820
2018-05-02,65.18,65.995,65.14,65.45,58.3303,6810047
2018-05-03,64.9,66.16,64.32,65.99,58.8116,7088763
2018-05-04,66.0,67.09,65.6001,66.86,59.5869,6302172
2018-05-07,67.27,68.64,66.69,66.77,59.5067,9121533
2018-05-08,66.8,67.74,65.45,67.74,60.3712,8988387
2018-05-09,68.61,70.15,68.5,68.7,61.2268,9271165
2018-05-10,69.46,69.705,68.65,69.34,61.7971,6512326
2018-05-11,69.12,69.89,68.87,69.44,62.1417,6382225
2018-05-14,69.5,70.21,69.35,69.59,62.2759,8805220
2018-05-15,69.55,70.59,69.24,70.09,62.7234,5962666
2018-05-16,70.0,70.1983,69.1,69.85,62.5086,4363391
2018-05-17,70.2,71.0,70.09,70.66,63.2335,5592670
2018-05-18,70.5,70.835,69.53,69.55,62.2401,5094691
2018-05-21,70.0,70.775,69.57,70.66,63.2335,5440032
2018-05-22,70.77,71.71,69.94,70.13,62.7592,6079489
2018-05-23,69.62,69.87,68.28,69.12,61.8553,6407487
2018-05-24,68.0,68.82,67.405,68.45,61.2557,6404940
2018-05-25,66.8,66.86,64.44,65.47,58.5889,8315770
2018-05-29,64.8,65.82,64.34,65.71,58.8037,6310128
2018-05-30,66.34,68.74,66.17,68.05,60.8978,10273450
2018-05-31,67.58,68.34,66.94,67.39,60.3071,8508795
2018-06-01,67.76,68.975,67.34,68.29,61.1126,7116234
2018-06-04,68.95,69.4,67.595,67.9,60.7635,5599193
2018-06-05,67.72,68.56,67.52,67.56,60.4593,6333100
2018-06-06,67.71,68.42,67.31,67.88,60.7456,6412175
2018-06-07,68.5,69.68,68.26,69.48,62.1775,7693526
2018-06-08,69.98,70.37,68.93,69.43,62.1327,6656122
2018-06-11,69.96,70.985,69.52,70.49,63.0813,6237302
2018-06-12,70.07,70.315,69.13,69.43,62.1327,8329005
2018-06-13,69.35,69.93,68.67,69.62,62.3028,6741067
2018-06-14,69.99,70.02,67.84,68.13,60.9694,5694644
2018-06-15,67.45,67.8,65.21,65.36,58.4905,15982690
2018-06-18,65.57,67.76,65.39,66.6,59.6002,7680090
2018-06-19,65.72,67.035,65.43,66.26,59.2959,5211463
2018-06-20,67.16,67.63,66.79,67.47,60.3787,6323355
2018-06-21,66.86,66.96,64.79,65.11,58.2668,7439725
2018-06-22,67.47,68.4093,67.25,67.78,60.6562,11074920
2018-06-25,67.79,68.13,65.37,66.14,59.1885,5274264
2018-06-26,66.41,67.64,66.17,67.34,60.2624,4956676
2018-06-27,68.23,69.515,68.09,68.74,61.5153,7624960
2018-06-28,69.3,69.5,67.94,68.41,61.2199,3958060
2018-06-29,68.94,70.63,68.71,69.62,62.3028,7131963
2018-07-02,68.91,69.33,68.203,68.59,61.381,4952834
2018-07-03,69.36,71.44,69.36,69.56,62.2491,5338387
2018-07-05,70.05,70.57,68.64,68.93,61.6853,5719778
2018-07-06,68.69,69.81,68.47,69.65,62.3296,4454880
2018-07-09,70.15,71.0,69.88,71.0,63.5377,5271380
2018-07-10,71.49,72.0,71.36,71.74,64.1999,5246429
2018-07-11,70.92,71.76,69.43,70.05,62.6876,5636440
2018-07-12,70.86,71.7,70.41,71.45,63.9404,6386739
2018-07-13,71.37,72.57,71.35,72.0,64.4326,6313255
2018-07-16,70.88,71.59,69.54,70.58,63.1619,6216239
2018-07-17,70.22,70.695,69.1,70.28,62.8934,5723972
2018-07-18,69.48,70.5,68.81,70.35,62.956,5667669
2018-07-19,70.13,70.44,69.49,69.69,62.3654,5959233
2018-07-20,69.75,70.14,69.69,70.01,62.909,5625370
2018-07-23,70.5,70.62,69.89,69.98,62.8821,7936909
2018-07-24,70.7,71.545,70.37,70.85,63.6638,4709106
2018-07-25,70.92,71.6,70.49,71.51,64.2569,5146020
2018-07-26,71.22,71.945,70.61,71.8,64.5175,7360090
2018-07-27,71.48,72.27,71.19,71.45,64.203,5587553
2018-07-30,72.3,72.9376,72.14,72.27,64.9398,4934110
2018-07-31,72.54,72.7758,71.88,72.17,64.85,5422213
2018-08-01,71.52,72.05,70.905,71.81,64.5265,5313244
2018-08-02,71.36,71.68,70.98,71.56,64.3018,4669429
2018-08-03,71.25,71.48,70.6102,71.29,64.0592,4028456
2018-08-06,71.44,72.1504,71.07,71.73,64.4546,7177558
2018-08-07,72.55,73.755,72.39,72.9,65.5059,5631378
2018-08-08,72.23,72.54,70.73,71.39,64.1491,5784409
2018-08-09,72.2,72.64,71.52,71.75,64.4726,5975606
2018-08-10,71.6,72.03,71.24,71.94,64.6433,4855457
2018-08-13,71.91,72.52,71.01,71.07,63.8615,4322192
2018-08-14,71.93,72.69,71.71,72.15,64.832,5223404
2018-08-15,71.28,71.37,67.71,67.82,60.9412,7944497
2018-08-16,68.27,69.66,68.22,69.41,62.3699,5453043
2018-08-17,69.87,70.11,69.32,69.77,62.6934,4435249
2018-08-20,69.68,71.07,69.68,70.52,63.3673,4659008
2018-08-21,71.04,71.56,70.79,70.89,63.6998,3717649
2018-08-22,71.46,72.51,71.38,72.0,64.6972,5019315
2018-08-23,71.55,72.11,71.22,72.05,64.7421,3995485
2018-08-24,72.74,73.56,72.34,72.61,65.2453,4934025
2018-08-27,72.61,73.18,72.61,72.84,65.452,3389287
2018-08-28,72.84,73.09,71.92,72.05,64.7421,4072233
2018-08-29,72.77,73.74,72.48,73.54,66.081,4887044
2018-08-30,73.68,74.43,73.26,73.56,66.099,5141160
2018-08-31,73.08,73.54,72.965,73.43,65.9822,4152275
2018-09-04,73.93,74.14,72.83,73.11,65.6946,3447910
2018-09-05,72.84,73.11,72.04,73.0,65.5958,5080205
2018-09-06,72.17,72.47,70.51,70.54,63.3853,5443677
2018-09-07,69.93,70.62,69.42,70.22,63.0977,4370626
2018-09-10,70.56,71.65,70.52,71.15,63.9334,5188560
2018-09-11,70.99,72.08,70.6,71.47,64.221,4172224
2018-09-12,72.15,72.53,71.69,71.97,64.6702,6137202
2018-09-13,71.99,72.58,71.12,72.55,65.1914,4038597
2018-09-14,72.41,73.93,72.41,73.5,66.0451,4618467
2018-09-17,73.71,74.9,73.62,74.24,66.71,6010057
2018-09-18,74.75,75.73,74.63,75.04,67.4289,5989582
2018-09-19,75.0,75.86,74.65,75.53,67.8692,3952794
2018-09-20,75.1,76.15,74.81,75.36,67.7164,5220290
2018-09-21,75.77,76.66,75.36,76.28,68.5431,15114340
2018-09-24,77.0,77.9,76.79,77.06,69.244,6377278
2018-09-25,77.95,78.6075,77.64,78.11,70.1875,6145114
2018-09-26,77.74,78.39,77.2,77.28,69.4417,6148005
2018-09-27,77.72,77.99,77.31,77.52,69.6573,4366980
2018-09-28,77.32,78.68,77.32,77.4,69.5495,6190106
2018-10-01,77.77,80.24,77.74,79.89,71.7869,6408997
2018-10-02,79.29,79.47,78.22,78.28,70.3402,4534591
2018-10-03,78.63,78.91,77.89,78.57,70.6008,6825619
2018-10-04,78.41,78.875,77.59,78.28,70.3402,4457073
2018-10-05,78.0,78.57,77.59,78.39,70.4391,6535672
2018-10-08,77.73,78.77,77.27,78.28,70.3402,4034420
2018-10-09,78.59,79.96,78.14,79.4,71.3466,4869647
2018-10-10,79.57,79.65,75.01,75.09,67.4738,8332301
2018-10-11,74.16,74.77,71.93,72.79,65.4071,9326505
2018-10-12,73.72,74.25,72.59,73.83,66.6207,6296136
2018-10-15,73.83,74.19,73.01,73.27,66.1154,6125041
2018-10-16,73.76,74.18,73.23,73.8,66.5937,5726247
2018-10-17,74.07,74.07,72.22,72.48,65.4026,7302693
2018-10-18,71.62,73.18,71.51,72.59,65.5018,7800941
2018-10-19,72.67,73.9,72.26,72.49,65.4116,5657964
2018-10-22,72.61,72.77,71.26,72.05,65.0146,5385731
2018-10-23,70.54,70.59,68.205,69.22,62.4609,7502039
2018-10-24,69.7,70.02,65.0,65.69,59.2756,9260037
2018-10-25,67.88,68.69,66.54,68.02,61.3781,8727345
2018-10-26,66.96,69.07,66.67,68.48,61.7932,8194001
2018-10-29,69.18,69.705,66.22,67.35,60.7735,6853145
2018-10-30,67.18,69.71,66.86,69.52,62.7316,6506888
2018-10-31,70.39,71.82,69.75,69.9,63.0745,6591449
2018-11-01,70.2,70.9547,68.49,69.58,62.7857,7826514
2018-11-02,69.69,70.25,67.3789,67.84,61.2156,5725215
2018-11-05,68.69,69.5,68.25,69.03,62.2894,4955514
2018-11-06,69.35,69.57,68.25,69.5,62.7136,6150231
2018-11-07,70.74,71.26,69.25,70.03,63.1918,6585496
2018-11-08,69.76,70.31,66.67,66.91,60.3765,9826884
2018-11-09,65.73,67.21,64.79,66.73,60.214,9190686
2018-11-12,67.59,68.07,65.14,65.14,58.7793,6767020
2018-11-13,64.78,65.58,62.6,63.72,57.4979,11213930
2018-11-14,64.82,66.01,63.52,64.12,57.8589,9708496
2018-11-15,63.58,65.2862,63.25,65.21,58.8425,7782826
2018-11-16,65.59,66.44,65.38,66.12,59.6636,7993579
2018-11-19,65.37,66.73,65.03,66.44,59.9523,7793905
