Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,122.14,122.99,121.97,122.98,116.5291,309721
2017-04-18,122.69,123.05,121.7,122.37,115.9511,345780
2017-04-19,122.37,123.21,122.145,122.65,116.2164,331896
2017-04-20,123.37,123.56,122.64,123.1,116.6428,378127
2017-04-21,123.2,123.88,122.94,123.14,116.6807,617797
2017-04-24,124.21,125.51,124.035,125.45,118.8696,550689
2017-04-25,125.69,126.27,124.83,125.11,118.5474,503241
2017-04-26,125.17,125.38,124.22,124.23,117.7136,525223
2017-04-27,124.16,125.04,123.66,123.94,117.4388,433937
2017-04-28,124.02,124.02,122.41,122.47,116.0459,659336
2017-05-01,121.6,122.73,120.85,121.58,115.2026,734642
2017-05-02,121.66,122.78,121.21,121.81,115.4205,433159
2017-05-03,121.77,121.92,119.945,120.88,114.5393,511269
2017-05-04,121.17,121.95,120.74,121.94,115.5437,345542
2017-05-05,122.38,123.0,121.7,122.99,116.5386,321141
2017-05-08,122.68,122.835,120.74,120.91,114.5677,464732
2017-05-09,120.76,121.66,120.5501,121.5,115.1268,352946
2017-05-10,121.46,121.84,120.865,121.44,115.0699,423382
2017-05-11,121.21,122.56,120.72,122.54,116.1122,452660
2017-05-12,122.18,122.58,121.47,122.3,115.8848,389199
2017-05-15,122.21,122.83,121.32,122.37,115.9511,311007
2017-05-16,122.24,122.59,121.75,122.57,116.1406,480333
2017-05-17,121.67,122.08,120.12,120.17,113.8665,518379
2017-05-18,120.36,121.17,119.54,120.58,114.255,498483
2017-05-19,120.66,121.4,119.73,121.02,114.6719,1787643
2017-05-22,121.14,121.91,120.83,121.74,115.3542,414924
2017-05-23,121.95,122.53,121.41,122.39,115.9701,363162
2017-05-24,122.75,124.8723,122.4,124.69,118.1494,471190
2017-05-25,125.08,125.89,124.64,125.55,118.9643,296728
2017-05-26,125.15,125.59,124.5,125.16,118.5948,278332
2017-05-30,124.59,124.95,123.77,124.75,118.2063,333886
2017-05-31,125.05,125.94,124.53,125.88,119.277,671875
2017-06-01,126.12,126.93,124.775,126.93,120.2719,392009
2017-06-02,127.21,128.72,127.0,128.28,121.5511,319207
2017-06-05,128.5,128.54,126.5,126.61,119.9687,360222
2017-06-06,126.5,126.79,124.57,124.63,118.0926,358769
2017-06-07,125.05,125.36,124.01,124.49,117.9599,334529
2017-06-08,124.35,124.44,123.0,123.67,117.1829,513786
2017-06-09,123.76,124.05,123.26,123.7,117.2114,411132
2017-06-12,123.51,126.37,123.51,126.3,119.675,470953
2017-06-13,126.25,127.65,125.9911,127.25,120.5752,376711
2017-06-14,127.88,128.67,126.86,127.96,121.2479,445200
2017-06-15,127.41,128.05,126.44,127.79,121.0868,326764
2017-06-16,127.02,130.46,127.02,130.45,123.6073,974498
2017-06-19,130.81,131.41,129.61,131.35,124.4601,516273
2017-06-20,131.38,131.38,129.81,130.07,123.2472,319263
2017-06-21,129.99,130.1945,128.9,129.61,122.8114,298711
2017-06-22,129.73,129.73,129.07,129.16,122.385,306916
2017-06-23,129.31,130.29,129.03,129.41,122.6219,373760
2017-06-26,130.01,130.48,129.13,129.5,122.7071,190028
2017-06-27,128.0,128.86,125.74,125.82,119.2202,629865
2017-06-28,126.83,127.52,125.81,126.76,120.1109,334939
2017-06-29,126.5,126.5,123.63,124.35,117.8273,454722
2017-06-30,125.3,126.53,125.085,126.04,119.4286,468392
2017-07-03,126.77,127.11,125.94,125.99,119.3813,276153
2017-07-05,126.09,128.26,125.46,126.12,119.5044,730568
2017-07-06,125.41,125.48,123.42,123.73,117.2398,610287
2017-07-07,124.04,126.63,124.04,126.13,119.5139,511566
2017-07-10,125.8,126.99,125.47,126.54,119.9024,546127
2017-07-11,126.02,126.46,124.8457,125.83,119.2296,337308
2017-07-12,126.95,127.44,126.4,127.16,120.4899,309057
2017-07-13,127.35,127.8817,125.79,126.47,119.8361,284487
2017-07-14,126.74,126.93,126.27,126.43,119.7982,430604
2017-07-17,126.38,126.59,125.5975,126.19,119.5708,390181
2017-07-18,126.17,126.31,125.34,125.42,118.8411,339188
2017-07-19,125.62,126.16,125.05,126.08,119.4665,485065
2017-07-20,126.55,126.95,125.36,126.78,120.1298,496475
2017-07-21,131.24,139.39,131.13,138.43,131.1687,2341315
2017-07-24,138.39,139.25,136.489,138.19,130.9413,1116244
2017-07-25,138.7,138.7,136.71,137.3,130.098,823512
2017-07-26,137.21,137.965,136.69,137.11,129.918,523236
2017-07-27,137.04,137.04,135.2,135.82,128.6956,629696
2017-07-28,135.84,136.32,135.1,135.61,128.4966,570165
2017-07-31,135.7,135.9,134.54,134.85,127.7765,640657
2017-08-01,137.7,139.74,134.35,135.52,128.4114,592007
2017-08-02,135.11,135.59,133.77,135.0,127.9186,660381
2017-08-03,135.03,135.59,133.66,134.14,127.1037,484713
2017-08-04,134.64,135.28,133.48,135.0,127.9186,355769
2017-08-07,134.84,135.36,134.155,134.45,127.3975,443268
2017-08-08,134.4,134.95,133.07,133.39,126.3931,762798
2017-08-09,133.26,133.73,132.53,133.3,126.3078,552776
2017-08-10,132.87,133.09,130.68,130.81,123.9484,704440
2017-08-11,131.32,131.73,130.09,130.33,123.4936,474633
2017-08-14,131.4,133.34,131.2,132.95,125.9762,400564
2017-08-15,132.78,133.79,132.22,133.15,126.1657,425502
2017-08-16,133.31,134.14,133.17,133.34,126.3457,327692
2017-08-17,133.17,133.17,130.92,131.19,124.3085,434896
2017-08-18,130.91,132.88,130.17,132.61,125.654,925899
2017-08-21,132.6,134.87,132.06,133.87,126.8479,880583
2017-08-22,133.92,135.43,133.92,135.26,128.165,371850
2017-08-23,134.95,134.95,134.0,134.05,127.0185,579333
2017-08-24,134.09,134.1,131.62,133.2,126.2131,590845
2017-08-25,133.9,135.1,133.34,133.82,126.8005,454403
2017-08-28,134.35,134.73,133.2,133.86,126.8384,413695
2017-08-29,133.13,133.61,132.59,132.97,125.9951,396479
2017-08-30,132.88,134.0,132.49,133.77,126.7532,301752
2017-08-31,133.91,135.28,133.57,135.01,127.9281,466555
2017-09-01,135.64,135.64,134.29,134.56,127.5017,320775
2017-09-05,134.22,134.71,132.6,133.29,126.2983,428354
2017-09-06,133.74,134.16,132.83,133.4,126.4026,524266
2017-09-07,133.56,133.56,132.15,133.14,126.1562,399097
2017-09-08,132.71,133.83,131.75,133.72,126.7058,325638
2017-09-11,133.95,135.25,133.52,135.0,127.9186,319777
2017-09-12,134.92,135.61,134.41,134.68,127.6154,422732
2017-09-13,134.61,135.32,133.57,135.25,128.1555,359975
2017-09-14,134.82,134.82,133.52,134.61,127.5491,392763
2017-09-15,134.58,135.09,133.72,134.15,127.1132,882320
2017-09-18,134.22,134.515,133.7,134.3,127.2554,432791
2017-09-19,134.43,134.8,133.94,134.75,127.6817,481801
2017-09-20,135.0,136.73,134.83,136.52,129.3589,619394
2017-09-21,136.42,137.63,135.51,137.45,130.2401,485942
2017-09-22,137.37,139.0,136.48,136.65,129.4821,562988
2017-09-25,136.85,137.47,136.3,136.87,129.6905,819215
2017-09-26,136.94,137.13,136.07,136.1,128.9609,759156
2017-09-27,143.41,145.0,142.36,144.01,136.456,2727651
2017-09-28,143.67,143.86,141.76,142.77,135.2811,846129
2017-09-29,142.5,144.66,142.285,144.28,136.7119,938179
2017-10-02,144.5,145.62,144.03,145.43,137.8015,746898
2017-10-03,145.48,147.44,145.32,147.38,139.6492,788465
2017-10-04,146.87,147.64,146.2,147.2,139.4787,770706
2017-10-05,147.46,148.22,146.48,148.01,140.2462,609272
2017-10-06,148.0,149.48,147.46,149.08,141.2601,614730
2017-10-09,149.29,149.96,149.08,149.6,141.7528,400176
2017-10-10,149.53,150.43,149.527,150.24,142.3592,576138
2017-10-11,150.02,150.72,149.61,150.67,142.7667,408404
2017-10-12,150.5,151.75,150.49,151.51,143.5626,597786
2017-10-13,151.87,152.48,151.41,151.94,143.9701,522463
2017-10-16,152.5,152.5,150.86,151.22,143.2878,368410
2017-10-17,151.75,152.4068,150.33,151.05,143.1267,400093
2017-10-18,151.4,151.82,151.07,151.16,143.231,430734
2017-10-19,150.5,150.97,149.435,150.95,143.032,704506
2017-10-20,151.79,152.83,151.04,152.2,144.2164,467532
2017-10-23,152.11,152.2,151.36,151.49,143.5437,261999
2017-10-24,151.53,151.9299,150.4,150.85,142.9372,393557
2017-10-25,150.68,151.08,149.5,150.16,142.2834,471105
2017-10-26,150.87,151.7,150.64,151.55,143.6005,384775
2017-10-27,150.84,151.66,150.11,151.56,143.61,375886
2017-10-30,151.24,151.24,149.175,149.22,141.3927,307137
2017-10-31,149.94,150.25,148.92,149.04,141.2222,476140
2017-11-01,148.85,149.05,145.5775,147.12,139.4029,695150
2017-11-02,147.06,148.34,146.13,147.55,139.8103,510442
2017-11-03,147.61,148.51,147.09,148.37,140.5873,375887
2017-11-06,148.05,148.36,146.96,147.57,139.8293,579562
2017-11-07,148.06,148.44,147.32,147.87,140.1135,335912
2017-11-08,147.43,149.66,147.32,149.61,141.7623,404159
2017-11-09,147.48,147.72,144.4,145.43,139.31,532919
2017-11-10,144.82,146.14,144.82,146.1,139.9518,415177
2017-11-13,145.87,147.77,145.745,147.35,141.1492,659505
2017-11-14,146.57,149.46,146.57,149.2,142.9214,603160
2017-11-15,148.4,149.65,147.631,149.5,143.2087,702539
2017-11-16,149.53,150.62,149.25,150.11,143.7931,524010
2017-11-17,149.78,150.08,148.33,148.92,142.6531,380799
2017-11-20,148.74,149.16,148.05,148.25,142.0113,480278
2017-11-21,148.77,148.86,147.21,147.58,141.3695,584965
2017-11-22,147.56,147.71,146.56,147.36,141.1588,427596
2017-11-24,147.93,148.22,147.49,147.71,141.4941,273495
2017-11-27,147.91,149.1,147.61,147.96,141.7335,524665
2017-11-28,148.19,152.18,147.78,152.03,145.6323,575023
2017-11-29,151.98,153.87,151.54,153.73,147.2607,706188
2017-11-30,153.35,157.81,153.01,157.44,150.8146,2193181
2017-12-01,157.19,158.43,155.03,157.5,150.8721,749595
2017-12-04,158.41,159.68,157.54,158.71,152.0312,797215
2017-12-05,158.88,159.53,156.1,156.28,149.7034,612149
2017-12-06,156.88,157.6,156.14,156.5,149.9142,370485
2017-12-07,156.04,158.86,155.99,158.0,151.351,396355
2017-12-08,158.54,159.21,157.845,159.18,152.4814,327101
2017-12-11,158.98,159.83,157.95,158.33,151.6671,460345
2017-12-12,158.31,158.39,156.96,157.19,150.5751,317822
2017-12-13,157.6,158.86,157.03,157.29,150.6709,506824
2017-12-14,158.02,158.11,156.9,157.18,150.5655,512630
2017-12-15,157.89,158.9199,156.7,158.0,151.351,1188283
2017-12-18,159.0,160.21,158.59,159.88,153.1519,859730
2017-12-19,161.0,161.0,158.4,158.99,152.2994,670629
2017-12-20,159.33,160.05,158.89,159.09,152.3952,512803
2017-12-21,160.53,160.585,157.665,159.65,152.9316,936362
2017-12-22,162.0,163.45,153.01,156.85,150.2494,2266886
2017-12-26,156.54,157.64,155.41,155.52,148.9754,502922
2017-12-27,155.96,156.48,155.262,156.02,149.4544,381820
2017-12-28,155.98,156.72,154.81,156.62,150.0291,440792
2017-12-29,156.99,157.1,155.81,155.83,149.2724,416881
2018-01-02,157.26,157.53,155.94,156.85,150.2494,478051
2018-01-03,156.21,158.67,156.21,158.42,151.7534,529829
2018-01-04,158.69,161.29,158.42,161.17,154.3876,568294
2018-01-05,161.32,161.77,160.67,161.64,154.8379,587798
2018-01-08,161.38,162.58,159.83,161.9,155.0869,652241
2018-01-09,162.0,162.2237,161.15,161.22,154.4355,449191
2018-01-10,160.98,161.32,159.79,160.33,153.583,403080
2018-01-11,160.3,162.24,159.85,162.05,155.2306,529892
2018-01-12,161.81,162.25,160.06,160.46,153.7075,449058
2018-01-16,161.11,162.11,160.81,161.22,154.4355,760926
2018-01-17,161.33,163.05,161.33,162.67,155.8245,777339
2018-01-18,160.89,162.97,160.0,161.8,154.9911,578172
2018-01-19,161.94,164.17,161.27,164.06,157.156,447386
2018-01-22,164.0,165.2,163.22,165.14,158.1906,473982
2018-01-23,164.89,165.28,163.46,164.9,157.9607,419100
2018-01-24,165.34,165.81,164.64,164.98,158.0373,394957
2018-01-25,165.91,167.56,165.8,166.58,159.57,496791
2018-01-26,166.83,167.8,166.0208,167.77,160.7099,372405
