Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,18.55,18.9,18.35,18.7,18.7,401133
2017-04-18,18.7,18.8,18.019,18.6,18.6,533913
2017-04-19,18.75,19.0999,18.45,18.8,18.8,654551
2017-04-20,18.95,19.25,18.55,19.1,19.1,467499
2017-04-21,19.1,19.1,18.0,18.4,18.4,636677
2017-04-24,18.5,18.5,17.3,17.8,17.8,2341874
2017-04-25,17.9,18.6,17.75,18.4,18.4,1574325
2017-04-26,18.4,19.75,18.4,19.5,19.5,1243894
2017-04-27,19.6,19.675,18.6,19.25,19.25,890372
2017-04-28,18.9,19.55,18.65,19.125,19.125,849893
2017-05-01,19.2,19.35,18.75,19.15,19.15,949051
2017-05-02,19.1,19.525,18.9,19.3,19.3,809918
2017-05-03,19.15,19.65,18.95,19.55,19.55,996982
2017-05-04,19.6,19.85,19.175,19.55,19.55,908018
2017-05-05,18.45,20.15,18.05,20.0,20.0,1279694
2017-05-08,20.0,20.05,19.35,19.9,19.9,1588442
2017-05-09,20.0,20.625,19.75,20.45,20.45,3036390
2017-05-10,20.6,21.15,20.2501,20.9,20.9,1483288
2017-05-11,20.8,21.0,20.2501,20.55,20.55,1090643
2017-05-12,20.45,20.8426,20.2003,20.7,20.7,839452
2017-05-15,20.75,20.85,20.475,20.7,20.7,979743
2017-05-16,20.8,20.9,20.45,20.65,20.65,801449
2017-05-17,20.3,20.55,20.05,20.225,20.225,914502
2017-05-18,20.1,20.25,19.7499,19.95,19.95,1052469
2017-05-19,20.1,20.175,19.7,19.7,19.7,759037
2017-05-22,19.75,20.55,19.75,20.45,20.45,630493
2017-05-23,20.55,20.8,20.2,20.55,20.55,1574599
2017-05-24,20.55,20.8,20.55,20.8,20.8,471034
2017-05-25,20.8,20.8,20.45,20.5,20.5,498793
2017-05-26,20.5,20.8,20.3375,20.55,20.55,950605
2017-05-30,20.55,20.7,20.4,20.7,20.7,392109
2017-05-31,20.8,20.9,20.25,20.75,20.75,535918
2017-06-01,20.8,20.95,20.45,20.85,20.85,394581
2017-06-02,20.8,21.0,20.55,20.85,20.85,556618
2017-06-05,20.8,21.05,20.5,20.85,20.85,430493
2017-06-06,20.7,21.0875,20.525,20.95,20.95,535485
2017-06-07,20.95,21.8,20.8,21.6,21.6,1518142
2017-06-08,21.5,21.825,21.3,21.5,21.5,938967
2017-06-09,21.5,21.65,21.225,21.25,21.25,486911
2017-06-12,21.25,21.5,21.05,21.4,21.4,476272
2017-06-13,21.55,21.75,21.4,21.55,21.55,449568
2017-06-14,21.5,21.5,20.75,20.8,20.8,898729
2017-06-15,20.6,21.5,20.1,20.45,20.45,642695
2017-06-16,20.1,20.45,19.9,20.25,20.25,827391
2017-06-19,20.4,20.9,20.3,20.75,20.75,624928
2017-06-20,20.75,21.0,20.1,20.45,20.45,594913
2017-06-21,20.45,20.65,20.2,20.5,20.5,499672
2017-06-22,20.45,20.45,19.9,20.15,20.15,598946
2017-06-23,20.2,20.4,19.9,20.25,20.25,1029048
2017-06-26,20.3,20.55,20.001,20.4,20.4,839725
2017-06-27,20.35,20.55,19.95,20.0,20.0,375940
2017-06-28,20.05,20.5,19.9,20.45,20.45,1544055
2017-06-29,20.55,20.55,19.55,19.65,19.65,609322
2017-06-30,19.65,20.05,19.5,20.0,20.0,465741
2017-07-03,20.1,20.125,19.625,19.8,19.8,266133
2017-07-05,19.75,19.8,19.25,19.35,19.35,504565
2017-07-06,19.15,19.75,19.1,19.2,19.2,330184
2017-07-07,19.3,19.65,19.05,19.4,19.4,279188
2017-07-10,19.45,19.85,19.1,19.3,19.3,269283
2017-07-11,19.35,19.5,19.05,19.45,19.45,491645
2017-07-12,19.6,19.7,19.35,19.55,19.55,541283
2017-07-13,19.6,19.6,18.8,19.2,19.2,383043
2017-07-14,19.15,19.325,18.95,19.3,19.3,328576
2017-07-17,19.35,19.4,18.9,19.1,19.1,402990
2017-07-18,19.1,19.7,18.95,19.5,19.5,1230618
2017-07-19,19.6,19.9,19.5,19.8,19.8,426834
2017-07-20,20.0,20.75,20.0,20.6,20.6,1332467
2017-07-21,20.7,21.0,20.4,20.6,20.6,836371
2017-07-24,20.6,21.0,20.525,20.9,20.9,1038620
2017-07-25,21.0,21.05,20.65,20.95,20.95,890748
2017-07-26,21.0,21.0,20.7,20.8,20.8,741986
2017-07-27,20.85,21.0,20.2,20.25,20.25,549199
2017-07-28,20.15,20.45,19.875,20.0,20.0,437653
2017-07-31,20.15,20.525,19.95,20.4,20.4,833091
2017-08-01,20.6,20.675,20.15,20.3,20.3,596864
2017-08-02,20.25,20.65,19.95,20.6,20.6,534180
2017-08-03,20.7,20.8,20.2,20.35,20.35,422014
2017-08-04,20.4,20.4,20.1,20.3,20.3,254689
2017-08-07,20.3,20.45,20.05,20.2,20.2,542240
2017-08-08,20.25,20.25,19.8,19.95,19.95,590223
2017-08-09,20.5,22.15,20.4,21.95,21.95,4852942
2017-08-10,22.1,23.0,21.9,22.55,22.55,1535865
2017-08-11,22.75,23.4,22.4,23.4,23.4,1363377
2017-08-14,23.35,23.5,22.8,23.3,23.3,640049
2017-08-15,23.25,23.3,22.2,22.75,22.75,869841
2017-08-16,22.8,22.925,22.45,22.5,22.5,479072
2017-08-17,22.45,22.7,22.05,22.1,22.1,415029
2017-08-18,21.9,22.4,21.7,22.3,22.3,546155
2017-08-21,22.2,22.6,22.1,22.5,22.5,454502
2017-08-22,22.65,23.35,22.65,23.2,23.2,907833
2017-08-23,23.05,23.25,22.85,23.05,23.05,417877
2017-08-24,23.15,23.3,23.05,23.1,23.1,985357
2017-08-25,23.3,23.35,23.025,23.25,23.25,711816
2017-08-28,23.35,23.35,22.45,22.9,22.9,647392
