Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,173.86,175.71,173.86,175.04,167.3095,676439
2017-04-18,174.84,177.75,174.84,176.63,168.8293,1208762
2017-04-19,177.01,177.42,175.51,175.71,167.9499,971667
2017-04-20,176.79,177.08,175.07,176.91,169.0969,459924
2017-04-21,177.61,180.15,177.45,179.3,171.3814,918114
2017-04-24,181.71,181.8,179.835,180.59,172.6144,915542
2017-04-25,181.04,182.0353,179.78,180.59,172.6144,670350
2017-04-26,181.98,182.49,179.64,180.96,172.9681,1279470
2017-04-27,187.1,188.85,183.77,185.55,177.3554,2422201
2017-04-28,184.46,184.95,181.14,181.39,173.3791,1068379
2017-05-01,181.0,182.82,181.0,182.16,174.1151,621486
2017-05-02,182.44,184.49,182.01,184.41,176.2657,916686
2017-05-03,185.0,187.21,184.36,187.07,178.8082,913895
2017-05-04,187.0,191.08,186.85,190.39,181.9816,1022371
2017-05-05,190.42,193.53,189.6353,193.12,184.591,779355
2017-05-08,193.19,193.22,191.63,192.29,183.7977,701723
2017-05-09,192.99,196.025,191.39,195.36,186.7321,689882
2017-05-10,193.98,196.36,193.4,195.67,187.0284,649990
2017-05-11,195.54,196.21,194.102,195.38,186.7512,419787
2017-05-12,195.39,196.39,194.75,195.28,186.6556,398616
2017-05-15,195.93,198.0,195.6416,196.52,187.8409,828306
2017-05-16,197.78,197.89,196.03,196.23,187.5637,430058
2017-05-17,195.64,196.04,191.42,191.46,183.0044,595359
2017-05-18,191.26,195.32,189.12,194.71,186.1108,1097768
2017-05-19,195.2,197.2531,193.55,195.8,187.1527,645354
2017-05-22,197.47,198.98,196.51,198.82,190.0393,603690
2017-05-23,198.85,199.75,198.81,199.25,190.4503,488886
2017-05-24,199.48,206.02,199.48,205.97,196.8735,1083004
2017-05-25,205.41,208.3,205.07,208.04,198.8521,878783
2017-05-26,207.01,207.72,206.645,207.05,197.9058,635960
2017-05-30,207.0,208.68,206.68,208.49,199.2822,467399
2017-05-31,208.91,212.05,208.06,211.72,202.3696,739070
2017-06-01,213.78,215.49,210.88,215.34,205.8297,899504
2017-06-02,215.69,219.41,214.58,218.05,208.42,728973
2017-06-05,217.99,218.21,216.0,217.1,207.512,449471
2017-06-06,217.0,218.43,216.17,217.85,208.2289,912277
2017-06-07,218.51,218.63,215.68,218.15,208.5156,514063
2017-06-08,218.22,218.58,216.71,217.88,208.2575,410194
2017-06-09,213.9,215.135,204.63,206.19,197.0838,1366105
2017-06-12,205.0,205.93,201.1,204.07,195.0574,905890
2017-06-13,204.83,210.14,204.36,208.4,199.6462,712403
2017-06-14,209.42,212.745,208.83,210.56,201.7155,709661
2017-06-15,208.96,209.91,206.345,209.56,200.7575,437996
2017-06-16,209.82,211.95,208.93,210.84,201.9838,1406718
2017-06-19,211.13,215.87,211.025,215.73,206.6684,920144
2017-06-20,215.84,217.62,214.01,215.03,205.9978,601834
2017-06-21,215.57,216.79,214.96,216.09,207.0132,402748
2017-06-22,216.08,218.43,215.18,218.09,208.9292,571855
2017-06-23,217.89,218.63,215.695,217.05,207.9329,624117
2017-06-26,217.52,221.58,217.06,218.88,209.686,567332
2017-06-27,219.44,219.44,213.0,213.14,204.1871,620804
2017-06-28,213.51,214.49,211.27,213.6,204.6278,739772
2017-06-29,213.51,213.51,207.76,210.75,201.8975,652595
2017-06-30,211.27,213.65,210.61,211.53,202.6448,534761
2017-07-03,211.55,212.47,209.19,209.92,201.1024,176950
2017-07-05,209.24,211.06,207.19,208.03,199.2918,582591
2017-07-06,206.96,210.25,205.1646,208.84,200.0678,624585
2017-07-07,209.23,213.7499,209.23,212.32,203.4016,444206
2017-07-10,212.69,212.84,209.3987,211.62,202.731,572369
2017-07-11,211.22,212.57,209.67,212.11,203.2004,775595
2017-07-12,212.46,214.97,211.6,213.54,204.5703,515314
2017-07-13,213.81,214.32,209.585,210.45,201.6101,838531
2017-07-14,210.39,211.72,208.81,209.21,200.4222,799368
2017-07-17,209.11,209.8898,206.0,208.25,199.5025,1169400
2017-07-18,208.74,212.5,208.265,211.45,202.5681,962550
2017-07-19,212.57,212.6,209.94,212.52,203.5932,654329
2017-07-20,213.22,213.77,209.68,212.44,203.5165,609138
2017-07-21,212.53,214.06,212.0681,213.22,204.2638,542660
2017-07-24,213.8,216.91,213.22,213.97,204.9823,1159574
2017-07-25,207.0,207.0,192.06,192.4,184.3183,4249525
2017-07-26,195.0,195.0,185.0,186.43,178.5991,2890590
2017-07-27,186.43,186.94,181.09,182.43,174.7671,1862408
2017-07-28,183.2,184.33,181.86,183.09,175.3994,1168960
2017-07-31,184.08,186.72,183.445,186.5,178.6661,1594615
2017-08-01,186.72,187.69,185.19,186.45,178.6182,748646
2017-08-02,189.0,193.38,188.6,192.35,184.2704,1830113
2017-08-03,192.95,199.8,192.5,198.23,189.9034,1986703
2017-08-04,199.21,200.95,195.4001,196.79,188.5239,1180667
2017-08-07,197.41,198.89,194.85,195.43,187.221,902201
2017-08-08,194.69,194.69,191.41,192.14,184.0692,1089163
2017-08-09,191.13,194.1799,189.51,193.83,185.6883,1193215
2017-08-10,192.66,194.1116,191.66,192.53,184.4429,786876
2017-08-11,189.04,194.7499,188.1001,192.86,184.759,756034
2017-08-14,194.8,195.1,192.19,193.91,185.7649,674472
2017-08-15,192.38,192.38,187.87,188.17,180.266,2029641
2017-08-16,188.11,189.105,186.44,187.67,179.787,1404103
2017-08-17,186.65,190.7,186.45,188.26,180.3522,788334
2017-08-18,187.92,189.0,186.7879,188.66,180.7354,1275769
2017-08-21,188.79,189.85,186.61,189.48,181.521,1023846
2017-08-22,189.41,190.97,188.08,189.01,181.0707,750803
2017-08-23,188.14,189.28,187.085,187.69,179.8062,692586
2017-08-24,187.98,188.23,183.24,183.3,175.6006,1227834
2017-08-25,181.55,182.209,175.8,178.73,171.2225,2112333
2017-08-28,178.79,180.11,176.65,178.76,171.2513,1031615
2017-08-29,178.02,178.72,176.1,178.38,170.8872,979052
2017-08-30,178.47,179.84,177.02,178.93,171.4141,851621
2017-08-31,179.13,183.95,178.09,182.26,174.6042,1084921
