Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,27.84,28.13,27.74,28.12,23.9652,2244801
2017-04-18,28.17,28.33,27.86,28.0,23.8629,3226456
2017-04-19,27.99,28.05,27.61,27.66,23.5732,2440622
2017-04-20,27.67,27.72,27.5,27.61,23.5306,2156825
2017-04-21,27.52,27.81,27.47,27.73,23.6328,1554907
2017-04-24,28.09,28.09,27.29,27.46,23.4027,1702697
2017-04-25,27.49,27.67,27.45,27.46,23.4027,1568095
2017-04-26,27.51,27.62,27.28,27.43,23.3772,1720074
2017-04-27,27.62,28.16,27.62,27.96,23.8289,2243523
2017-04-28,27.96,27.96,27.645,27.73,23.6328,1950638
2017-05-01,27.82,27.98,27.64,27.73,23.6328,1677098
2017-05-02,27.67,28.03,27.61,27.78,23.6755,2026018
2017-05-03,27.83,27.83,27.4,27.55,23.4794,1172396
2017-05-04,27.37,27.665,27.13,27.64,23.5561,2130252
2017-05-05,27.7,27.89,27.65,27.87,23.7522,1557256
2017-05-08,27.93,28.21,27.87,28.16,23.9993,2846650
2017-05-09,28.18,28.19,27.73,27.88,23.7607,1572431
2017-05-10,27.87,28.16,27.86,28.01,23.8715,2124964
2017-05-11,27.89,28.08,27.81,28.01,23.8715,1938856
2017-05-12,27.8,27.93,27.62,27.7,23.7637,2190167
2017-05-15,27.78,28.3,27.74,28.12,24.124,2687733
2017-05-16,28.07,28.22,27.91,28.14,24.1412,2112523
2017-05-17,28.09,28.67,28.07,28.49,24.4415,3695619
2017-05-18,28.46,28.46,28.05,28.3,24.2785,3294286
2017-05-19,28.4,28.63,28.2001,28.57,24.5101,5399315
2017-05-22,28.55,28.76,28.36,28.72,24.6388,1865515
2017-05-23,28.78,29.0,28.7,28.83,24.7331,1508205
2017-05-24,28.87,29.02,28.86,28.97,24.8532,1186179
2017-05-25,29.02,29.05,28.81,28.87,24.7675,1409833
2017-05-26,28.85,28.9,28.55,28.66,24.5873,747953
2017-05-30,28.6,28.73,28.48,28.51,24.4586,1226646
2017-05-31,28.63,28.78,28.34,28.67,24.5959,2635854
2017-06-01,28.68,29.05,28.49,29.0,24.879,2583300
