Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,66.436,67.4654,66.436,66.609,63.0651,2387371
2017-04-18,66.3495,66.4706,64.6799,65.2163,61.7465,3619667
2017-04-19,65.8824,65.8824,64.6194,65.0952,61.6318,3721048
2017-04-20,65.3287,65.5536,64.7751,65.3028,61.8284,3033922
2017-04-21,65.5017,66.1938,64.8875,66.0208,62.5082,3153452
2017-04-24,66.583,66.6349,65.2509,65.4758,61.9922,2492914
2017-04-25,65.2336,66.1073,64.9567,65.8564,62.3526,2692786
2017-04-26,66.0294,66.3927,65.4412,65.8651,62.3608,1810990
2017-04-27,66.0294,66.1505,65.1817,65.6401,62.1478,1370091
2017-04-28,65.6401,65.6401,64.8443,65.173,61.7056,2321017
2017-05-01,65.2076,66.436,64.8356,66.09,62.5737,3424419
2017-05-02,66.1159,67.4135,65.9602,66.5917,63.0488,2553720
2017-05-03,66.4706,67.9931,66.0294,66.8426,63.2863,3553082
2017-05-04,67.3702,67.7422,67.0588,67.0934,63.5238,2626316
2017-05-05,67.2924,67.8893,66.6523,67.8114,64.2036,1162127
2017-05-08,67.5952,67.846,67.0502,67.8287,64.22,1343966
2017-05-09,69.1436,69.2301,68.2007,68.3391,64.7032,4072010
2017-05-10,68.391,69.083,68.391,68.8668,65.2028,3112992
2017-05-11,68.5294,68.7889,68.3131,68.7024,65.0472,2052594
2017-05-12,68.7284,68.8841,68.4429,68.8754,65.211,1206864
2017-05-15,68.8927,69.7232,68.8927,69.6626,65.9563,2147848
2017-05-16,69.801,69.9221,69.455,69.7145,66.0054,1984968
2017-05-17,69.7145,69.7145,67.9239,68.1488,64.523,2480198
2017-05-18,68.0796,68.2439,67.2491,67.5779,63.9825,4338352
2017-05-19,67.5433,68.3651,67.4221,67.5346,63.9415,2001961
2017-05-22,67.5606,67.9758,67.1626,67.8893,64.2773,1766368
2017-05-23,67.8633,68.2353,67.6038,67.7076,64.1053,1260965
2017-05-24,67.9498,68.1055,66.955,67.4308,63.8432,1361999
2017-05-25,67.9412,68.8149,67.4913,68.0277,64.4084,1965431
2017-05-26,68.7803,69.4896,66.7561,68.045,64.4247,2742610
2017-05-30,67.5606,67.9931,66.8426,67.7682,64.1627,2308879
2017-05-31,67.673,68.0277,66.8858,67.0588,63.491,2769314
2017-06-01,66.8685,67.3183,66.4014,66.7301,63.1798,1987858
2017-06-02,66.609,67.6817,65.9948,67.1194,63.5484,2453841
2017-06-05,66.9118,67.5606,66.583,67.2578,63.6794,1937340
2017-06-06,67.0588,67.4654,66.4706,66.4965,62.9587,2320670
2017-06-07,66.5052,66.8253,66.064,66.41,62.8768,1318418
2017-06-08,66.41,66.5138,65.5363,65.8737,62.369,1726833
2017-06-09,65.6574,66.0813,64.282,64.9654,61.6547,2645506
2017-06-12,64.6453,65.7007,63.9619,65.3547,62.0242,2813820
2017-06-13,65.2422,65.7093,64.7924,65.6834,62.3361,2412803
2017-06-14,65.7439,65.9083,64.5848,64.6972,61.4002,1381073
2017-06-15,64.0657,64.5069,63.7976,64.1003,60.8338,1977685
2017-06-16,63.6938,64.8616,63.59,64.7405,61.4413,2953580
2017-06-19,64.8789,66.4965,64.7924,66.3581,62.9765,1946010
2017-06-20,66.0986,66.2111,65.4671,65.6747,62.3279,1734000
2017-06-21,65.7439,66.6003,65.5623,66.1073,62.7384,2312462
2017-06-22,66.2111,66.609,65.8477,66.3668,62.9847,1206748
2017-06-23,65.9775,67.8806,65.7958,67.872,64.4132,12128405
2017-06-26,67.5173,68.6073,67.3529,68.2093,64.7334,3292288
2017-06-27,67.9412,68.5554,67.0415,67.0588,63.6415,2325525
2017-06-28,67.3875,67.9758,66.8339,67.8201,64.3639,2481932
2017-06-29,67.6384,68.2093,67.0156,67.9412,64.4789,2311075
2017-06-30,67.6644,68.1488,66.3668,66.3668,62.9847,2110394
2017-07-03,66.4014,66.4792,65.6055,65.7007,62.3525,1407314
2017-07-05,65.7007,66.3235,65.6401,65.9516,62.5906,2057449
2017-07-06,65.917,66.3495,65.4325,66.1851,62.8123,2244605
2017-07-07,66.1851,67.1713,66.1419,67.0069,63.5922,974392
2017-07-10,66.9204,67.6903,66.7215,67.3443,63.9124,2535686
2017-07-11,67.4048,67.5173,66.9031,67.2405,63.8139,2249345
2017-07-12,67.6903,68.3218,67.4048,68.0623,64.5938,1118083
2017-07-13,68.0623,68.2785,67.4567,67.9585,64.4953,1165942
2017-07-14,68.1834,68.1834,67.4048,67.9152,64.4542,1631925
2017-07-17,67.9239,67.9671,67.1713,67.6557,64.2079,1712961
2017-07-18,67.6817,67.7768,67.2491,67.4567,64.0191,1987280
2017-07-19,67.474,68.0882,67.2751,68.0882,64.6184,2030167
2017-07-20,67.9239,68.2266,67.5519,68.0277,64.5609,932083
2017-07-21,67.9325,69.5156,67.9325,69.1523,65.6282,1861391
2017-07-24,69.2042,69.5415,68.8754,69.4204,65.8827,1632388
2017-07-25,69.5069,69.8356,69.1869,69.2561,65.7267,913356
2017-07-26,69.2561,69.5415,69.0744,69.2561,65.7267,1229984
2017-07-27,69.3945,69.455,66.9291,67.8893,64.4296,2078488
2017-07-28,67.8287,68.2439,67.7682,67.846,64.3886,1038782
2017-07-31,67.9412,68.3391,67.4394,67.8028,64.3475,1131146
2017-08-01,68.1228,68.6765,67.8374,68.6246,65.1274,1231371
2017-08-02,68.3131,68.5554,67.3529,67.5692,64.1258,1169178
2017-08-03,67.7941,68.0363,67.474,67.8547,64.3968,992542
2017-08-04,67.8979,68.2958,67.8201,68.0969,64.6266,963064
2017-08-07,68.0363,68.5554,68.019,68.2266,64.7498,1409164
2017-08-08,67.872,68.59,66.8339,67.0329,63.6169,3175994
2017-08-09,68.9273,73.0969,68.9187,71.782,68.124,5334709
2017-08-10,71.0986,71.41,69.8097,70.3028,66.7201,2848500
2017-08-11,70.4671,71.1073,69.9394,70.9775,67.3605,1794343
2017-08-14,71.6349,73.045,71.3668,72.8633,69.1502,2799138
2017-08-15,73.0536,74.1263,72.4913,73.8322,70.0697,2550714
