Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,26.82,27.12,26.82,27.03,24.2404,2183869
2017-04-18,26.87,26.92,26.64,26.8,24.0342,2780158
2017-04-19,26.74,26.815,26.44,26.49,23.7562,1760925
2017-04-20,26.46,26.72,26.46,26.65,23.8997,2545564
2017-04-21,26.53,26.63,26.49,26.57,23.8279,1269815
2017-04-24,26.99,26.99,26.79,26.81,24.0432,1664588
2017-04-25,26.71,26.81,26.66,26.78,24.0162,1825524
2017-04-26,26.72,26.84,26.48,26.49,23.7562,3431125
2017-04-27,26.49,26.54,25.98,26.21,23.5051,4273416
2017-04-28,26.18,26.34,26.11,26.26,23.5499,1927417
2017-05-01,26.28,26.39,26.22,26.22,23.514,1441672
2017-05-02,26.2,26.286,26.131,26.22,23.514,2276184
2017-05-03,26.14,26.27,26.08,26.13,23.4333,4991442
2017-05-04,26.01,26.1,25.76,25.81,23.1464,8855763
2017-05-05,25.85,26.32,25.835,26.29,23.5768,3069930
2017-05-08,26.33,26.36,26.195,26.32,23.6037,2825808
2017-05-09,26.27,26.335,26.021,26.13,23.4333,3351125
2017-05-10,26.2,26.3943,26.15,26.37,23.6486,1849964
2017-05-11,26.2,26.25,26.075,26.15,23.4513,2533382
2017-05-12,26.14,26.22,25.995,26.11,23.4154,2348789
2017-05-15,26.35,26.48,26.34,26.37,23.6486,1585511
2017-05-16,26.51,26.6,26.33,26.34,23.6217,1938855
2017-05-17,26.13,26.23,25.7562,25.8,23.1374,5423286
2017-05-18,25.75,25.97,25.58,25.81,23.1464,3900374
2017-05-19,26.0,26.33,25.96,26.28,23.5678,2896213
2017-05-22,26.28,26.545,26.28,26.43,23.7024,2211123
2017-05-23,26.45,26.56,26.36,26.39,23.6665,2684731
2017-05-24,26.38,26.44,26.215,26.41,23.6844,1442135
2017-05-25,26.55,26.6279,26.21,26.31,23.5948,2140243
2017-05-26,26.38,26.41,26.27,26.38,23.6575,1472500
2017-05-30,26.28,26.375,26.27,26.29,23.5768,2733810
2017-05-31,26.24,26.31,26.02,26.16,23.4602,3896278
2017-06-01,26.14,26.45,26.14,26.35,23.6306,2163439
2017-06-02,26.35,26.41,26.25,26.34,23.6217,1938437
2017-06-05,26.35,26.3856,26.155,26.35,23.6306,1806147
2017-06-06,26.39,26.49,26.25,26.49,23.7562,1717057
2017-06-07,26.43,26.555,26.14,26.18,23.4782,3433200
2017-06-08,26.19,26.307,26.17,26.3,23.5858,2749996
2017-06-09,26.35,26.61,26.331,26.51,23.7741,2708441
2017-06-12,26.53,26.75,26.3101,26.58,23.8369,4025342
2017-06-13,26.78,26.79,26.615,26.75,23.9893,2838531
2017-06-14,26.93,26.93,26.38,26.42,23.6934,2256823
2017-06-15,26.17,26.37,26.1099,26.32,23.6037,2766322
2017-06-16,26.44,26.56,26.25,26.55,23.81,2389301
2017-06-19,26.66,26.76,26.535,26.63,23.8817,2116289
2017-06-20,26.35,26.35,26.08,26.1,23.5972,3325729
2017-06-21,26.07,26.2301,25.92,25.98,23.4887,2070654
2017-06-22,26.14,26.399,26.1131,26.26,23.7418,3840571
2017-06-23,26.17,26.45,26.12,26.36,23.8322,1422426
2017-06-26,26.44,26.5999,26.33,26.43,23.8955,1699343
2017-06-27,26.56,26.63,26.43,26.54,23.995,1935030
2017-06-28,26.65,27.0,26.65,26.97,24.3837,2403002
2017-06-29,26.99,26.99,26.63,26.79,24.221,4298351
2017-06-30,26.95,26.95,26.62,26.76,24.1939,2408414
2017-07-03,27.0,27.06,26.85,26.94,24.3566,3206304
2017-07-05,26.75,26.93,26.4801,26.76,24.1939,5581541
2017-07-06,26.69,26.845,26.62,26.65,24.0944,2804664
2017-07-07,26.72,26.77,26.4962,26.76,24.1939,2140841
2017-07-10,26.7,26.99,26.65,26.9,24.3205,2315180
2017-07-11,26.82,26.9,26.69,26.88,24.3024,1727894
2017-07-12,27.0,27.45,26.99,27.29,24.6731,4101225
2017-07-13,27.28,27.36,27.21,27.33,24.7092,2076569
2017-07-14,27.37,27.609,27.36,27.55,24.9081,1251794
2017-07-17,27.56,27.635,27.41,27.43,24.7996,1523794
2017-07-18,27.56,27.65,27.37,27.54,24.8991,1607462
2017-07-19,27.66,27.84,27.65,27.79,25.1251,1422487
2017-07-20,27.84,27.96,27.79,27.86,25.1884,1523080
2017-07-21,27.89,27.9,27.641,27.8,25.1342,1256112
2017-07-24,27.85,27.85,27.68,27.82,25.1522,1069306
2017-07-25,27.9,28.12,27.87,27.94,25.2607,1133447
2017-07-26,28.01,28.15,27.82,27.98,25.2969,3559181
2017-07-27,27.98,28.02,27.575,27.77,25.107,2317605
2017-07-28,27.84,27.9382,27.8,27.9,25.2246,2701882
2017-07-31,27.86,28.0165,27.77,27.9,25.2246,2722658
2017-08-01,27.95,27.9959,27.57,27.83,25.1613,3350532
2017-08-02,27.75,27.96,27.74,27.9,25.2246,1680787
2017-08-03,27.84,27.98,27.72,27.77,25.107,1745756
2017-08-04,27.78,27.85,27.62,27.77,25.107,1345227
2017-08-07,27.66,27.75,27.58,27.74,25.0799,943574
2017-08-08,27.66,27.78,27.605,27.7,25.0437,1710778
2017-08-09,27.55,27.64,27.453,27.55,24.9081,1603307
2017-08-10,27.54,27.57,27.14,27.17,24.5646,3018192
2017-08-11,27.24,27.29,27.115,27.21,24.6007,3819572
2017-08-14,27.25,27.5,27.21,27.3,24.6821,2861452
2017-08-15,27.26,27.28,27.155,27.21,24.6007,1753324
2017-08-16,27.29,27.465,27.29,27.41,24.7815,2439373
2017-08-17,27.36,27.44,27.21,27.22,24.6098,2115788
2017-08-18,27.35,27.37,27.1818,27.27,24.655,1637889
