Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,28.24,28.33,28.21,28.28,25.0819,3055069
2017-04-18,28.17,28.28,28.085,28.25,25.0553,2360524
2017-04-19,28.29,28.3,28.13,28.15,24.9666,1182844
2017-04-20,28.37,28.45,28.32,28.34,25.1351,5964570
2017-04-21,28.32,28.36,28.255,28.34,25.1351,4358442
2017-04-24,29.54,29.69,29.53,29.66,26.3058,4214830
2017-04-25,29.74,29.93,29.72,29.9,26.5187,2618280
2017-04-26,29.71,29.8,29.67,29.73,26.3679,1791273
2017-04-27,29.73,29.73,29.6,29.67,26.3147,1947324
2017-04-28,29.75,29.77,29.67,29.68,26.3236,2548327
2017-05-01,29.74,29.91,29.73,29.87,26.4921,2130263
2017-05-02,29.82,29.99,29.77,29.97,26.5808,1901718
2017-05-03,29.91,29.97,29.875,29.91,26.5275,3842019
2017-05-04,30.19,30.445,30.19,30.42,26.9799,2444706
2017-05-05,30.42,30.905,30.41,30.88,27.3878,5018902
2017-05-08,30.44,30.46,30.36,30.44,26.9976,5278343
2017-05-09,30.43,30.48,30.3,30.36,26.9267,5302228
2017-05-10,30.4,30.415,30.285,30.33,26.9,1279845
2017-05-11,30.26,30.26,30.09,30.26,26.838,1206510
2017-05-12,30.39,30.55,30.375,30.54,27.0863,1924786
2017-05-15,30.59,30.7563,30.5701,30.74,27.2637,1486199
2017-05-16,31.05,31.08,30.955,31.02,27.512,2277290
2017-05-17,30.83,30.88,30.58,30.58,27.1218,2853379
2017-05-18,30.47,30.65,30.44,30.63,27.1661,2596788
2017-05-19,30.88,31.0,30.86,30.96,27.4588,4038498
2017-05-22,31.03,31.12,30.97,31.02,27.512,6148165
2017-05-23,31.12,31.14,30.945,30.98,27.4765,3532160
2017-05-24,30.93,31.02,30.855,31.01,27.5031,3094875
2017-05-25,30.96,31.035,30.915,30.96,27.4588,1141024
2017-05-26,30.75,30.82,30.7389,30.79,27.308,2714830
2017-05-30,30.85,30.96,30.79,30.82,27.3346,1405266
2017-05-31,31.15,31.205,30.98,31.02,27.512,2227064
2017-06-01,31.06,31.15,31.045,31.15,27.6273,4360997
2017-06-02,31.61,31.7461,31.545,31.69,28.1062,3773421
2017-06-05,31.53,31.54,31.42,31.52,27.9555,5494796
2017-06-06,31.27,31.36,31.24,31.27,27.7337,2664833
2017-06-07,31.27,31.34,31.11,31.29,27.7515,1688954
2017-06-08,31.15,31.21,31.1,31.2,27.6717,2796299
2017-06-09,31.22,31.35,31.18,31.28,27.7426,5186876
2017-06-12,31.15,31.18,31.03,31.12,27.6007,1510899
2017-06-13,31.28,31.38,31.235,31.33,27.787,2998724
2017-06-14,31.72,31.725,31.33,31.45,27.8934,2341545
2017-06-15,30.8,30.94,30.76,30.93,27.4322,1941959
2017-06-16,31.07,31.23,31.0402,31.23,27.6983,1530155
2017-06-19,31.47,31.5184,31.4001,31.45,27.8934,3134194
2017-06-20,30.79,30.825,30.49,30.56,27.6186,2373580
2017-06-21,30.5,30.57,30.43,30.56,27.6186,1916588
2017-06-22,30.57,30.6144,30.5,30.53,27.5914,3006375
2017-06-23,30.44,30.615,30.39,30.54,27.6005,1421900
2017-06-26,30.75,30.79,30.57,30.58,27.6366,1172485
2017-06-27,30.62,30.76,30.53,30.61,27.6637,2656854
2017-06-28,30.7,30.91,30.68,30.88,27.9078,1760137
2017-06-29,30.67,30.67,30.24,30.38,27.4559,3786312
2017-06-30,30.35,30.37,30.085,30.27,27.3565,3370222
2017-07-03,30.26,30.37,30.26,30.29,27.3745,1038343
2017-07-05,30.2,30.34,30.13,30.32,27.4017,2529825
2017-07-06,30.14,30.3,30.08,30.18,27.2751,2698983
2017-07-07,30.14,30.33,30.12,30.32,27.4017,2793604
2017-07-10,30.3,30.42,30.29,30.39,27.4649,2625708
2017-07-11,30.44,30.65,30.37,30.65,27.6999,4257914
2017-07-12,30.81,30.91,30.8,30.85,27.8806,10732120
2017-07-13,30.86,30.9,30.79,30.89,27.9168,4231201
2017-07-14,30.9,31.11,30.84,31.09,28.0975,1206213
2017-07-17,30.93,30.97,30.89,30.94,27.962,1785104
2017-07-18,30.76,30.86,30.72,30.82,27.8535,4458977
2017-07-19,30.76,30.84,30.72,30.82,27.8535,1491634
2017-07-20,31.02,31.07,30.89,31.01,28.0252,3864747
2017-07-21,30.62,30.675,30.485,30.66,27.7089,3015486
2017-07-24,30.46,30.6,30.41,30.59,27.6457,1939909
2017-07-25,30.78,30.785,30.6,30.62,27.6728,1640653
2017-07-26,30.7,30.8911,30.67,30.82,27.8535,2069269
2017-07-27,30.7,30.7,30.43,30.56,27.6186,3878623
2017-07-28,30.57,30.71,30.545,30.69,27.736,1608467
2017-07-31,30.66,30.74,30.53,30.71,27.7541,6247959
2017-08-01,30.99,31.155,30.98,31.0,28.0162,2657347
2017-08-02,31.1,31.12,30.92,31.0,28.0162,7822672
2017-08-03,30.95,31.04,30.9,30.9,27.9258,10200786
2017-08-04,31.1,31.13,30.94,31.06,28.0704,9905154
2017-08-07,30.99,31.01,30.95,31.01,28.0252,1401134
2017-08-08,30.94,31.04,30.83,30.88,27.9078,2584778
2017-08-09,30.49,30.74,30.461,30.73,27.7722,2750096
2017-08-10,30.36,30.3826,30.175,30.2,27.2932,2218380
2017-08-11,30.42,30.48,30.325,30.4,27.474,3146390
2017-08-14,30.77,30.8,30.7028,30.72,27.7632,1450312
2017-08-15,30.68,30.725,30.505,30.69,27.736,1419882
2017-08-16,30.75,30.905,30.745,30.86,27.8897,9888018
2017-08-17,30.71,30.77,30.46,30.47,27.5372,3715582
2017-08-18,30.57,30.705,30.52,30.64,27.6909,2379754
2017-08-21,30.55,30.59,30.4,30.54,27.6005,1380310
2017-08-22,30.73,30.85,30.73,30.84,27.8716,1614215
2017-08-23,30.78,30.89,30.77,30.88,27.9078,1468176
2017-08-24,30.92,30.97,30.78,30.79,27.8264,4006978
2017-08-25,30.88,31.1561,30.875,31.09,28.0975,4462448
2017-08-28,31.09,31.13,31.0357,31.11,28.1156,810475
2017-08-29,30.66,30.825,30.63,30.74,27.7812,3288083
2017-08-30,30.71,30.74,30.62,30.65,27.6999,1093266
2017-08-31,30.72,30.79,30.6,30.76,27.7993,1973118
2017-09-01,30.98,31.0066,30.84,30.85,27.8806,6108369
2017-09-05,30.97,31.04,30.68,30.77,27.8083,6849230
2017-09-06,31.26,31.34,31.15,31.27,28.2602,2780298
2017-09-07,31.65,31.665,31.53,31.63,28.5856,5031083
2017-09-08,31.68,31.69,31.58,31.59,28.5494,2563925
2017-09-11,31.87,32.0,31.87,31.94,28.8657,1500840
2017-09-12,32.03,32.07,31.98,32.02,28.938,1735921
2017-09-13,32.02,32.05,31.84,31.88,28.8115,2513787
2017-09-14,31.8,31.95,31.79,31.95,28.8748,1503097
2017-09-15,32.04,32.08,31.92,32.02,28.938,8558606
2017-09-18,32.12,32.16,32.03,32.1,29.0103,1998313
2017-09-19,32.17,32.24,32.135,32.21,29.1097,1696802
2017-09-20,32.2,32.33,31.93,32.11,29.0194,2222916
2017-09-21,32.12,32.185,32.08,32.13,29.0374,2489699
2017-09-22,32.22,32.28,32.17,32.19,29.0917,3288538
2017-09-25,32.03,32.07,31.8,31.86,28.7934,1982602
2017-09-26,31.82,31.85,31.691,31.77,28.7121,2330339
2017-09-27,31.76,31.91,31.7409,31.85,28.7844,927252
2017-09-28,32.0,32.08,31.98,32.01,28.929,3317822
2017-09-29,32.24,32.4456,32.18,32.43,29.3086,2278327
2017-10-02,32.29,32.3797,32.27,32.35,29.2363,1879784
2017-10-03,32.38,32.48,32.38,32.47,29.3447,1743743
2017-10-04,32.47,32.58,32.46,32.48,29.3538,5589255
2017-10-05,32.39,32.47,32.3655,32.47,29.3447,5673006
2017-10-06,32.32,32.495,32.32,32.48,29.3538,7384214
2017-10-09,32.47,32.5264,32.43,32.46,29.3357,1526435
2017-10-10,32.61,32.75,32.54,32.69,29.5435,3744666
2017-10-11,32.78,32.9,32.775,32.88,29.7153,2387939
2017-10-12,32.87,32.895,32.815,32.84,29.6791,1902673
2017-10-13,32.92,32.98,32.81,32.84,29.6791,1446727
