Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,22.5,22.59,22.41,22.59,19.4016,1312447
2017-04-18,22.24,22.32,22.23,22.29,19.144,2027822
2017-04-19,22.2,22.21,22.07,22.11,18.9894,2549734
2017-04-20,22.31,22.435,22.31,22.41,19.2471,1932582
2017-04-21,22.3,22.3,22.24,22.28,19.1354,1930350
2017-04-24,22.35,22.41,22.34,22.39,19.2299,1931780
2017-04-25,22.55,22.62,22.55,22.58,19.3931,1954106
2017-04-26,22.72,22.81,22.71,22.72,19.5133,1812127
2017-04-27,22.89,22.92,22.8501,22.89,19.6593,2061352
2017-04-28,22.96,22.96,22.88,22.9,19.6679,1193297
2017-05-01,22.93,23.03,22.915,22.95,19.7108,1175650
2017-05-02,23.01,23.04,22.97,23.02,19.771,1435486
2017-05-03,22.98,23.02,22.94,22.97,19.728,1684276
2017-05-04,22.98,23.02,22.92,22.97,19.728,2745307
2017-05-05,22.8,22.93,22.8,22.93,19.6937,1785337
2017-05-08,22.85,22.92,22.83,22.91,19.6765,5658038
2017-05-09,23.15,23.23,23.13,23.2,19.9256,3006325
2017-05-10,23.24,23.29,23.21,23.28,19.9943,1159098
2017-05-11,23.24,23.31,23.21,23.3,20.0114,1941584
2017-05-12,23.26,23.357,23.25,23.35,20.0544,3520695
2017-05-15,23.36,23.52,23.355,23.49,20.1746,5661238
2017-05-16,23.4,23.445,23.35,23.41,20.1059,1923207
2017-05-17,23.3,23.33,23.13,23.15,19.8826,3182805
2017-05-18,23.15,23.35,23.14,23.28,19.9943,3316634
2017-05-19,23.24,23.33,23.21,23.3,20.0114,4630174
2017-05-22,23.24,23.31,23.24,23.28,19.9943,1883585
2017-05-23,23.29,23.35,23.27,23.31,20.02,3909425
2017-05-24,23.36,23.46,23.36,23.42,20.1145,1970950
2017-05-25,23.475,23.5,23.45,23.48,20.166,1962758
2017-05-26,23.45,23.4996,23.43,23.46,20.1489,1686835
2017-05-30,23.5,23.615,23.49,23.58,20.2519,1816120
2017-05-31,23.74,23.76,23.63,23.65,20.312,3058838
2017-06-01,23.9,23.92,23.805,23.9,20.5268,2538578
2017-06-02,24.005,24.04,23.94,24.01,20.6212,3265200
2017-06-05,23.9,23.945,23.82,23.83,20.4666,3247199
2017-06-06,24.08,24.14,24.0697,24.1,20.6985,2012951
2017-06-07,24.06,24.095,24.0,24.05,20.6556,1547774
2017-06-08,24.18,24.2,24.14,24.18,20.7672,1794952
2017-06-09,24.19,24.22,24.02,24.13,20.7243,2538716
2017-06-12,23.92,23.95,23.855,23.9,20.5268,2371852
2017-06-13,24.06,24.13,24.06,24.1,20.6985,4448948
2017-06-14,23.99,24.07,23.92,23.97,20.5869,2819251
2017-06-15,23.79,23.87,23.79,23.85,20.4838,3396435
2017-06-16,23.8,23.84,23.76,23.84,20.4752,5053689
2017-06-19,24.05,24.14,24.05,24.14,20.7329,2362812
2017-06-20,23.62,23.62,23.5,23.53,20.5494,2954623
2017-06-21,23.49,23.52,23.46,23.47,20.497,1883085
2017-06-22,23.61,23.64,23.56,23.57,20.5843,1909772
2017-06-23,23.51,23.55,23.47,23.51,20.5319,3354101
2017-06-26,23.67,23.7,23.63,23.69,20.6891,2843820
2017-06-27,23.61,23.65,23.54,23.57,20.5843,2269684
2017-06-28,23.53,23.5799,23.49,23.56,20.5756,3131897
2017-06-29,23.54,23.57,23.36,23.46,20.4883,3353573
2017-06-30,23.46,23.51,23.41,23.43,20.4621,3174736
2017-07-03,23.34,23.42,23.29,23.34,20.3835,2635578
2017-07-05,23.08,23.2,23.07,23.2,20.2612,2930811
2017-07-06,23.14,23.17,23.03,23.05,20.1302,3791342
2017-07-07,23.14,23.18,23.09,23.15,20.2175,1739883
2017-07-10,23.27,23.34,23.26,23.3,20.3485,1677565
2017-07-11,23.48,23.5,23.42,23.47,20.497,1621894
2017-07-12,23.56,23.7,23.55,23.67,20.6717,3988323
2017-07-13,23.72,23.84,23.72,23.79,20.7765,2030075
2017-07-14,23.77,23.9,23.76,23.88,20.8551,2673949
2017-07-17,23.75,23.77,23.69,23.76,20.7503,2184840
2017-07-18,23.8,23.835,23.73,23.79,20.7765,5653681
2017-07-19,23.83,23.86,23.8,23.84,20.8201,2185184
2017-07-20,23.88,23.95,23.87,23.9,20.8725,3278471
2017-07-21,23.95,23.99,23.9235,23.95,20.9162,2079925
2017-07-24,24.07,24.09,24.03,24.06,21.0123,2498645
2017-07-25,24.09,24.11,24.05,24.07,21.021,3307670
2017-07-26,24.0,24.105,23.96,24.09,21.0385,3174235
2017-07-27,24.16,24.19,23.95,24.06,21.0123,3798193
2017-07-28,24.13,24.19,24.1,24.17,21.1083,2019848
2017-07-31,24.32,24.34,24.275,24.28,21.2044,2089685
2017-08-01,24.55,24.55,24.49,24.5,21.3965,1806562
2017-08-02,24.58,24.61,24.49,24.53,21.4227,2195929
2017-08-03,24.61,24.66,24.59,24.62,21.5013,1817960
2017-08-04,24.59,24.61,24.53,24.6,21.4839,2046248
2017-08-07,24.55,24.58,24.525,24.58,21.4664,823139
2017-08-08,24.64,24.78,24.61,24.65,21.5275,2830125
2017-08-09,24.65,24.75,24.63,24.73,21.5974,3250390
2017-08-10,24.44,24.45,24.14,24.17,21.1083,4897163
2017-08-11,24.1,24.19,24.041,24.14,21.0821,4275268
2017-08-14,24.28,24.38,24.26,24.35,21.2655,2399115
2017-08-15,24.18,24.24,24.14,24.22,21.152,2214011
2017-08-16,24.44,24.46,24.37,24.42,21.3267,2921337
2017-08-17,24.1,24.21,23.98,24.01,20.9686,4743150
2017-08-18,24.04,24.12,23.975,24.03,20.9861,2696559
2017-08-21,24.08,24.14,24.03,24.11,21.0559,1433539
2017-08-22,24.29,24.38,24.27,24.35,21.2655,4123999
2017-08-23,24.24,24.37,24.23,24.32,21.2393,2220799
2017-08-24,24.34,24.37,24.23,24.3,21.2219,3679762
2017-08-25,24.52,24.55,24.46,24.46,21.3616,2247952
2017-08-28,24.47,24.51,24.385,24.42,21.3267,1959402
2017-08-29,24.29,24.44,24.28,24.4,21.3092,3095698
2017-08-30,24.52,24.56,24.48,24.5,21.3965,2229550
2017-08-31,24.68,24.76,24.68,24.69,21.5625,3197229
2017-09-01,24.74,24.91,24.74,24.84,21.6935,6020882
2017-09-05,24.67,24.71,24.5,24.6,21.4839,2483239
2017-09-06,24.61,24.715,24.6,24.7,21.5712,1928849
2017-09-07,24.63,24.64,24.56,24.62,21.5013,2982558
2017-09-08,24.84,24.86,24.71,24.72,21.5887,3699176
2017-09-11,24.95,25.05,24.94,25.04,21.8681,2580892
2017-09-12,24.93,24.95,24.86,24.91,21.7546,2382464
2017-09-13,24.88,24.89,24.81,24.83,21.6847,2870496
2017-09-14,24.76,24.81,24.69,24.75,21.6149,6364352
2017-09-15,24.78,24.9,24.74,24.86,21.7109,2101747
2017-09-18,25.09,25.1399,25.03,25.06,21.8856,2439808
2017-09-19,24.96,25.04,24.96,25.04,21.8681,1584127
2017-09-20,25.0,25.06,24.78,25.01,21.8419,3503101
2017-09-21,24.92,24.97,24.895,24.93,21.7721,2464152
2017-09-22,24.73,24.78,24.7201,24.77,21.6323,2004331
2017-09-25,24.49,24.52,24.33,24.46,21.3616,3235797
2017-09-26,24.51,24.54,24.43,24.45,21.3529,3251780
2017-09-27,24.53,24.575,24.39,24.47,21.3703,3078998
2017-09-28,24.35,24.55,24.34,24.5,21.3965,4189242
2017-09-29,24.53,24.75,24.51,24.69,21.5625,3404882
2017-10-02,24.75,24.88,24.735,24.74,21.6061,5157412
2017-10-03,24.87,24.9,24.8,24.89,21.7371,5747686
2017-10-04,24.94,24.97,24.91,24.93,21.7721,3781347
2017-10-05,24.99,25.24,24.94,25.19,21.9991,4091945
2017-10-06,24.97,25.03,24.91,25.02,21.8507,4375559
2017-10-09,24.95,24.98,24.89,24.95,21.7895,2161849
2017-10-10,25.13,25.18,25.085,25.17,21.9817,1718971
2017-10-11,24.9,25.02,24.89,25.02,21.8507,3018033
2017-10-12,25.01,25.08,24.99,25.03,21.8594,2483979
2017-10-13,25.18,25.2591,25.16,25.22,22.0253,2906217
2017-10-16,25.31,25.37,25.31,25.32,22.1127,3714722
2017-10-17,25.34,25.37,25.28,25.32,22.1127,2294482
2017-10-18,25.39,25.47,25.38,25.39,22.1738,3855486
2017-10-19,25.06,25.19,25.05,25.16,21.9729,3589609
2017-10-20,25.14,25.17,25.07,25.11,21.9293,4860908
2017-10-23,25.04,25.04,24.93,24.93,21.7721,2323644
2017-10-24,24.89,24.97,24.84,24.87,21.7197,2985556
2017-10-25,24.85,24.89,24.61,24.76,21.6236,3870915
2017-10-26,24.93,24.975,24.83,24.84,21.6935,3058749
2017-10-27,24.84,24.96,24.8,24.94,21.7808,3182988
2017-10-30,24.67,24.695,24.58,24.66,21.5363,3009373
2017-10-31,24.66,24.69,24.63,24.68,21.5537,2378591
2017-11-01,24.95,25.02,24.92,24.93,21.7721,3936730
2017-11-02,24.97,25.1,24.9,25.1,21.9205,21045631
2017-11-03,25.03,25.1,24.96,25.03,21.8594,5494209
2017-11-06,24.92,25.02,24.92,25.01,21.8419,2020692
2017-11-07,25.225,25.24,25.09,25.12,21.938,4335985
2017-11-08,25.3,25.39,25.28,25.35,22.1389,1981398
2017-11-09,25.22,25.32,25.155,25.29,22.0865,4516551
2017-11-10,25.31,25.46,25.3,25.45,22.2262,3200986
2017-11-13,25.63,25.69,25.58,25.65,22.4009,3400712
2017-11-14,25.68,25.71,25.61,25.64,22.3921,2944215
2017-11-15,25.52,25.54,25.41,25.46,22.2349,5507851
2017-11-16,25.54,25.7,25.53,25.6,22.3572,6620986
2017-11-17,25.47,25.48,25.4,25.43,22.2087,2518613
2017-11-20,25.48,25.63,25.46,25.57,22.331,3387349
2017-11-21,26.01,26.05,25.98,26.0,22.7065,2890516
2017-11-22,26.02,26.04,25.94,26.02,22.724,2863281
2017-11-24,26.13,26.175,26.09,26.14,22.8288,1530654
2017-11-27,26.04,26.07,25.9801,26.0,22.7065,3240387
2017-11-28,25.84,26.015,25.78,26.0,22.7065,3820440
2017-11-29,25.86,25.86,25.72,25.81,22.5406,4990041
2017-11-30,25.76,25.76,25.6435,25.66,22.4096,5701333
2017-12-01,25.57,25.6355,25.4,25.57,22.331,5328138
2017-12-04,25.58,25.62,25.41,25.44,22.2175,3276934
2017-12-05,25.34,25.44,25.285,25.33,22.1214,3545400
2017-12-06,25.0,25.12,24.975,25.11,21.9293,4146809
2017-12-07,25.03,25.12,24.98,25.08,21.9031,5054772
2017-12-08,25.26,25.28,25.205,25.24,22.0428,1820962
2017-12-11,25.39,25.46,25.25,25.27,22.069,17039189
2017-12-12,25.34,25.38,25.27,25.3,22.0952,4921029
2017-12-13,25.56,25.69,25.56,25.61,22.3659,3233174
2017-12-14,25.37,25.43,25.285,25.31,22.1039,3314881
2017-12-15,25.28,25.43,25.23,25.38,22.1651,6021434
2017-12-18,25.48,25.61,25.48,25.58,22.3397,2583514
2017-12-19,24.83,24.87,24.715,24.78,22.256,6496244
2017-12-20,24.9,24.9,24.7985,24.84,22.3099,1859439
2017-12-21,24.95,25.03,24.9,24.98,22.4357,3296036
2017-12-22,25.04,25.14,25.01,25.13,22.5704,2846945
2017-12-26,25.15,25.15,25.07,25.11,22.5524,1354102
2017-12-27,25.23,25.24,25.125,25.17,22.6063,2375083
2017-12-28,25.37,25.37,25.26,25.29,22.7141,1485346
2017-12-29,25.47,25.5,25.41,25.42,22.8308,1872590
2018-01-02,25.65,25.71,25.62,25.71,23.0913,2480967
2018-01-03,25.73,25.87,25.73,25.86,23.226,3209482
2018-01-04,25.85,25.875,25.795,25.87,23.235,3858993
2018-01-05,25.85,25.94,25.82,25.94,23.2979,2723388
2018-01-08,25.89,25.96,25.86,25.93,23.2889,2264467
2018-01-09,26.02,26.06,25.97,26.01,23.3607,4021775
2018-01-10,25.92,25.98,25.88,25.94,23.2979,4670293
2018-01-11,25.95,26.09,25.92,26.09,23.4326,4278591
2018-01-12,26.05,26.27,26.03,26.26,23.5853,7738779
2018-01-16,26.42,26.485,26.2,26.28,23.6032,5901194
2018-01-17,26.47,26.62,26.43,26.56,23.8547,5495178
2018-01-18,26.32,26.4,26.26,26.38,23.6931,6942361
2018-01-19,26.48,26.5,26.38,26.5,23.8008,4959700
2018-01-22,26.58,26.76,26.55,26.73,24.0074,2919653
2018-01-23,26.77,26.81,26.71,26.78,24.0523,2682486
2018-01-24,26.77,26.88,26.635,26.75,24.0254,6095748
2018-01-25,26.75,26.84,26.63,26.75,24.0254,5340729
2018-01-26,26.88,26.925,26.83,26.9,24.1601,4605827
2018-01-29,26.51,26.58,26.475,26.51,23.8098,6209033
2018-01-30,26.5,26.57,26.415,26.45,23.7559,5216420
2018-01-31,26.73,26.78,26.49,26.6,23.8907,5542477
2018-02-01,26.41,26.5,26.295,26.37,23.6841,6116759
2018-02-02,26.21,26.23,25.96,25.96,23.3158,6537454
2018-02-05,25.85,26.005,25.12,25.14,22.5794,11838080
2018-02-06,24.88,25.72,24.84,25.49,22.8937,17579439
2018-02-07,24.99,25.23,24.87,24.89,22.3548,8900205
2018-02-08,25.05,25.09,24.52,24.52,22.0225,10484900
2018-02-09,24.25,24.485,23.79,24.34,21.8608,11992460
2018-02-12,24.39,24.63,24.28,24.54,22.0405,5613844
2018-02-13,24.53,24.74,24.51,24.7,22.1842,7143911
2018-02-14,24.72,25.2,24.71,25.16,22.5973,5076379
2018-02-15,25.35,25.4759,25.18,25.45,22.8578,3797215
2018-02-16,25.39,25.65,25.32,25.42,22.8308,5883098
2018-02-20,25.21,25.4,25.21,25.31,22.732,7403664
2018-02-21,25.61,25.77,25.36,25.37,22.7859,6872477
2018-02-22,25.38,25.49,25.3,25.31,22.732,4363546
2018-02-23,25.51,25.62,25.45,25.62,23.0105,3947168
2018-02-26,25.9,25.99,25.82,25.97,23.3248,4770622
2018-02-27,25.94,25.99,25.735,25.83,23.1991,13086440
2018-02-28,25.81,25.89,25.58,25.58,22.9745,5402157
2018-03-01,25.85,25.96,25.49,25.6,22.9925,7037711
2018-03-02,25.33,25.64,25.25,25.62,23.0105,5505006
2018-03-05,25.1,25.36,25.06,25.33,22.75,5763401
