Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,51.07,51.2,51.04,51.15,47.1393,5103353
2017-04-18,50.96,50.99,50.85,50.99,46.9918,5455745
2017-04-19,51.11,51.14,50.9,50.96,46.9642,4284519
2017-04-20,51.19,51.32,51.175,51.27,47.2499,11182140
2017-04-21,51.45,51.51,51.405,51.46,47.425,6415536
2017-04-24,51.82,51.85,51.72,51.82,47.7568,5117447
2017-04-25,52.05,52.145,51.99,52.01,47.9319,3638518
2017-04-26,52.09,52.22,52.06,52.07,47.9872,7508925
2017-04-27,52.13,52.1668,52.015,52.11,48.024,7082180
2017-04-28,51.91,51.93,51.84,51.86,47.7936,6285128
2017-05-01,52.05,52.11,51.99,52.06,47.9779,3742242
2017-05-02,52.32,52.34,52.2014,52.22,48.1254,4027511
2017-05-03,52.15,52.44,52.08,52.35,48.2452,4769017
2017-05-04,52.28,52.5,52.225,52.48,48.365,6380711
2017-05-05,52.54,52.79,52.5,52.77,48.6323,5867523
2017-05-08,52.88,52.91,52.76,52.79,48.6507,12056470
2017-05-09,52.64,52.68,52.54,52.62,48.494,7210547
2017-05-10,52.47,52.48,52.38,52.38,48.2729,5114185
2017-05-11,52.32,52.35,52.22,52.24,48.1438,6924483
2017-05-12,52.36,52.45,52.33,52.37,48.2636,4669248
2017-05-15,52.52,52.5991,52.49,52.52,48.4019,4032086
2017-05-16,52.64,52.67,52.44,52.56,48.4387,3930351
2017-05-17,52.6,52.67,52.425,52.48,48.365,7070036
2017-05-18,52.42,52.67,52.325,52.62,48.494,5130370
2017-05-19,52.87,53.08,52.83,53.05,48.8903,6983610
2017-05-22,53.0,53.07,52.96,53.02,48.8627,2777886
2017-05-23,53.14,53.18,53.07,53.09,48.9272,3325880
2017-05-24,52.9,53.01,52.825,53.01,48.8535,2855214
2017-05-25,53.09,53.19,53.05,53.15,48.9825,2368260
2017-05-26,53.03,53.18,52.975,53.18,49.0101,2552964
2017-05-30,53.24,53.365,53.2,53.29,49.1115,3478795
2017-05-31,53.39,53.39,53.23,53.29,49.1115,2829089
2017-06-01,53.7,53.7765,53.62,53.77,49.5539,6246210
2017-06-02,54.61,54.9,54.5535,54.9,50.5953,6194511
2017-06-05,54.68,54.755,54.6511,54.69,50.4017,3887156
2017-06-06,54.72,54.805,54.68,54.73,50.4386,3551298
2017-06-07,54.82,54.84,54.68,54.71,50.4202,2958678
2017-06-08,54.61,54.63,54.5,54.58,50.3004,9928587
2017-06-09,54.15,54.34,53.92,54.09,49.8488,8924614
2017-06-12,54.19,54.31,54.14,54.26,50.0054,4420430
2017-06-13,54.49,54.5843,54.45,54.56,50.2819,3466346
2017-06-14,54.64,54.71,54.4,54.53,50.2543,6849846
2017-06-15,53.86,54.05,53.75,54.0,49.7658,10854690
2017-06-16,54.06,54.23,54.02,54.22,49.9686,8192761
2017-06-19,54.34,54.43,54.3,54.39,50.1252,8283112
2017-06-20,54.06,54.145,54.03,54.06,50.1422,11766970
2017-06-21,53.98,54.0,53.91,53.98,50.068,7067602
2017-06-22,54.05,54.095,54.0,54.09,50.17,9904960
2017-06-23,54.01,54.08,53.96,54.05,50.1329,3424601
2017-06-26,54.12,54.16,53.88,53.9,49.9938,4722819
2017-06-27,53.89,53.9,53.72,53.77,49.8732,3860156
2017-06-28,53.77,54.04,53.73,54.01,50.0958,6797559
2017-06-29,53.77,53.845,53.27,53.47,49.5949,7503079
2017-06-30,53.71,53.755,53.48,53.65,49.7619,5430509
2017-07-03,53.59,53.595,53.35,53.39,49.5207,6118231
2017-07-05,53.3,53.43,53.22,53.4,49.53,4338238
2017-07-06,53.1,53.1,52.93,53.01,49.1683,22679750
2017-07-07,52.81,53.0,52.81,52.98,49.1405,4266356
2017-07-10,52.84,52.96,52.8114,52.84,49.0106,6575150
2017-07-11,53.05,53.21,52.99,53.2,49.3445,5612785
2017-07-12,53.49,53.61,53.49,53.57,49.6877,4816314
2017-07-13,53.43,53.52,53.37,53.5,49.6228,3427549
2017-07-14,53.71,53.72,53.525,53.63,49.7433,5660041
2017-07-17,53.63,53.75,53.535,53.56,49.6784,5914149
2017-07-18,53.78,53.86,53.75,53.84,49.9381,5013258
2017-07-19,54.0,54.09,53.97,54.06,50.1422,3381290
2017-07-20,54.24,54.345,54.18,54.26,50.3277,5541698
2017-07-21,54.24,54.4,54.21,54.36,50.4204,4349053
2017-07-24,54.25,54.27,54.095,54.25,50.3184,2889101
2017-07-25,54.13,54.25,54.05,54.06,50.1422,4581425
2017-07-26,54.1,54.26,53.98,54.24,50.3091,5565957
2017-07-27,54.49,54.49,54.3,54.42,50.4761,6378501
2017-07-28,54.41,54.6,54.38,54.58,50.6245,2834088
2017-07-31,54.68,54.8,54.63,54.76,50.7915,2854161
2017-08-01,55.21,55.28,55.08,55.08,51.0883,4806835
2017-08-02,55.12,55.1367,55.04,55.05,51.0604,2426620
2017-08-03,55.06,55.245,55.05,55.19,51.1903,8120566
2017-08-04,55.15,55.185,54.995,55.14,51.1439,3911443
2017-08-07,54.99,55.135,54.97,55.12,51.1254,2465248
2017-08-08,55.06,55.15,54.975,55.06,51.0697,4645426
2017-08-09,54.77,54.77,54.64,54.72,50.7544,8718900
2017-08-10,54.58,54.6,54.08,54.15,50.2257,5540669
2017-08-11,54.17,54.24,54.06,54.07,50.1515,5947697
2017-08-14,54.4,54.52,54.38,54.47,50.5225,6447296
2017-08-15,54.49,54.53,54.355,54.4,50.4575,3462881
2017-08-16,54.41,54.6,54.39,54.58,50.6245,3427400
2017-08-17,54.53,54.58,54.2,54.21,50.2813,6611680
2017-08-18,54.38,54.58,54.375,54.45,50.5039,6360980
