Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,60.14,60.52,60.06,60.52,55.1365,1956961
2017-04-18,59.77,59.8,59.35,59.56,54.2619,2311731
2017-04-19,59.75,59.81,59.3,59.33,54.0524,2267783
2017-04-20,60.13,60.49,60.13,60.49,55.1092,2213749
2017-04-21,60.85,61.01,60.68,60.96,55.5374,2811268
2017-04-24,61.6,61.69,61.14,61.38,55.92,2094063
2017-04-25,62.22,62.48,62.2,62.33,56.7855,2448553
2017-04-26,62.22,62.41,62.04,62.2,56.6671,1788389
2017-04-27,62.26,62.33,62.04,62.12,56.5942,3490977
2017-04-28,62.0,62.15,61.88,62.1,56.576,2039139
2017-05-01,62.08,62.59,62.05,62.45,56.8948,2023357
2017-05-02,63.13,63.33,62.98,63.29,57.6601,1592672
2017-05-03,62.99,63.04,62.59,62.84,57.2502,1445770
2017-05-04,63.34,63.38,63.0,63.01,57.405,3522645
2017-05-05,62.9,63.43,62.84,63.41,57.7695,2370487
2017-05-08,65.19,65.38,64.9,65.03,59.2453,4978977
2017-05-09,65.18,66.02,65.17,65.64,59.8011,6251274
2017-05-10,64.53,64.95,64.44,64.94,59.1634,3790255
2017-05-11,65.8,66.115,65.355,65.99,60.12,3288457
2017-05-12,65.77,65.93,65.6212,65.88,60.0197,2554709
2017-05-15,66.42,66.58,66.31,66.51,60.5937,1972744
2017-05-16,66.36,66.59,66.32,66.58,60.6575,1605319
2017-05-17,66.09,66.14,65.35,65.41,59.5915,4044548
2017-05-18,65.16,65.66,64.87,65.47,59.6462,2981148
2017-05-19,66.13,66.81,66.13,66.77,60.8306,2374600
2017-05-22,66.9,67.235,66.9,67.07,61.1039,2094157
2017-05-23,66.86,66.98,66.62,66.8,60.8579,2029578
2017-05-24,66.97,67.25,66.83,67.22,61.2405,1659578
2017-05-25,67.7,67.97,67.7,67.92,61.8783,3580443
2017-05-26,68.22,68.49,68.1,68.44,62.352,2976182
2017-05-30,67.35,67.72,67.24,67.48,61.4774,2853096
2017-05-31,68.2,68.23,67.555,67.72,61.6961,1912482
2017-06-01,67.56,67.87,67.4,67.74,61.7143,2741371
2017-06-02,68.55,68.78,68.41,68.66,62.5524,3279061
2017-06-05,68.56,68.63,68.39,68.5,62.4067,2124479
2017-06-06,68.26,68.61,68.26,68.5,62.4067,1504327
2017-06-07,67.95,68.04,67.56,67.82,61.7872,2922217
2017-06-08,68.22,68.325,68.08,68.29,62.2154,1981966
2017-06-09,68.61,68.735,67.8,67.94,61.8965,5377416
2017-06-12,67.25,67.3,67.005,67.23,61.2496,4520122
2017-06-13,67.69,68.18,67.69,68.14,62.0787,2239713
2017-06-14,68.77,69.01,68.28,68.53,62.434,3705601
2017-06-15,67.35,67.47,67.06,67.4,61.4045,3134725
2017-06-16,67.25,67.36,66.98,67.27,61.2861,2957087
2017-06-19,67.76,67.83,67.47,67.67,61.6505,2544989
2017-06-20,67.4,67.45,66.835,66.88,60.9308,1888916
