Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,36.76,37.57,36.67,37.55,31.2035,18783850
2017-04-18,37.34,37.87,37.11,37.28,30.9792,11068430
2017-04-19,37.37,37.43,36.43,36.46,30.2978,11120460
2017-04-20,36.85,36.92,36.135,36.33,30.1897,14171420
2017-04-21,36.46,36.6,36.09,36.16,30.0485,13761020
2017-04-24,37.22,37.41,37.055,37.22,30.9293,11959000
2017-04-25,36.62,37.28,36.51,37.21,30.921,15643590
2017-04-26,36.69,37.11,36.5,36.86,30.6302,13105280
2017-04-27,37.17,37.17,36.45,36.7,30.4972,11526960
2017-04-28,36.47,37.23,36.43,37.17,30.8878,17779949
2017-05-01,37.25,37.795,37.09,37.47,31.1371,8359641
2017-05-02,37.57,38.38,37.57,38.31,31.8351,19169830
2017-05-03,38.11,38.31,37.75,37.88,31.4778,9684321
2017-05-04,37.46,37.48,36.77,36.9,30.6634,15488670
2017-05-05,37.17,37.62,37.01,37.59,31.2368,11542660
2017-05-08,37.33,37.6,36.9948,37.11,30.8379,11133840
2017-05-09,37.33,37.935,37.33,37.8,31.4113,14141460
2017-05-10,38.47,38.76,38.45,38.58,32.0595,15761160
2017-05-11,38.85,39.08,38.57,38.96,32.3752,12192170
2017-05-12,39.47,39.85,39.42,39.74,33.0234,22975340
2017-05-15,40.0,40.26,39.91,40.15,33.3641,16380800
2017-05-16,40.37,40.46,39.99,40.44,33.6051,18132480
2017-05-17,39.93,40.085,39.04,39.14,32.5248,20321471
2017-05-18,32.19,34.59,31.78,32.75,27.2148,166606797
2017-05-19,34.64,35.19,34.33,34.96,29.0513,54404660
2017-05-22,34.16,34.39,33.35,33.99,28.2452,38466754
2017-05-23,34.42,35.0,34.42,34.8,28.9183,30406369
2017-05-24,35.18,35.825,34.96,35.18,29.2341,29025270
2017-05-25,35.31,35.48,34.59,34.95,29.043,19679561
2017-05-26,35.35,35.79,35.23,35.5,29.5,23143070
2017-05-30,35.48,35.64,35.37,35.54,29.5333,11321310
2017-05-31,35.64,35.7399,35.11,35.17,29.2258,14579350
2017-06-01,35.47,35.57,34.725,34.89,28.9931,16180660
2017-06-02,35.25,35.3,34.71,34.93,29.0264,16114300
2017-06-05,34.59,34.96,34.3645,34.55,28.7106,19925689
2017-06-06,34.74,35.11,34.525,34.96,29.0513,17451850
2017-06-07,35.17,35.34,34.78,35.04,29.1178,13661720
2017-06-08,34.66,35.0,34.49,34.89,28.9931,15859290
2017-06-09,34.9,35.02,34.2101,34.24,28.453,13364840
2017-06-12,34.11,34.27,33.49,33.85,28.1289,21677949
2017-06-13,33.84,33.99,33.555,33.96,28.2203,16070190
2017-06-14,34.45,34.72,34.0,34.32,28.5195,18109801
2017-06-15,33.87,34.05,33.6,33.96,28.2203,12508920
2017-06-16,34.07,34.2,33.875,34.14,28.3699,14622100
2017-06-19,33.95,34.45,33.95,34.31,28.5111,21970369
2017-06-20,33.75,33.77,32.82,32.82,27.4947,29422090
2017-06-21,33.04,33.285,32.7,32.9,27.5618,14202210
2017-06-22,32.96,33.26,32.765,33.1,27.7293,18085770
2017-06-23,33.12,33.24,32.9,33.04,27.679,11722420
2017-06-26,33.5,34.02,33.49,34.0,28.4833,14216210
2017-06-27,33.61,33.915,33.24,33.42,27.9974,16233290
2017-06-28,33.72,34.0,33.305,33.96,28.4498,13440430
2017-06-29,33.96,34.05,33.455,33.82,28.3325,12063320
2017-06-30,33.92,34.27,33.88,34.14,28.6006,11254990
2017-07-03,34.45,34.57,34.19,34.4,28.8184,7280681
2017-07-05,34.29,34.61,33.81,34.45,28.8603,18135221
