Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,89.12,90.13,89.12,90.1,77.4939,811287
2017-04-18,89.81,90.72,89.31,90.14,77.5283,1084008
2017-04-19,92.89,94.99,91.515,91.91,79.0506,1909153
2017-04-20,92.15,93.18,92.11,92.9,79.9021,984480
2017-04-21,92.9,93.5199,92.6,93.11,80.0827,723131
2017-04-24,93.97,93.97,92.66,93.6,80.5042,938166
2017-04-25,94.11,94.59,93.02,93.29,80.2375,636835
2017-04-26,93.58,93.89,92.91,93.13,80.0999,665858
2017-04-27,93.35,93.89,92.89,93.33,80.2719,745383
2017-04-28,93.35,93.35,91.18,92.02,79.1452,1551845
2017-05-01,92.2,92.2,90.93,91.34,78.5604,772337
2017-05-02,91.41,92.08,91.26,92.07,79.1882,662959
2017-05-03,92.14,92.21,91.44,92.06,79.1796,724484
2017-05-04,92.05,92.56,91.68,92.25,79.3431,816204
2017-05-05,92.41,92.73,91.83,92.73,79.7559,592634
2017-05-08,92.75,92.9199,92.21,92.54,79.5925,480040
2017-05-09,92.65,92.99,92.22,92.83,79.8419,445813
2017-05-10,92.83,92.83,92.03,92.79,79.8075,633458
2017-05-11,92.31,92.31,90.7,91.85,78.999,577211
2017-05-12,91.6,91.764,91.01,91.44,78.6464,516035
2017-05-15,91.52,92.87,91.33,91.86,79.0076,857632
2017-05-16,92.09,92.09,90.83,91.54,78.7324,519267
2017-05-17,91.16,91.88,90.69,91.13,78.3798,806930
2017-05-18,91.12,92.33,90.92,91.65,78.827,845426
2017-05-19,91.72,92.48,90.67,92.12,79.2312,2530984
2017-05-22,92.14,92.86,92.08,92.46,79.5237,687142
2017-05-23,91.4,91.65,89.55,90.65,77.9669,1380038
2017-05-24,90.27,90.84,89.83,90.17,77.5541,907536
2017-05-25,90.49,91.52,90.03,91.36,78.5776,611712
2017-05-26,91.5,93.89,91.3,93.28,80.2289,1143798
2017-05-30,93.06,93.58,91.9689,92.54,79.5925,1033100
2017-05-31,92.54,92.71,92.04,92.62,79.6613,1189080
2017-06-01,93.04,94.35,92.515,94.11,80.9428,681975
2017-06-02,94.29,94.85,93.955,94.28,81.089,802777
2017-06-05,94.13,94.389,93.56,93.78,80.659,606783
2017-06-06,93.44,93.44,91.7001,92.12,79.2312,714803
2017-06-07,90.97,92.1,90.97,91.84,79.5735,647285
2017-06-08,91.85,91.89,90.78,90.89,78.7504,610323
2017-06-09,90.95,91.71,90.55,91.61,79.3742,692462
2017-06-12,91.61,93.42,91.61,92.97,80.5526,566109
2017-06-13,92.98,93.95,92.34,93.86,81.3237,579165
2017-06-14,93.44,95.1,93.37,94.26,81.6703,795960
2017-06-15,93.73,94.97,93.58,94.84,82.1728,617133
2017-06-16,94.72,95.65,93.75,95.61,82.8399,1354037
2017-06-19,95.84,95.87,93.4,93.49,81.0031,1010474
2017-06-20,93.0,93.02,91.1,91.27,79.0796,877057
2017-06-21,91.3,91.49,89.6,89.89,77.8839,974245
2017-06-22,89.83,90.15,89.01,89.67,77.6933,919708
2017-06-23,89.65,90.92,89.28,90.74,78.6204,2244190
2017-06-26,90.99,91.68,90.61,91.16,78.9843,583841
2017-06-27,91.09,91.8,90.56,90.85,78.7157,653648
2017-06-28,91.29,92.71,91.17,91.94,79.6601,630702
2017-06-29,92.0,92.39,90.72,91.12,78.9497,631075
2017-06-30,91.38,93.24,91.2,92.76,80.3706,827470
2017-07-03,92.8,93.97,91.99,93.66,81.1504,541075
2017-07-05,91.91,92.595,88.81,89.16,77.2514,1818160
2017-07-06,87.1,88.59,86.21,86.74,75.1547,1709881
2017-07-07,86.84,87.39,86.52,86.86,75.2586,831414
2017-07-10,86.62,86.82,84.87,85.1,73.7337,1406611
2017-07-11,85.06,85.33,83.82,84.27,73.0146,1106656
2017-07-12,84.45,84.58,83.56,84.0,72.7806,1455691
2017-07-13,84.05,84.09,82.81,83.7,72.5207,2449690
2017-07-14,84.01,84.13,83.28,83.35,72.2174,1129228
2017-07-17,83.45,84.63,83.44,84.07,72.8413,1122245
2017-07-18,83.93,84.27,82.67,83.01,71.9229,1322540
2017-07-19,83.24,83.35,82.42,82.96,71.8795,3090036
2017-07-20,82.42,84.3,80.86,81.69,70.7792,2548020
2017-07-21,82.18,83.42,82.0,82.71,71.6629,1685375
2017-07-24,82.63,82.69,81.5041,81.81,70.8831,966366
2017-07-25,82.2,83.675,82.12,83.32,72.1915,1045584
2017-07-26,83.45,83.56,82.79,82.81,71.7496,970578
2017-07-27,83.01,84.99,82.77,84.79,73.4651,1224376
2017-07-28,84.73,85.22,83.28,83.93,72.72,971327
2017-07-31,84.1,85.04,84.0691,84.93,73.5864,1976105
2017-08-01,85.01,85.31,83.83,84.96,73.6124,968279
2017-08-02,84.65,85.22,84.32,84.43,73.1532,655797
2017-08-03,84.32,84.94,84.03,84.11,72.8759,560867
2017-08-04,84.32,84.43,83.7,83.88,72.6767,524531
2017-08-07,83.9,84.42,83.55,84.15,72.9106,438086
2017-08-08,84.22,84.59,83.32,83.45,72.3041,539879
2017-08-09,83.3,83.66,82.91,83.48,72.3301,650967
2017-08-10,82.98,83.205,82.09,82.29,71.299,556049
2017-08-11,82.11,82.93,82.1,82.81,71.7496,470391
2017-08-14,83.3,83.92,82.72,83.77,72.5813,679849
2017-08-15,82.0,82.3,79.86,80.48,69.7308,2197309
2017-08-16,80.99,82.58,80.73,82.25,71.2644,913936
2017-08-17,82.24,83.05,81.43,81.49,70.6059,747484
2017-08-18,81.27,81.97,81.21,81.6,70.7012,698841
2017-08-21,81.75,83.11,81.3531,82.67,71.6283,1011706
2017-08-22,82.96,83.2,82.2,82.64,71.6023,632445
2017-08-23,82.36,82.8,82.08,82.57,71.5416,483693
2017-08-24,82.96,83.31,82.21,82.48,71.4636,665710
2017-08-25,82.65,83.87,82.65,83.3,72.1741,516067
2017-08-28,83.48,83.53,82.45,82.95,71.8709,411841
2017-08-29,82.35,82.83,81.79,81.83,70.9005,543380
2017-08-30,81.87,83.045,81.63,82.9,71.8275,621717
2017-08-31,82.91,83.55,82.75,82.83,71.7669,1037592
2017-09-01,83.23,84.13,83.1,83.84,72.642,450126
2017-09-05,83.53,84.92,83.53,84.31,73.0492,858131
2017-09-06,84.64,85.35,84.4259,85.31,73.9157,896468
2017-09-07,84.79,84.79,84.02,84.44,73.7454,921763
2017-09-08,84.53,85.67,84.31,85.35,74.5401,744465
2017-09-11,85.68,86.49,85.3175,85.82,74.9506,752145
2017-09-12,86.02,87.12,85.95,86.44,75.492,963894
2017-09-13,86.39,86.95,86.155,86.94,75.9287,556258
