Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,15.16,15.19,15.08,15.1,14.9219,172356
2017-04-18,15.01,15.07,14.92,15.02,14.8428,145549
2017-04-19,15.01,15.05,14.63,14.71,14.5365,241100
2017-04-20,14.75,14.75,14.61,14.65,14.4772,194919
2017-04-21,14.64,14.67,14.42,14.46,14.2894,346968
2017-04-24,14.45,14.45,14.36,14.39,14.2203,141245
2017-04-25,14.4,14.54,14.34,14.52,14.3487,328969
2017-04-26,14.38,14.59,14.38,14.42,14.2499,1198413
2017-04-27,14.31,14.42,14.25,14.42,14.2499,249550
2017-04-28,14.45,14.4914,14.38,14.43,14.2598,219381
2017-05-01,14.44,14.4817,14.41,14.46,14.2894,343581
2017-05-02,14.46,14.46,14.25,14.3,14.1313,165291
2017-05-03,14.24,14.36,14.24,14.3,14.1313,84991
2017-05-04,13.87,14.1588,13.83,13.9,13.736,90057
2017-05-05,13.95,14.0992,13.925,14.04,13.8744,210232
2017-05-08,14.01,14.06,13.9,14.03,13.8645,55334
2017-05-09,14.04,14.04,13.89,13.91,13.7459,85858
2017-05-10,14.03,14.21,13.99,14.18,14.0127,75247
2017-05-11,14.27,14.29,14.2,14.25,14.0819,47958
2017-05-12,14.29,14.33,14.23,14.32,14.1511,948136
2017-05-15,14.54,14.54,14.39,14.43,14.2598,349289
2017-05-16,14.47,14.49,14.35,14.38,14.2104,221456
2017-05-17,14.49,14.523,14.37,14.45,14.2796,430352
2017-05-18,14.35,14.49,14.31,14.45,14.2796,177079
2017-05-19,14.61,14.74,14.61,14.73,14.5563,135458
2017-05-22,14.8,14.87,14.7955,14.82,14.6452,436063
2017-05-23,14.84,14.84,14.76,14.8,14.6254,83388
2017-05-24,14.76,14.83,14.7047,14.75,14.576,96626
2017-05-25,14.73,14.76,14.35,14.36,14.1906,164395
2017-05-26,14.43,14.52,14.38,14.51,14.3389,88865
2017-05-30,14.42,14.45,14.32,14.39,14.2203,90192
2017-05-31,14.19,14.3,14.14,14.26,14.0918,1273684
2017-06-01,14.25,14.33,14.17,14.19,14.0226,89113
2017-06-02,14.11,14.39,14.035,14.12,13.9535,139199
2017-06-05,14.02,14.0401,13.97,14.02,13.8546,212283
2017-06-06,13.99,14.13,13.98,14.12,13.9535,195185
2017-06-07,14.05,14.1018,13.81,13.85,13.6866,267433
2017-06-08,13.81,13.9168,13.8007,13.83,13.6669,1291887
2017-06-09,13.83,13.94,13.83,13.87,13.7064,1308416
2017-06-12,13.97,13.97,13.78,13.79,13.6273,1300039
2017-06-13,13.78,13.87,13.74,13.87,13.7064,159903
2017-06-14,13.82,13.89,13.55,13.57,13.4099,1142759
2017-06-15,13.55,13.585,13.51,13.58,13.4198,1302960
2017-06-16,13.66,13.68,13.6164,13.67,13.5088,2886281
2017-06-19,13.7,13.7,13.54,13.56,13.4001,93450
2017-06-20,13.39,13.42,13.3,13.41,13.2518,429219
2017-06-21,13.45,13.49,13.16,13.19,13.0344,1180752
2017-06-22,13.31,13.32,13.21,13.21,13.0542,1117835
2017-06-23,13.27,13.31,13.2088,13.29,13.1332,422499
2017-06-26,13.3,13.39,13.21,13.36,13.2024,88069
2017-06-27,13.49,13.565,13.43,13.5,13.3408,465749
2017-06-28,13.53,13.62,13.46,13.62,13.4593,208950
2017-06-29,13.69,13.78,13.66,13.7,13.5384,190747
2017-06-30,13.81,14.03,13.78,14.02,13.8546,3831935
2017-07-03,14.09,14.185,14.09,14.14,13.9732,57069
2017-07-05,14.08,14.12,13.8544,13.87,13.7064,186216
2017-07-06,13.95,14.045,13.88,13.9,13.736,143838
2017-07-07,13.8,13.8,13.65,13.72,13.5582,141534
2017-07-10,13.7,13.84,13.7,13.78,13.6175,536212
2017-07-11,13.72,13.95,13.72,13.94,13.7756,439883
2017-07-12,14.09,14.09,13.89,13.89,13.7262,531117
2017-07-13,13.91,13.98,13.88,13.92,13.7558,110178
2017-07-14,14.0,14.08,13.99,14.07,13.904,83139
2017-07-17,14.04,14.09,13.98,14.0,13.8349,195678
2017-07-18,14.12,14.1479,14.0,14.05,13.8843,213745
2017-07-19,14.11,14.24,14.1068,14.23,14.0622,211270
2017-07-20,14.33,14.33,14.15,14.17,14.0029,114797
2017-07-21,14.18,14.18,13.9229,13.94,13.7756,180272
2017-07-24,13.96,13.98,13.921,13.96,13.7953,214190
2017-07-25,14.14,14.2,14.09,14.16,13.993,142949
2017-07-26,14.27,14.36,14.1777,14.34,14.1709,122812
2017-07-27,14.46,14.46,14.37,14.42,14.2499,88473
2017-07-28,14.49,14.56,14.48,14.52,14.3487,173384
2017-07-31,14.5,14.62,14.45,14.61,14.4377,581086
2017-08-01,14.49,14.49,14.27,14.41,14.24,157632
2017-08-02,14.44,14.51,14.34,14.51,14.3389,444904
2017-08-03,14.49,14.55,14.36,14.37,14.2005,126239
2017-08-04,14.41,14.45,14.3434,14.44,14.2697,74334
2017-08-07,14.36,14.459,14.3146,14.43,14.2598,90882
2017-08-08,14.49,14.49,14.39,14.41,14.24,49296
2017-08-09,14.48,14.52,14.43,14.49,14.3191,152443
2017-08-10,14.59,14.59,14.26,14.26,14.0918,120009
2017-08-11,14.24,14.37,14.234,14.35,14.1807,118008
2017-08-14,14.28,14.35,14.12,14.12,13.9535,159696
2017-08-15,14.04,14.12,14.02,14.12,13.9535,86577
2017-08-16,14.18,14.18,14.0,14.02,13.8546,176691
2017-08-17,13.96,14.06,13.9255,14.0,13.8349,84002
2017-08-18,14.08,14.3,13.99,14.29,14.1214,104173
2017-08-21,14.21,14.2199,14.07,14.08,13.9139,71980
