Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,47.82,48.41,47.72,48.36,43.0944,2379530
2017-04-18,48.09,48.21,47.51,47.69,42.4973,1825899
2017-04-19,47.94,48.04,47.06,47.26,42.1141,3265710
2017-04-20,47.46,47.805,46.97,47.63,42.4438,3478598
2017-04-21,47.51,47.82,47.21,47.28,42.132,2368358
2017-04-24,47.88,48.0,47.35,47.36,42.2032,7786562
2017-04-25,47.75,47.9,47.42,47.75,42.5508,3391992
2017-04-26,47.84,48.71,47.73,48.11,42.8716,3354270
2017-04-27,48.16,48.45,47.99,48.24,42.9874,2909455
2017-04-28,48.21,48.65,46.685,48.36,43.0944,4074669
2017-05-01,48.53,48.9,48.21,48.71,43.4063,2242248
2017-05-02,48.66,49.13,48.615,48.77,43.4597,2127036
2017-05-03,48.75,49.21,48.66,49.04,43.7003,1683001
2017-05-04,49.33,49.63,49.12,49.36,43.9855,2191144
2017-05-05,49.43,49.51,49.32,49.5,44.1102,1618874
2017-05-08,49.48,49.6,49.28,49.37,43.9944,1915731
2017-05-09,49.52,49.74,49.15,49.26,43.8964,2646027
2017-05-10,49.16,49.9,49.1,49.75,44.333,2180515
2017-05-11,49.66,49.66,49.24,49.54,44.1459,2143419
2017-05-12,49.23,49.3,49.0,49.08,43.736,2037915
2017-05-15,49.15,49.3,48.92,49.2,43.8429,1774622
2017-05-16,49.31,49.485,48.965,49.28,43.9142,1839129
2017-05-17,48.61,49.085,48.57,48.9,43.5756,3198175
2017-05-18,48.71,49.05,48.645,48.69,43.3884,2501930
2017-05-19,48.92,49.0,48.36,48.42,43.1478,2267168
2017-05-22,48.64,49.11,48.53,48.8,43.4865,1774849
2017-05-23,48.8,49.23,48.72,49.15,43.7983,1474684
2017-05-24,49.16,49.375,49.085,49.23,43.8696,1773061
2017-05-25,49.55,49.83,49.34,49.72,44.3063,1723736
2017-05-26,49.63,49.63,49.03,49.23,43.8696,2740290
2017-05-30,48.93,49.175,48.85,49.05,43.9152,1330290
2017-05-31,49.06,49.5,48.92,49.39,44.2196,2467855
2017-06-01,49.36,49.87,49.18,49.84,44.6225,2303508
2017-06-02,49.66,49.84,49.46,49.64,44.4434,1947524
2017-06-05,49.6,49.78,49.45,49.45,44.2733,1600840
2017-06-06,49.63,49.78,49.0,49.58,44.3897,3042384
2017-06-07,49.65,49.9,49.39,49.71,44.5061,1835506
2017-06-08,49.67,50.78,49.67,50.72,45.4103,3474853
2017-06-09,50.92,51.59,50.705,51.51,46.1176,3057913
