Date,Open,High,Low,Close,Adjusted_close,Volume
2017-10-13,5.04,5.04,5.04,5.04,5.04,1300
2017-10-16,5.0475,5.0475,5.0475,5.0475,5.0475,3
2017-10-19,5.0425,5.0425,5.0425,5.0425,5.0425,3000
2017-10-24,5.045,5.045,5.045,5.045,5.045,2766
2017-10-27,5.0575,5.0625,5.0575,5.0575,5.0575,4940
2017-10-31,5.0675,5.0675,5.0675,5.0675,5.0675,4000
2017-11-01,5.075,5.075,5.075,5.075,5.075,10000
2017-11-07,5.08,5.08,5.08,5.08,5.08,294
2017-11-08,5.07,5.07,5.07,5.07,5.07,3000
2017-11-09,5.045,5.045,5.045,5.045,5.045,5000
2017-11-10,5.0375,5.0375,5.0175,5.0275,5.0275,16000
2017-11-13,5.0275,5.03,5.025,5.0288,5.0288,20800
2017-11-14,5.04,5.04,5.04,5.04,5.04,10000
2017-11-15,4.999,4.999,4.999,4.999,4.999,399
2017-11-16,5.035,5.0425,5.035,5.035,5.035,9270
2017-11-17,5.03,5.03,5.03,5.03,5.03,3000
2017-11-22,5.0325,5.0325,5.0325,5.0325,5.0325,847
2017-11-23,5.0375,5.0375,5.0375,5.0375,5.0375,585
2017-11-27,5.0525,5.0525,5.0525,5.0525,5.0525,10000
2017-11-28,5.05,5.05,5.045,5.0463,5.0463,71389
2017-11-29,5.0425,5.0425,5.0425,5.0425,5.0425,150000
2017-11-30,5.0388,5.0388,5.0388,5.0388,5.0388,24000
2017-12-01,5.0375,5.0375,5.0375,5.0375,5.0375,703
2017-12-04,5.0375,5.0375,5.0375,5.0375,5.0375,67321
2017-12-06,5.0375,5.0375,5.035,5.035,5.035,10000
2017-12-07,5.0295,5.0295,5.0295,5.0295,5.0295,19600
2017-12-11,5.0356,5.0356,5.0356,5.0356,5.0356,22400
2017-12-12,5.0301,5.0301,5.0301,5.0301,5.0301,30221
2017-12-15,5.0275,5.03,5.0275,5.0275,5.0275,5000
2017-12-18,5.02,5.02,5.02,5.02,5.02,3139
2017-12-19,5.03,5.03,5.02,5.0225,5.0225,3970
2017-12-27,5.0375,5.0375,5.0374,5.0374,5.0374,26757
2018-01-02,5.048,5.05,5.04,5.0435,5.0435,118500
2018-01-03,5.04,5.0525,5.04,5.05,5.05,30434
2018-01-04,5.0475,5.0475,5.0475,5.0475,5.0475,10000
2018-01-05,5.065,5.065,5.065,5.065,5.065,10000
2018-01-08,5.065,5.065,5.065,5.065,5.065,361
2018-01-10,5.0525,5.0525,5.0525,5.0525,5.0525,1075
2018-01-11,5.0575,5.0575,5.0475,5.0475,5.0475,30520
2018-01-12,5.05,5.05,5.05,5.05,5.05,18522
2018-01-16,5.0625,5.0625,5.055,5.0563,5.0563,12350
2018-01-17,5.0575,5.0575,5.055,5.055,5.055,1500
2018-01-22,5.0525,5.0525,5.0525,5.0525,5.0525,384
2018-01-24,5.07,5.07,5.065,5.065,5.065,10987
2018-01-25,5.055,5.055,5.055,5.055,5.055,1300
2018-01-26,5.0475,5.0475,5.0475,5.0475,5.0475,4245
2018-01-29,5.0475,5.0525,5.0475,5.0525,5.0525,5867
2018-01-31,5.045,5.045,5.045,5.045,5.045,85372
2018-02-01,5.035,5.04,5.035,5.0388,5.0388,23392
2018-02-02,5.035,5.035,5.025,5.0288,5.0288,3868
2018-02-05,5.025,5.025,5.025,5.025,5.025,529
2018-02-07,5.0225,5.0275,5.0225,5.0275,5.0275,18908
2018-02-08,5.03,5.03,5.0275,5.0275,5.0275,5914
2018-02-09,4.999,4.999,4.999,4.999,4.999,17408
2018-02-12,5.0,5.009,5.0,5.0023,5.0023,1592
2018-02-13,4.9955,5.001,4.989,4.989,4.989,20652
2018-02-14,4.9855,4.986,4.978,4.978,4.978,2522
2018-02-16,5.005,5.014,5.001,5.0105,5.0105,7549
2018-02-19,4.989,4.989,4.989,4.989,4.989,6000
2018-02-20,5.019,5.019,5.019,5.019,5.019,1795
2018-02-21,5.011,5.011,5.005,5.0075,5.0075,8029
2018-02-22,5.01,5.01,4.998,5.0025,5.0025,2446
2018-02-23,4.996,4.996,4.996,4.996,4.996,10127
2018-02-26,5.008,5.008,5.008,5.008,5.008,3000
2018-02-28,5.005,5.014,5.005,5.0095,5.0095,2952
2018-03-01,5.015,5.015,5.004,5.0095,5.0095,11151
2018-03-02,5.018,5.018,5.004,5.004,5.004,6847
2018-03-05,4.9965,4.9965,4.9965,4.9965,4.9965,833
2018-03-06,5.009,5.009,5.005,5.009,5.009,1359
2018-03-07,5.014,5.014,5.014,5.014,5.014,17000
2018-03-08,5.007,5.007,5.007,5.007,5.007,353
2018-03-12,5.032,5.032,5.028,5.031,5.031,2394
2018-03-13,5.024,5.024,5.023,5.024,5.024,1297
2018-03-14,5.028,5.028,5.02,5.02,5.02,7000
2018-03-15,5.029,5.029,5.029,5.029,5.029,7526
2018-03-16,5.045,5.045,5.045,5.045,5.045,1028
2018-03-20,5.01,5.01,5.006,5.01,5.01,1521
2018-03-21,5.019,5.019,5.019,5.019,5.019,979
2018-03-22,5.004,5.004,5.004,5.004,5.004,3000
2018-03-23,4.9925,4.998,4.9925,4.998,4.998,6682
2018-03-26,5.003,5.005,4.992,5.0018,5.0018,10472
2018-03-27,5.014,5.014,5.007,5.0095,5.0095,42540
2018-03-28,5.002,5.002,5.002,5.002,5.002,447
2018-04-03,5.012,5.012,4.999,5.0025,5.0025,532
2018-04-04,5.01,5.01,5.01,5.01,5.01,308
2018-04-05,5.017,5.017,5.017,5.017,5.017,452
2018-04-06,5.016,5.017,5.015,5.0165,5.0165,5135
2018-04-09,5.023,5.023,5.023,5.023,5.023,10165
2018-04-10,5.031,5.031,5.018,5.024,5.024,2217
2018-04-12,5.035,5.039,5.022,5.0375,5.0375,4756
2018-04-13,5.044,5.051,5.038,5.047,5.047,239238
