Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,18.5,18.61,18.4,18.47,16.1479,7527213
2017-04-18,18.44,18.64,18.405,18.61,16.2703,6881920
2017-04-19,18.69,19.03,18.66,19.0,16.6113,11697080
2017-04-20,19.02,19.165,18.56,19.05,16.655,10641590
2017-04-21,19.03,19.06,18.78,18.82,16.4539,5606576
2017-04-24,19.04,19.1,18.82,19.0,16.6113,7469271
2017-04-25,19.11,19.27,19.0,19.05,16.655,6283399
2017-04-26,19.01,19.44,18.95,19.27,16.8473,9286157
2017-04-27,19.32,19.34,19.07,19.24,16.8211,7379197
2017-04-28,19.41,19.46,17.74,17.95,15.6933,27336199
2017-05-01,18.04,18.33,17.91,18.05,15.7807,9445964
2017-05-02,18.08,18.58,18.05,18.44,16.1217,12243780
2017-05-03,18.46,18.53,18.12,18.2,15.9119,7336957
2017-05-04,18.21,18.24,17.9,18.0,15.737,7219060
2017-05-05,18.1,18.36,17.99,18.13,15.8507,6789821
2017-05-08,18.19,18.24,17.65,17.8,15.5621,9623596
2017-05-09,17.85,18.11,17.72,17.83,15.5884,8153392
2017-05-10,17.79,18.105,17.64,18.01,15.7457,7770735
2017-05-11,17.88,17.89,17.52,17.68,15.4572,5902875
2017-05-12,17.62,17.725,17.45,17.48,15.2824,4921764
2017-05-15,17.55,17.81,17.54,17.75,15.5184,5563798
2017-05-16,17.73,17.82,17.61,17.68,15.4572,8288432
2017-05-17,17.5,17.72,17.34,17.64,15.4223,9175272
2017-05-18,17.57,18.16,17.35,18.03,15.7632,12104340
2017-05-19,18.07,18.19,17.94,18.09,15.8157,6847236
2017-05-22,18.12,18.315,18.06,18.11,15.8332,7417711
2017-05-23,18.17,18.38,18.085,18.16,15.8769,4928344
2017-05-24,18.19,18.31,17.98,18.21,15.9206,5846596
2017-05-25,18.21,18.315,17.98,18.09,15.8157,5152078
2017-05-26,18.04,18.19,18.03,18.07,15.7982,3222902
2017-05-30,18.07,18.08,17.84,17.85,15.6059,3742474
2017-05-31,17.96,18.02,17.67,17.99,15.7283,10644060
2017-06-01,18.02,18.1,17.86,17.88,15.6321,8616029
