Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,87.33,87.5,87.23,87.48,68.5356,7158744
2017-04-18,87.47,87.56,87.23,87.46,68.5199,9062784
2017-04-19,87.51,87.7,87.33,87.38,68.4573,8643171
2017-04-20,87.48,87.69,87.44,87.67,68.6845,7765997
2017-04-21,87.64,87.71,87.49,87.6,68.6296,11328250
2017-04-24,87.96,88.02,87.88,88.01,68.9508,8904681
2017-04-25,88.07,88.2,88.03,88.17,69.0762,12493450
2017-04-26,88.09,88.23,88.07,88.09,69.0135,7268976
2017-04-27,88.09,88.16,88.01,88.15,69.0605,6897880
2017-04-28,88.16,88.24,88.07,88.12,69.037,7542839
2017-05-01,87.75,87.85,87.7,87.79,69.072,10335970
2017-05-02,87.89,87.9,87.7601,87.82,69.0956,10792750
2017-05-03,87.89,87.945,87.8,87.9,69.1586,7413478
2017-05-04,87.84,87.84,87.35,87.43,68.7888,20562480
2017-05-05,87.64,87.66,87.38,87.58,68.9068,14935210
2017-05-08,87.61,87.73,87.54,87.68,68.9855,8199164
2017-05-09,87.8,87.85,87.61,87.62,68.9383,10810040
2017-05-10,87.85,88.04,87.725,88.0,69.2373,10824910
2017-05-11,87.94,88.04,87.83,88.01,69.2451,8461428
2017-05-12,88.06,88.07,87.91,87.98,69.2215,8929918
2017-05-15,88.12,88.25,88.11,88.18,69.3789,10690180
2017-05-16,88.27,88.35,88.18,88.31,69.4812,12638860
2017-05-17,88.02,88.1,87.87,87.92,69.1743,14055660
2017-05-18,87.66,88.16,87.631,88.02,69.253,10731840
2017-05-19,88.17,88.31,88.13,88.18,69.3789,15998810
2017-05-22,88.36,88.45,88.27,88.45,69.5913,7181805
2017-05-23,88.49,88.49,88.35,88.44,69.5834,6998424
2017-05-24,88.5,88.61,88.4,88.59,69.7015,8533664
2017-05-25,88.59,88.745,88.49,88.52,69.6464,7985459
2017-05-26,88.5,88.59,88.5,88.57,69.6857,2909501
2017-05-30,88.56,88.7,88.52,88.66,69.7565,5371116
2017-05-31,88.67,88.7,88.53,88.65,69.7487,13758360
2017-06-01,88.36,88.6,88.2857,88.53,69.9519,19189311
2017-06-02,88.55,88.66,88.5,88.58,69.9914,9491606
2017-06-05,88.55,88.64,88.46,88.5,69.9282,10384390
2017-06-06,88.48,88.51,88.31,88.36,69.8175,14386510
2017-06-07,88.44,88.44,88.07,88.18,69.6753,13329000
2017-06-08,88.2,88.34,88.03,88.25,69.7306,14208260
2017-06-09,88.34,88.45,88.2,88.32,69.7859,10414860
2017-06-12,88.35,88.54,88.29,88.47,69.9045,9900029
