Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,12.39,12.44,12.33,12.35,24.5975,5767192
2017-04-18,12.38,12.44,12.305,12.41,24.717,8307456
2017-04-19,12.36,12.36,12.26,12.31,24.5178,7782175
2017-04-20,12.31,12.35,12.28,12.33,24.5576,5126305
2017-04-21,12.35,12.395,12.31,12.37,24.6373,8352730
2017-04-24,12.21,12.29,12.2,12.29,24.478,5454472
2017-04-25,12.19,12.22,12.14,12.16,24.2191,7624509
2017-04-26,12.16,12.23,12.12,12.22,24.3386,7094617
2017-04-27,12.18,12.19,12.13,12.18,24.2589,7420745
2017-04-28,12.16,12.21,12.16,12.21,24.3186,7477191
2017-05-01,12.16,12.21,12.065,12.09,24.0796,8020570
2017-05-02,12.06,12.1,12.05,12.1,24.0996,5347623
2017-05-03,12.05,12.06,11.92,11.92,23.741,28859724
2017-05-04,11.8,11.86,11.79,11.81,23.522,7499180
2017-05-05,11.81,11.84,11.79,11.82,23.5419,4265861
2017-05-08,11.83,11.85,11.79,11.8,23.502,4139587
2017-05-09,11.75,11.75,11.68,11.73,23.3626,9599366
2017-05-10,11.77,11.78,11.71,11.74,23.3825,5605514
2017-05-11,11.75,11.81,11.74,11.77,23.4423,5806127
2017-05-12,11.83,11.85,11.8,11.81,23.522,3596295
2017-05-15,11.88,11.89,11.83,11.85,23.6016,4323273
2017-05-16,11.88,11.925,11.87,11.89,23.6813,4855073
2017-05-17,12.07,12.14,12.06,12.12,24.1394,8534265
2017-05-18,12.11,12.12,11.98,12.02,23.9402,6349296
2017-05-19,12.07,12.0864,12.02,12.08,24.0597,7532037
2017-05-22,12.09,12.15,12.09,12.12,24.1394,6687733
2017-05-23,12.15,12.151,12.03,12.05,24.0,5783354
2017-05-24,12.05,12.1034,12.02,12.1,24.0996,4926663
2017-05-25,12.09,12.105,12.06,12.09,24.0796,3986735
2017-05-26,12.18,12.22,12.165,12.19,24.2788,4674197
2017-05-30,12.16,12.17,12.13,12.14,24.1792,5418379
2017-05-31,12.17,12.26,12.16,12.2,24.2987,6037806
2017-06-01,12.16,12.21,12.14,12.21,24.3186,5514289
2017-06-02,12.26,12.31,12.25,12.29,24.478,7942209
2017-06-05,12.32,12.33,12.2921,12.31,24.5178,5955829
2017-06-06,12.45,12.47,12.41,12.45,24.7966,21517191
2017-06-07,12.41,12.45,12.335,12.39,24.6771,8606930
2017-06-08,12.34,12.35,12.23,12.3,24.4979,9383485
2017-06-09,12.18,12.23,12.17,12.2,24.2987,8911139
2017-06-12,12.16,12.2,12.16,12.17,24.239,12493134
2017-06-13,12.13,12.2099,12.1222,12.19,24.2788,7186409
2017-06-14,12.29,12.32,12.09,12.12,24.1394,11510932
2017-06-15,12.06,12.0866,12.04,12.07,24.0398,4737196
2017-06-16,12.06,12.0899,12.05,12.07,24.0398,4325156
2017-06-19,12.0,12.02,11.96,11.98,23.8606,4807717
2017-06-20,11.97,11.98,11.94,11.95,23.8008,5471115
2017-06-21,11.95,12.0,11.95,11.98,23.8606,9136600
2017-06-22,12.05,12.0501,11.9935,12.03,23.9601,6835538
2017-06-23,12.1,12.11,12.06,12.08,24.0597,6921776
2017-06-26,11.96,11.99,11.95,11.96,23.8207,7464464
2017-06-27,12.02,12.039,11.98,12.02,23.9402,9477658
2017-06-28,12.04,12.04,12.0,12.03,23.9601,6960091
2017-06-29,11.94,12.0,11.92,11.96,23.8207,8614099
2017-06-30,11.94,11.98,11.93,11.94,23.7809,5330658
2017-07-03,11.78,11.82,11.73,11.73,23.3626,8264404
2017-07-05,11.72,11.8,11.72,11.79,23.4821,6998890
2017-07-06,11.79,11.795,11.75,11.77,23.4423,7274137
2017-07-07,11.71,11.71,11.6141,11.65,23.2033,10671400
2017-07-10,11.63,11.69,11.61,11.67,23.2431,6273305
2017-07-11,11.65,11.71,11.62,11.69,23.283,6917667
2017-07-12,11.75,11.77,11.72,11.73,23.3626,4779242
2017-07-13,11.74,11.74,11.7,11.71,23.3228,6215495
2017-07-14,11.83,11.855,11.795,11.81,23.522,5225839
2017-07-17,11.87,11.89,11.85,11.86,23.6215,4652531
2017-07-18,11.93,11.97,11.92,11.95,23.8008,6561283
2017-07-19,11.95,11.97,11.92,11.93,23.761,4655482
2017-07-20,11.93,12.0,11.9,11.95,23.8008,6619606
