Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,8.69,8.69,8.5101,8.58,7.8819,74394
2017-04-18,8.52,8.5499,8.485,8.5,7.8084,32026
2017-04-19,8.52,8.5899,8.45,8.45,7.7625,29674
2017-04-20,8.51,8.51,8.4627,8.47,7.7809,35443
2017-04-21,8.53,8.55,8.421,8.43,7.7441,34668
2017-04-24,8.59,8.59,8.49,8.53,7.836,51359
2017-04-25,8.57,8.6,8.5301,8.56,7.8635,17648
2017-04-26,8.57,8.58,8.52,8.52,7.8268,62164
2017-04-27,8.53,8.5499,8.43,8.48,7.79,71633
2017-04-28,8.53,8.5345,8.47,8.48,7.79,101749
2017-05-01,8.56,8.57,8.53,8.55,7.8543,61468
2017-05-02,8.57,8.66,8.5501,8.65,7.9462,82982
2017-05-03,8.67,8.6999,8.62,8.62,7.9186,29258
2017-05-04,8.6,8.61,8.5201,8.585,7.8865,27505
2017-05-05,8.64,8.74,8.6,8.74,8.0289,35094
2017-05-08,8.68,8.69,8.5801,8.59,7.8911,46928
2017-05-09,8.64,8.71,8.63,8.6936,7.9863,33070
2017-05-10,8.68,8.75,8.65,8.7,7.9921,34672
2017-05-11,8.68,8.68,8.59,8.62,7.9186,13100
2017-05-12,8.69,8.7399,8.63,8.67,7.9646,44593
2017-05-15,8.74,8.78,8.74,8.77,8.0564,22701
2017-05-16,8.79,8.8299,8.7225,8.73,8.0197,50767
2017-05-17,8.71,8.7372,8.58,8.63,7.9278,29110
2017-05-18,8.56,8.5965,8.45,8.46,7.7717,31556
2017-05-19,8.56,8.62,8.53,8.59,7.8911,39235
2017-05-22,8.6,8.6399,8.58,8.58,7.8819,28451
2017-05-23,8.59,8.7,8.59,8.66,7.9554,14780
2017-05-24,8.65,8.7,8.64,8.68,7.9738,20055
2017-05-25,8.68,8.7962,8.68,8.74,8.0289,26578
2017-05-26,8.81,8.869,8.6801,8.73,8.0197,54669
2017-05-30,8.68,8.7414,8.6714,8.72,8.0105,43384
2017-05-31,8.73,8.73,8.6501,8.69,7.983,38634
2017-06-01,8.7,8.73,8.677,8.71,8.0013,40324
2017-06-02,8.71,8.72,8.66,8.71,8.0013,38957
2017-06-05,8.76,8.76,8.67,8.71,8.0013,66260
2017-06-06,8.71,8.74,8.69,8.7,7.9921,67351
2017-06-07,8.74,8.74,8.64,8.64,7.937,55034
2017-06-08,8.61,8.67,8.56,8.66,7.9554,56781
2017-06-09,8.64,8.6599,8.57,8.58,7.8819,53538
2017-06-12,8.56,8.6299,8.55,8.5784,7.8804,26959
2017-06-13,8.68,8.68,8.55,8.58,7.8819,70045
2017-06-14,8.63,8.64,8.5601,8.58,7.8819,39389
2017-06-15,8.53,8.5399,8.45,8.5,7.8084,89534
2017-06-16,8.45,8.5505,8.45,8.55,7.8543,30181
2017-06-19,8.59,8.63,8.5,8.58,7.8819,51378
2017-06-20,8.5,8.5,8.31,8.31,7.7631,71456
2017-06-21,8.33,8.3916,8.32,8.34,7.7911,25504
2017-06-22,8.41,8.495,8.41,8.4528,7.8965,22630
2017-06-23,8.47,8.53,8.4573,8.49,7.9312,118421
2017-06-26,8.59,8.59,8.51,8.56,7.9966,31259
2017-06-27,8.57,8.57,8.5,8.53,7.9686,57653
2017-06-28,8.57,8.645,8.52,8.64,8.0714,60509
2017-06-29,8.63,8.63,8.44,8.49,7.9312,44087
2017-06-30,8.54,8.6,8.54,8.56,7.9966,36306
2017-07-03,8.6,8.6599,8.54,8.6,8.034,49769
2017-07-05,8.57,8.57,8.49,8.52,7.9593,42760
2017-07-06,8.52,8.566,8.5,8.55,7.9873,38464
2017-07-07,8.53,8.57,8.5,8.57,8.006,40980
2017-07-10,8.61,8.61,8.5,8.58,8.0153,69746
2017-07-11,8.56,8.58,8.52,8.55,7.9873,28640
2017-07-12,8.56,8.7,8.56,8.68,8.1087,68389
2017-07-13,8.67,8.71,8.66,8.66,8.09,28964
2017-07-14,8.77,8.81,8.7399,8.8,8.2208,114171
2017-07-17,8.81,8.82,8.7701,8.79,8.2115,83639
2017-07-18,8.84,8.879,8.82,8.87,8.2862,40217
2017-07-19,8.88,9.0,8.88,8.99,8.3983,99373
2017-07-20,8.99,9.03,8.97,9.0,8.4077,27630
2017-07-21,9.04,9.04,8.95,8.99,8.3983,59520
2017-07-24,9.0,9.0,8.95,8.98,8.389,47674
2017-07-25,9.0,9.0058,8.98,8.99,8.3983,39511
2017-07-26,9.02,9.11,8.972,9.11,8.5104,31321
2017-07-27,8.99,8.998,8.8705,8.8966,8.3111,57920
2017-07-28,9.01,9.01,8.94,9.01,8.417,25318
2017-07-31,9.06,9.14,8.97,9.03,8.4357,57438
2017-08-01,9.07,9.07,9.0,9.04,8.445,38654
2017-08-02,9.07,9.086,8.9511,9.01,8.417,37715
2017-08-03,9.07,9.09,9.0401,9.05,8.4544,57805
2017-08-04,9.09,9.1,9.0564,9.1,8.5011,43631
2017-08-07,9.11,9.19,9.11,9.185,8.5805,65000
2017-08-08,9.25,9.25,9.1301,9.15,8.5478,43926
2017-08-09,9.12,9.13,9.06,9.0747,8.4774,39673
2017-08-10,9.04,9.04,8.95,8.95,8.361,50812
2017-08-11,8.91,8.98,8.91,8.96,8.3703,27076
2017-08-14,8.96,9.06,8.96,9.04,8.445,28510
2017-08-15,9.04,9.065,9.0101,9.055,8.459,29247
2017-08-16,9.13,9.13,9.0601,9.1199,8.5197,47941
2017-08-17,9.09,9.09,8.9,8.91,8.3236,102709
2017-08-18,9.0,9.0399,8.9501,9.03,8.4357,29458
2017-08-21,9.0,9.0291,8.92,8.93,8.3423,39276
2017-08-22,8.96,9.0,8.95,8.95,8.361,30511
2017-08-23,8.94,9.02,8.94,9.02,8.4263,26869
2017-08-24,9.04,9.08,8.9785,9.0201,8.4264,20332
2017-08-25,9.07,9.07,9.03,9.045,8.4497,23644
2017-08-28,9.06,9.07,9.04,9.07,8.4731,216406
2017-08-29,9.02,9.08,9.0,9.0701,8.4731,73478
2017-08-30,9.08,9.11,9.0466,9.11,8.5104,73534
2017-08-31,9.11,9.13,9.05,9.13,8.5291,443445
2017-09-01,9.13,9.18,9.12,9.16,8.5571,571754
2017-09-05,9.15,9.181,9.05,9.06,8.4637,73862
