Date,Open,High,Low,Close,Adjusted_close,Volume
2017-09-29,5.01,5.01,5.01,5.01,5.01,10000
2017-10-03,5.01,5.01,5.002,5.0038,5.0038,2105788
2017-10-04,5.0125,5.0125,5.0125,5.0125,5.0125,3
2017-10-05,5.01,5.01,5.01,5.01,5.01,999
2017-10-11,5.0175,5.0175,5.0175,5.0175,5.0175,1000
2017-10-12,5.02,5.02,5.02,5.02,5.02,1000
2017-10-13,5.0225,5.0225,5.0225,5.0225,5.0225,3000
2017-10-18,5.03,5.03,5.03,5.03,5.03,3000
2017-10-24,5.0225,5.025,5.0225,5.0225,5.0225,63274
2017-10-26,5.03,5.03,5.03,5.03,5.03,110
2017-10-27,5.04,5.04,5.04,5.04,5.04,3000
2017-10-30,5.045,5.045,5.045,5.045,5.045,2442
2017-11-07,5.0725,5.0725,5.0725,5.0725,5.0725,394
2017-11-08,5.07,5.07,5.07,5.07,5.07,7728
2017-11-09,5.065,5.065,5.06,5.06,5.06,84000
2017-11-13,5.0425,5.0425,5.0425,5.0425,5.0425,3000
2017-11-14,5.0375,5.0375,5.0375,5.0375,5.0375,3000
2017-11-16,5.0375,5.045,5.0375,5.0425,5.0425,3480
2017-11-20,5.0425,5.0462,5.0425,5.045,5.045,43088
2017-11-21,5.05,5.05,5.05,5.05,5.05,6000
2017-11-22,5.05,5.05,5.05,5.05,5.05,1500
2017-11-24,5.05,5.0525,5.05,5.05,5.05,3550
2017-11-28,5.06,5.06,5.055,5.055,5.055,4450
2017-11-29,5.05,5.05,5.05,5.05,5.05,3116
2017-11-30,5.045,5.045,5.045,5.045,5.045,3000
2017-12-01,5.0525,5.0525,5.0525,5.0525,5.0525,3000
2017-12-04,5.0575,5.06,5.0575,5.0575,5.0575,44480
2017-12-05,5.06,5.06,5.06,5.06,5.06,47260
2017-12-11,5.0675,5.0675,5.066,5.0663,5.0663,65285
2017-12-12,5.065,5.0675,5.0625,5.0638,5.0638,92044
2017-12-13,5.06,5.06,5.0575,5.0588,5.0588,6000
2017-12-14,5.06,5.0625,5.0598,5.0598,5.0598,105616
2017-12-18,5.0575,5.06,5.0575,5.0575,5.0575,5760
2017-12-19,5.055,5.055,5.05,5.05,5.05,65140
2017-12-20,5.0475,5.05,5.0375,5.0388,5.0388,80383
2017-12-21,5.035,5.0375,5.0325,5.0338,5.0338,25765
