Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-18,508.014,508.014,505.65,505.65,505.65,9860
2017-04-19,501.75,502.092,501.75,501.75,501.75,4732
2017-04-21,502.25,502.25,502.25,502.25,502.25,8
2017-04-25,519.75,519.75,519.75,519.75,519.75,3092
2017-04-26,519.479,519.479,519.479,519.479,519.479,50
2017-04-28,514.473,514.473,514.473,514.473,514.473,1943
2017-05-02,517.5,517.5,516.485,517.125,517.125,5247
2017-05-05,521.015,521.015,521.015,521.015,521.015,1870
2017-05-09,521.826,521.826,521.826,521.826,521.826,700
2017-05-10,522.578,522.578,522.578,522.578,522.578,1665
2017-05-12,525.75,525.75,525.75,525.75,525.75,309
2017-05-15,528.485,528.942,527.829,528.942,528.942,2783
2017-05-16,533.08,533.08,533.015,533.08,533.08,541
2017-05-19,525.75,528.75,525.75,528.75,528.75,948
2017-05-22,533.235,533.235,533.235,533.235,533.235,9
2017-05-25,532.0,534.485,532.0,534.125,534.125,66494
2017-05-30,537.26,537.26,537.26,537.26,537.26,2109
2017-05-31,540.485,540.485,540.485,540.485,540.485,92
2017-06-05,540.64,540.64,540.64,540.64,540.64,2552
2017-06-06,540.485,540.611,540.485,540.485,540.485,49311
2017-06-07,539.019,539.019,539.019,539.019,539.019,349
2017-06-08,539.0,539.0,539.0,539.0,539.0,2500
2017-06-12,547.0,547.0,543.76,543.76,543.76,10678
2017-06-14,546.5,546.5,546.5,546.5,546.5,2559
2017-06-21,546.5,546.5,546.5,546.5,546.5,763
2017-06-22,547.0,547.0,547.0,547.0,547.0,2500
2017-06-29,533.75,533.75,533.75,533.75,533.75,2150
2017-07-05,536.5,536.5,536.5,536.5,536.5,708
2017-07-12,546.0,546.0,536.75,546.0,546.0,71361
2017-07-31,542.5,542.5,542.5,542.5,542.5,2450
2017-08-01,545.25,545.25,545.25,545.25,545.25,50
2017-08-03,542.25,542.25,542.25,542.25,542.25,100
2017-08-08,558.0,558.0,558.0,558.0,558.0,1600
2017-08-11,539.25,539.25,539.25,539.25,539.25,2089
2017-08-30,554.5,554.5,554.5,554.5,554.5,200
2017-10-12,575.5,575.5,575.5,575.5,575.5,4100
2017-10-17,570.75,570.75,570.75,570.75,570.75,990
2017-10-19,570.424,570.75,569.639,570.375,570.375,4713
2017-10-23,569.0,569.0,569.0,569.0,569.0,2498
2017-10-27,580.0,580.478,578.125,578.125,578.125,8377
2017-10-31,575.535,575.535,575.535,575.535,575.535,173
2017-11-03,583.75,583.75,583.75,583.75,583.75,22990
2017-11-08,575.894,575.894,575.894,575.894,575.894,5318
2017-11-13,567.5,567.5,567.5,567.5,567.5,150
2017-11-14,567.5,567.5,566.915,566.915,566.915,333
2017-11-17,565.0,565.0,561.75,563.0,563.0,4085
2017-11-20,560.5,560.5,560.5,560.5,560.5,1784
2017-11-21,562.5,567.342,562.5,567.125,567.125,1176
2017-11-24,568.561,568.561,568.561,568.561,568.561,879
2017-11-27,566.97,566.97,566.97,566.97,566.97,405
2017-11-29,563.5,563.5,563.5,563.5,563.5,868
2017-11-30,555.5,556.375,555.5,555.625,555.625,33228
2017-12-01,547.2,547.2,547.2,547.2,547.2,3591
2017-12-04,552.2,552.2,552.2,552.2,552.2,3965
2017-12-08,549.5,551.94,549.5,551.94,551.94,2381
2017-12-11,555.75,556.22,555.75,556.22,556.22,5272
2017-12-12,555.25,556.125,555.25,556.125,556.125,12121
2017-12-27,557.505,557.505,557.505,557.505,557.505,20
2018-01-04,567.2,567.2,567.2,567.2,567.2,350
2018-01-05,570.7,570.7,570.7,570.7,570.7,370
2018-01-08,570.3,571.82,570.3,570.8,570.8,5265
2018-01-09,573.2,573.2,571.517,573.2,573.2,16336
2018-01-16,576.5,577.376,576.5,576.5,576.5,18927
2018-01-18,577.7,577.7,576.5,576.5,576.5,5799
2018-01-23,578.72,578.72,578.72,578.72,578.72,1300
2018-01-29,572.412,572.412,572.412,572.412,572.412,17266
2018-01-30,571.589,571.589,571.589,571.589,571.589,1766
2018-02-01,565.711,565.711,565.711,565.711,565.711,1765
2018-02-06,548.7,548.7,548.7,548.7,548.7,3500
2018-02-07,547.0,547.1,546.5,547.1,547.1,47220
2018-02-08,539.0,539.0,539.0,539.0,539.0,1500
2018-02-09,530.0,530.0,530.0,530.0,530.0,2900
2018-02-14,539.32,539.32,539.32,539.32,539.32,1325
2018-02-16,552.6,552.6,552.6,552.6,552.6,19000
2018-02-21,551.1,551.1,551.1,551.1,551.1,132
2018-02-27,551.75,551.75,551.75,551.75,551.75,1320
2018-02-28,552.0,552.0,552.0,552.0,552.0,1443
2018-03-01,543.65,543.65,543.65,543.65,543.65,2770
2018-03-02,535.4,535.8,535.4,535.4,535.4,61104
2018-03-05,538.6,538.6,538.6,538.6,538.6,18311
2018-03-08,553.35,553.35,553.35,553.35,553.35,1005
2018-03-09,554.25,554.25,554.25,554.25,554.25,552
2018-03-12,555.15,555.15,555.15,555.15,555.15,178
2018-03-15,549.8,549.8,549.8,549.8,549.8,8200
2018-03-16,551.25,551.25,551.25,551.25,551.25,1094
2018-03-19,544.8,544.8,544.8,544.8,544.8,31825
2018-03-20,545.3,545.3,545.3,545.3,545.3,2454
2018-03-22,533.85,533.85,533.85,533.85,533.85,4100
2018-03-27,533.7,533.7,533.7,533.7,533.7,12653
2018-03-29,534.7,534.7,534.7,534.7,534.7,985
2018-04-03,531.8,531.8,531.7,531.8,531.8,13765
2018-04-06,536.1,536.1,536.1,536.1,536.1,2540
2018-04-09,535.8,535.8,535.8,535.8,535.8,1
2018-04-10,542.6,542.6,542.6,542.6,542.6,7334
2018-04-11,540.8,540.8,539.5,539.5,539.5,22860
2018-04-12,539.9,539.9,539.9,539.9,539.9,2610
2018-04-13,539.8,539.8,539.8,539.8,539.8,440
2018-04-17,545.65,545.65,545.65,545.65,545.65,920
2018-04-18,549.0,549.0,549.0,549.0,549.0,835
2018-04-20,552.0,552.0,552.0,552.0,552.0,925
2018-04-23,552.0,552.0,552.0,552.0,552.0,7840
2018-04-25,547.95,547.95,547.95,547.95,547.95,866
2018-05-01,561.9,561.9,561.9,561.9,561.9,34440
2018-05-04,566.9,566.9,566.9,566.9,566.9,5325
2018-05-08,569.0,569.0,569.0,569.0,569.0,27351
2018-05-09,570.1,570.1,570.0,570.1,570.1,18345
2018-05-10,573.6,577.0,573.6,577.0,577.0,9504
2018-05-15,578.2,578.2,578.0,578.0,578.0,23481
2018-05-18,580.0,580.0,580.0,580.0,580.0,14717
2018-05-21,586.4,586.9,586.4,586.9,586.9,25686
2018-05-22,586.1,586.1,586.1,586.1,586.1,25473
2018-05-23,580.4,580.6,578.6,578.65,578.65,3852
2018-05-24,577.4,577.4,577.4,577.4,577.4,4900
2018-05-25,580.4,580.4,580.4,580.4,580.4,339
2018-05-29,566.2,566.2,566.2,566.2,566.2,7643
2018-05-30,568.9,568.9,568.9,568.9,568.9,1945
2018-05-31,573.8,573.8,572.9,572.9,572.9,20290
2018-06-04,575.3,575.6,574.22,575.6,575.6,22747
2018-06-06,575.0,575.0,574.7,575.0,575.0,11125
2018-06-07,576.4,576.4,576.4,576.4,576.4,4067
2018-06-08,570.0,570.0,570.0,570.0,570.0,500
2018-06-11,577.3,579.4,576.5,579.4,579.4,7607
2018-06-12,577.75,577.75,577.75,577.75,577.75,93
2018-06-15,587.0,587.0,587.0,587.0,587.0,3843
2018-06-18,575.95,575.95,575.95,575.95,575.95,3629
