Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,47.82,48.06,47.74,48.05,42.0307,3330498
2017-04-18,47.55,47.7,47.39,47.49,41.5408,7045219
2017-04-19,47.63,47.64,47.15,47.23,41.3134,7258950
2017-04-20,47.74,47.82,47.59,47.8,41.812,5826685
2017-04-21,47.83,47.85,47.7233,47.8,41.812,5337590
2017-04-24,48.44,48.48,48.29,48.38,42.3193,7414072
2017-04-25,48.77,48.95,48.7199,48.85,42.7305,7934050
2017-04-26,48.76,48.875,48.61,48.63,42.538,9148061
2017-04-27,48.75,48.75,48.48,48.6,42.5118,4208638
2017-04-28,48.68,48.76,48.545,48.7,42.5992,4933043
2017-05-01,48.89,49.07,48.8,48.93,42.8004,7270902
2017-05-02,49.15,49.32,49.1,49.23,43.0628,6508523
2017-05-03,49.05,49.11,48.83,48.9,42.7742,5563434
2017-05-04,48.75,48.79,48.43,48.49,42.4155,10976511
2017-05-05,48.43,48.86,48.38,48.86,42.7392,7102207
2017-05-08,49.01,49.07,48.81,48.86,42.7392,8900716
2017-05-09,49.17,49.5,49.15,49.36,43.1766,10680786
2017-05-10,49.46,49.65,49.42,49.65,43.4302,7612980
2017-05-11,49.7,49.82,49.4757,49.75,43.5177,7738405
2017-05-12,49.84,49.97,49.7999,49.95,43.6927,5896195
2017-05-15,50.19,50.42,50.17,50.4,44.0863,6420599
2017-05-16,50.37,50.49,50.3,50.47,44.1475,4247480
2017-05-17,50.05,50.1055,49.61,49.64,43.4215,13759275
2017-05-18,48.53,49.235,48.26,48.84,42.7217,16834945
2017-05-19,49.51,49.94,49.5,49.84,43.5964,9539027
2017-05-22,49.88,50.0,49.81,49.9,43.6489,7281496
2017-05-23,49.86,49.92,49.74,49.86,43.6139,5901516
2017-05-24,49.9,50.13,49.84,50.06,43.7889,11857265
2017-05-25,50.33,50.44,50.19,50.28,43.9813,6876313
2017-05-26,50.37,50.485,50.3335,50.44,44.1213,4400713
2017-05-30,50.19,50.29,50.1251,50.26,43.9638,8383835
2017-05-31,50.11,50.1399,49.81,49.84,43.5964,7056521
2017-06-01,50.05,50.3,49.93,50.28,43.9813,8087919
2017-06-02,50.47,50.575,50.365,50.55,44.2175,5011350
2017-06-05,50.54,50.65,50.48,50.53,44.2,4121505
2017-06-06,50.46,50.63,50.42,50.53,44.2,7996787
2017-06-07,50.43,50.56,50.22,50.45,44.13,7782413
