Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,48.29,48.38,48.1231,48.38,42.2768,7496
2017-04-18,48.04,48.295,48.0348,48.26,42.172,3433
2017-04-19,48.5,48.5241,48.32,48.32,42.2244,5716
2017-04-20,48.71,48.77,48.59,48.66,42.5215,8375
2017-04-21,48.47,48.52,48.33,48.52,42.3992,30228
2017-04-24,49.5,49.8,49.5,49.7523,43.476,4448
2017-04-25,50.05,50.39,50.05,50.33,43.9808,13129
2017-04-26,50.39,50.4445,50.2704,50.3719,44.0174,11065
2017-04-27,50.5,50.7,50.4235,50.68,44.2867,11144
2017-04-28,50.816,50.818,50.69,50.75,44.3478,16914
2017-05-01,51.18,51.18,50.8803,51.0236,44.5869,13784
2017-05-02,51.16,51.51,51.16,51.4886,44.9933,26403
2017-05-03,51.31,51.31,51.06,51.0788,44.6352,9210
2017-05-04,51.39,51.67,51.2847,51.66,45.143,33453
2017-05-05,51.64,52.22,51.6,52.22,45.6324,32505
2017-05-08,51.86,51.86,51.5701,51.7,45.178,13209
2017-05-09,51.93,51.93,51.62,51.659,45.1422,16986
2017-05-10,51.79,51.83,51.72,51.82,45.2829,11644
2017-05-11,51.8,51.8,51.4937,51.61,45.0994,22143
2017-05-12,51.71,51.88,51.6174,51.83,45.2916,9457
2017-05-15,52.13,52.14,52.002,52.14,45.5625,10712
2017-05-16,52.49,52.51,52.2916,52.45,45.8334,19832
2017-05-17,52.36,52.36,51.6451,51.66,45.143,22916
2017-05-18,51.4,51.67,50.61,51.6442,45.1292,7909
2017-05-19,52.47,52.5376,52.3,52.45,45.8334,21395
2017-05-22,52.86,52.86,52.61,52.74,46.0868,32935
2017-05-23,53.05,53.05,52.6897,52.785,46.1261,15696
2017-05-24,52.95,52.978,52.7,52.97,46.2878,16397
2017-05-25,53.15,53.15,52.9,52.97,46.2878,15879
2017-05-26,52.97,52.97,52.6906,52.78,46.1218,12270
2017-05-30,52.8,52.91,52.8,52.87,46.2004,49793
2017-05-31,53.15,53.15,52.79,52.79,46.1305,28461
2017-06-01,53.19,53.4012,53.17,53.34,46.6111,13672
2017-06-02,53.61,53.72,53.4285,53.68,46.9082,10279
2017-06-05,53.27,53.6,53.1091,53.36,46.6286,10134
2017-06-06,53.12,53.12,52.87,52.94,46.2616,8676
2017-06-07,53.28,53.28,52.74,53.045,46.3533,24269
2017-06-08,52.97,53.01,52.6,53.01,46.3227,12310
2017-06-09,52.71,52.71,52.42,52.4553,45.838,8990
2017-06-12,52.41,52.41,51.81,51.99,45.4314,6654
2017-06-13,52.21,52.71,52.21,52.6246,45.986,12982
2017-06-14,52.97,53.03,52.6676,52.7073,46.0582,3951
2017-06-15,51.71,51.9,51.66,51.86,45.3178,6014
2017-06-16,52.63,52.8,52.29,52.8,46.1392,7629
2017-06-19,52.98,52.98,52.6,52.6,45.9645,15623
2017-06-20,52.17,52.17,51.45,51.56,45.6169,44443
2017-06-21,51.76,51.76,51.51,51.62,45.67,4028
2017-06-22,51.78,51.78,51.501,51.57,45.6258,10640
2017-06-23,51.5426,51.88,51.5426,51.85,45.8735,105786
2017-06-26,51.99,52.08,51.751,51.82,45.847,18503
2017-06-27,51.71,51.86,51.6336,51.74,45.7762,6996
2017-06-28,51.75,52.13,51.75,52.12,46.1124,25915
2017-06-29,52.12,52.12,51.5501,51.7,45.7408,25420
2017-06-30,52.01,52.19,51.74,52.04,46.0416,32583
2017-07-03,51.98,51.98,51.58,51.58,45.6346,10161
2017-07-05,51.77,51.8947,51.5377,51.8947,45.9131,21244
