Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-18,5.6425,5.6425,5.5575,5.56,5.56,43853
2017-04-19,5.5975,5.635,5.5925,5.6025,5.6025,207710
2017-04-20,5.57,5.6124,5.57,5.6124,5.6124,105880
2017-04-21,5.6375,5.6375,5.625,5.6263,5.6263,22148
2017-04-24,5.785,5.795,5.7825,5.795,5.795,26649
2017-04-25,5.78,5.82,5.78,5.805,5.805,55829
2017-04-26,5.8,5.8325,5.795,5.8313,5.8313,75621
2017-04-27,5.795,5.82,5.7925,5.7975,5.7975,66900
2017-04-28,5.7975,5.8325,5.795,5.8075,5.8075,3830594
2017-05-02,5.8,5.8375,5.7961,5.8275,5.8275,2626863
2017-05-03,5.825,5.825,5.7975,5.7975,5.7975,366372
2017-05-04,5.825,5.845,5.8175,5.8375,5.8375,206939
2017-05-05,5.835,5.9,5.8225,5.9,5.9,111386
2017-05-08,5.9425,5.9425,5.8925,5.8938,5.8938,114363
2017-05-09,5.935,5.94,5.8965,5.9325,5.9325,1282743
2017-05-10,5.9425,5.95,5.9225,5.9463,5.9463,4801943
2017-05-11,5.9775,5.98,5.905,5.93,5.93,6581754
2017-05-12,5.9275,5.95,5.9275,5.95,5.95,6499699
2017-05-15,5.9625,5.9775,5.945,5.9775,5.9775,727891
2017-05-16,5.965,5.985,5.965,5.985,5.985,100185
2017-05-17,5.955,5.9775,5.915,5.915,5.915,176635
2017-05-18,5.8825,5.8825,5.81,5.8663,5.8663,1289248
2017-05-19,5.8875,5.905,5.8691,5.9,5.9,3657264
2017-05-22,5.9225,5.9225,5.895,5.8988,5.8988,95533
2017-05-23,5.89,5.9175,5.8875,5.915,5.915,238222
2017-05-24,5.925,5.925,5.905,5.9075,5.9075,100280
2017-05-25,5.9575,5.9575,5.8975,5.8975,5.8975,367953
2017-05-26,5.88,5.8825,5.845,5.8775,5.8775,551588
2017-05-30,5.845,5.88,5.835,5.8563,5.8563,37081
2017-05-31,5.865,5.8775,5.8425,5.85,5.85,202729
2017-06-01,5.865,5.8775,5.8549,5.8775,5.8775,1901973
2017-06-02,5.88,5.88,5.88,5.88,5.88,500
2017-06-05,5.88,5.88,5.8629,5.8629,5.8629,51969
2017-06-06,5.8525,5.8525,5.8275,5.8275,5.8275,73092
2017-06-07,5.8275,5.865,5.8225,5.8275,5.8275,40745
2017-06-08,5.83,5.8495,5.83,5.8488,5.8488,44303
2017-06-09,5.865,5.8675,5.8617,5.8675,5.8675,75350
2017-06-12,5.8425,5.855,5.82,5.825,5.825,140753
2017-06-13,5.85,5.8599,5.8425,5.8475,5.8475,1755698
2017-06-14,5.8625,5.89,5.8625,5.8625,5.8625,189345
2017-06-15,5.8,5.8,5.76,5.7875,5.7875,162223
2017-06-16,5.815,5.815,5.77,5.77,5.77,21651
2017-06-19,5.83,5.8375,5.825,5.825,5.825,27047
2017-06-20,5.855,5.855,5.815,5.815,5.815,54900
2017-06-21,5.7575,5.7925,5.7575,5.7875,5.7875,6703
2017-06-22,5.7575,5.8075,5.7575,5.8075,5.8075,69993
2017-06-23,5.7975,5.7975,5.77,5.7938,5.7938,48120
2017-06-26,5.825,5.835,5.8175,5.8175,5.8175,41107
2017-06-27,5.78,5.8025,5.78,5.7825,5.7825,9610
2017-06-28,5.7475,5.7975,5.7475,5.7975,5.7975,59091
2017-06-29,5.8025,5.8025,5.7375,5.7375,5.7375,129335
2017-06-30,5.7325,5.7325,5.71,5.71,5.71,12822
2017-07-03,5.755,5.79,5.7425,5.79,5.79,483025
2017-07-04,5.7925,5.7925,5.7925,5.7925,5.7925,1800
2017-07-05,5.78,5.7825,5.7675,5.78,5.78,75670
2017-07-06,5.775,5.7825,5.74,5.7538,5.7538,62588
2017-07-07,5.745,5.75,5.7325,5.7488,5.7488,76720
2017-07-10,5.7775,5.7775,5.7525,5.7675,5.7675,114834
2017-07-11,5.78,5.78,5.765,5.765,5.765,72720
2017-07-12,5.8075,5.85,5.8075,5.8463,5.8463,17807
2017-07-13,5.8525,5.8675,5.84,5.8638,5.8638,43161
