Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,42.62,42.79,42.56,42.75,36.9525,97955
2017-04-18,42.6,42.72,42.53,42.65,36.866,221699
2017-04-19,42.54,42.57,42.23,42.29,36.5549,201477
2017-04-20,42.41,42.41,42.27,42.36,36.6154,101517
2017-04-21,42.21,42.33,42.13,42.26,36.5289,127545
2017-04-24,42.85,43.0,42.77,42.97,37.1426,206022
2017-04-25,42.87,43.03,42.855,43.02,37.1859,186649
2017-04-26,42.94,43.053,42.79,42.79,36.9871,208600
2017-04-27,42.95,42.9775,42.78,42.94,37.1167,149019
2017-04-28,42.93,42.98,42.88,42.94,37.1167,1978104
2017-05-01,43.0,43.0499,42.89,42.92,37.0994,446139
2017-05-02,43.16,43.369,43.1101,43.36,37.4798,160451
2017-05-03,43.2,43.26,43.07,43.12,37.2723,130769
2017-05-04,43.16,43.27,43.0141,43.13,37.2809,96587
2017-05-05,43.17,43.66,43.08,43.64,37.7218,231572
2017-05-08,43.5,43.62,43.34,43.45,37.5575,108159
2017-05-09,43.4,43.46,43.1145,43.14,37.2896,146643
2017-05-10,43.22,43.77,43.176,43.44,37.5489,149660
2017-05-11,43.18,43.26,43.02,43.22,37.3587,133177
2017-05-12,43.32,43.43,43.21,43.39,37.5057,116331
2017-05-15,43.54,43.71,43.54,43.625,37.7088,152106
2017-05-16,43.78,43.8401,43.7,43.7,37.7736,87521
2017-05-17,43.53,43.5506,43.3,43.33,37.4538,333788
2017-05-18,43.29,43.463,43.18,43.39,37.5057,111348
2017-05-19,43.6,43.96,43.48,43.89,37.9379,139281
2017-05-22,44.08,44.25,43.935,44.19,38.1972,57053
2017-05-23,44.45,44.46,44.27,44.33,38.3182,84259
2017-05-24,44.34,44.52,44.27,44.51,38.4738,96329
2017-05-25,44.52,44.66,44.46,44.58,38.5343,136236
2017-05-26,44.59,44.59,44.449,44.48,38.4479,144634
2017-05-30,44.45,44.52,44.37,44.42,38.396,111065
2017-05-31,44.58,44.73,44.56,44.66,38.6035,155012
2017-06-01,44.79,45.05,44.68,45.03,38.9233,301646
2017-06-02,45.3,45.37,45.14,45.27,39.1307,105054
2017-06-05,45.21,45.26,45.09,45.24,39.1048,601355
2017-06-06,45.27,45.27,45.08,45.19,39.0616,359024
2017-06-07,45.32,45.32,45.02,45.13,39.0097,275439
2017-06-08,45.02,45.11,44.85,44.99,38.8887,166361
2017-06-09,44.89,44.9968,44.776,44.95,38.8541,163414
2017-06-12,44.76,44.9,44.61,44.74,38.6726,254292
2017-06-13,44.89,44.92,44.73,44.9,38.8109,221724
2017-06-14,45.31,45.405,44.95,45.04,38.9319,98128
