Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,31.56,31.7,31.46,31.68,28.7428,1947267
2017-04-18,31.32,31.33,31.15,31.17,28.2801,3326218
2017-04-19,31.2,31.36,31.12,31.16,28.2711,2682354
2017-04-20,31.48,31.49,31.31,31.48,28.5614,2033430
2017-04-21,31.3,31.3,31.11,31.13,28.2438,3905292
2017-04-24,31.58,31.78,31.58,31.75,28.8064,4550745
2017-04-25,32.1,32.19,32.0,32.16,29.1783,4282310
2017-04-26,32.23,32.38,32.22,32.27,29.2781,2321694
2017-04-27,32.19,32.19,32.085,32.09,29.1148,2711806
2017-04-28,32.06,32.1,31.96,32.08,29.1058,1988573
2017-05-01,32.09,32.165,32.084,32.12,29.142,1347396
2017-05-02,32.28,32.34,32.18,32.34,29.3417,2987352
2017-05-03,32.18,32.21,32.08,32.09,29.1148,2196415
2017-05-04,32.25,32.3,32.025,32.04,29.0695,4002213
2017-05-05,31.92,32.05,31.77,32.045,29.074,1565265
2017-05-08,32.04,32.065,31.85,31.86,28.9062,2088345
2017-05-09,31.9,32.03,31.89,31.98,29.015,3329872
2017-05-10,32.3,32.43,32.22,32.43,29.4233,3091143
2017-05-11,32.44,32.515,32.34,32.51,29.4959,2268945
2017-05-12,32.46,32.56,32.37,32.54,29.5231,1581849
2017-05-15,32.71,32.79,32.59,32.79,29.7499,2794443
2017-05-16,32.81,32.94,32.81,32.91,29.8588,3241352
2017-05-17,32.75,32.75,32.4,32.4,29.3961,3370489
2017-05-18,31.97,32.09,31.76,32.02,29.0513,4405105
2017-05-19,32.06,32.26,32.06,32.26,29.2691,2880368
2017-05-22,32.11,32.15,32.04,32.09,29.1148,1959369
2017-05-23,31.72,31.72,31.6,31.62,28.6884,3358777
2017-05-24,31.54,31.74,31.54,31.73,28.7882,1833036
2017-05-25,32.02,32.12,31.92,32.06,29.0876,2989433
2017-05-26,32.39,32.43,32.291,32.34,29.3417,3792313
2017-05-30,32.455,32.56,32.425,32.56,29.5413,2288925
2017-05-31,32.57,32.61,32.5,32.55,29.5322,2968260
2017-06-01,32.64,32.86,32.55,32.86,29.8134,3237801
2017-06-02,32.94,32.95,32.83,32.95,29.8951,1894102
2017-06-05,33.0,33.04,32.95,32.97,29.9132,1750146
2017-06-06,32.86,32.92,32.82,32.845,29.7998,2107474
2017-06-07,32.93,32.94,32.78,32.89,29.8407,2381810
2017-06-08,32.88,32.98,32.88,32.95,29.8951,2038268
2017-06-09,32.92,32.93,32.65,32.72,29.6864,2159358
2017-06-12,32.77,32.77,32.6,32.67,29.6411,2795581
2017-06-13,32.77,32.81,32.7,32.78,29.7409,2114412
2017-06-14,32.98,33.08,32.815,32.88,29.8316,3202553
2017-06-15,32.53,32.65,32.4,32.48,29.4687,2694787
