Date,Open,High,Low,Close,Adjusted_close,Volume
2017-05-04,5.635,5.635,5.635,5.635,5.635,5300
2017-05-31,5.885,5.885,5.8825,5.8825,5.8825,100000
2017-06-06,5.92,5.92,5.92,5.92,5.92,2125
2017-06-07,5.955,5.955,5.955,5.955,5.955,4338
2017-06-15,5.8925,5.895,5.8925,5.895,5.895,255010
2017-06-21,5.9668,5.9668,5.9668,5.9668,5.9668,175000
2017-07-14,6.0525,6.0525,6.05,6.0525,6.0525,4000
2017-07-17,6.0825,6.0825,6.0825,6.0825,6.0825,959
2017-07-19,6.085,6.0925,6.085,6.085,6.085,10203
2017-07-20,6.1175,6.1175,6.1175,6.1175,6.1175,9842
2017-07-28,6.0825,6.0825,6.0825,6.0825,6.0825,198
2017-08-08,6.205,6.205,6.205,6.205,6.205,7083
2017-08-09,6.155,6.16,6.155,6.155,6.155,40487
2017-08-10,6.1639,6.1639,6.1639,6.1639,6.1639,1526
2017-08-14,6.1575,6.1575,6.1575,6.1575,6.1575,45596
2017-08-15,6.17,6.17,6.17,6.17,6.17,6907
2017-08-21,6.0575,6.0575,6.0575,6.0575,6.0575,1615
2017-08-25,6.1325,6.1325,6.1325,6.1325,6.1325,378
2017-09-11,6.185,6.185,6.185,6.185,6.185,178940
2017-09-15,6.24,6.24,6.231,6.24,6.24,237500
2017-09-19,6.2926,6.2926,6.2926,6.2926,6.2926,280000
2017-09-20,6.29,6.29,6.29,6.29,6.29,1500
2017-09-29,6.3275,6.3275,6.3275,6.3275,6.3275,208
2017-10-04,6.41,6.41,6.4075,6.4075,6.4075,102400
2017-10-10,6.47,6.47,6.47,6.47,6.47,67135
2017-10-11,6.435,6.435,6.435,6.435,6.435,89470
2017-10-13,6.47,6.47,6.47,6.47,6.47,2733
2017-10-17,6.5,6.5,6.5,6.5,6.5,1015
2017-10-20,6.595,6.595,6.595,6.595,6.595,13636
2017-10-24,6.6025,6.61,6.595,6.61,6.61,5546
2017-10-31,6.67,6.695,6.67,6.6875,6.6875,4549
2017-11-01,6.68,6.68,6.6675,6.6688,6.6688,41100
2017-11-03,6.6875,6.6875,6.6875,6.6875,6.6875,600
2017-11-06,6.7075,6.7075,6.7075,6.7075,6.7075,78
2017-11-07,6.7525,6.7525,6.74,6.74,6.74,1215
2017-11-09,6.6575,6.6575,6.6575,6.6575,6.6575,982
2017-11-21,6.73,6.7713,6.7286,6.7713,6.7713,11293
2017-11-22,6.7825,6.785,6.7763,6.7763,6.7763,47095
2017-11-23,6.7344,6.7344,6.7344,6.7344,6.7344,450
2017-11-24,6.7502,6.7502,6.7502,6.7502,6.7502,797
2017-11-27,6.7675,6.7677,6.7673,6.7673,6.7673,1844
2017-11-30,6.82,6.855,6.7954,6.8513,6.8513,6974
2017-12-01,6.8575,6.8575,6.825,6.825,6.825,2296
2017-12-04,6.86,6.879,6.86,6.86,6.86,6016
2017-12-05,6.7426,6.7426,6.7363,6.7426,6.7426,1354
2017-12-07,6.7625,6.7925,6.7575,6.7888,6.7888,28727
2017-12-08,6.82,6.8225,6.82,6.82,6.82,10776
2017-12-11,6.83,6.83,6.82,6.8238,6.8238,9950
2017-12-12,6.835,6.8463,6.835,6.8463,6.8463,2132
2017-12-14,6.8575,6.8575,6.8575,6.8575,6.8575,2620
2017-12-15,6.84,6.84,6.84,6.84,6.84,4650
2017-12-18,6.9275,6.9275,6.9263,6.9263,6.9263,1085
2017-12-19,6.945,6.945,6.945,6.945,6.945,19543
