Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,234.58,236.06,234.36,236.06,215.3288,2642232
2017-04-18,235.19,235.96,234.56,235.35,214.6811,2746618
2017-04-19,236.01,236.44,234.651,234.94,214.3071,2313001
2017-04-20,235.65,237.33,235.26,236.73,215.9399,4791448
2017-04-21,236.75,236.7798,235.61,236.13,215.3926,3469422
2017-04-24,238.71,238.92,238.12,238.64,217.6822,6335451
2017-04-25,239.41,240.47,239.31,240.05,218.9684,4150148
2017-04-26,240.05,241.05,239.86,239.95,218.8771,4795875
2017-04-27,240.29,240.46,239.48,240.09,219.0048,3394034
2017-04-28,240.45,240.45,239.45,239.56,218.5214,2589991
2017-05-01,240.19,240.68,239.7,240.22,219.1234,6852117
2017-05-02,240.39,240.49,239.82,240.31,219.2055,2639442
2017-05-03,239.81,240.26,239.22,240.07,218.9866,4750427
2017-05-04,240.37,240.44,239.28,240.23,219.1325,3997894
2017-05-05,240.68,241.26,240.2,241.26,220.0721,2574671
2017-05-08,241.31,241.45,240.69,241.17,219.99,2412205
2017-05-09,241.5,241.7,240.55,240.99,219.8258,2841537
2017-05-10,240.86,241.4,240.66,241.38,220.1816,1884932
2017-05-11,240.88,241.08,239.64,240.94,219.7802,2633136
2017-05-12,240.61,240.7,240.19,240.57,219.4427,2076090
2017-05-15,241.0,241.96,240.97,241.79,220.5555,2124273
2017-05-16,242.17,242.2,241.1468,241.59,220.3731,3787413
2017-05-17,239.62,240.13,237.24,237.34,216.4964,7002557
2017-05-18,237.19,239.23,236.91,238.19,217.2717,4584153
2017-05-19,238.81,240.59,238.77,239.86,218.795,3052291
2017-05-22,240.39,241.22,240.33,241.0,219.8349,2468511
2017-05-23,241.5,241.7499,241.03,241.52,220.3093,2347500
2017-05-24,241.84,242.25,241.46,242.12,220.8566,2053779
2017-05-25,242.73,243.61,242.495,243.27,221.9056,2687787
2017-05-26,243.08,243.42,242.97,243.23,221.8691,2106709
2017-05-30,242.87,243.32,242.7,243.08,221.7323,2363807
2017-05-31,243.38,243.43,242.18,242.9,221.5681,3346399
2017-06-01,243.47,244.89,243.18,244.89,223.3833,3384796
2017-06-02,244.98,245.91,244.635,245.67,224.0948,3170818
2017-06-05,245.52,245.8436,245.33,245.51,223.9488,1747343
2017-06-06,244.81,245.51,244.67,244.85,223.3468,3054781
2017-06-07,245.18,245.48,244.39,245.25,223.7117,1759725
2017-06-08,245.33,245.89,244.75,245.32,223.7755,2282019
2017-06-09,245.67,246.57,243.48,244.94,223.4289,5729501
2017-06-12,244.67,244.98,243.93,244.91,223.4015,3989420
2017-06-13,245.58,246.19,245.14,246.11,224.4962,3569380
2017-06-14,246.43,246.49,244.85,245.84,224.2499,5983400
2017-06-15,244.24,245.47,243.92,245.38,223.8303,3807758
2017-06-16,245.53,245.54,244.37,245.18,223.6478,6980206
2017-06-19,246.35,247.49,246.22,247.39,225.6637,5248656
2017-06-20,246.99,247.0,245.745,245.78,224.1951,2785554
2017-06-21,246.17,246.34,245.16,245.68,224.1039,3036411
2017-06-22,245.71,246.285,245.385,245.6,224.0309,2369698
2017-06-23,245.69,246.2666,245.273,245.85,224.259,2265164
2017-06-26,246.66,247.1412,245.79,246.0,224.3958,2729640
2017-06-27,244.62,245.01,242.94,243.04,222.7055,3772343
2017-06-28,244.16,245.34,243.86,245.1,224.5932,2858860
2017-06-29,245.31,245.36,241.58,243.03,222.6964,4611757
2017-06-30,243.93,244.33,243.2,243.41,223.0446,5779869
2017-07-03,244.5,245.01,243.85,243.87,223.4661,2299911
2017-07-05,244.25,244.63,243.33,244.39,223.9426,5422419
2017-07-06,243.53,243.65,241.96,242.19,221.9267,3827222
2017-07-07,242.82,243.91,242.64,243.71,223.3195,2466163
2017-07-10,243.57,244.42,243.4,243.94,223.5302,3397113
2017-07-11,243.8,244.17,242.48,243.82,223.4203,2684812
2017-07-12,244.97,245.84,244.96,245.65,225.0972,3137404
2017-07-13,245.69,246.2,245.42,246.03,225.4454,2612035
2017-07-14,246.09,247.63,245.97,247.1,226.4259,2222798
2017-07-17,247.13,247.58,246.98,247.15,226.4717,2890440
2017-07-18,246.72,247.38,246.32,247.36,226.6641,2576567
2017-07-19,247.71,248.67,247.68,248.62,227.8187,1786975
2017-07-20,248.96,249.1,248.15,248.74,227.9286,3551016
2017-07-21,248.11,248.57,247.84,248.55,227.7545,2592592
2017-07-24,248.45,248.6454,247.95,248.49,227.6996,3197619
2017-07-25,249.36,249.48,248.84,249.07,228.231,4710013
2017-07-26,249.44,249.48,248.8,249.14,228.2952,3766940
2017-07-27,249.66,249.685,247.34,248.91,228.0844,3435848
2017-07-28,248.32,248.7288,247.8,248.56,227.7637,2469693
2017-07-31,249.04,249.15,248.2,248.46,227.6721,3440122
2017-08-01,249.15,249.18,248.48,248.99,228.1577,2712734
2017-08-02,249.16,249.28,248.05,249.12,228.2768,2860996
2017-08-03,248.98,249.01,248.32,248.68,227.8737,1905991
2017-08-04,249.2,249.47,248.65,249.06,228.2219,2099850
2017-08-07,249.17,249.55,249.04,249.52,228.6434,1464720
2017-08-08,249.19,250.6,248.51,248.97,228.1394,1873455
2017-08-09,248.12,248.99,247.73,248.92,228.0936,2358307
2017-08-10,247.95,248.1,245.3516,245.47,224.9322,4153312
2017-08-11,245.65,246.44,245.39,245.72,225.1613,3288416
2017-08-14,247.25,248.45,247.24,248.17,227.4063,2551757
2017-08-15,248.67,248.67,247.83,248.15,227.388,2076115
2017-08-16,248.77,249.24,248.13,248.6,227.8004,3208978
2017-08-17,247.91,248.27,244.755,244.8,224.3183,4995102
2017-08-18,244.54,245.8,243.83,244.25,223.8143,5010255
2017-08-21,244.25,244.82,243.45,244.59,224.1259,3513889
2017-08-22,245.21,247.275,245.19,247.0,226.3342,2191378
2017-08-23,245.97,246.6905,245.81,246.15,225.5553,2485212
2017-08-24,246.66,246.83,245.39,245.69,225.1338,2317385
2017-08-25,246.56,247.27,246.05,246.18,225.5828,3189347
2017-08-28,246.81,246.85,245.75,246.23,225.6286,1904745
2017-08-29,244.76,246.81,244.57,246.54,225.9127,3598192
2017-08-30,246.5,247.99,246.29,247.73,227.0031,1941780
2017-08-31,248.39,249.46,248.3,249.14,228.2952,4855319
2017-09-01,249.63,250.03,249.38,249.57,228.6892,5905228
2017-09-05,248.91,249.19,246.62,247.78,227.049,5105147
2017-09-06,248.55,248.975,247.91,248.61,227.8095,3783146
2017-09-07,248.96,248.96,248.09,248.61,227.8095,3547072
2017-09-08,248.19,248.79,247.99,248.19,227.4247,3297336
2017-09-11,249.75,251.01,249.73,250.9,229.9079,3152118
2017-09-12,251.35,251.81,251.15,251.8,230.7326,2668574
2017-09-13,251.42,251.94,251.32,251.91,230.8334,2138358
2017-09-14,251.51,252.03,251.33,251.82,230.7509,3002742
