Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,134.07,135.32,133.68,135.29,127.2408,18278801
2017-04-18,134.72,135.46,134.155,135.32,127.269,24553320
2017-04-19,135.69,136.9628,135.54,135.79,127.711,34627641
2017-04-20,136.34,137.67,136.15,137.52,129.3381,31934430
2017-04-21,137.24,137.5475,136.71,137.21,129.0466,29385980
2017-04-24,139.08,139.34,138.49,138.92,130.6548,33836930
2017-04-25,140.24,140.88,140.09,140.27,131.9245,32751680
2017-04-26,140.17,141.8166,140.13,140.99,132.6017,41669246
2017-04-27,141.34,141.8,140.48,140.95,132.564,23004330
2017-04-28,141.03,141.17,139.04,139.06,130.7865,31113930
2017-05-01,139.64,140.29,138.7799,139.86,131.5389,20925240
2017-05-02,139.98,140.34,138.69,139.15,130.8711,17993930
2017-05-03,138.49,139.1142,137.69,138.29,130.0623,27050260
2017-05-04,138.53,138.73,137.11,138.1,129.8836,25799131
2017-05-05,138.69,138.99,137.53,138.99,130.7207,23806539
2017-05-08,138.66,138.98,137.76,138.41,130.1752,16680020
2017-05-09,138.59,138.83,137.78,138.35,130.1187,23988359
2017-05-10,138.04,139.48,137.86,139.21,130.9276,19791520
2017-05-11,138.67,138.83,136.98,138.24,130.0153,28617311
2017-05-12,137.71,137.8875,137.16,137.51,129.3287,24111221
2017-05-15,137.98,139.25,137.975,138.58,130.335,31132240
2017-05-16,138.97,139.04,137.62,138.63,130.3821,18520900
2017-05-17,136.33,137.04,134.75,134.89,126.8646,50791168
2017-05-18,134.57,135.9,134.23,135.38,127.3254,44805141
2017-05-19,135.64,136.76,135.4176,136.03,127.9368,44450512
2017-05-22,136.26,137.2,136.16,136.95,128.802,20062660
2017-05-23,137.29,137.69,136.35,137.4,129.2252,16681420
2017-05-24,137.51,138.03,136.83,137.49,129.3099,21500660
2017-05-25,138.14,138.61,137.2,137.58,129.3945,22804160
2017-05-26,137.38,137.79,136.78,137.54,129.3569,20047270
2017-05-30,137.12,137.44,136.22,136.46,128.3412,25544109
2017-05-31,136.84,136.92,134.64,136.32,128.2095,34345406
2017-06-01,136.72,139.0,136.27,138.95,130.683,44618559
2017-06-02,139.45,141.02,139.05,139.85,131.5295,46680180
2017-06-05,139.96,140.11,138.95,138.98,130.7112,20808881
2017-06-06,138.11,139.66,137.81,138.85,130.589,25460881
2017-06-07,138.86,139.53,138.49,138.98,130.7112,20542221
2017-06-08,138.98,141.46,138.74,140.88,132.4982,33956434
2017-06-09,141.46,142.9,140.7,141.61,133.1848,56979379
2017-06-12,141.66,142.15,140.8901,141.38,132.9685,34665480
2017-06-13,141.8,142.31,141.47,142.1,133.6456,22046770
2017-06-14,142.03,142.04,140.45,141.26,132.8556,33021941
2017-06-15,139.69,140.98,139.69,140.54,132.1784,27376770
2017-06-16,140.03,140.215,139.28,140.19,131.8493,35608434
2017-06-19,140.56,141.58,140.51,141.23,132.8274,25163279
2017-06-20,140.88,140.97,139.7,139.8,131.4825,20111949
2017-06-21,140.05,140.8,139.22,139.45,131.1533,23351391
2017-06-22,139.37,140.39,139.01,139.98,131.6517,17917211
2017-06-23,140.14,141.08,139.55,140.91,132.5264,20772471
2017-06-26,141.09,141.53,140.201,141.08,132.6863,22988279
2017-06-27,141.1,141.62,139.75,139.84,131.5201,24610100
2017-06-28,140.67,142.26,140.4,141.98,133.5328,25085430
2017-06-29,142.24,142.35,139.65,141.14,132.7427,38794879
2017-06-30,141.25,141.67,140.77,140.92,132.5358,22798520
2017-07-03,141.34,142.495,141.3,142.1,133.6456,12968190
2017-07-05,141.7,141.85,140.7,141.59,133.166,21865449
2017-07-06,139.93,140.47,138.83,139.14,131.4271,30992600
2017-07-07,139.43,140.68,139.18,140.49,132.7023,20511000
2017-07-10,139.92,140.89,139.37,139.88,132.1261,17206020
2017-07-11,139.78,140.38,138.98,140.29,132.5134,16192890
2017-07-12,141.05,142.22,141.01,141.37,133.5335,19358609
2017-07-13,141.2,141.56,140.38,141.49,133.6468,16559270
2017-07-14,141.1,142.3,141.1,141.73,133.8735,15465290
2017-07-17,141.6,142.46,141.26,142.06,134.1853,15374600
2017-07-18,141.54,141.87,141.04,141.69,133.8358,16653260
2017-07-19,141.88,143.14,141.88,143.1,135.1676,16985449
2017-07-20,143.12,143.52,142.8,143.2,135.2621,17047801
2017-07-21,143.01,143.33,142.25,142.55,134.6481,21949461
2017-07-24,142.31,142.82,141.97,142.75,134.837,16694029
2017-07-25,143.62,144.25,143.21,144.05,136.0649,21066391
2017-07-26,144.15,144.15,143.0483,143.25,135.3093,13574880
2017-07-27,143.48,143.68,141.55,142.34,134.4497,24355820
2017-07-28,142.02,142.36,141.47,141.96,134.0908,19933340
2017-07-31,142.22,142.38,140.97,141.51,133.6657,16417721
2017-08-01,142.17,142.2,140.965,141.78,133.9208,19835910
2017-08-02,141.59,141.82,139.725,140.23,132.4567,19934289
2017-08-03,140.44,140.54,139.16,139.53,131.7955,19624900
2017-08-04,139.91,140.32,139.49,140.21,132.4378,16473510
2017-08-07,140.44,140.85,139.71,140.44,132.6551,9176166
2017-08-08,140.41,141.79,139.69,140.0,132.2394,27248711
2017-08-09,139.12,139.39,138.28,138.79,131.0965,26534311
2017-08-10,138.28,138.28,136.26,136.27,128.7162,40983527
2017-08-11,136.21,136.74,135.77,136.47,128.9051,32779609
2017-08-14,137.26,138.59,137.23,138.54,130.8604,21710930
2017-08-15,138.8,138.82,137.34,137.4,129.7836,16645980
