Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,122.37,123.215,122.37,123.215,19.6442,83196
2017-04-18,122.63,123.1,122.62,122.92,19.5972,295140
2017-04-19,123.1,123.35,122.63,122.63,19.5509,236604
2017-04-20,123.23,124.2099,123.23,124.07,19.7805,79314
2017-04-21,124.14,124.29,123.85,124.1,19.7853,101286
2017-04-24,125.61,125.8199,125.3501,125.76,20.05,400716
2017-04-25,126.49,126.97,126.33,126.78,20.2126,218058
2017-04-26,126.63,126.86,126.3,126.31,20.1376,89784
2017-04-27,126.9,127.24,126.79,127.11,20.2652,106596
2017-04-28,127.75,127.83,127.37,127.72,20.3624,120126
2017-05-01,128.26,129.043,128.06,128.8,20.5346,128616
2017-05-02,129.28,129.445,128.9871,129.33,20.6191,502176
2017-05-03,129.01,129.22,128.76,129.15,20.5904,141888
2017-05-04,129.16,129.345,128.995,129.26,20.608,79590
2017-05-05,129.4,129.88,129.225,129.88,20.7068,80346
2017-05-08,130.0,130.44,129.855,130.214,20.7601,114300
2017-05-09,130.7,131.14,130.604,130.85,20.8615,133134
2017-05-10,130.73,131.475,130.521,131.03,20.8902,73470
2017-05-11,130.65,131.03,130.24,130.985,20.883,108954
2017-05-12,131.18,131.475,131.065,131.41,20.9507,693816
2017-05-15,131.76,132.28,131.76,132.28,21.0894,170838
2017-05-16,132.53,132.89,132.12,132.89,21.1867,116970
2017-05-17,131.99,132.1,129.624,129.67,20.6733,226038
2017-05-18,129.38,130.5899,129.38,130.19,20.7562,435906
2017-05-19,130.96,131.44,130.895,131.05,20.8933,152838
2017-05-22,131.35,132.31,131.35,132.31,21.0942,110394
2017-05-23,132.54,132.73,132.0,132.29,21.091,130464
2017-05-24,132.81,132.97,132.48,132.93,21.1931,120348
2017-05-25,133.39,134.14,133.32,133.83,21.3366,98892
2017-05-26,133.98,134.03,133.715,134.01,21.3653,2355012
2017-05-30,133.59,134.19,133.59,134.06,21.3732,188400
2017-05-31,134.4,134.6,133.4871,133.75,21.3238,145794
2017-06-01,134.1,134.21,133.41,134.18,21.3924,824586
2017-06-02,134.91,135.67,134.63,135.65,21.6267,274206
2017-06-05,135.66,136.02,135.66,135.69,21.6331,143184
2017-06-06,135.59,136.1,135.34,135.49,21.6012,110166
2017-06-07,135.78,136.05,135.2564,135.85,21.6586,141264
2017-06-08,136.17,136.37,135.56,136.37,21.7415,227184
2017-06-09,136.57,136.78,131.54,133.24,21.2425,394512
2017-06-12,131.71,131.92,129.83,131.74,21.0034,305940
2017-06-13,132.78,133.28,132.09,133.03,21.209,203484
2017-06-14,133.67,133.84,131.67,132.49,21.1229,199566
2017-06-15,131.07,131.88,130.37,131.73,21.0018,126756
2017-06-16,131.87,132.05,131.3817,131.74,21.0034,227118
2017-06-19,133.05,133.995,132.9,133.95,21.3557,122376
2017-06-20,133.47,133.64,132.5,132.5,21.222,188676
2017-06-21,132.82,133.2823,132.65,133.24,21.3405,288732
2017-06-22,133.7,133.87,133.13,133.53,21.3869,71790
2017-06-23,133.42,134.54,133.3,134.31,21.5119,91194
2017-06-26,135.15,135.5,133.8,133.92,21.4494,145470
2017-06-27,133.5,133.56,132.11,132.11,21.1595,140388
2017-06-28,132.21,133.4,131.37,133.26,21.3437,120420
2017-06-29,132.73,132.73,130.0,131.08,20.9945,690054
2017-06-30,131.43,131.71,130.83,130.93,20.9705,267672
2017-07-03,131.12,131.49,129.78,129.85,20.7975,191028
2017-07-05,129.9,131.054,129.75,130.85,20.9577,248856
2017-07-06,129.9,130.2881,129.3201,129.67,20.7687,106020
2017-07-07,129.95,131.5,129.95,131.18,21.0105,272478
2017-07-10,131.29,132.52,131.1729,132.29,21.1883,126354
2017-07-11,132.28,133.0599,132.2,132.92,21.2892,76554
2017-07-12,133.83,134.91,133.83,134.78,21.5871,86538
2017-07-13,134.8,135.4849,134.8,135.21,21.656,128520
2017-07-14,135.47,136.509,135.47,136.3723,21.8422,75186
2017-07-17,136.23,136.61,135.93,136.16,21.8082,250632
