Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,84.44,86.08,84.37,85.86,74.7515,19071650
2017-04-18,85.36,85.63,84.74,85.16,74.1421,14127050
2017-04-19,85.5,85.92,84.36,84.46,73.5327,17588510
2017-04-20,84.98,85.78,84.55,85.55,74.4817,15635810
2017-04-21,85.5,85.68,84.51,84.52,73.5849,19820590
2017-04-24,86.55,88.05,86.42,87.5,76.1794,25468289
2017-04-25,88.55,89.13,88.26,88.26,76.841,18253750
2017-04-26,88.35,89.05,88.14,88.43,76.989,12832150
2017-04-27,88.37,88.37,87.01,87.61,76.2751,13329030
2017-04-28,87.6,87.85,86.95,87.0,75.7441,10755630
2017-05-01,87.36,87.74,86.56,87.06,75.7963,15712270
2017-05-02,86.71,86.88,86.02,86.5,75.3087,14414160
2017-05-03,86.06,87.1,86.02,87.0,75.7441,11540540
2017-05-04,87.69,87.73,86.57,87.1,75.8311,11540100
2017-05-05,87.25,87.34,86.42,87.0,75.7441,9436036
2017-05-08,87.04,87.3198,86.6481,87.1,75.8311,8162209
2017-05-09,87.26,87.84,86.5,86.75,75.5264,10273940
2017-05-10,86.529,87.48,86.47,87.43,76.1184,8334867
2017-05-11,87.09,87.48,86.35,87.16,75.8834,10907380
2017-05-12,86.68,87.0484,86.3399,86.92,75.6744,8738802
2017-05-15,87.1,87.49,86.86,87.34,76.0401,8835631
2017-05-16,87.36,88.09,87.34,87.61,76.2751,9794968
2017-05-17,86.11,86.39,83.97,84.27,73.3673,24679730
2017-05-18,84.07,84.8,83.36,83.96,73.0974,23350070
2017-05-19,84.21,85.34,84.15,84.78,73.8113,13412880
2017-05-22,85.18,85.29,84.21,84.7,73.7416,11636000
2017-05-23,84.75,86.07,84.51,85.76,74.6645,11753020
2017-05-24,85.88,85.97,85.24,85.71,74.621,9923251
2017-05-25,85.99,86.08,85.08,85.35,74.3075,12238540
2017-05-26,85.11,85.56,85.02,85.36,74.3162,8113464
2017-05-30,85.13,85.15,83.78,83.9,73.0451,12603180
2017-05-31,83.73,83.82,81.635,82.15,71.5215,28327930
2017-06-01,82.46,83.08,81.65,83.06,72.3138,17123490
2017-06-02,82.29,82.99,81.98,82.64,71.9481,14998490
2017-06-05,82.64,83.51,82.58,82.79,72.0787,9080165
2017-06-06,82.29,83.215,82.13,82.96,72.2267,12196820
2017-06-07,83.31,84.1052,83.1,83.91,73.0538,13711070
2017-06-08,83.91,85.7302,83.89,84.95,73.9593,17950961
2017-06-09,85.51,87.05,85.39,86.96,75.7092,19120170
2017-06-12,87.32,87.74,86.29,86.98,75.7266,16053410
2017-06-13,87.55,87.85,86.98,87.27,75.9791,12557230
2017-06-14,86.77,87.31,85.82,87.09,75.8224,16175650
2017-06-15,86.25,87.08,86.24,86.57,75.3697,12509680
2017-06-16,86.85,86.96,86.015,86.18,75.0301,16936570
2017-06-19,86.97,88.23,86.85,88.07,76.6756,15972340
2017-06-20,87.75,87.92,87.37,87.52,76.1968,11197810
2017-06-21,87.48,87.545,86.76,87.12,75.8485,10005940
2017-06-22,86.93,87.36,86.65,87.02,75.7615,12180580
2017-06-23,87.66,88.0,86.61,86.86,75.6222,18812029
2017-06-26,87.01,87.67,86.615,87.24,75.953,10082420
2017-06-27,87.71,88.94,87.5,88.05,76.6582,15415150
2017-06-28,88.6,90.07,88.6,89.82,78.1992,17466180
2017-06-29,92.34,92.65,90.31,91.15,79.3571,27697820
2017-06-30,91.96,92.0,91.16,91.4,79.5748,16892699
2017-07-03,91.56,93.48,91.41,92.75,81.1943,13208090
2017-07-05,93.12,93.79,92.61,93.68,82.0084,17535400
2017-07-06,93.54,94.51,92.88,93.38,81.7458,16596119
2017-07-07,93.96,94.17,93.23,93.85,82.1572,12817810
2017-07-10,93.5,93.68,93.09,93.19,81.5795,13987190
2017-07-11,93.33,93.33,92.28,92.83,81.2643,13262280
2017-07-12,92.61,92.83,92.07,92.51,80.9842,13540110
2017-07-13,92.69,93.38,92.34,93.1,81.5007,12820080
2017-07-14,90.81,92.605,90.58,92.25,80.7566,22235170
2017-07-17,91.82,91.99,91.25,91.39,80.0037,14374220
2017-07-18,90.45,91.58,90.32,91.07,79.7236,14719400
2017-07-19,91.34,91.6199,91.001,91.2,79.8374,11651250
2017-07-20,91.15,91.72,90.9,91.2,79.8374,11561740
2017-07-21,91.06,91.36,90.52,90.89,79.566,10971290
2017-07-24,90.96,91.54,90.91,91.28,79.9074,10725120
2017-07-25,92.37,93.52,92.27,92.8,81.2381,16447680
2017-07-26,93.1,93.19,91.68,91.93,80.4765,11815500
2017-07-27,91.83,92.06,91.16,91.55,80.1438,12332380
2017-07-28,91.45,91.75,90.905,91.28,79.9074,9351915
2017-07-31,91.51,92.36,91.5,91.8,80.3627,11520330
2017-08-01,92.49,93.14,92.28,93.03,81.4394,12523730
2017-08-02,92.865,93.21,92.505,93.11,81.5094,10165600
2017-08-03,92.7,93.13,92.235,92.5,80.9754,11078800
2017-08-04,93.5,94.4,93.471,93.66,81.9909,14324000
2017-08-07,93.89,94.19,93.71,94.02,82.3061,7978339
2017-08-08,93.95,95.2193,93.6,93.68,82.0084,13745400
2017-08-09,92.98,93.68,92.83,93.53,81.8771,11214440
2017-08-10,92.9,93.07,92.07,92.19,80.7041,13252270
2017-08-11,92.13,92.67,91.24,91.42,80.03,10679530
2017-08-14,92.37,92.9,92.33,92.49,80.9667,10994790
2017-08-15,93.31,93.56,92.65,92.73,81.1768,8812720
2017-08-16,93.04,93.23,91.88,92.09,80.6165,11085400
2017-08-17,91.76,91.96,90.5,90.65,79.3559,13837460
2017-08-18,90.31,91.54,90.19,90.74,79.4347,13040740
2017-08-21,90.85,90.94,90.16,90.63,79.3384,11502070
2017-08-22,91.07,91.71,91.0,91.56,80.1526,9211781
2017-08-23,90.87,92.34,90.84,91.67,80.2489,8811292
2017-08-24,91.93,92.12,91.41,91.52,80.1175,8623165
2017-08-25,91.88,92.48,91.8,91.89,80.4414,11794640
2017-08-28,92.16,92.19,91.13,91.6,80.1876,7292915
2017-08-29,90.45,91.31,90.31,91.1,79.7499,10886080
