Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,29.99,30.16,29.8753,30.0,27.0682,5659729
2017-04-18,29.98,30.08,29.71,29.82,26.9058,5886205
2017-04-19,29.88,30.1,29.87,29.95,27.0231,5807834
2017-04-20,30.0,30.1,29.675,29.71,26.8065,9170950
2017-04-21,29.64,30.14,29.58,29.95,27.0231,9179545
2017-04-24,30.09,30.22,29.92,30.14,27.1945,7059801
2017-04-25,30.0,30.2,29.665,29.84,26.9238,6175611
2017-04-26,30.0,30.1,29.81,29.86,26.9419,6331788
2017-04-27,29.95,30.33,29.895,30.15,27.2035,6272711
2017-04-28,30.17,30.17,29.49,29.65,26.7524,8670806
2017-05-01,29.66,29.8,29.01,29.02,26.184,9851091
2017-05-02,28.6,28.99,28.55,28.82,26.0035,14127200
2017-05-03,28.87,29.55,28.87,29.4,26.5268,11096370
2017-05-04,29.44,29.69,29.12,29.22,26.3644,6647314
2017-05-05,29.22,29.46,29.155,29.35,26.4817,7539970
2017-05-08,29.41,29.46,28.85,28.92,26.0937,8985963
2017-05-09,28.97,29.25,28.96,29.05,26.211,9652604
2017-05-10,29.07,30.075,29.04,30.04,27.1043,11998710
2017-05-11,30.01,30.64,30.01,30.43,27.5663,14011390
2017-05-12,30.21,30.27,29.455,29.52,26.7419,10395620
2017-05-15,29.52,29.58,29.0,29.14,26.3977,9046643
2017-05-16,29.15,29.2,28.8,28.82,26.1078,7574769
2017-05-17,28.77,28.88,28.54,28.6,25.9085,8321977
2017-05-18,28.89,29.21,28.89,29.09,26.3524,11431280
2017-05-19,29.14,29.24,29.01,29.23,26.4792,8344790
2017-05-22,29.2,29.4,29.1,29.28,26.5245,6073146
2017-05-23,29.23,29.28,29.03,29.12,26.3796,6560349
2017-05-24,29.1,29.18,28.86,29.13,26.3886,7889832
2017-05-25,29.21,29.34,29.065,29.24,26.4883,7262070
2017-05-26,29.35,29.46,29.25,29.45,26.6785,6251185
2017-05-30,29.39,29.815,29.33,29.76,26.9593,7849621
2017-05-31,29.72,29.94,29.55,29.78,26.9775,9165598
2017-06-01,29.77,30.36,29.7,30.25,27.4032,11635710
2017-06-02,30.35,30.65,29.995,30.13,27.2945,7284330
2017-06-05,30.02,30.17,29.68,30.09,27.2583,6929771
2017-06-06,30.1,30.1,29.72,29.81,27.0046,5779662
2017-06-07,29.78,29.88,29.7,29.71,26.9141,6163160
2017-06-08,29.79,30.57,29.79,30.2,27.3579,8156689
2017-06-09,30.3,30.93,30.23,30.78,27.8834,11195450
2017-06-12,30.65,30.78,29.795,30.03,27.2039,12594940
2017-06-13,30.15,30.33,29.59,30.32,27.4666,11066700
2017-06-14,30.49,30.54,29.77,30.28,27.4304,10866670
2017-06-15,26.66,27.22,24.37,24.56,22.2487,76401453
2017-06-16,21.19,22.35,20.46,22.29,20.1923,106360703
2017-06-19,22.97,22.97,22.2,22.64,20.5094,40202840
2017-06-20,22.65,22.68,22.26,22.38,20.2739,21068721
2017-06-21,22.4,22.65,21.87,22.37,20.2648,27636990
2017-06-22,22.33,22.58,22.02,22.56,20.4369,22745090
2017-06-23,22.72,22.77,22.43,22.6,20.4732,23367410
2017-06-26,22.68,22.74,22.49,22.61,20.4822,12221650
2017-06-27,22.7,23.17,22.54,22.77,20.6272,23221910
2017-06-28,22.83,23.5,22.83,23.35,21.1526,15721050
2017-06-29,23.48,23.55,22.91,23.24,21.0529,15258330
2017-06-30,23.34,23.51,23.26,23.32,21.1254,10818370
2017-07-03,23.47,23.6,23.43,23.55,21.3338,5610757
2017-07-05,23.65,23.68,22.97,23.23,21.0439,14218200
2017-07-06,23.2,23.57,23.05,23.13,20.9533,13637780
2017-07-07,23.18,23.34,23.04,23.16,20.9805,9525408
2017-07-10,23.1,23.15,22.6,22.61,20.4822,13677210
2017-07-11,22.61,22.92,22.5,22.63,20.5003,10070260
2017-07-12,22.73,22.94,22.65,22.8,20.6543,8707592
2017-07-13,22.99,23.01,22.61,22.92,20.763,9081376
2017-07-14,22.98,23.2,22.89,23.01,20.8446,7146252
2017-07-17,23.0,23.16,22.82,22.87,20.7178,10516830
2017-07-18,22.85,22.87,22.54,22.55,20.4279,9997710
2017-07-19,22.6,22.96,22.56,22.94,20.7812,8743316
2017-07-20,23.0,23.3884,22.99,23.26,21.0711,8228793
2017-07-21,23.2,23.3,23.0,23.26,21.0711,7001199
2017-07-24,23.25,23.3301,23.171,23.23,21.0439,6004885
2017-07-25,23.36,23.81,23.33,23.68,21.4515,9014708
2017-07-26,23.82,24.03,23.65,23.72,21.4878,10980560
2017-07-27,23.7,24.08,23.52,23.95,21.6961,8650482
2017-07-28,23.91,24.28,23.84,24.28,21.9951,10322220
2017-07-31,24.3,24.559,24.16,24.52,22.2125,11312410
2017-08-01,24.5,24.64,24.28,24.6,22.2849,9205612
2017-08-02,24.59,24.7,24.42,24.63,22.3121,8694819
2017-08-03,24.57,24.58,23.8499,24.06,21.7958,12425530
2017-08-04,24.16,24.32,24.03,24.13,21.8592,7953630
2017-08-07,24.14,24.54,24.13,24.37,22.0766,7260047
2017-08-08,24.26,24.45,24.09,24.13,21.8592,9033347
2017-08-09,24.06,24.1,23.89,23.94,21.6871,5597645
2017-08-10,23.81,23.9,23.54,23.57,21.3519,7534496
2017-08-11,23.23,24.019,23.04,23.49,21.3929,10591130
2017-08-14,23.54,23.71,23.46,23.58,21.4748,7671973
2017-08-15,23.58,23.58,23.07,23.11,21.0468,8189817
2017-08-16,23.31,23.345,22.97,23.09,21.0286,8193521
2017-08-17,22.88,23.51,22.85,22.86,20.8191,15232270
2017-08-18,22.76,23.08,22.735,22.86,20.8191,7969409
2017-08-21,22.85,22.97,22.55,22.61,20.5914,7690671
2017-08-22,22.66,23.07,22.66,22.94,20.892,6503001
2017-08-23,22.9,23.09,22.85,22.96,20.9102,6019666
2017-08-24,23.0,23.25,21.06,21.1,19.2162,39085961
2017-08-25,21.32,22.06,21.3,21.74,19.7991,31786570
2017-08-28,21.3,21.89,21.21,21.72,19.7809,16487891
2017-08-29,21.71,21.93,21.602,21.81,19.8628,8744714
2017-08-30,21.85,22.2,21.57,22.2,20.218,10805420
2017-08-31,22.15,22.19,21.81,21.87,19.9175,15823710
2017-09-01,21.97,22.54,21.94,22.42,20.4184,13862540
2017-09-05,22.29,22.8,22.25,22.43,20.4275,11804200
2017-09-06,22.42,22.61,22.19,22.55,20.5368,14274480
2017-09-07,22.53,22.93,22.21,22.77,20.7371,21085221
2017-09-08,21.35,21.79,20.41,21.06,19.1798,62444238
2017-09-11,20.97,21.35,20.73,21.34,19.4348,21638721
2017-09-12,21.61,21.79,21.38,21.58,19.6534,18888760
2017-09-13,21.6,22.08,21.56,21.73,19.79,12381960
2017-09-14,21.75,21.87,21.16,21.26,19.3619,11905710
2017-09-15,21.28,21.61,21.24,21.57,19.6443,15154040
2017-09-18,21.52,21.675,21.335,21.44,19.5259,8370498
2017-09-19,21.49,21.59,21.08,21.13,19.2436,9687599
2017-09-20,21.08,21.1425,20.75,20.8,18.943,13242480
2017-09-21,20.83,20.85,20.22,20.22,18.4148,20307650
2017-09-22,20.26,20.44,20.04,20.15,18.351,14232970
2017-09-25,20.05,20.24,19.885,19.94,18.1598,16857859
2017-09-26,19.95,20.36,19.95,20.19,18.3875,22762350
