Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,119.19,119.21,118.85,118.91,102.3276,2933683
2017-04-18,119.28,119.66,119.1528,119.61,102.93,3616793
2017-04-19,119.37,119.43,119.16,119.25,102.6202,1839355
2017-04-20,119.1,119.19,118.9,119.08,102.4739,3263971
2017-04-21,119.28,119.29,119.07,119.08,102.4739,3892437
2017-04-24,118.93,119.03,118.7389,118.92,102.3362,3193446
2017-04-25,118.75,118.81,118.41,118.45,101.9317,3541067
2017-04-26,118.47,118.779,118.435,118.74,102.1813,3320432
2017-04-27,118.74,118.94,118.605,118.85,102.276,4390955
2017-04-28,118.71,119.01,118.595,118.99,102.3964,4477964
2017-05-01,118.57,118.71,118.18,118.3,102.0786,3480215
2017-05-02,118.36,118.68,118.29,118.65,102.3806,2858179
2017-05-03,118.87,118.9,118.5,118.59,102.3288,2854862
2017-05-04,118.25,118.36,118.17,118.36,102.1304,1540500
2017-05-05,118.38,118.4,118.13,118.4,102.1649,2887308
2017-05-08,118.37,118.37,118.101,118.19,101.9837,3886477
2017-05-09,118.12,118.21,118.05,118.21,102.0009,3012378
2017-05-10,118.53,118.53,118.23,118.37,102.139,4282580
2017-05-11,118.2,118.47,118.15,118.43,102.1908,2263516
2017-05-12,118.8,119.06,118.78,119.03,102.7085,3165038
2017-05-15,118.96,119.08,118.88,119.02,102.6999,3752656
2017-05-16,119.09,119.3576,119.05,119.19,102.8466,3996368
2017-05-17,119.59,119.979,119.59,119.92,103.4765,7304299
2017-05-18,119.91,119.95,119.7,119.9,103.4592,4825397
2017-05-19,119.83,119.97,119.7,119.97,103.5196,2907813
2017-05-22,119.88,119.93,119.8,119.87,103.4333,2852915
2017-05-23,120.01,120.01,119.46,119.5,103.1141,5154199
2017-05-24,119.57,119.76,119.38,119.69,103.278,5291558
2017-05-25,119.77,119.77,119.545,119.74,103.3211,2806232
2017-05-26,119.82,119.91,119.72,119.83,103.3988,2054823
2017-05-30,120.0,120.12,119.96,120.11,103.6404,3898258
2017-05-31,120.11,120.26,120.0235,120.25,103.7612,4428704
2017-06-01,119.69,119.97,119.67,119.96,103.784,9429967
2017-06-02,120.46,120.58,120.3,120.52,104.2685,5130059
2017-06-05,120.26,120.37,120.17,120.18,103.9743,3198470
2017-06-06,120.66,120.66,120.45,120.53,104.2771,1806671
2017-06-07,120.47,120.6,120.32,120.38,104.1473,5702351
2017-06-08,120.39,120.39,120.0,120.17,103.9657,3895232
2017-06-09,119.95,120.14,119.85,120.05,103.8618,6884719
2017-06-12,119.96,120.28,119.92,120.08,103.8878,4075123
2017-06-13,119.96,120.21,119.96,120.21,104.0003,4821989
2017-06-14,120.99,121.31,120.79,121.03,104.7097,6852817
2017-06-15,120.87,120.87,120.59,120.74,104.4588,6624662
2017-06-16,120.84,120.91,120.755,120.84,104.5453,4314833
2017-06-19,120.85,120.85,120.63,120.69,104.4155,7827730
2017-06-20,120.86,121.08,120.74,120.96,104.6491,6906491
2017-06-21,120.95,121.08,120.83,121.02,104.701,5462716
2017-06-22,121.19,121.2288,120.98,121.12,104.7876,3520789
2017-06-23,121.11,121.19,121.05,121.18,104.8395,5495715
2017-06-26,121.45,121.56,121.3701,121.4,105.0298,3808619
2017-06-27,121.13,121.1472,120.82,120.85,104.554,4736503
2017-06-28,120.91,120.98,120.63,120.98,104.6664,3934009
2017-06-29,120.37,120.705,120.34,120.61,104.3463,6954179
2017-06-30,120.66,120.69,120.47,120.51,104.2598,4567823
2017-07-03,120.34,120.34,119.93,119.93,104.0344,5759530
2017-07-05,120.03,120.15,119.9,120.13,104.2079,5406932
2017-07-06,119.78,119.89,119.5,119.82,103.939,11548020
2017-07-07,119.7,119.77,119.6,119.72,103.8523,9803906
2017-07-10,119.89,119.95,119.74,119.92,104.0257,2234474
2017-07-11,119.9,119.9872,119.73,119.97,104.0691,4340941
2017-07-12,120.5,120.62,120.38,120.5,104.5289,6779562
2017-07-13,120.38,120.4275,120.12,120.29,104.3467,3977407
2017-07-14,120.72,120.8,120.38,120.57,104.5896,5301965
2017-07-17,120.57,120.75,120.45,120.68,104.685,5899020
2017-07-18,121.05,121.2,120.92,121.2,105.1361,4775283
2017-07-19,121.19,121.3,121.09,121.16,105.1014,4144240
2017-07-20,121.42,121.4678,121.19,121.27,105.1968,1925200
2017-07-21,121.44,121.61,121.4328,121.55,105.4397,3634002
2017-07-24,121.47,121.495,121.31,121.41,105.3183,2647853
2017-07-25,120.94,120.975,120.66,120.69,104.6937,7043066
2017-07-26,120.68,121.19,120.6425,121.09,105.0407,9355480
2017-07-27,120.84,120.93,120.7,120.79,104.7804,2769092
2017-07-28,120.84,121.11,120.79,121.11,105.058,2312162
2017-07-31,120.91,121.12,120.91,121.11,105.058,3689850
2017-08-01,120.63,121.23,120.57,121.23,105.4388,7390477
2017-08-02,121.17,121.29,121.0,121.04,105.2736,6728623
2017-08-03,121.11,121.27,121.09,121.21,105.4214,6520483
2017-08-04,120.9,120.92,120.58,120.74,105.0127,5095710
2017-08-07,120.75,120.83,120.59,120.77,105.0388,10816430
2017-08-08,120.65,120.67,120.17,120.19,104.5343,9992800
2017-08-09,120.57,120.62,120.295,120.31,104.6387,7465815
2017-08-10,120.34,120.44,120.06,120.27,104.6039,8053368
2017-08-11,120.3,120.51,120.09,120.49,104.7952,10910500
2017-08-14,120.42,120.645,120.36,120.41,104.7256,3051496
2017-08-15,120.17,120.35,120.11,120.27,104.6039,4709988
2017-08-16,120.3,120.7969,120.29,120.61,104.8996,5190152
2017-08-17,120.6,120.84,120.48,120.73,105.004,8973840
2017-08-18,121.03,121.04,120.61,120.65,104.9344,4350906
2017-08-21,120.84,120.87,120.72,120.82,105.0822,3666217
2017-08-22,120.78,120.79,120.64,120.7,104.9779,2390610
2017-08-23,120.95,121.17,120.87,121.16,105.378,4590242
2017-08-24,121.0,121.13,120.885,120.93,105.1779,2929758
2017-08-25,121.01,121.29,120.95,121.21,105.4214,5487990
2017-08-28,121.18,121.26,121.0,121.21,105.4214,5200778
2017-08-29,121.65,121.7,121.23,121.3,105.4997,3499654
2017-08-30,121.29,121.4,121.24,121.4,105.5867,2573677
2017-08-31,121.46,121.66,121.445,121.61,105.7693,4549449
2017-09-01,121.19,121.22,120.8,120.81,105.3509,7945950
2017-09-05,121.22,121.655,121.17,121.56,106.0049,7356961
2017-09-06,121.54,121.6,121.08,121.13,105.63,8863669
2017-09-07,121.37,121.81,121.35,121.6,106.0398,7698798
2017-09-08,121.52,121.52,121.23,121.24,105.7259,6776599
2017-09-11,120.99,121.185,120.85,120.87,105.4032,4220271
2017-09-12,120.82,120.82,120.55,120.74,105.2899,4615817
2017-09-13,120.82,120.84,120.6,120.62,105.1852,5671338
2017-09-14,120.56,120.92,120.56,120.92,105.4468,4333511
2017-09-15,120.99,121.05,120.79,121.02,105.534,4631309
2017-09-18,120.96,120.98,120.76,120.9,105.4294,4971726
2017-09-19,120.95,121.06,120.844,120.97,105.4904,5296844
2017-09-20,121.07,121.09,120.54,120.82,105.3596,6603279
2017-09-21,120.85,121.0665,120.81,120.82,105.3596,3410003
2017-09-22,121.06,121.12,120.895,120.98,105.4992,2099239
2017-09-25,121.12,121.46,121.07,121.43,105.8916,3489895
2017-09-26,121.3,121.4599,121.205,121.41,105.8741,10290710
2017-09-27,120.85,121.0092,120.64,120.94,105.4643,6695458
2017-09-28,120.79,121.14,120.75,121.12,105.6212,6350817
2017-09-29,121.2,121.3,120.95,121.23,105.7172,7627305
2017-10-02,120.96,121.105,120.7743,121.02,105.8158,7218144
2017-10-03,120.98,121.29,120.9201,121.29,106.0519,7569409
2017-10-04,121.3,121.3,120.98,121.22,105.9907,5376431
2017-10-05,121.15,121.15,120.915,121.05,105.842,3932820
2017-10-06,120.68,120.99,120.57,120.95,105.7546,5901273
2017-10-09,121.02,121.07,120.87,121.05,105.842,1312163
2017-10-10,121.09,121.4,121.05,121.13,105.912,3873377
2017-10-11,121.31,121.31,121.0,121.07,105.8595,7170869
2017-10-12,121.11,121.19,120.95,121.1,105.8858,10302630
2017-10-13,121.57,121.65,121.4,121.58,106.3054,5755794
