Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,50.08,50.42,50.0001,50.35,47.0857,5053888
2017-04-18,49.64,49.8,49.515,49.66,46.4405,925663
2017-04-19,49.79,49.955,49.52,49.6,46.3843,462117
2017-04-20,50.12,50.42,50.1,50.38,47.1138,1361366
2017-04-21,50.18,50.39,50.155,50.34,47.0764,816801
2017-04-24,50.67,50.79,50.655,50.72,47.4317,598939
2017-04-25,51.3,51.45,51.26,51.31,47.9835,1066950
2017-04-26,51.29,51.385,51.16,51.22,47.8993,2760630
2017-04-27,51.12,51.255,51.04,51.13,47.8152,792010
2017-04-28,51.11,51.17,50.93,51.16,47.8432,1423635
2017-05-01,51.28,51.525,51.22,51.36,48.0302,474180
2017-05-02,51.29,51.53,51.23,51.34,48.0115,1090401
2017-05-03,51.25,51.29,50.95,51.13,47.8152,954243
2017-05-04,50.79,50.79,50.31,50.45,47.1792,1266325
2017-05-05,50.3,50.63,50.21,50.62,47.3382,1419332
2017-05-08,50.82,50.89,50.65,50.69,47.4037,796508
2017-05-09,51.39,51.77,51.39,51.61,48.264,1815814
2017-05-10,51.94,52.1,51.82,52.08,48.7036,1554350
2017-05-11,51.96,52.05,51.655,51.98,48.61,1423967
2017-05-12,52.19,52.45,52.17,52.41,49.0122,1621694
2017-05-15,52.58,52.97,52.44,52.92,49.4891,2244386
2017-05-16,52.79,53.19,52.79,53.17,49.7229,1204115
2017-05-17,52.9,52.9,52.33,52.37,48.9748,1611332
2017-05-18,52.03,52.65,51.68,52.48,49.0776,1835461
2017-05-19,52.91,53.39,52.87,53.24,49.7884,1002256
2017-05-22,53.69,53.9286,53.61,53.85,50.3588,980995
2017-05-23,53.74,53.85,53.44,53.51,50.0409,3336575
2017-05-24,53.56,53.59,53.41,53.54,50.0689,970056
2017-05-25,54.05,54.2252,53.99,54.17,50.6581,1250861
2017-05-26,54.07,54.23,54.03,54.19,50.6768,755655
2017-05-30,54.04,54.255,54.01,54.22,50.7048,1310508
2017-05-31,54.11,54.11,53.65,53.77,50.284,1335247
2017-06-01,54.03,54.43,53.94,54.43,50.9012,1532220
2017-06-02,54.36,54.49,54.2265,54.47,50.9386,473574
2017-06-05,54.39,54.545,54.33,54.38,50.8545,857966
2017-06-06,54.51,54.78,54.4701,54.63,51.0882,1194662
2017-06-07,54.6,54.8,54.5457,54.8,51.2472,799350
2017-06-08,56.01,56.07,55.345,55.8,52.1824,2081479
2017-06-09,55.83,55.98,54.67,55.05,51.481,2775910
2017-06-12,54.61,54.77,54.15,54.59,51.0508,3149634
2017-06-13,54.94,55.08,54.555,54.63,51.0882,4248306
2017-06-14,54.81,54.89,54.225,54.39,50.8638,1868003
2017-06-15,53.84,53.87,53.535,53.83,50.3401,1926287
2017-06-16,54.0,54.0,53.66,53.9,50.4056,2699191
2017-06-19,54.63,55.0,54.61,54.94,51.3781,1476586
2017-06-20,54.47,54.542,54.27,54.31,50.967,1789073
2017-06-21,54.49,54.755,54.46,54.65,51.2861,1530396
2017-06-22,55.0,55.1455,54.81,54.93,51.5488,891711
2017-06-23,54.81,55.12,54.81,55.03,51.6427,921642
2017-06-26,55.61,55.77,55.26,55.47,52.0556,1806429
2017-06-27,55.42,55.45,54.91,54.92,51.5394,1076018
2017-06-28,55.07,55.37,54.89,55.33,51.9242,1362911
2017-06-29,55.13,55.13,54.14,54.58,51.2204,2132705
2017-06-30,54.85,54.94,54.59,54.69,51.3236,1700318
2017-07-03,55.19,55.36,54.95,55.03,51.6427,995630
2017-07-05,54.68,55.0,54.42,54.95,51.5676,1930681
2017-07-06,54.6,54.66,54.19,54.24,50.9013,1011169
2017-07-07,54.37,54.44,54.14,54.31,50.967,1385140
2017-07-10,54.31,54.73,54.29,54.65,51.2861,831465
2017-07-11,55.48,55.695,55.295,55.65,52.2245,962986
2017-07-12,56.41,56.89,56.36,56.82,53.3225,1679771
2017-07-13,56.88,56.965,56.72,56.94,53.4351,1307437
2017-07-14,57.18,57.805,57.18,57.74,54.1859,655212
2017-07-17,57.53,57.54,57.22,57.4,53.8668,1522122
2017-07-18,57.31,57.75,57.14,57.7,54.1483,737567
2017-07-19,58.48,58.715,58.36,58.44,54.8428,2272391
2017-07-20,58.53,58.53,58.155,58.2,54.6175,2546711
2017-07-21,58.11,58.165,57.94,58.14,54.5612,596500
2017-07-24,58.39,58.55,58.345,58.48,54.8803,1040559
2017-07-25,58.57,58.65,58.35,58.44,54.8428,1020016
2017-07-26,58.58,59.06,58.455,59.04,55.4058,1742683
2017-07-27,59.48,59.52,58.14,58.74,55.1243,1676026
2017-07-28,58.78,59.335,58.57,59.26,55.6123,1474891
2017-07-31,59.75,59.75,59.34,59.41,55.7531,1030068
2017-08-01,60.0,60.03,59.7,59.81,56.1284,1325126
2017-08-02,59.82,59.83,59.0,59.34,55.6874,1438538
2017-08-03,59.3,59.42,58.955,59.37,55.7155,973768
2017-08-04,59.6,59.6,59.6,59.6,55.9314,673748
2017-08-07,60.0,60.36,59.94,60.35,56.6352,926065
2017-08-08,60.77,61.145,60.65,60.81,57.0669,1052581
2017-08-09,60.59,60.67,60.195,60.67,56.9355,1249477
2017-08-10,59.99,59.99,58.625,58.7,55.0868,2089671
2017-08-11,58.32,58.76,58.04,58.6,54.9929,1887387
2017-08-14,59.4,59.52,59.2,59.39,55.7343,745269
2017-08-15,59.37,59.37,58.99,59.31,55.6592,1356145
2017-08-16,60.35,60.5,60.24,60.41,56.6915,2712164
2017-08-17,60.1,60.21,59.31,59.39,55.7343,2308580
2017-08-18,59.52,60.02,59.29,59.67,55.9971,1778902
2017-08-21,60.18,60.39,60.02,60.34,56.6258,880233
2017-08-22,60.7,61.22,60.7,61.2,57.4329,3209416
2017-08-23,60.95,61.66,60.95,61.58,57.7895,1859772
2017-08-24,61.76,61.79,61.36,61.56,57.7707,913233
2017-08-25,62.14,62.24,61.7,61.76,57.9584,1474692
2017-08-28,61.76,61.76,61.16,61.27,57.4986,1047261
2017-08-29,60.6,61.365,60.53,61.28,57.508,1096984
2017-08-30,61.52,61.845,61.42,61.76,57.9584,1451571
2017-08-31,61.95,62.1,61.8,62.0,58.1836,1177143
2017-09-01,62.08,62.21,61.86,62.12,58.2963,775180
2017-09-05,61.59,61.79,60.98,61.32,57.5455,1357487
2017-09-06,61.63,61.75,61.37,61.6,57.8083,1332554
2017-09-07,61.76,62.02,61.63,62.02,58.2024,932295
2017-09-08,62.06,62.06,61.51,61.54,57.752,1084315
2017-09-11,62.31,62.85,62.31,62.84,58.9719,904116
2017-09-12,63.04,63.0463,62.785,63.0,59.1221,1995441
2017-09-13,63.0,63.28,62.87,63.15,59.2629,3194364
2017-09-14,62.88,63.21,62.81,63.1,59.2159,3590581
2017-09-15,63.27,63.75,63.005,63.65,59.7321,3057438
2017-09-18,64.09,64.34,64.05,64.26,60.3045,889063
2017-09-19,64.39,64.41,64.07,64.38,60.4171,830980
2017-09-20,64.62,64.71,63.54,64.27,60.3139,2206548
2017-09-21,64.28,64.28,64.28,64.28,60.3233,1059622
2017-09-22,63.84,63.925,63.65,63.83,59.901,1076098
2017-09-25,62.72,62.77,61.55,61.88,58.071,3234219
2017-09-26,62.45,62.59,61.91,62.02,58.2024,3863311
2017-09-27,62.56,62.695,62.14,62.5,58.6529,2153771
2017-09-28,61.82,62.28,61.82,62.2,58.3713,1446958
2017-09-29,62.45,63.28,62.45,63.09,59.2065,1816719
2017-10-02,63.5,63.795,63.35,63.42,59.5162,1615341
2017-10-03,64.61,64.96,64.39,64.94,60.9427,1552131
2017-10-04,64.86,64.86,64.86,64.86,60.8676,1449846
2017-10-05,65.1,65.81,65.08,65.74,61.6934,3488870
2017-10-06,65.02,65.35,64.9,65.31,61.2899,1057038
2017-10-09,65.2,65.5,65.11,65.36,61.3368,619911
2017-10-10,65.62,66.01,65.6,66.01,61.9468,1551191
2017-10-11,65.42,65.78,65.385,65.75,61.7028,1338305
2017-10-12,65.7,65.7,65.2701,65.38,61.3556,1245692
2017-10-13,65.82,66.055,65.67,65.84,61.7873,1137498
2017-10-16,66.15,66.15,66.15,66.15,62.0782,664593
2017-10-17,66.03,66.15,65.54,65.58,61.5433,1377253
2017-10-18,66.08,66.35,65.79,66.19,62.1157,934411
2017-10-19,65.05,65.07,64.61,65.03,61.0271,800882
2017-10-20,65.69,65.72,65.415,65.52,61.487,1126976
2017-10-23,65.5,65.5,64.86,64.89,60.8958,828492
2017-10-24,65.0,65.28,64.78,64.84,60.8488,781177
2017-10-25,65.26,65.36,64.03,64.53,60.5579,1860530
2017-10-26,64.59,64.845,64.3,64.32,60.3608,1371143
2017-10-27,64.73,65.21,64.335,65.17,61.1585,1591926
2017-10-30,64.69,64.975,64.351,64.67,60.6893,1564318
2017-10-31,64.96,65.31,64.88,65.3,61.2805,844290
2017-11-01,66.03,66.27,65.68,65.75,61.7028,1257716
2017-11-02,66.02,66.15,65.535,65.85,61.7967,1489579
2017-11-03,65.92,66.1061,65.5,65.83,61.7779,1221822
2017-11-06,66.19,66.88,66.18,66.81,62.6976,1326919
2017-11-07,67.05,67.05,67.05,67.05,62.9228,1705826
2017-11-08,67.18,67.259,66.97,67.2,63.0636,1001576
2017-11-09,67.19,67.19,66.37,67.07,62.9416,1961179
2017-11-10,67.34,67.42,67.09,67.39,63.2419,1244106
2017-11-13,67.36,67.59,67.11,67.37,63.2231,959888
2017-11-14,67.07,67.12,66.35,66.56,62.463,1173416
2017-11-15,66.02,66.28,65.63,66.09,62.0219,2300515
2017-11-16,66.97,67.8,66.9,67.54,63.3826,1984105
2017-11-17,67.5,67.785,67.5,67.57,63.4108,2375494
2017-11-20,68.11,68.51,68.06,68.39,64.1803,1907967
2017-11-21,69.87,70.17,69.78,69.96,65.6537,2345967
2017-11-22,69.9,69.98,69.58,69.84,65.5411,1508957
2017-11-24,69.29,69.46,69.165,69.45,65.1751,1169606
2017-11-27,68.7,68.76,68.14,68.14,63.9457,1271253
2017-11-28,68.48,68.81,68.175,68.67,64.4431,1378711
2017-11-29,68.0,68.02,66.32,66.96,62.8383,2110102
2017-11-30,66.77,66.77,66.12,66.24,62.1627,2728079
2017-12-01,65.58,66.0,64.87,65.31,61.2899,2859576
2017-12-04,66.03,66.26,64.98,65.04,61.0365,2125698
2017-12-05,64.68,65.36,64.39,64.75,60.7644,1658133
2017-12-06,63.27,64.03,63.17,63.9,59.9667,2430769
2017-12-07,63.94,64.4699,63.8372,64.29,60.3327,1962085
2017-12-08,65.58,65.79,65.375,65.505,61.4729,1427774
2017-12-11,66.01,66.4,66.01,66.29,62.2096,1221412
2017-12-12,65.55,65.55,65.155,65.37,61.3462,1299073
2017-12-13,66.08,66.73,66.08,66.59,62.4911,2747263
2017-12-14,66.17,66.17,65.72,65.73,61.684,1633294
2017-12-15,65.46,65.76,65.04,65.61,61.5714,5328691
2017-12-18,66.07,66.43,66.0,66.25,62.172,1561486
2017-12-19,65.59,65.67,65.09,65.12,61.9018,1818612
2017-12-20,65.31,65.38,64.98,65.09,61.8733,1318290
2017-12-21,65.71,66.445,65.71,66.29,63.0139,1550014
