Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-18,40.4,40.4,40.09,40.15,40.15,22517
2017-04-19,40.1,40.1,39.98,39.98,39.98,16266
2017-04-20,40.06,40.07,39.97,40.07,40.07,266516
2017-04-21,39.99,40.03,39.88,40.03,40.03,8244
2017-04-24,40.33,40.47,40.33,40.4,40.4,169852
2017-04-25,40.44,40.59,40.43,40.5,40.5,53128
2017-04-26,40.38,40.58,40.38,40.51,40.51,223939
2017-04-27,40.53,40.67,40.42,40.67,40.67,91268
2017-04-28,40.53,40.58,40.53,40.58,40.58,8043
2017-05-02,40.51,40.94,40.51,40.94,40.94,194575
2017-05-03,40.93,41.0,40.89,40.98,40.98,4089
2017-05-04,41.04,41.22,40.94,41.22,41.22,15745
2017-05-05,41.15,41.41,41.15,41.41,41.41,38330
2017-05-08,41.46,41.55,41.44,41.55,41.55,134823
2017-05-09,41.58,41.72,41.508,41.72,41.72,90897
2017-05-10,41.59,41.77,41.57,41.77,41.77,48419
2017-05-11,41.72,41.73,41.55,41.67,41.67,75755
2017-05-12,41.66,41.96,41.66,41.96,41.96,14653
2017-05-15,41.96,41.96,41.78,41.83,41.83,16848
2017-05-16,41.85,42.03,41.85,42.03,42.03,19839
2017-05-17,41.97,41.97,41.59,41.59,41.59,32774
2017-05-18,41.62,41.62,41.37,41.47,41.47,209300
2017-05-19,41.55,41.7,41.46,41.7,41.7,257746
2017-05-22,41.75,41.8121,41.66,41.81,41.81,596710
2017-05-23,41.6,41.84,41.6,41.84,41.84,7788
2017-05-24,41.84,41.9,41.834,41.9,41.9,128264
2017-05-25,42.16,42.16,41.88,41.88,41.88,6120
2017-05-26,41.86,41.9,41.78,41.87,41.87,13008
2017-05-30,41.76,41.92,41.69,41.92,41.92,84966
2017-05-31,41.99,42.19,41.9177,42.03,42.03,1096583
2017-06-01,42.06,42.33,42.06,42.18,42.18,73946
2017-06-02,42.37,42.46,42.2259,42.29,42.29,429079
2017-06-05,42.45,42.45,42.21,42.24,42.24,330159
2017-06-06,42.17,42.29,42.14,42.22,42.22,19461
2017-06-07,42.24,42.36,42.17,42.21,42.21,32226
2017-06-08,42.11,42.25,42.0,42.01,42.01,9018
2017-06-09,41.86,42.12,41.86,42.08,42.08,67846
2017-06-12,41.98,41.98,41.58,41.65,41.65,36642
2017-06-13,41.78,41.86,41.75,41.86,41.86,42284
2017-06-14,42.1,42.16,41.87,41.87,41.87,3044
2017-06-15,41.76,41.76,40.85,41.65,41.65,2038911
2017-06-16,41.86,42.0,41.85,42.0,42.0,41781
2017-06-19,42.2,42.2165,42.17,42.17,42.17,9993
2017-06-20,42.37,42.39,42.13,42.13,42.13,47897
2017-06-21,41.87,41.98,41.76,41.98,41.98,9997
