Date,Open,High,Low,Close,Adjusted_close,Volume
2021-05-14,31.0,33.25,31.0,33.25,32.4308,342947
2021-05-17,34.0,35.0,34.0,34.1,33.2598,31467
2021-05-18,34.48,38.4205,34.48,37.5,36.5761,48892
2021-05-19,37.0,37.75,37.0,37.5,36.5761,43936
2021-05-20,37.5,37.75,37.5,37.75,36.8199,22918
2021-05-21,38.5,38.5,37.5,37.6,36.6736,18272
2021-05-24,38.0,38.25,37.9,38.0,37.0637,30555
2021-05-25,38.75,38.75,36.9,36.95,36.0396,35756
2021-05-26,37.9999,37.9999,36.0,36.83,35.9226,44359
2021-05-27,37.0,37.0,35.5,35.5,34.6253,40667
2021-05-28,36.0,37.1093,35.75,35.75,34.8692,60810
2021-06-01,36.65,37.459,35.9,36.0,35.113,51993
2021-06-02,36.5,36.74,34.5,35.26,34.3913,1306897
2021-06-03,34.15,38.24,32.22,37.0,36.0884,22326020
2021-06-04,36.15,36.17,33.71,34.15,33.3086,7502305
2021-06-07,33.6,33.88,30.85,31.42,30.6459,11513110
2021-06-08,30.33,30.91,28.53,28.91,28.1977,18500289
2021-06-09,28.3,29.44,27.25,28.45,27.749,14563600
2021-06-10,28.46,31.16,28.4,30.33,29.5827,11205890
2021-06-11,30.38,30.38,29.4,29.65,28.9195,5728907
2021-06-14,30.08,30.63,29.27,30.28,29.534,6971953
2021-06-15,30.03,32.09,29.8,31.81,31.0263,6339088
2021-06-16,31.52,31.65,30.27,30.7,29.9436,5288132
2021-06-17,30.49,31.73,30.1,31.46,30.6849,5086446
2021-06-18,31.5,31.71,29.96,29.98,29.2413,10213830
2021-06-21,30.2,30.67,29.36,29.41,28.6854,3542702
2021-06-22,29.25,29.87,28.845,29.53,28.8024,4218326
2021-06-23,29.53,30.08,29.1,29.5,28.7732,3880875
2021-06-24,29.39,30.07,29.3,29.77,29.0365,2769564
2021-06-25,29.77,30.87,29.21,30.19,29.4462,13582740
2021-06-28,29.69,31.03,29.41,30.94,30.1777,3106152
2021-06-29,30.98,31.32,30.46,30.55,29.7973,2256727
2021-06-30,30.33,30.83,30.25,30.26,29.5144,2011138
2021-07-01,30.11,31.24,30.06,30.82,30.0606,2437119
2021-07-02,30.71,31.12,30.3,30.86,30.0997,1813073
2021-07-06,30.6,31.1,29.9,31.0,30.2362,2853517
2021-07-07,31.0,31.0399,29.87,30.12,29.3779,2936212
2021-07-08,29.65,30.18,29.26,29.65,28.9195,1931412
2021-07-09,29.95,30.28,29.59,30.1,29.3584,2345711
2021-07-12,29.77,30.38,29.57,29.74,29.0073,1855651
2021-07-13,29.5,29.885,28.96,29.1,28.383,2047933
2021-07-14,28.98,29.4,28.84,29.34,28.6171,2004663
2021-07-15,28.85,29.49,28.69,28.91,28.1977,2112296
2021-07-16,28.77,29.0,28.42,28.87,28.1587,1757732
2021-07-19,28.63,29.17,28.54,29.14,28.422,2261653
2021-07-20,29.17,29.78,29.06,29.61,28.8805,1922637
2021-07-21,29.66,30.5,29.53,30.46,29.7095,2068422
2021-07-22,30.43,31.06,30.25,30.92,30.1582,2221127
2021-07-23,30.89,30.92,29.712,29.8,29.0658,1618174
2021-07-26,29.71,30.21,29.18,29.66,28.9292,1526892
2021-07-27,29.36,29.64,28.825,29.12,28.4025,2005402
2021-07-28,29.13,29.87,29.0,29.74,29.0073,1854551
2021-07-29,29.59,29.86,29.21,29.23,28.5098,1777020
2021-07-30,29.06,29.4,28.91,29.01,28.2952,1504450
2021-08-02,29.08,29.635,29.04,29.53,28.8024,1761869
2021-08-03,29.28,29.58,29.01,29.51,28.7829,1386730
2021-08-04,29.32,29.32,28.61,28.63,27.9246,1851926
2021-08-05,28.64,29.58,28.5,29.56,28.8317,2190667
2021-08-06,29.49,29.78,29.17,29.5,28.7732,1298680
2021-08-09,29.78,30.0,28.9199,29.1,28.383,1982564
2021-08-10,29.08,30.485,28.92,30.35,29.6022,2980245
2021-08-11,30.35,30.4,29.7201,29.93,29.1926,1869093
2021-08-12,31.06,34.0,31.0,33.5,32.6746,7829569
2021-08-13,33.5,34.49,32.86,34.21,33.3671,3441477
2021-08-16,34.24,34.79,33.91,34.33,33.4842,2745751
2021-08-17,34.74,35.8197,34.44,35.38,34.5083,4683490
2021-08-18,35.88,36.49,33.5419,33.59,32.7624,4684987
2021-08-19,33.4,34.5668,33.015,34.1,33.2598,2501347
2021-08-20,33.95,34.46,33.15,33.22,32.6698,2354628
2021-08-23,33.55,33.79,32.86,33.24,32.6894,2473710
2021-08-24,33.35,33.82,32.96,33.16,32.6108,2117657
2021-08-25,33.01,33.61,32.37,33.3,32.7484,1929428
2021-08-26,33.22,34.36,33.22,33.96,33.3975,1607914
2021-08-27,33.98,34.32,33.73,34.25,33.6827,1165789
2021-08-30,34.09,34.24,33.66,33.72,33.1615,1069016
2021-08-31,33.54,34.0981,33.42,33.89,33.3287,1694611
2021-09-01,34.45,35.37,34.26,34.56,33.9876,2738788
2021-09-02,35.12,35.64,34.35,35.61,35.0202,2560691
2021-09-03,35.47,35.65,34.86,35.61,35.0202,1466389
2021-09-07,35.28,35.75,34.87,35.64,35.0497,2247963
2021-09-08,35.53,35.53,34.75,34.97,34.3908,2185017
2021-09-09,34.97,35.0,34.24,34.68,34.1056,1573687
2021-09-10,34.91,35.0,33.87,33.88,33.3188,1658485
2021-09-13,34.17,34.18,33.531,33.83,33.2697,1950103
2021-09-14,33.75,33.88,33.25,33.42,32.8665,1570318
2021-09-15,33.5,34.26,33.24,33.72,33.1615,1953210
2021-09-16,33.89,34.09,33.02,33.76,33.2008,1280625
2021-09-17,33.7,34.08,33.26,34.03,33.4664,4341396
2021-09-20,33.24,33.6999,32.77,32.94,32.3944,1937552
2021-09-21,33.19,33.39,32.75,32.89,32.3452,1162910
2021-09-22,33.09,33.24,32.59,32.65,32.1092,1332108
2021-09-23,32.76,33.47,32.68,33.38,32.8271,1608453
2021-09-24,33.5,33.95,33.0,33.69,33.132,1888126
2021-09-27,33.69,33.87,33.42,33.54,32.9845,1281298
2021-09-28,33.5,33.52,32.895,33.04,32.4928,1286882
2021-09-29,33.02,34.0,33.01,33.98,33.4172,1306505
2021-09-30,33.925,34.17,32.78,32.79,32.2469,1481656
2021-10-01,32.88,33.6,32.56,33.33,32.7779,1497640
2021-10-04,33.18,33.58,32.82,32.94,32.3944,1785006
2021-10-05,32.68,33.14,32.49,32.53,31.9912,2452947
2021-10-06,32.23,33.14,31.92,33.07,32.5223,2533341
2021-10-07,32.99,33.32,32.74,32.84,32.2961,1339662
2021-10-08,32.79,32.87,32.22,32.57,32.0305,1249103
2021-10-11,32.58,33.257,32.55,33.21,32.6599,1319357
2021-10-12,33.18,33.54,32.76,32.84,32.2961,1271386
2021-10-13,33.0,33.325,32.66,33.15,32.6009,1251184
2021-10-14,33.15,33.94,33.1,33.64,33.0828,1624695
2021-10-15,33.96,35.25,33.76,34.89,34.3121,1675952
2021-10-18,34.82,35.1198,34.46,34.8,34.2236,1236685
2021-10-19,34.83,35.39,34.7,35.06,34.4793,1246553
2021-10-20,35.19,36.22,34.98,35.76,35.1677,1161195
2021-10-21,35.66,35.75,35.13,35.36,34.7743,1100547
2021-10-22,35.33,35.79,35.11,35.66,35.0694,765559
2021-10-25,35.49,36.96,35.41,36.91,36.2987,1498138
2021-10-26,36.78,37.34,36.5,36.71,36.102,1598529
2021-10-27,36.7,36.7,35.515,35.72,35.1284,1013651
2021-10-28,35.86,36.68,35.62,36.52,35.9151,1282755
2021-10-29,36.46,37.2294,36.38,36.75,36.1413,1800321
2021-11-01,36.7,37.31,36.48,37.13,36.515,1108590
2021-11-02,37.22,37.3,36.4,36.49,35.8856,1326005
2021-11-03,36.22,37.02,36.22,36.82,36.2101,1549904
2021-11-04,36.81,37.19,36.2,36.26,35.6594,1777245
2021-11-05,36.38,36.72,35.54,36.28,35.6791,2380957
2021-11-08,36.55,37.35,36.41,36.99,36.3773,3474474
2021-11-09,36.95,37.0,36.43,36.64,36.0331,2567395
2021-11-10,36.54,37.37,36.232,36.63,36.0233,4025506
2021-11-11,35.41,35.435,32.75,34.72,34.1449,5810358
2021-11-12,34.65,34.72,33.52,33.7,33.1418,2531677
2021-11-15,33.7,33.75,33.01,33.38,32.8271,2553549
2021-11-16,33.31,33.76,32.9,33.54,32.9845,2385425
2021-11-17,33.45,33.53,32.63,32.95,32.4042,2008713
