Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,90.23,90.59,90.13,90.39,78.5908,6931678
2017-04-18,90.4,91.13,90.34,90.8,78.9473,7087796
2017-04-19,90.1,90.45,89.5,89.6,78.5001,6918993
2017-04-20,89.7,89.7,89.31,89.33,78.2635,6983536
2017-04-21,89.17,89.28,88.61,88.62,77.6415,9061218
2017-04-24,89.12,89.655,89.01,89.55,78.4563,8338467
2017-04-25,89.58,90.25,89.47,90.0,78.8505,9088390
2017-04-26,89.85,90.0,87.61,87.74,76.8705,11951320
2017-04-27,87.58,88.24,87.23,87.69,76.8267,8517522
2017-04-28,87.52,87.59,87.15,87.33,76.5113,8295445
2017-05-01,87.38,87.5967,87.08,87.09,76.301,4546624
2017-05-02,87.29,87.29,86.02,86.22,75.5388,13197490
2017-05-03,86.3,86.63,85.9,86.43,75.7228,6121974
2017-05-04,86.85,87.24,86.3,86.45,75.7403,5986188
2017-05-05,86.54,86.61,86.1335,86.5,75.7841,4506197
2017-05-08,86.33,86.62,86.24,86.55,75.8279,4634623
2017-05-09,86.8,86.82,86.22,86.4,75.6965,9577623
2017-05-10,86.48,86.79,86.385,86.49,75.7754,6178549
2017-05-11,86.61,86.63,85.88,86.17,75.495,6064727
2017-05-12,86.24,86.32,85.915,86.19,75.5125,5892430
2017-05-15,86.65,86.71,86.245,86.33,75.6352,5820742
2017-05-16,86.88,87.0,86.19,86.24,75.5563,6554454
2017-05-17,86.22,86.63,85.93,86.26,75.5739,7805770
2017-05-18,86.18,86.22,85.52,85.87,75.2322,6985567
2017-05-19,86.0,86.38,85.67,86.24,75.5563,7320725
2017-05-22,86.25,86.4,86.03,86.21,75.53,4259955
2017-05-23,86.28,86.54,85.98,86.08,75.4162,4394225
2017-05-24,86.45,86.65,86.21,86.5,75.7841,4902470
2017-05-25,86.58,86.98,86.55,86.86,76.0995,4367960
2017-05-26,86.93,87.38,86.816,87.25,76.4412,4337023
2017-05-30,87.25,87.61,87.095,87.4,76.5726,4594514
2017-05-31,87.67,88.35,87.45,88.09,77.1771,10146610
2017-06-01,88.02,88.14,87.37,88.13,77.2122,6251292
2017-06-02,88.4,88.675,88.005,88.59,77.6152,6136425
2017-06-05,88.3,88.76,88.0,88.74,77.7466,4115288
2017-06-06,88.76,88.97,88.45,88.8,77.7992,6503039
2017-06-07,88.68,88.8931,88.4,88.77,77.7729,4781587
2017-06-08,88.58,88.8,87.36,87.85,76.9669,7712062
2017-06-09,87.85,88.21,87.55,88.16,77.2385,9696915
2017-06-12,88.28,88.66,88.09,88.24,77.3086,7867734
2017-06-13,88.36,88.4,87.77,88.06,77.1509,6419319
2017-06-14,88.49,88.75,88.06,88.44,77.4838,6183875
2017-06-15,88.231,89.62,88.23,89.38,78.3073,7047471
2017-06-16,89.72,89.77,88.81,89.66,78.5527,13855020
2017-06-19,89.6,89.86,89.2046,89.86,78.7279,5246246
2017-06-20,89.77,90.21,89.61,89.63,78.5264,5674212
2017-06-21,89.62,89.9499,89.29,89.4,78.3249,4164473
2017-06-22,89.271,89.41,88.9,89.03,78.0007,4536714
2017-06-23,89.03,89.8,88.9,89.42,78.3424,8782097
2017-06-26,89.63,89.68,89.27,89.36,78.2898,4373314
2017-06-27,89.18,89.3,88.61,88.61,77.6327,5180391
2017-06-28,89.08,89.21,88.26,88.37,77.4225,4874990
2017-06-29,88.02,88.22,86.93,86.99,76.2134,8123516
2017-06-30,87.05,87.47,87.0,87.15,76.3536,6070254
2017-07-03,87.4,88.0,87.18,87.74,76.8705,3607447
2017-07-05,87.86,88.0,87.49,87.67,76.8092,4974329
2017-07-06,87.65,87.95,87.36,87.37,76.5463,6038851
2017-07-07,87.69,87.82,87.28,87.65,76.7917,5142197
2017-07-10,87.63,87.87,86.89,87.09,76.301,5356392
2017-07-11,87.23,87.45,86.305,86.77,76.0207,5838563
2017-07-12,87.24,87.465,86.83,86.96,76.1871,4374171
2017-07-13,86.77,87.05,86.5,86.7,75.9593,5448911
2017-07-14,86.96,87.285,86.73,87.1,76.3098,4577701
2017-07-17,87.07,87.905,86.74,87.55,76.704,5227821
2017-07-18,87.61,88.76,87.46,88.64,77.659,7492306
2017-07-19,87.87,88.41,87.595,88.35,78.0119,6008454
2017-07-20,88.32,89.31,88.31,88.6,78.2326,7285004
2017-07-21,88.16,88.68,87.81,88.61,78.2414,5714842
2017-07-24,88.55,88.6,87.97,88.18,77.8617,6202019
2017-07-25,88.67,89.2,88.54,89.14,78.7094,6766682
2017-07-26,89.0,89.42,88.87,89.3,78.8507,6986999
2017-07-27,90.29,90.75,89.0,90.68,80.0692,11089180
2017-07-28,90.56,91.0,89.96,90.21,79.6542,6137534
2017-07-31,90.21,91.07,90.21,90.82,80.1928,7835661
2017-08-01,91.03,91.73,90.72,91.1,80.4401,8662108
2017-08-02,90.97,91.295,90.53,91.04,80.3871,7167732
2017-08-03,90.86,91.75,90.82,90.86,80.2282,6413176
2017-08-04,90.69,91.08,90.53,90.67,80.0604,5824439
2017-08-07,90.67,91.56,90.52,91.44,80.7403,5011336
2017-08-08,91.4,91.94,91.23,91.58,80.8639,5623352
2017-08-09,91.52,91.94,91.52,91.92,81.1641,5572843
2017-08-10,91.86,92.0,91.69,91.74,81.0052,6338248
2017-08-11,91.94,92.08,91.29,91.34,80.652,7094246
2017-08-14,91.54,91.95,91.25,91.65,80.9257,5398412
2017-08-15,91.91,92.36,91.88,92.2,81.4114,5293433
2017-08-16,92.29,92.95,92.19,92.44,81.6233,7965478
2017-08-17,92.4,92.67,92.07,92.07,81.2966,5711411
2017-08-18,91.98,92.78,91.85,92.47,81.6498,6815008
2017-08-21,92.38,92.96,92.36,92.86,81.9941,4334337
2017-08-22,92.91,92.96,92.59,92.79,81.9323,4731497
2017-08-23,92.5,92.6644,92.28,92.44,81.6233,3631851
2017-08-24,92.44,92.57,92.04,92.27,81.4732,5173720
2017-08-25,92.65,92.86,92.41,92.51,81.6851,4932978
2017-08-28,92.52,92.7056,91.975,92.47,81.6498,5386538
2017-08-29,92.48,92.69,92.24,92.32,81.5173,3676277
2017-08-30,92.08,92.08,91.66,91.87,81.12,4709627
2017-08-31,91.89,92.39,91.84,92.27,81.4732,5864440
2017-09-01,92.42,92.66,92.26,92.53,81.7027,4960653
2017-09-05,92.18,92.74,92.04,92.72,81.8705,6532090
2017-09-06,92.79,92.91,92.36,92.72,81.8705,6747154
2017-09-07,92.74,93.36,92.33,92.97,82.0913,7735387
2017-09-08,92.76,93.15,92.51,92.84,81.9765,6070073
2017-09-11,93.09,94.19,92.9,93.99,82.9919,10177270
2017-09-12,93.72,93.98,93.21,93.51,82.5681,5804047
2017-09-13,93.5,93.77,93.45,93.55,82.6034,5369293
2017-09-14,93.23,93.65,93.18,93.55,82.6034,5492335
2017-09-15,93.82,93.82,92.82,93.27,82.3561,12428830
2017-09-18,93.17,93.5,92.86,93.15,82.2502,6177688
2017-09-19,93.34,94.45,93.34,94.17,83.1508,6587152
2017-09-20,94.17,94.67,93.83,94.4,83.3539,5941516
2017-09-21,94.15,94.5,92.445,92.64,81.7999,9376655
2017-09-22,92.55,93.0,92.08,92.24,81.4467,6837699
2017-09-25,92.43,93.09,92.33,92.72,81.8705,6436162
2017-09-26,92.82,92.845,92.2,92.65,81.8087,4885203
2017-09-27,92.52,92.52,90.34,90.87,80.237,9631240
2017-09-28,90.86,91.118,90.63,90.89,80.2546,4999771
2017-09-29,90.97,91.43,90.7,90.98,80.3341,6634464
2017-10-02,91.26,92.4,91.24,91.77,81.0317,7302440
2017-10-03,91.96,92.34,91.56,92.12,81.3407,5909908
2017-10-04,92.12,92.795,92.02,92.42,81.6056,6140711
2017-10-05,92.49,92.65,91.94,92.03,81.2612,6912759
2017-10-06,92.0,92.35,91.88,92.33,81.5261,5241920
2017-10-09,92.4,92.62,91.93,92.12,81.3407,5148962
2017-10-10,92.37,93.04,89.86,91.62,80.8992,17125590
2017-10-11,91.09,91.73,91.07,91.46,80.7579,7115398
2017-10-12,91.41,92.305,91.39,92.15,81.3672,5984905
2017-10-13,92.7,93.51,92.59,93.04,82.1531,6956656
2017-10-16,92.97,93.37,92.71,93.14,82.2414,4159101
2017-10-17,93.04,93.09,92.4,92.8,81.9411,5316062
2017-10-18,92.78,92.95,92.01,92.77,81.9147,7399662
2017-10-19,91.7,91.99,91.14,91.59,81.4784,8584972
2017-10-20,89.72,89.96,87.59,88.25,78.5071,19997801
2017-10-23,88.63,88.86,86.87,87.3,77.662,13358190
