Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,37.65,37.93,37.63,37.93,29.1814,3341667
2017-04-18,37.88,38.29,37.88,38.1,29.3121,4097874
2017-04-19,38.0,38.04,37.61,37.77,29.0583,3175063
2017-04-20,37.76,37.86,37.42,37.8,29.0813,2645458
2017-04-21,37.79,38.13,37.75,37.93,29.1814,3919936
2017-04-24,37.98,38.07,37.72,38.0,29.2352,3471345
2017-04-25,37.93,38.16,37.8615,38.16,29.3583,2756173
2017-04-26,38.04,38.26,37.93,37.94,29.189,2802811
2017-04-27,37.93,38.315,37.91,38.08,29.2968,2067797
2017-04-28,38.1,38.22,37.99,38.11,29.3198,3253957
2017-05-01,38.17,38.18,37.88,37.98,29.2198,3565483
2017-05-02,37.99,38.18,37.8,38.04,29.266,2835447
2017-05-03,37.99,38.135,37.845,37.98,29.2198,2904044
2017-05-04,37.4,38.49,37.4,38.44,29.5737,3834173
2017-05-05,38.54,38.79,38.37,38.53,29.643,3165453
2017-05-08,38.58,38.72,38.49,38.69,29.7661,2690179
2017-05-09,38.61,38.66,38.31,38.37,29.5199,3356059
2017-05-10,38.39,38.56,38.355,38.53,29.643,3706072
2017-05-11,38.47,38.58,38.26,38.54,29.6507,2633574
2017-05-12,38.56,38.84,38.49,38.76,29.8199,1884576
2017-05-15,38.75,38.99,38.67,38.83,29.8738,2134065
2017-05-16,38.77,38.89,38.48,38.48,29.6045,2658086
2017-05-17,38.52,38.91,38.48,38.69,29.7661,3960886
2017-05-18,38.76,38.98,38.46,38.8,29.8507,3289622
2017-05-19,38.77,38.94,38.51,38.82,29.8661,4762561
2017-05-22,38.8,39.25,38.8,39.15,30.12,3150868
2017-05-23,39.26,39.57,39.18,39.29,30.2277,2650555
2017-05-24,39.35,39.6453,39.35,39.57,30.4431,2543962
2017-05-25,39.55,39.94,39.515,39.9,30.697,2125545
2017-05-26,39.84,40.0,39.8,39.86,30.6662,2144829
2017-05-30,39.87,39.94,39.785,39.87,30.6739,2199570
2017-05-31,39.91,40.1,39.65,39.91,30.7047,5623008
2017-06-01,39.72,39.97,39.67,39.96,30.7431,3754460
2017-06-02,40.19,40.2,39.865,40.06,30.8201,3490666
2017-06-05,40.09,40.17,39.915,40.02,30.7893,2370613
2017-06-06,40.13,40.2,39.87,39.9,30.697,3443952
2017-06-07,39.61,39.8,39.548,39.66,30.8174,4640231
2017-06-08,39.62,39.62,39.1,39.41,30.6232,3708194
2017-06-09,39.23,39.355,38.95,39.2,30.46,3896439
2017-06-12,39.21,39.38,38.71,38.88,30.2113,4988588
2017-06-13,38.93,39.05,38.815,38.98,30.289,2878100
2017-06-14,39.27,39.45,39.2,39.29,30.5299,3878660
2017-06-15,39.24,39.52,39.12,39.44,30.6465,2869012
2017-06-16,39.57,39.7,39.4,39.49,30.6853,6181984
2017-06-19,39.55,39.7,39.37,39.58,30.7552,3057314
2017-06-20,39.52,39.56,39.3,39.34,30.5688,2891765
2017-06-21,39.3,39.42,38.85,39.39,30.6076,4945192
2017-06-22,39.3,39.38,38.98,39.02,30.3201,2874415
2017-06-23,39.0,39.14,38.7,38.83,30.1725,3576788
2017-06-26,38.99,39.48,38.83,39.29,30.5299,3743338
2017-06-27,39.15,39.325,38.91,39.02,30.3201,3036005
2017-06-28,39.17,39.41,38.79,38.84,30.1802,3207507
2017-06-29,38.66,38.78,38.44,38.66,30.0404,3726097
2017-06-30,38.74,38.92,38.65,38.66,30.0404,3114184
2017-07-03,38.8,38.84,38.24,38.28,29.7451,1989331
2017-07-05,38.36,38.37,38.06,38.29,29.7529,3263384
2017-07-06,38.18,38.28,37.93,38.03,29.5508,3622549
2017-07-07,38.03,38.29,38.0,38.07,29.5819,2333574
2017-07-10,38.19,38.32,37.91,37.94,29.4809,3816970
2017-07-11,38.0,38.06,37.54,37.76,29.341,3229358
2017-07-12,37.98,38.08,37.69,37.8,29.3721,4301118
2017-07-13,37.74,37.8,37.44,37.44,29.0924,2511211
2017-07-14,37.72,37.73,37.1925,37.36,29.0302,6090474
2017-07-17,37.38,37.71,37.32,37.67,29.2711,2997748
2017-07-18,37.71,37.85,37.58,37.69,29.2866,2286905
2017-07-19,38.5,38.5,38.07,38.12,29.6208,5476654
2017-07-20,38.12,38.31,37.96,38.24,29.714,4100001
2017-07-21,38.23,38.575,38.13,38.55,29.9549,2791627
2017-07-24,38.51,38.7,38.275,38.4,29.8383,3767786
2017-07-25,38.43,38.48,37.91,37.97,29.5042,2248047
2017-07-26,37.94,38.11,37.81,38.09,29.5975,2871558
2017-07-27,38.01,38.25,37.88,38.12,29.6208,3185815
2017-07-28,38.12,38.2,37.86,38.18,29.6674,2988889
2017-07-31,38.2,38.41,38.06,38.33,29.7839,3397690
2017-08-01,38.4,38.805,38.3897,38.61,30.0015,3314863
2017-08-02,38.48,38.96,38.35,38.96,30.2735,3731364
2017-08-03,38.42,39.18,38.35,39.11,30.39,3208548
2017-08-04,38.99,39.07,38.66,38.79,30.1414,2562044
2017-08-07,38.7,38.845,38.66,38.83,30.1725,1581123
2017-08-08,38.74,38.85,38.69,38.83,30.1725,1863594
2017-08-09,38.87,38.9,38.56,38.6,29.9937,3095131
2017-08-10,38.61,38.83,38.47,38.75,30.1103,1877071
2017-08-11,38.74,38.84,38.385,38.49,29.9083,1661690
2017-08-14,38.57,38.71,38.46,38.67,30.0481,2343541
2017-08-15,38.53,38.94,38.51,38.92,30.2424,1778627
2017-08-16,38.89,39.14,38.821,39.05,30.3434,1868134
2017-08-17,39.06,39.16,38.795,38.82,30.1647,2235067
2017-08-18,38.83,39.04,38.66,38.92,30.2424,2413049
2017-08-21,38.86,39.01,38.74,38.94,30.2579,1598832
2017-08-22,38.89,39.04,38.8,39.04,30.3356,3073678
2017-08-23,39.01,39.55,38.89,39.52,30.7086,3034304
2017-08-24,39.47,39.555,39.335,39.5,30.6931,2133903
2017-08-25,39.56,39.81,39.5,39.59,30.763,1597293
2017-08-28,39.61,39.68,39.3,39.53,30.7164,2119880
2017-08-29,39.59,39.65,39.36,39.38,30.5998,1443889
2017-08-30,39.27,39.42,39.11,39.18,30.4444,1825193
2017-08-31,39.26,39.32,39.17,39.24,30.4911,2086220
2017-09-01,39.32,39.4,38.99,39.11,30.39,1797135
2017-09-05,39.17,39.17,38.901,39.17,30.4367,2270253
2017-09-06,39.26,39.3458,39.03,39.12,30.3978,3054555
2017-09-07,38.85,39.23,38.65,39.16,30.7393,3162384
2017-09-08,39.21,39.66,39.075,39.55,31.0454,3090379
2017-09-11,39.53,39.9,39.51,39.83,31.2652,3140828
2017-09-12,39.72,39.77,38.82,39.07,30.6686,2861489
