Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,103.0,104.48,102.7,104.3,83.6598,1429221
2017-04-18,103.45,104.58,103.14,103.57,83.0742,2306797
2017-04-19,104.83,105.1,103.86,104.17,83.5555,1855055
2017-04-20,105.0,106.25,104.449,105.84,84.895,1963775
2017-04-21,105.63,106.48,105.505,105.65,84.7426,2134980
2017-04-24,108.25,108.84,107.69,107.87,86.5233,1689191
2017-04-25,108.9,109.34,107.85,107.89,86.5393,2666550
2017-04-26,107.99,108.5,107.13,107.2,85.9859,1811261
2017-04-27,107.51,107.51,106.21,107.08,85.8896,1478517
2017-04-28,107.12,107.68,106.91,107.03,85.8495,1395004
2017-05-01,107.64,107.79,106.92,107.46,86.1944,1413479
2017-05-02,107.51,107.71,107.0,107.56,86.2747,1512418
2017-05-03,107.06,108.78,107.0,108.48,87.0126,2082496
2017-05-04,110.0,111.57,108.84,109.13,87.534,2464224
2017-05-05,109.6,109.81,108.36,108.73,87.2131,1679966
2017-05-08,108.46,108.61,107.79,108.26,86.8361,2122678
2017-05-09,108.49,108.74,107.62,107.88,86.5313,1456150
2017-05-10,107.52,108.705,107.01,108.46,86.9965,1574955
2017-05-11,108.04,108.475,106.55,107.79,86.4591,1720100
2017-05-12,107.09,107.39,105.83,106.21,85.1918,2247280
2017-05-15,106.66,107.64,106.21,107.44,86.1784,1884543
2017-05-16,107.5,107.89,107.08,107.8,86.4672,1557865
2017-05-17,105.77,106.33,103.09,103.42,82.9539,2040076
2017-05-18,103.42,104.29,102.75,103.45,82.978,3823275
2017-05-19,103.35,104.61,103.08,103.99,84.0203,2447656
2017-05-22,104.38,104.65,103.5,104.27,84.2465,1222272
2017-05-23,104.26,105.49,104.12,105.15,84.9575,1526230
2017-05-24,105.59,105.59,104.54,104.96,84.804,1420042
2017-05-25,105.31,106.2,105.06,106.02,85.6604,1009234
2017-05-26,105.61,106.01,104.92,105.07,84.8929,1668008
2017-05-30,104.62,105.0,104.28,104.86,84.7232,1069137
2017-05-31,105.0,105.02,103.395,104.85,84.7151,1890834
2017-06-01,105.59,106.72,104.56,106.7,86.2099,2031543
2017-06-02,105.63,106.95,105.35,106.42,85.9836,1899358
2017-06-05,106.31,106.66,105.54,105.57,85.2969,1329698
2017-06-06,104.5,104.68,102.92,103.2,83.382,2070351
2017-06-07,103.25,103.86,102.03,103.55,83.6648,1766112
2017-06-08,103.69,106.36,103.59,105.41,85.1676,2339504
2017-06-09,106.13,107.92,106.02,107.75,87.0582,2032756
2017-06-12,107.8,108.905,107.13,108.36,87.5511,2088681
2017-06-13,108.79,109.05,107.8,108.05,87.3006,5447749
2017-06-14,107.11,108.305,105.76,108.1,87.341,2215899
2017-06-15,107.28,108.47,106.94,108.28,87.4864,1699013
2017-06-16,108.59,108.67,107.625,107.71,87.0259,2290338
2017-06-19,108.47,108.88,108.13,108.48,87.648,1170329
2017-06-20,108.0,108.34,107.3268,107.43,86.7997,1035164
2017-06-21,107.62,107.63,104.59,104.89,84.7474,2096034
2017-06-22,104.59,104.59,103.15,103.31,83.4708,1925509
2017-06-23,103.61,103.94,102.96,103.36,83.5112,2599220
2017-06-26,103.94,104.64,102.49,103.67,83.7617,2149314
2017-06-27,104.01,106.04,103.7,104.6,84.5131,1678031
2017-06-28,105.62,107.48,105.62,107.26,86.6623,2271035
2017-06-29,109.0,109.75,107.29,108.38,87.5672,2923584
2017-06-30,109.12,109.37,108.06,108.14,87.3733,2152801
2017-07-03,109.04,111.38,109.04,110.18,89.0216,1923259
2017-07-05,110.42,110.57,109.51,110.22,89.0539,2026144
2017-07-06,110.39,112.72,110.0,110.8,89.5225,3178459
2017-07-07,111.26,111.67,110.26,111.36,89.975,1935848
2017-07-10,111.08,111.82,111.01,111.34,89.9588,1205245
2017-07-11,111.46,111.6,110.34,110.65,89.4013,1064199
2017-07-12,110.56,111.28,110.17,111.21,89.8538,1382200
2017-07-13,111.28,112.1409,111.04,111.93,90.4355,1193479
2017-07-14,110.55,111.83,109.91,111.41,90.0154,1363908
2017-07-17,111.28,111.62,110.45,111.28,89.9103,985432
2017-07-18,110.45,111.23,110.02,110.6,89.3609,1437038
2017-07-19,110.36,111.71,110.21,111.3,89.9265,1451696
2017-07-20,111.6,111.96,110.825,111.06,89.7326,1339552
2017-07-21,110.9,111.83,110.6,111.74,90.282,1357843
2017-07-24,111.58,112.38,111.43,112.13,90.5971,1059865
