Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,42.6,43.14,42.6,43.1,43.1,3151602
2017-04-18,43.2,43.2,42.86,43.09,43.09,3711648
2017-04-19,43.03,43.47,42.9,43.3,43.3,4913855
2017-04-20,43.32,43.8,43.26,43.69,43.69,4811155
2017-04-21,43.86,44.0,43.6,43.81,43.81,8015796
2017-04-24,44.09,44.28,43.95,44.27,44.27,4643797
2017-04-25,44.49,45.01,44.35,44.71,44.71,7827949
2017-04-26,45.04,45.04,44.25,44.41,44.41,9846931
2017-04-27,47.25,48.1,46.75,47.15,47.15,34420209
2017-04-28,47.03,47.755,46.87,47.72,47.72,11642778
2017-05-01,47.39,47.7125,47.32,47.54,47.54,14537516
2017-05-02,47.41,49.07,47.4,49.05,49.05,16820809
2017-05-03,49.16,49.29,48.625,49.02,49.02,11613055
2017-05-04,48.93,49.38,48.82,48.91,48.91,7148798
2017-05-05,48.62,49.44,48.4,49.3,49.3,4876241
2017-05-08,49.43,49.45,48.81,49.17,49.17,6641007
2017-05-09,49.06,49.37,48.9,49.22,49.22,4774764
2017-05-10,49.18,49.8,49.015,49.79,49.79,6507686
2017-05-11,49.63,49.71,49.11,49.7,49.7,5547776
2017-05-12,49.58,49.75,49.24,49.37,49.37,4933734
2017-05-15,49.31,50.0,49.25,49.77,49.77,4705853
2017-05-16,49.63,50.35,49.57,50.34,50.34,5347215
2017-05-17,49.87,50.1,49.025,49.05,49.05,6598437
2017-05-18,49.03,49.58,48.89,49.11,49.11,9932138
2017-05-19,49.15,49.71,49.06,49.39,49.39,7813796
2017-05-22,49.45,49.88,49.35,49.77,49.77,13144888
2017-05-23,49.9,50.18,49.77,50.13,50.13,7134231
2017-05-24,50.23,51.08,50.14,51.05,51.05,6311013
2017-05-25,50.77,51.13,50.64,50.93,50.93,4950501
2017-05-26,51.04,51.39,50.89,51.19,51.19,4780790
2017-05-30,50.96,51.28,50.86,51.06,51.06,5550300
2017-05-31,51.13,52.24,50.88,52.21,52.21,11107174
2017-06-01,52.48,53.39,52.475,53.16,53.16,13898324
2017-06-02,53.44,53.64,53.08,53.52,53.52,9121796
2017-06-05,53.77,54.07,53.59,53.8,53.8,9656350
2017-06-06,53.75,53.8,53.16,53.4,53.4,6307991
