Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,230.4,234.995,230.4,234.56,208.003,158068
2017-04-18,233.15,234.59,233.095,233.91,207.4266,134336
2017-04-19,234.3,234.48,232.54,233.21,206.8059,179758
2017-04-20,232.95,235.475,232.25,234.95,208.3489,139551
2017-04-21,234.92,235.4,233.72,233.73,207.267,209523
2017-04-24,236.21,240.0,235.63,239.38,212.2773,722158
2017-04-25,245.2,252.96,241.77,251.92,223.3975,860833
2017-04-26,253.38,258.3,253.03,256.91,227.8226,491348
2017-04-27,255.79,256.81,253.51,253.91,225.1622,402452
2017-04-28,252.73,254.2,250.73,251.71,223.2113,285607
2017-05-01,252.91,254.98,249.0801,250.33,221.9876,199977
2017-05-02,249.3,251.39,247.695,247.99,219.9125,260996
2017-05-03,248.61,249.24,246.61,248.68,220.5244,224477
2017-05-04,249.59,249.97,246.84,248.38,220.2583,275081
2017-05-05,247.96,248.94,246.36,246.42,218.5203,245969
2017-05-08,246.16,247.85,244.89,246.19,218.3163,214435
2017-05-09,247.07,247.66,242.4,243.06,215.5407,262043
2017-05-10,242.54,244.68,242.2,244.0,216.3742,221013
2017-05-11,242.31,245.495,242.1,244.42,216.7467,250047
2017-05-12,243.68,245.35,243.43,243.95,216.3299,196556
2017-05-15,245.12,246.15,244.11,244.7,216.995,195120
2017-05-16,244.88,245.98,242.4,244.54,216.8531,280308
2017-05-17,241.99,244.3,240.15,241.65,214.2903,193101
2017-05-18,240.9,245.29,240.32,243.85,216.2412,248299
2017-05-19,243.34,247.45,242.7,243.94,216.321,269673
2017-05-22,243.25,244.9,242.67,243.97,216.3476,369650
2017-05-23,244.62,246.51,241.51,246.27,218.3872,241740
2017-05-24,247.54,247.98,246.0,247.6,219.5667,303605
2017-05-25,247.34,249.39,247.035,249.01,220.817,254627
2017-05-26,247.77,248.75,246.51,248.66,221.6191,189961
2017-05-30,247.04,248.8,245.61,248.27,221.2715,225649
2017-05-31,250.08,254.65,248.125,254.65,226.9577,718278
2017-06-01,255.14,256.04,253.45,255.6,227.8044,275833
2017-06-02,255.16,255.93,253.76,255.53,227.7421,195453
2017-06-05,255.61,255.98,253.79,254.08,226.4497,194431
