Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,36.27,36.7901,36.2501,36.78,15.4775,894418
2017-04-18,36.68,37.1,36.48,37.01,15.5743,1014318
2017-04-19,37.0901,37.3901,37.0601,37.3601,15.7216,868561
2017-04-20,37.5,38.145,37.4744,37.95,15.9699,2133040
2017-04-21,37.94,38.045,37.5701,37.8,15.9068,1065589
2017-04-24,38.28,38.4101,37.97,38.2301,16.0877,932713
2017-04-25,38.3,38.52,38.1401,38.1401,16.0499,1288440
2017-04-26,38.03,38.2301,37.25,37.9901,15.9867,2034688
2017-04-27,38.12,39.29,37.91,39.18,16.4875,2192958
2017-04-28,39.18,39.39,38.76,38.8301,16.3402,1770907
2017-05-01,39.02,39.26,38.645,39.2,16.4959,1209397
2017-05-02,39.2,39.38,38.97,39.1301,16.4665,1208200
2017-05-03,38.97,39.17,38.81,39.06,16.437,1058425
2017-05-04,39.2,39.6101,39.12,39.6101,16.6684,924295
2017-05-05,39.68,40.14,39.56,40.0001,16.8326,1198514
2017-05-08,40.0001,40.0001,39.4901,39.6,16.7118,731968
2017-05-09,39.74,39.9101,39.5201,39.8501,16.8173,791023
2017-05-10,39.84,40.19,39.69,40.1501,16.9439,860276
2017-05-11,40.05,40.49,39.86,40.4201,17.0579,1021813
2017-05-12,40.34,40.67,40.2551,40.61,17.138,1178831
2017-05-15,40.73,40.97,40.6301,40.86,17.2435,1552185
2017-05-16,40.9901,40.995,40.71,40.8401,17.2351,1418047
2017-05-17,40.41,40.895,40.2,40.68,17.1676,2316501
2017-05-18,40.68,41.0801,40.43,40.82,17.2267,1034962
2017-05-19,41.0,41.5601,40.91,41.52,17.5221,1880660
2017-05-22,41.67,42.3725,41.52,42.29,17.847,1401745
2017-05-23,42.3101,42.7301,42.14,42.51,17.9399,1317267
2017-05-24,42.77,43.049,42.69,42.83,18.0749,1449135
2017-05-25,42.95,43.26,42.9,43.25,18.2522,1795252
2017-05-26,43.25,43.52,42.95,43.08,18.1804,1551085
2017-05-30,43.0001,43.04,41.58,42.33,17.8639,3523556
2017-05-31,42.2501,43.43,42.2501,43.07,18.1762,11903197
2017-06-01,43.2401,43.2701,41.915,42.53,17.9483,2488277
2017-06-02,42.5801,43.35,42.57,43.0601,18.172,1766419
2017-06-05,43.0601,43.1,42.8,42.81,18.0665,1114850
2017-06-06,42.6,42.8801,42.42,42.47,17.923,1052887
2017-06-07,42.53,42.65,42.1601,42.4301,17.9061,1707066
2017-06-08,42.47,42.7001,42.0401,42.6401,17.9947,932175
2017-06-09,42.6701,42.71,42.12,42.47,17.923,929506
2017-06-12,42.51,42.89,42.47,42.74,18.0369,1265807
2017-06-13,42.8201,43.095,42.68,43.0601,18.172,1706404
2017-06-14,43.23,43.5851,43.04,43.23,18.2437,1359380
2017-06-15,42.75,43.3301,42.57,43.3001,18.2733,1331075
2017-06-16,42.92,43.3601,42.92,43.28,18.2648,2379798
2017-06-19,43.4501,43.6601,43.3301,43.6601,18.4252,968200
2017-06-20,43.6601,43.7501,43.155,43.26,18.2564,1226549
2017-06-21,43.25,43.2701,42.6101,42.69,18.0158,1137892
2017-06-22,42.53,42.62,41.64,41.78,17.6318,1954462
2017-06-23,41.8001,42.1601,41.7101,42.0101,17.7289,1495127
2017-06-26,42.1001,42.1001,41.6801,41.84,17.6571,1023644
2017-06-27,41.78,41.8301,41.18,41.18,17.3786,1285409
2017-06-28,41.4101,41.435,40.94,41.06,17.3279,1615527
2017-06-29,41.03,41.03,40.065,40.4201,17.0579,1814569
2017-06-30,40.5701,40.9001,40.5,40.71,17.1802,1501699
2017-07-03,40.9301,40.9301,40.2701,40.28,16.9988,1038105
2017-07-05,40.28,40.9901,39.9,40.8701,17.2478,2305782
2017-07-06,40.53,40.8401,40.2,40.28,16.9988,2099963
2017-07-07,40.4,41.07,40.22,40.92,17.2689,1040899
2017-07-10,40.85,40.92,40.6001,40.82,17.2267,1262299
2017-07-11,40.76,40.9901,40.53,40.76,17.2013,894024
