Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,63.56,63.64,63.02,63.28,60.5355,1869409
2017-04-18,63.32,63.61,63.17,63.41,60.6598,1756518
2017-04-19,63.74,64.08,63.56,63.73,60.966,2007550
2017-04-20,63.79,65.0011,63.79,64.66,61.8556,2857768
2017-04-21,64.66,64.93,64.11,64.9,62.0852,2150086
2017-04-24,65.42,65.7,64.66,65.06,62.2383,2119081
2017-04-25,65.21,65.34,64.52,64.75,61.9417,1804019
2017-04-26,65.13,65.51,64.93,65.05,62.2287,1910586
2017-04-27,65.03,65.89,65.02,65.54,62.6975,2349525
2017-04-28,65.59,65.59,64.65,65.0,62.1809,2823968
2017-05-01,65.3,65.43,64.07,64.08,61.3008,1813992
2017-05-02,64.07,64.765,63.96,64.72,61.913,2524271
2017-05-03,64.85,65.22,64.66,65.14,62.3148,1741869
2017-05-04,65.14,65.39,64.33,64.57,61.7695,1876213
2017-05-05,64.7,64.895,64.41,64.7,61.8939,1922288
2017-05-08,64.75,64.89,64.43,64.63,61.8269,1532107
2017-05-09,64.59,65.59,64.36,65.22,62.3913,1696417
2017-05-10,65.27,66.53,64.94,66.05,63.1853,3073188
2017-05-11,65.59,65.8016,64.57,65.23,62.4009,2691075
2017-05-12,64.98,65.12,63.47,63.49,60.7364,3332452
2017-05-15,63.45,63.62,62.28,62.35,59.6458,5505106
2017-05-16,60.54,61.87,59.67,61.5,58.8327,8804297
2017-05-17,61.31,62.43,61.22,61.52,58.8518,4108658
2017-05-18,61.85,62.16,61.01,61.07,58.4213,3702876
2017-05-19,62.91,63.95,61.2348,62.2,59.5023,6901192
2017-05-22,62.3,62.92,61.88,62.45,59.7415,3686059
2017-05-23,62.3,62.63,61.75,62.02,59.3301,3343399
2017-05-24,62.03,62.51,61.68,61.95,59.2632,3020449
2017-05-25,62.35,63.27,62.11,63.0,60.2676,4110197
2017-05-26,63.15,63.69,62.79,63.52,60.7651,1923722
2017-05-30,63.56,63.74,63.295,63.43,60.679,2233783
2017-05-31,63.43,63.94,63.16,63.92,61.1477,3039239
2017-06-01,63.88,64.0,63.24,63.68,60.9181,2762997
2017-06-02,63.46,63.89,63.31,63.74,61.1291,2018738
2017-06-05,63.87,63.88,63.29,63.32,60.7263,2234627
2017-06-06,63.1,63.25,61.73,61.84,59.3069,3443290
2017-06-07,62.13,62.505,61.86,62.11,59.5659,2851615
2017-06-08,62.53,62.63,61.19,61.32,58.8082,3451778
2017-06-09,61.42,62.08,60.74,61.96,59.422,2498629
2017-06-12,61.66,62.87,61.66,61.86,59.3261,3101753
2017-06-13,61.7,62.28,61.535,62.09,59.5467,1962910
2017-06-14,62.35,62.35,60.82,61.1,58.5973,2903907
2017-06-15,61.07,61.36,59.53,60.91,58.415,2930130
2017-06-16,60.18,60.23,59.6,60.08,57.619,4407508
2017-06-19,60.19,60.84,59.56,60.65,58.1657,2400550
2017-06-20,60.62,60.62,57.66,57.72,55.3557,5961078
2017-06-21,57.61,58.15,56.65,56.9,54.5693,7242738
2017-06-22,56.94,56.94,55.62,55.97,53.6774,6669932
2017-06-23,56.01,56.37,55.22,56.29,53.9843,5281551
2017-06-26,56.41,57.27,56.401,56.7,54.3775,2851471
2017-06-27,56.62,56.99,56.2,56.53,54.2145,2610537
2017-06-28,56.73,58.09,56.345,57.78,55.4133,3476441
2017-06-29,57.72,57.93,56.76,57.3,54.9529,2935113
2017-06-30,58.06,58.06,57.38,57.73,55.3653,3419092
2017-07-03,57.99,58.49,57.96,58.23,55.8448,1544030
2017-07-05,58.18,58.25,57.0,57.39,55.0392,3940254
2017-07-06,56.91,57.0,55.955,56.28,53.9747,4068917
2017-07-07,56.27,56.665,56.12,56.14,53.8404,3581390
2017-07-10,56.05,56.14,54.73,54.8,52.5553,4575628
2017-07-11,54.81,55.02,54.32,54.34,52.1142,3657062
2017-07-12,54.68,54.8914,54.08,54.13,51.9128,4363932
2017-07-13,54.1,54.6125,53.89,54.42,52.1909,6000351
2017-07-14,55.61,56.05,54.68,54.76,52.517,5736567
2017-07-17,54.79,55.26,54.67,54.73,52.4882,3468128
2017-07-18,54.79,54.97,54.26,54.33,52.1046,2698261
2017-07-19,54.35,54.73,54.21,54.42,52.1909,4683198
2017-07-20,54.52,55.08,54.42,54.65,52.4115,4902432
2017-07-21,54.73,55.02,54.095,54.31,52.0854,4069052
2017-07-24,54.2,54.2,52.91,53.07,50.8962,5574525
2017-07-25,53.34,54.48,53.075,54.03,51.8169,5339991
2017-07-26,54.09,54.41,53.37,53.96,51.7497,2715419
2017-07-27,53.9,55.13,53.79,55.12,52.8622,3182551
2017-07-28,55.08,55.35,54.67,54.87,52.6224,2102600
2017-07-31,55.1,55.39,54.73,55.32,53.054,2736560
2017-08-01,55.46,55.68,55.03,55.6,53.3225,2475331
2017-08-02,55.58,55.9,55.21,55.65,53.3705,2471882
2017-08-03,55.63,55.99,54.53,54.87,52.6224,3108983
2017-08-04,55.1,55.94,54.86,55.86,53.5719,2400886
2017-08-07,55.62,56.02,55.13,55.4,53.1307,2235112
2017-08-08,55.52,56.6093,55.52,55.92,53.6294,3086164
2017-08-09,55.88,56.07,55.02,56.04,53.7445,3352973
2017-08-10,55.7,55.73,54.67,54.8,52.5553,3336906
2017-08-11,54.86,55.94,54.8,55.56,53.2842,2593760
2017-08-14,55.91,56.24,54.64,54.77,52.5265,3457242
2017-08-15,54.67,54.75,52.85,53.03,50.8578,7469019
2017-08-16,53.88,54.4508,53.39,54.37,52.1429,3615304
2017-08-17,53.92,54.36,53.19,53.33,51.1455,5508437
2017-08-18,58.73,59.5,57.99,59.02,56.6025,14140320
2017-08-21,58.95,59.14,57.75,58.56,56.1613,5277373
2017-08-22,58.8,59.24,58.66,59.19,56.7655,3342689
2017-08-23,59.03,59.32,58.67,58.92,56.5066,3144667
2017-08-24,59.36,60.8,58.14,58.33,55.9407,4233463
2017-08-25,58.39,59.665,58.39,59.38,56.9477,6287651
2017-08-28,59.45,59.545,58.7625,59.02,56.6025,2764555
2017-08-29,58.61,59.15,57.95,58.69,56.286,2649369
2017-08-30,58.74,58.92,58.05,58.43,56.0366,3179226
2017-08-31,58.5,58.87,58.15,58.45,56.0558,3369989
2017-09-01,58.65,59.27,58.65,58.92,56.5066,2751772
2017-09-05,58.75,59.37,58.7,58.99,56.5737,2921455
2017-09-06,58.84,59.7,58.84,59.15,56.8814,2924110
2017-09-07,59.37,59.62,58.12,58.55,56.3044,2942049
2017-09-08,58.51,58.72,57.865,58.52,56.2756,2085349
2017-09-11,58.6,59.38,58.34,59.27,56.9968,2778151
2017-09-12,59.49,61.4,59.19,60.67,58.3431,3370159
2017-09-13,60.76,61.9,60.76,61.41,59.0547,2943989
2017-09-14,61.28,61.44,60.29,60.6,58.2758,2800941
2017-09-15,60.57,60.93,60.0,60.71,58.3816,3528360
2017-09-18,60.81,60.99,59.95,60.81,58.4777,2373688
2017-09-19,60.88,61.205,60.69,61.15,58.8047,3052350
2017-09-20,61.3,61.43,60.625,60.92,58.5835,1746960
2017-09-21,61.1,61.26,60.65,60.91,58.5739,2352147
2017-09-22,60.63,61.07,60.31,60.89,58.5547,1644545
2017-09-25,62.69,63.58,62.5,62.86,60.4491,3860682
2017-09-26,63.01,63.94,62.67,63.79,61.3435,3651706
2017-09-27,63.68,65.3,63.64,64.84,62.3532,4648238
2017-09-28,64.56,64.85,63.73,64.8,62.3147,4223975
2017-09-29,64.92,65.21,64.5,64.57,62.0935,2501677
2017-10-02,64.34,64.92,63.73,64.69,62.2089,2507345
2017-10-03,64.55,65.15,64.45,64.91,62.4205,1775298
2017-10-04,65.01,65.3799,64.34,65.23,62.7282,3286933
2017-10-05,65.22,65.65,65.05,65.53,63.0167,2227168
2017-10-06,65.33,66.16,65.32,65.99,63.4591,2385409
2017-10-09,65.96,65.96,65.07,65.29,62.7859,1268100
2017-10-10,65.29,65.51,64.6,64.84,62.3532,1761936
2017-10-11,64.96,65.23,64.39,64.55,62.0743,2754383
2017-10-12,64.55,64.66,63.16,63.28,60.853,3254305
2017-10-13,63.39,63.605,62.91,63.12,60.6992,2812713
2017-10-16,63.03,63.39,62.34,62.91,60.4972,2226095
2017-10-17,63.0,63.6,62.86,63.24,60.8146,1783755
2017-10-18,63.22,63.55,62.86,63.32,60.8915,1860777
2017-10-19,63.35,63.615,62.93,63.39,60.9588,1771514
2017-10-20,63.7,64.34,63.41,64.23,61.7666,2334638
2017-10-23,64.15,64.91,63.965,64.31,61.8435,1891156
2017-10-24,64.34,64.76,64.14,64.34,61.8724,2020707
2017-10-25,64.0,64.32,63.3,63.84,61.3915,2364173
2017-10-26,64.02,64.71,63.71,64.27,61.805,1624035
2017-10-27,63.64,64.09,63.29,63.82,61.3723,2537178
2017-10-30,63.59,63.59,62.59,63.42,60.9876,2159635
2017-10-31,63.68,64.87,63.41,63.49,61.055,1983728
2017-11-01,63.74,64.12,63.17,63.48,61.0453,1965682
2017-11-02,63.85,64.67,63.55,64.36,61.8916,1948277
2017-11-03,64.17,64.55,64.05,64.13,61.6704,1645382
2017-11-06,64.11,64.73,62.8477,64.14,61.68,2052865
2017-11-07,64.21,64.82,64.0,64.79,62.3051,2680369
2017-11-08,64.63,64.88,63.78,63.87,61.4204,2373361
2017-11-09,63.56,65.19,63.55,64.57,62.0935,2392055
