Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-18,102.22,102.22,102.1,102.155,102.1298,38
2017-04-19,101.75,101.82,101.75,101.77,101.7449,100
2017-04-20,102.2,102.23,102.131,102.16,102.1348,40
2017-04-21,101.75,101.8956,101.72,101.755,101.7299,1537
2017-04-24,103.59,103.59,103.2798,103.53,103.5045,45
2017-04-25,103.51,103.51,103.45,103.45,103.4245,8
2017-04-26,102.77,102.95,102.73,102.79,102.7646,81
2017-04-27,102.56,102.65,102.56,102.56,102.5347,5001
2017-04-28,102.48,102.6545,102.48,102.48,102.4547,21155
2017-05-02,102.64,102.81,102.64,102.66,102.6347,8
2017-05-03,102.95,103.01,102.83,102.965,102.9396,102
2017-05-04,103.15,103.15,103.04,103.105,103.0796,50
2017-05-05,103.21,103.21,103.12,103.14,103.1146,12
2017-05-08,102.57,102.78,102.5476,102.56,102.5347,14867
2017-05-09,102.18,102.18,102.11,102.11,102.0848,4
2017-05-10,101.93,102.12,101.85,101.925,101.8999,94
2017-05-11,102.34,102.38,102.2672,102.2672,102.242,17960
2017-05-12,102.97,102.97,102.83,102.97,102.9446,14
2017-05-15,103.09,103.19,103.09,103.09,103.0646,4
2017-05-16,103.82,104.3,103.59,104.035,104.0093,10097
2017-05-17,104.48,104.55,104.48,104.55,104.5242,249
2017-05-18,104.36,104.36,104.16,104.3,104.2743,24
2017-05-19,104.74,104.78,104.74,104.74,104.7142,4
2017-05-22,105.22,105.31,105.22,105.22,105.194,26
2017-05-23,105.42,105.5154,105.06,105.15,105.1241,22022
2017-05-24,105.17,105.23,105.17,105.175,105.1491,342
2017-05-25,105.5,105.79,105.5,105.625,105.5989,10015
2017-05-26,106.95,106.95,106.63,106.95,106.9236,10
2017-05-30,106.295,106.295,106.295,106.295,106.2688,0
2017-05-31,106.62,106.91,106.62,106.62,106.5937,102
2017-06-01,106.95,106.95,106.1994,106.225,106.1988,10011
2017-06-02,106.995,106.995,106.995,106.995,106.9686,0
2017-06-05,106.28,106.38,106.21,106.235,106.2088,16
2017-06-06,106.97,106.97,106.54,106.97,106.9436,189
2017-06-07,106.3,106.39,106.24,106.24,106.2138,62301
2017-06-08,106.26,106.2753,106.26,106.26,106.2338,7451
2017-06-09,107.84,107.84,107.77,107.84,107.8134,38910
2017-06-12,108.87,108.93,108.51,108.77,108.7432,68
2017-06-13,108.395,108.395,108.395,108.395,108.3683,0
2017-06-14,108.86,109.05,108.73,108.845,108.8182,7572
2017-06-15,107.48,107.48,107.38,107.475,107.4485,22
2017-06-16,107.65,107.74,107.54,107.63,107.6035,12
2017-06-19,107.9,107.9372,107.72,107.915,107.8884,4131
2017-06-20,108.8,108.8,108.67,108.74,108.7132,2473
2017-06-21,108.37,108.6367,108.37,108.6367,108.6099,17828
2017-06-22,108.96,109.02,108.8,108.8,108.7732,10
2017-06-23,108.4,108.59,108.3835,108.49,108.4632,199
2017-06-26,108.62,108.73,108.62,108.62,108.5932,2
2017-06-27,108.5,108.53,108.4473,108.4473,108.4206,97
2017-06-28,107.49,107.57,107.49,107.57,107.5435,54
2017-06-29,107.63,107.63,107.06,107.19,107.1636,14
2017-06-30,107.19,107.19,107.18,107.18,107.1536,39
2017-07-03,106.88,106.99,106.88,106.88,106.8536,56
2017-07-04,106.78,106.91,106.78,106.9,106.8736,3417
2017-07-05,106.7841,106.7841,106.7841,106.7841,106.7578,5101
2017-07-06,106.305,106.305,106.305,106.305,106.2788,0
2017-07-07,106.86,106.91,106.7308,106.735,106.7087,16842
2017-07-10,107.06,107.14,107.06,107.06,107.0336,15
2017-07-11,107.44,107.46,107.23,107.46,107.4335,14613
2017-07-12,107.44,107.48,107.4,107.4,107.3735,158
2017-07-13,106.49,106.58,106.3176,106.3176,106.2949,6445
2017-07-14,105.93,106.11,105.6488,105.69,105.6674,26895
2017-07-17,106.27,106.27,106.08,106.215,106.1923,2862
2017-07-18,107.74,107.74,107.5814,107.67,107.647,10812
2017-07-19,107.27,107.38,107.26,107.26,107.2371,262
2017-07-20,107.77,108.82,107.55,108.82,108.7968,5034
2017-07-21,109.44,109.44,109.24,109.395,109.3717,2
2017-07-24,108.83,109.0271,108.7761,108.83,108.8068,10503
2017-07-25,108.56,108.65,108.33,108.37,108.3469,21145
2017-07-26,108.12,108.22,108.12,108.12,108.0969,162
2017-07-27,108.44,108.44,108.37,108.37,108.3469,8
2017-07-28,108.72,108.72,108.71,108.72,108.6968,24
2017-07-31,108.76,108.76,108.76,108.76,108.7368,8
2017-08-01,108.89,108.92,108.57,108.92,108.8968,8
2017-08-02,109.47,109.47,109.15,109.415,109.3916,68
2017-08-03,110.51,110.51,109.1552,110.51,110.4864,105
2017-08-04,110.15,110.17,110.06,110.06,110.0365,1904
2017-08-07,110.61,110.61,110.61,110.61,110.5864,1
2017-08-08,110.69,110.9,110.69,110.69,110.6664,42
2017-08-09,110.42,110.63,110.42,110.48,110.4564,5154
2017-08-10,110.84,110.84,110.55,110.765,110.7414,6
2017-08-11,111.37,111.51,111.3534,111.3534,111.3296,55
2017-08-14,111.11,111.21,111.11,111.11,111.0863,22
2017-08-15,111.12,111.12,111.11,111.12,111.0963,2356
