Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,84.63,84.65,84.61,84.63,79.7511,727657
2017-04-18,84.65,84.7,84.65,84.7,79.817,905327
2017-04-19,84.67,84.69,84.65,84.66,79.7793,968328
2017-04-20,84.64,84.67,84.6326,84.65,79.7699,668286
2017-04-21,84.67,84.7,84.66,84.69,79.8076,589750
2017-04-24,84.59,84.62,84.57,84.6,79.7228,1001587
2017-04-25,84.56,84.57,84.52,84.52,79.6474,905940
2017-04-26,84.55,84.57,84.5201,84.55,79.6757,594259
2017-04-27,84.56,84.62,84.555,84.58,79.704,785169
2017-04-28,84.57,84.62,84.5601,84.62,79.7417,1708217
2017-05-01,84.52,84.55,84.49,84.5,79.6868,2918630
2017-05-02,84.5,84.55,84.5,84.53,79.7151,982543
2017-05-03,84.53,84.53,84.47,84.47,79.6585,923391
2017-05-04,84.45,84.48,84.44,84.46,79.6491,817359
2017-05-05,84.46,84.49,84.45,84.49,79.6774,615213
2017-05-08,84.47,84.47,84.43,84.45,79.6397,633476
2017-05-09,84.42,84.44,84.4,84.41,79.602,802124
2017-05-10,84.45,84.45,84.41,84.43,79.6208,665674
2017-05-11,84.39,84.46,84.39,84.44,79.6303,545688
2017-05-12,84.5,84.55,84.5,84.54,79.7246,470537
2017-05-15,84.51,84.54,84.51,84.53,79.7151,751437
2017-05-16,84.52,84.55,84.5,84.53,79.7151,611899
2017-05-17,84.59,84.64,84.58,84.62,79.8,663195
2017-05-18,84.62,84.62,84.58,84.58,79.7623,829069
2017-05-19,84.61,84.61,84.56,84.6,79.7811,503797
2017-05-22,84.58,84.59,84.57,84.57,79.7528,478047
2017-05-23,84.58,84.6,84.5135,84.54,79.7246,1060248
2017-05-24,84.55,84.59,84.52,84.59,79.7717,1117201
2017-05-25,84.57,84.6,84.57,84.59,79.7717,644314
2017-05-26,84.59,84.6,84.5723,84.58,79.7623,482090
2017-05-30,84.6,84.61,84.59,84.61,79.7906,486613
2017-05-31,84.62,84.63,84.6,84.62,79.8,1043162
2017-06-01,84.5,84.54,84.5,84.54,79.7845,1191842
2017-06-02,84.57,84.6,84.56,84.6,79.8411,1068724
2017-06-05,84.55,84.55,84.53,84.53,79.7751,661480
2017-06-06,84.57,84.58,84.55,84.56,79.8034,688013
